Date,Open,High,Low,Close,Volume
20151218,33.56,33.56,33.53,33.53,733
20151223,29.7,29.7,29.68,29.68,13822
20151228,29.41,29.41,29.41,29.41,129
20151229,29.51,29.51,29.51,29.51,115
20151230,29.08,29.08,29.08,29.08,230
20160106,28.02,28.02,28.02,28.02,129
20160114,26.59,26.59,26.55,26.55,23036
20160115,25.68,25.68,25.55,25.55,346
20160119,26.08,26.08,26.08,26.08,115
20160126,26.15,26.32,26.15,26.32,518
20160129,27.24,27.24,27.12,27.12,230
20160202,26.98,26.98,26.71,26.71,725
20160203,26.98,26.98,26.98,26.98,346
20160212,26.35,26.35,26.29,26.29,460
20160217,27.4,27.4,27.4,27.4,346
20160219,27.26,27.26,27.26,27.26,230
20160222,27.74,27.81,27.74,27.81,345
20160223,27.33,27.35,27.33,27.35,230
20160225,26.98,27.14,26.91,26.91,1151
20160226,26.89,26.89,26.89,26.89,173
20160229,27.13,27.13,27.13,27.13,115
20160301,28.02,28.11,28.02,28.11,345
20160308,28.65,28.65,28.65,28.65,346
20160315,28.7,28.7,28.61,28.61,691
20160321,30.47,30.47,30.47,30.47,115
20160322,30.2,30.42,30.2,30.42,300
20160323,30.42,30.42,30.42,30.42,12
20160324,29.44,29.5,29.39,29.49,3517
20160328,29.73,29.73,29.73,29.73,127
20160329,30.1,30.12,30.1,30.12,588
20160330,30.51,30.51,30.51,30.51,127
20160331,30.51,30.51,30.51,30.51,12
20160401,30.45,30.45,30.45,30.45,242
20160404,30.45,30.45,30.45,30.45,12
20160405,30.45,30.45,30.45,30.45,12
20160406,29.85,29.85,29.85,29.85,127
20160407,29.85,29.85,29.85,29.85,12
20160408,29.85,29.85,29.85,29.85,12
20160411,29.85,29.85,29.85,29.85,12
20160412,30.42,30.48,30.42,30.48,469
20160413,31.02,31.02,31.02,31.02,127
20160414,31.02,31.02,31.02,31.02,12
20160415,31.02,31.02,31.02,31.02,12
20160418,31.02,31.02,31.02,31.02,12
20160419,31.24,32.31,31.24,31.28,3076
20160420,31.09,31.38,31.09,31.38,1970
20160421,30.86,30.86,30.86,30.86,242
20160422,30.83,31.34,30.83,31.34,7844
