Date,Open,High,Low,Close,Volume
20180810,22.9,22.95,22.9,22.95,856
20180814,22.89,23.01,22.89,23.01,95267
20180816,22.74,22.74,22.71,22.72,2646
20180820,22.76,22.77,22.76,22.77,915
20180822,22.98,23.03,22.98,23.03,214
20180823,22.91,22.91,22.91,22.91,535
20180827,23.25,23.25,23.25,23.25,107
20180829,23.27,23.31,23.27,23.31,3148
20180830,23.19,23.2,23.15,23.15,2848
20180831,23.14,23.14,23.1,23.1,5614
20180905,22.69,22.69,22.69,22.69,216
20180907,22.73,22.73,22.71,22.71,706
20180911,22.42,22.52,22.42,22.52,846
20180912,22.61,22.62,22.61,22.62,342
20180913,22.7,22.72,22.7,22.7,2460
20180919,22.97,22.97,22.97,22.97,107
20180924,22.89,22.89,22.89,22.89,214
20180928,23.18,23.18,23.09,23.12,8458
20181001,23.23,23.24,23.21,23.21,8069
20181002,23.01,23.01,23.01,23.01,534
20181003,22.99,22.99,22.99,22.99,214
20181004,22.54,22.54,22.37,22.37,417
20181005,22.4,22.4,22.26,22.26,1847
20181009,22.34,22.34,22.32,22.32,2350
20181010,22.02,22.02,21.87,21.87,462
20181011,21.71,21.71,21.56,21.59,322
20181012,21.76,21.76,21.76,21.76,107
20181015,21.84,21.88,21.82,21.83,2744
20181016,21.93,21.93,21.93,21.93,109
20181017,22.02,22.02,22.02,22.02,107
20181018,21.57,21.65,21.55,21.55,688
20181019,21.71,21.71,21.71,21.71,107
20181022,22,22,21.85,21.85,421
20181026,21.03,21.32,21.02,21.15,4658
20181029,21.33,21.33,21.08,21.08,535
20181030,21.15,21.15,21.15,21.15,107
20181031,21.57,21.59,21.57,21.59,748
20181101,21.56,21.83,21.56,21.83,1521
20181102,21.85,21.87,21.7,21.73,535
20181105,21.86,21.86,21.86,21.86,357946
20181106,21.88,21.88,21.81,21.84,30716
20181107,22.02,22.02,22.02,22.02,86423
20181108,21.87,21.87,21.82,21.82,6217
20181109,21.65,21.65,21.61,21.61,1816
20181112,21.58,21.58,21.45,21.45,2552
20181113,21.71,21.78,21.69,21.69,2409
20181114,21.68,21.76,21.63,21.72,3474
20181115,21.72,22.11,21.72,22.11,2999
20181116,21.94,22.11,21.94,22.11,440
20181119,21.93,21.97,21.81,21.81,3397
20181120,21.53,21.63,21.51,21.63,647
20181121,21.77,21.86,21.77,21.84,2422
20181126,21.85,21.86,21.8,21.8,1896
20181127,21.76,21.84,21.76,21.84,554
20181128,22.01,22.32,21.94,22.21,20824
20181129,22.2,22.26,22.1,22.22,2793
20181130,22.13,22.15,22.13,22.14,1127
20181203,22.37,22.37,22.33,22.33,1234
20181204,22.26,22.26,22.01,22.09,641
20181206,21.85,21.89,21.55,21.87,10283
20181207,21.96,21.99,21.58,21.58,1283
20181210,21.35,21.56,21.28,21.53,14077
20181211,21.5,21.52,21.5,21.52,970
20181212,21.79,21.79,21.72,21.72,780
20181213,21.81,21.81,21.81,21.81,33
20181214,21.56,21.56,21.56,21.56,140
20181217,21.43,21.47,21.31,21.32,6892
20181218,21.66,21.66,21.66,21.66,1902
20181219,21.71,21.74,21.48,21.48,4946
20181220,21.39,21.4,21.39,21.4,901
20181221,21.43,21.46,21.24,21.24,1197
20181224,21.24,21.27,21.08,21.12,2118
20181226,21.23,21.45,21.18,21.45,12058
20181227,21.23,21.36,21.15,21.36,28830
20181228,21.48,21.55,21.42,21.43,9196
20181231,21.5,21.5,21.37,21.37,12541
20190102,21.3,21.39,21.3,21.39,6214
20190103,21.11,21.13,21.08,21.12,12602
20190104,21.42,21.62,21.42,21.6,3841
20190107,21.46,21.49,21.4,21.49,26976
20190108,21.55,21.55,21.42,21.42,5738
20190109,21.68,21.79,21.68,21.79,370
20190110,21.66,21.67,21.65,21.66,5134
20190111,21.74,21.74,21.74,21.74,139
20190114,21.61,21.76,21.61,21.64,2587
20190115,21.79,21.79,21.73,21.73,673
20190116,21.88,21.92,21.85,21.92,11901
20190117,21.64,21.77,21.64,21.74,14111
20190118,21.85,21.95,21.85,21.93,7138
20190122,21.67,21.67,21.54,21.56,2134
20190123,21.86,21.88,21.73,21.88,8473
20190124,21.93,22,21.93,22,1781
20190125,22.19,22.26,22.18,22.18,3345
20190128,21.95,21.99,21.93,21.98,1986
20190129,22.04,22.04,22,22.03,7063
20190130,22.06,22.35,21.99,22.35,3601
20190131,22.45,22.54,22.45,22.53,669
20190201,22.48,22.49,22.41,22.41,4480
20190204,22.51,22.57,22.41,22.52,10395
20190205,22.58,22.77,22.58,22.76,6347
20190206,22.7,22.7,22.51,22.53,38772
20190207,22.38,22.46,22.24,22.33,5429
20190208,22.27,22.37,22.25,22.32,2409
20190211,22.2,22.22,22.18,22.21,2288
20190212,22.32,22.36,22.29,22.33,7972
20190213,22.28,22.28,22.17,22.21,11790
20190214,22.21,22.44,22.21,22.38,5168
20190215,22.38,22.41,22.34,22.36,7606
20190219,22.25,22.49,22.25,22.47,7312
20190220,22.56,22.61,22.49,22.51,4864
20190221,22.4,22.41,22.36,22.4,5444
20190222,22.64,22.65,22.57,22.58,8307
20190225,22.78,22.84,22.73,22.74,12923
20190226,22.67,22.79,22.66,22.79,20063
20190227,22.6,22.6,22.5,22.56,11327
20190228,22.42,22.42,22.31,22.31,3066
20190301,22.4,22.42,22.3,22.34,3434
20190304,22.35,22.35,22.21,22.21,2677
20190305,22.4,22.5,22.38,22.5,2835
20190306,22.33,22.33,22.32,22.32,478
20190307,22.02,22.06,21.91,21.97,9996
20190308,21.79,21.82,21.79,21.81,4154
20190311,22.22,22.25,22.22,22.25,2477
20190312,22.31,22.32,22.29,22.29,6671
20190313,22.26,22.31,22.17,22.3,4478
20190314,22.24,22.27,22.19,22.27,20205
20190315,22.53,22.6,22.53,22.56,4695
20190318,22.69,22.74,22.69,22.74,8021
20190319,22.8,22.8,22.8,22.8,245
20190320,22.56,22.86,22.55,22.86,538
20190321,22.67,22.69,22.66,22.69,2178
20190322,22.32,22.35,22.27,22.35,1116
20190325,22.19,22.32,22.19,22.32,1957
20190326,22.34,22.34,22.24,22.31,5281
20190327,22.22,22.22,22.1,22.16,4395
20190328,22.18,22.18,22.18,22.18,509
20190329,22.39,22.43,22.39,22.43,3426
20190401,22.63,22.67,22.63,22.67,3104
20190402,22.63,22.63,22.55,22.58,1292
20190403,22.7,22.76,22.67,22.67,5064
20190404,22.66,22.75,22.66,22.75,686
20190405,22.82,22.93,22.82,22.92,6117
20190408,22.81,22.81,22.75,22.75,11085
20190409,22.76,22.76,22.72,22.72,1745
20190410,22.75,22.81,22.75,22.81,4104
20190411,22.56,22.56,22.56,22.56,8808
20190412,22.79,22.79,22.77,22.77,2554
20190415,22.63,22.66,22.63,22.66,1731
20190416,22.81,22.84,22.75,22.81,5110
20190417,22.94,22.94,22.9,22.9,920
20190418,22.79,22.83,22.79,22.83,10902
20190422,22.78,22.78,22.65,22.7,1014
20190423,22.62,22.73,22.62,22.72,6296
20190424,22.62,22.62,22.4,22.43,235542
20190425,22.39,22.46,22.39,22.44,3121
20190426,22.43,22.55,22.43,22.5,10030
20190429,22.54,22.54,22.54,22.54,33
20190430,22.51,22.54,22.5,22.52,6856
20190501,22.54,22.58,22.54,22.58,2359
20190502,22.42,22.42,22.29,22.4,5573
20190503,22.51,22.61,22.51,22.58,8247
20190506,22.01,22.2,22.01,22.2,1131
20190507,21.92,21.94,21.91,21.91,1536
20190508,21.83,21.94,21.83,21.85,6006
20190509,21.29,21.62,21.29,21.62,2005
20190510,21.46,21.81,21.41,21.81,1933
20190513,21.12,21.12,21.01,21.01,669
20190514,21.36,21.36,21.36,21.36,934
20190515,21.39,21.43,21.39,21.43,6894
20190516,21.49,21.49,21.46,21.49,1366
20190517,21.26,21.26,21.23,21.23,2868
20190520,21.2,21.2,21.19,21.19,1248
20190521,21.41,21.44,21.41,21.44,5041
20190522,21.35,21.36,21.33,21.36,4577
20190523,21.13,21.13,21.13,21.13,209
20190524,21.18,21.18,21.12,21.13,3236
20190528,21.3,21.3,21.22,21.25,1653
20190529,21.31,21.31,21.27,21.27,1972
20190530,21.43,21.44,21.43,21.44,693
20190531,21.42,21.51,21.42,21.49,741
20190603,21.68,21.68,21.68,21.68,178
20190604,21.54,21.57,21.54,21.56,4555
20190605,21.61,21.7,21.48,21.48,3356
20190606,21.45,21.48,21.45,21.48,347
20190607,21.55,21.67,21.55,21.67,1235
20190610,21.77,21.77,21.73,21.76,2199
20190611,21.95,21.95,21.95,21.95,33
20190612,21.79,21.79,21.79,21.79,33
20190613,21.76,21.77,21.7,21.77,10358
20190614,21.6,21.67,21.6,21.62,6909
20190617,21.65,21.65,21.61,21.62,6434
20190618,21.79,21.79,21.79,21.79,1093
