Date,Open,High,Low,Close,Volume
20061201,22.47,22.47,22.1,22.1,6300
20061204,22.43,22.65,22.43,22.65,900
20061205,22.79,22.85,22.79,22.85,300
20061207,22.79,22.79,22.79,22.79,200
20061208,22.72,22.72,22.72,22.72,200
20061212,22.69,22.69,22.69,22.69,500
20061214,22.76,22.76,22.76,22.76,700
20061215,22.71,22.71,22.71,22.71,1100
20061218,22.72,22.72,22.36,22.36,600
20061219,22.35,22.41,22.35,22.4,3400
20061220,22.6,22.6,22.51,22.52,1800
20061221,22.62,22.65,22.62,22.65,800
20061222,22.38,22.38,22.35,22.35,1400
20061226,22.49,22.55,22.49,22.55,1200
20061227,22.75,22.75,22.75,22.75,500
20061228,22.92,22.92,22.92,22.92,100
20061229,22.81,22.81,22.76,22.76,1700
20070103,22.73,22.86,22.49,22.49,3000
20070104,22.65,22.72,22.57,22.72,2100
20070105,22.6,22.6,22.38,22.38,300
20070108,22.29,22.49,22.24,22.45,2100
20070109,22.39,22.4,22.3,22.4,34300
20070110,22.39,22.41,22.35,22.41,11600
20070111,22.7,22.7,22.7,22.7,11300
20070112,22.8,22.85,22.8,22.85,16600
20070116,22.77,22.77,22.77,22.77,100
20070117,22.81,22.81,22.7,22.7,12200
20070118,22.49,22.49,22.49,22.49,100
20070119,22.4,22.49,22.4,22.49,12200
20070122,22.58,22.58,22.46,22.46,700
20070123,22.71,22.71,22.66,22.66,600
20070124,22.73,22.88,22.73,22.88,28700
20070126,22.51,22.61,22.51,22.61,300
20070129,22.82,22.82,22.7,22.7,1400
20070130,22.89,22.89,22.89,22.89,300
20070131,22.85,22.98,22.82,22.98,3200
20070201,23.06,23.15,23.06,23.15,1600
20070202,23.25,23.25,23.25,23.25,100
20070205,23.21,23.21,23.13,23.13,3800
20070206,23.22,23.25,23.14,23.25,2300
20070208,23.41,23.46,23.4,23.46,1400
20070209,23.43,23.43,23.13,23.13,1800
20070212,23.15,23.15,23.1,23.13,900
20070213,23.32,23.32,23.32,23.32,1200
20070214,23.51,23.51,23.43,23.43,5600
20070215,23.42,23.55,23.42,23.55,1900
20070216,23.41,23.48,23.41,23.48,500
20070220,23.49,23.68,23.49,23.68,9000
20070221,23.67,23.67,23.62,23.67,1700
20070222,23.64,23.67,23.57,23.67,3000
20070223,23.61,23.65,23.59,23.65,2300
20070226,23.55,23.57,23.48,23.48,4100
20070227,23.13,23.2,22.65,22.65,14900
20070228,22.6,22.73,22.48,22.72,8000
20070301,22.22,22.79,22.22,22.75,19000
20070302,22.58,22.63,22.43,22.43,4000
20070305,22.3,22.35,22,22,4500
20070306,22.33,22.48,22.27,22.47,26700
20070307,22.4,22.54,22.31,22.41,54900
20070308,22.58,22.73,22.52,22.56,44200
20070309,22.68,22.71,22.51,22.59,58700
20070312,22.71,22.71,22.65,22.71,3700
20070313,22.32,22.33,22.32,22.33,2500
20070314,22.2,22.46,22.2,22.45,3500
20070315,22.66,22.7,22.6,22.7,11300
20070316,22.77,22.77,22.64,22.64,3400
20070319,22.99,22.99,22.92,22.93,5100
20070320,22.94,23.05,22.94,23.05,2600
20070321,23.02,23.49,23.02,23.31,12200
20070322,23.33,23.37,23.31,23.31,4100
20070326,23.43,23.43,23.23,23.4,12300
20070327,23.2,23.21,23.13,23.16,7600
20070328,23.03,23.06,23.02,23.02,11700
20070329,23.17,23.17,22.89,23.03,3500
