Date,Open,High,Low,Close,Volume
20160720,24.53,24.53,24.53,24.53,223
20160721,24.57,24.57,24.57,24.57,670
20160725,24.44,24.44,24.43,24.43,2190
20160728,24.66,24.66,24.66,24.66,223
20160802,24.54,24.55,24.54,24.55,630
20160808,25.33,25.33,25.33,25.33,460
20160809,25.5,25.5,25.48,25.48,1117
20160810,25.58,25.58,25.58,25.58,223
20160811,25.7,25.7,25.7,25.7,447
20160817,25.78,25.78,25.59,25.77,2457
20160819,25.78,25.78,25.78,25.78,378
20160822,25.77,25.77,25.6,25.6,837
20160823,25.71,25.71,25.71,25.71,223
20160824,25.52,25.58,25.51,25.51,12052
20160829,25.39,25.41,25.39,25.41,7463
20160831,25.42,25.42,25.29,25.29,804
20160901,25.33,25.37,25.33,25.37,446
20160902,25.65,25.65,25.65,25.65,228
20160907,26.35,26.36,26.32,26.32,7532
20160908,26.36,26.36,26.25,26.25,1340
20160909,25.9,25.9,25.45,25.45,46588
20160912,25.15,25.15,25.08,25.08,446
20160916,25.13,25.13,25.13,25.13,223
20160919,25.49,25.49,25.49,25.49,27987
20160923,26.11,26.11,26.11,26.11,223
20160926,25.79,25.79,25.55,25.55,10110
20160927,25.79,25.87,25.79,25.87,669
20160928,25.93,26.06,25.75,26.06,4297
20160929,26,26,25.75,25.75,8695
20160930,25.73,25.86,25.73,25.81,8044
20161003,25.8,25.96,25.8,25.96,2903
20161004,25.96,25.96,25.8,25.8,2903
20161005,25.96,25.96,25.91,25.93,1563
20161006,25.87,26.04,25.87,26.02,5285
20161007,26.02,26.02,25.8,25.92,2008
20161011,25.81,25.81,25.65,25.65,894
20161012,25.5,25.61,25.48,25.6,2455
20161013,25.33,25.47,25.21,25.47,4491
20161014,25.51,25.51,25.42,25.44,1581
20161017,25.42,25.44,25.42,25.44,1341
20161020,25.97,25.99,25.96,25.96,2351
20161021,25.82,25.82,25.81,25.81,1848
20161024,26.22,26.22,26.03,26.03,892
20161027,25.59,25.67,25.58,25.67,1340
20161028,25.57,25.6,25.4,25.44,3799
20161101,25.64,25.64,25.25,25.39,6915
20161102,25.05,25.05,25.05,25.05,502
20161103,25.1,25.1,25.1,25.1,223
20161104,24.88,25.01,24.88,24.95,1115
20161107,25.67,25.67,25.67,25.67,1117
20161108,25.57,25.57,25.57,25.57,1149
20161109,25.4,25.4,25.11,25.2,6864
20161110,25.16,25.16,24.46,24.46,1481
20161111,23.96,23.96,23.93,23.93,816
20161114,23.7,23.74,23.61,23.73,4702
20161116,23.92,23.95,23.92,23.94,1313
20161117,24.12,24.12,24.12,24.12,967
20161118,24.13,24.13,24.13,24.13,670
20161121,24.26,24.26,24.13,24.15,1926
20161122,24.4,24.44,24.35,24.44,1014
20161123,24.25,24.25,24.13,24.24,893
20161128,24.44,24.44,24.44,24.44,313
20161205,24.28,24.28,24.28,24.28,223
20161209,24.79,24.79,24.79,24.79,456
20161212,24.79,24.79,24.65,24.66,980
20161216,24.27,24.28,24.27,24.28,446
20161219,24.23,24.23,24.09,24.09,2270
20161220,24.15,24.15,24.15,24.15,17091
20161221,24.12,24.12,24.1,24.1,4523
20161223,24.02,24.02,24.02,24.02,519
20161227,24.08,24.08,24.06,24.06,4417
20161228,24.09,24.24,24.09,24.17,22872
20161229,24.4,24.53,24.4,24.51,4021
20161230,24.36,24.36,24.36,24.36,459
20170104,24.88,24.88,24.88,24.88,334
20170105,25.12,25.16,25.04,25.16,3034
20170110,25.23,25.23,25.23,25.23,223
20170111,25.24,25.44,25.19,25.44,4415
20170112,25.53,25.59,25.51,25.59,9583
20170113,25.48,25.48,25.48,25.48,780
20170117,25.58,25.58,25.58,25.58,669
20170119,25.43,25.43,25.33,25.41,2346
20170120,25.47,25.47,25.37,25.43,954
20170123,25.5,25.78,25.5,25.78,904
20170124,25.97,25.97,25.89,25.91,829
20170125,26.12,26.12,26.12,26.12,350
20170126,26.09,26.09,26.07,26.07,669
20170127,26.07,26.07,26.05,26.05,669
20170130,25.86,25.88,25.86,25.88,2452
20170202,26.1,26.1,26.09,26.09,941
20170207,26.33,26.33,26.17,26.17,2211
20170208,26.26,26.26,26.26,26.26,1114
20170210,26.58,26.58,26.58,26.58,669
20170213,26.7,26.7,26.7,26.7,553
20170214,26.74,26.74,26.68,26.7,5734
20170215,26.77,26.77,26.77,26.77,2006
20170216,27.03,27.03,26.9,26.9,3758
20170217,26.7,26.7,26.7,26.7,1265
20170221,26.92,27.05,26.92,27.04,3279
20170222,27.14,27.14,27.02,27.12,7626
20170223,27.19,27.19,27.11,27.13,2603
20170224,26.88,26.88,26.79,26.83,8310
20170227,26.77,26.8,26.72,26.72,68131
20170301,26.88,26.92,26.88,26.92,10692
20170302,26.8,26.8,26.55,26.55,18056
20170303,26.66,26.76,26.65,26.76,3788
20170306,26.74,26.77,26.72,26.74,3109
20170307,26.88,26.88,26.76,26.76,2461
20170308,26.77,26.77,26.66,26.66,1561
20170309,26.52,26.52,26.37,26.4,2230
20170310,26.7,26.7,26.56,26.65,2910
20170313,26.98,27.03,26.97,27.02,4990
20170314,27.01,27.01,26.9,26.9,1828
20170315,26.97,27.5,26.97,27.49,13799
20170316,27.74,27.74,27.71,27.71,1611
20170317,27.68,27.7,27.62,27.66,23879
20170320,27.77,27.96,27.76,27.91,10196
20170321,27.99,27.99,27.64,27.66,2615
20170322,27.62,27.78,27.54,27.76,7855
20170323,27.73,27.87,27.73,27.8,3655
20170324,27.84,27.93,27.84,27.9,12708
20170327,27.71,27.83,27.66,27.82,42716
20170328,27.81,27.89,27.81,27.89,1351
20170329,27.82,27.91,27.81,27.87,9902
20170330,27.81,27.83,27.72,27.72,19589
20170331,27.6,27.6,27.45,27.51,26112
20170403,27.6,27.64,27.47,27.53,11506
20170404,27.56,27.65,27.52,27.6,15484
20170405,27.69,27.76,27.57,27.58,53137
20170406,27.59,27.59,27.49,27.49,5765
20170407,27.48,27.51,27.44,27.44,8922
20170410,27.36,27.77,27.18,27.26,5750
20170411,27.35,27.35,27.06,27.27,5697
20170412,27.38,27.39,27.26,27.39,6621
20170413,27.46,27.47,27.29,27.29,7277
20170417,27.46,27.53,27.38,27.53,5042
20170418,27.32,27.32,27.23,27.3,3838
20170419,27.32,27.37,27.21,27.21,8244
20170420,27.47,27.47,27.4,27.46,6961
20170421,27.53,27.53,27.4,27.44,2561
20170424,27.9,27.9,27.78,27.79,2124
20170425,27.97,28.05,27.97,28.05,4609
20170426,27.93,27.94,27.89,27.94,1839
20170427,27.93,27.94,27.88,27.88,9110
20170428,27.89,27.97,27.87,27.97,3642
20170501,28.04,28.12,28,28.06,5141
20170502,28.16,28.19,28.16,28.19,446
20170503,28.2,28.2,28.09,28.09,2686
20170504,27.92,27.95,27.84,27.86,6435
20170505,27.89,28.03,27.88,28.03,10824
20170508,28.22,28.22,28.09,28.09,5433
20170509,28.37,28.43,28.3,28.3,19138
20170510,28.42,28.47,28.4,28.4,80993
20170511,28.41,28.56,28.41,28.55,19097
20170512,28.63,28.68,28.63,28.64,4728
20170515,28.85,28.91,28.85,28.87,14000
20170516,28.95,28.95,28.87,28.91,42426
20170517,28.76,28.76,28.46,28.49,12399
20170518,28.01,28.22,27.91,28.05,20479
20170519,28.41,28.63,28.41,28.59,36676
20170522,28.6,28.63,28.59,28.62,23418
20170523,28.71,28.71,28.57,28.6,18956
20170524,28.69,28.77,28.67,28.77,10010
20170525,28.97,28.98,28.88,28.89,13415
20170526,28.98,29.03,28.98,28.98,14878
20170530,28.9,28.9,28.82,28.85,30669
20170531,28.76,28.78,28.7,28.7,13505
20170601,28.72,28.9,28.71,28.89,41324
20170602,29.12,29.12,29.04,29.05,8237
20170605,29.11,29.11,29.02,29.07,11520
20170606,29.01,29.06,29.01,29.04,13699
20170607,29.06,29.1,28.95,29,134946
20170608,29.2,29.24,29.12,29.24,17499
20170609,29.33,29.33,28.9,28.98,20857
20170612,28.9,28.9,28.71,28.71,21122
20170613,28.87,28.96,28.87,28.95,14568
20170614,29.12,29.12,28.86,28.9,15849
20170615,28.66,28.69,28.53,28.69,13475
20170616,28.64,28.71,28.62,28.71,26915
20170619,28.93,29,28.93,28.99,42090
20170620,29.33,29.33,28.66,28.66,244770
20170621,28.81,28.81,28.73,28.76,14593
20170622,28.93,29.01,28.85,28.92,21363
20170623,29,29.08,28.93,29.05,8482
20170626,29.35,29.39,29.25,29.29,21106
20170627,29.11,29.22,28.97,29.01,13487
20170628,29.03,29.24,29.02,29.22,13414
20170629,29.05,29.05,28.75,28.82,16603
20170630,29.04,29.06,28.97,29.05,11845
20170703,29.19,29.2,29.09,29.1,7515
20170705,29.05,29.09,28.93,29.07,19692
20170706,28.92,28.92,28.8,28.81,11490
20170707,28.89,28.92,28.8,28.91,11396
