Date,Open,High,Low,Close,Volume
20180920,48.65,48.82,48.65,48.79,10445
20180921,49.77,53.15,48.71,48.71,10143
20180924,49.58,49.58,48.43,48.55,13654
20180925,48.71,48.71,48.51,48.56,25138
20180926,48.67,48.68,48.34,48.34,27352
20180927,48.55,48.65,48.43,48.46,7094
20180928,48.5,48.55,48.42,48.45,11696
20181001,48.86,48.86,48.5,48.55,25897
20181002,48.57,48.59,48.39,48.44,34508
20181003,48.72,48.72,48.52,48.52,17458
20181004,48.54,48.54,47.8,47.91,9468
20181005,48.05,48.05,47.39,47.72,17029
20181008,47.68,47.7,47.2,47.59,8938
20181009,47.57,47.67,47.42,47.47,4044
20181010,47.48,47.56,45.91,45.91,33187
20181011,45.89,45.91,44.82,45.04,48039
20181012,45.94,45.94,45.11,45.73,78783
20181015,45.8,45.8,45.39,45.44,54299
20181016,45.98,46.54,45.75,46.51,41428
20181017,46.57,46.59,46.08,46.46,21084
20181018,46.48,46.48,45.53,45.71,13224
20181019,46.12,46.19,45.58,45.62,24092
20181022,45.88,45.89,45.4,45.51,29293
20181023,45.42,45.43,44.44,45.38,52156
20181024,45.32,45.32,43.78,43.78,27190
20181025,44.15,44.81,44.11,44.79,12526
20181026,44.06,44.38,43.41,43.83,96176
20181029,44.44,44.69,43.33,43.6,43343
20181030,43.72,44.35,43.63,44.31,17160
20181031,44.88,45.25,44.84,44.94,17227
20181101,45.27,45.46,44.87,45.45,33073
20181102,45.63,45.63,44.83,44.87,32618
20181105,44.99,45.27,44.93,45.26,14249
20181106,45.25,45.55,45.25,45.55,21113
20181107,45.96,46.57,45.93,46.57,19376
20181108,46.56,46.58,46.36,46.36,39306
20181109,46.47,46.47,45.84,45.88,31374
20181112,45.97,46.05,44.98,45.01,76446
20181113,45.24,45.43,44.91,44.91,17398
20181114,45.05,45.28,44.41,44.65,138823
20181115,44.59,45.23,44.24,45.23,73235
20181116,45.23,45.39,45.06,45.3,51190
20181119,45.31,45.43,44.3,44.39,75355
20181120,44.41,44.41,43.46,43.63,74884
20181121,44.14,44.23,43.91,43.91,54300
20181123,43.67,43.89,43.62,43.65,61753
20181126,43.99,44.4,43.99,44.37,87859
20181127,44.37,44.46,44.13,44.46,107840
20181128,44.8,45.51,44.62,45.49,540088
