Date,Open,High,Low,Close,Volume
20120716,40.82,40.82,40.62,40.62,1900
20120717,40.7,40.955,40.64,40.64,3180
20120718,40.6686,40.72,40.65,40.65,1050
20120719,40.8,40.8,40.66,40.66,2005
20120720,41.0267,41.0688,40.962,41.0177,2650
20120723,41.3048,41.3048,41.09,41.1482,5020
20120724,41.24,41.46,41.22,41.3349,21700
20120725,41.1,41.17,41,41.0648,3600
20120726,40.63,40.63,40.49,40.59,2814
20120727,40.43,40.43,40.31,40.43,7190
20120730,40.7114,40.77,40.71,40.71,3275
20120731,40.55,40.55,40.45,40.51,1420
20120802,41.07,41.07,41.05,41.05,1100
20120803,40.47,40.47,40.2388,40.2388,1450
20120806,40.1452,40.1452,40.1452,40.1452,100
20120807,40.1,40.1777,40.1,40.1777,1851
20120808,40.37,40.42,40.37,40.42,3314
20120809,40.58,40.58,40.58,40.58,250
20120810,40.58,40.58,40.55,40.55,2891
20120813,40.37,40.37,40.37,40.37,391
20120814,40.38,40.38,40.37,40.37,782
20120815,40.66,40.66,40.53,40.6,7358
20120816,40.53,40.53,40.38,40.39,6600
20120817,40.48,40.48,40.3901,40.3901,271
20120820,40.4,40.4001,40.4,40.4,1000
20120821,40.1,40.1,40.049,40.049,500
20120822,40.11,40.11,39.44,39.733,13021
20120823,39.7416,39.7416,39.56,39.73,1903
20120824,39.8699,39.8699,39.8699,39.8699,920
20120827,39.85,39.85,39.85,39.85,125
20120828,39.6,39.62,39.6,39.62,2000
20120829,39.74,39.74,39.73,39.73,221
20120830,39.77,39.77,39.77,39.77,200
20120831,39.57,39.6865,39.46,39.67,1999
20120904,39.55,39.6,39.55,39.6,900
20120905,39.61,39.61,39.45,39.5,1078
20120906,39.444,39.444,39.37,39.37,900
20120907,39.05,39.05,38.84,38.84,2834
20120910,39.0186,39.066,38.89,39.066,1275
20120911,38.6809,38.77,38.66,38.77,900
20120912,38.618,38.72,37.68,38.56,24724
20120913,38.533,38.533,38.29,38.29,750
20120914,37.83,38,37.83,38,6695
20120917,38,38,37.87,37.941,6120
20120918,38,38.1,38,38.1,500
20120920,38.44,38.4412,38.33,38.33,1511
20120921,38.3,38.3,38.3,38.3,2500
20120924,38.5517,38.5517,38.52,38.52,403
20120925,38.49,38.49,38.4,38.45,1130
20120926,38.7629,38.7629,38.7299,38.73,3860
20120927,38.5999,38.6199,38.4956,38.4956,850
20120928,38.63,38.7199,38.63,38.64,2800
20121001,38.472,38.472,38.472,38.472,200
20121003,38.59,38.59,38.59,38.59,100
20121004,38.2296,38.2296,38.2296,38.2296,250
20121009,39.04,39.04,39.04,39.04,100
20121010,38.556,38.556,38.556,38.556,100
20121011,38.5,38.5,38.5,38.5,400
20121015,38.46,38.47,38.46,38.46,1800
20121016,38.49,38.49,38.11,38.14,1795
20121017,37.98,37.98,37.9299,37.9299,404
20121018,38.01,38.02,38.01,38.02,1600
20121019,38.18,38.19,38.15,38.15,2457
20121023,38.35,38.35,38.3299,38.3299,318
20121024,38.35,38.35,38.32,38.35,3240
20121025,38.3,38.38,38.3,38.38,200
20121026,38.3,38.62,38.3,38.43,1191
20121101,38.24,38.24,38.08,38.08,2500
20121102,38.67,38.67,38.67,38.67,1100
20121105,38.8899,38.8899,38.86,38.86,1096
20121106,38.81,38.85,38.81,38.84,4387
20121107,38.93,38.9699,38.93,38.9699,400
20121108,38.97,38.97,38.97,38.97,150
20121109,39.0501,39.0501,39.0501,39.0501,100
20121112,39.05,39.05,39.05,39.05,500
20121113,39.0614,39.0614,39.0614,39.0614,700
20121114,38.97,38.97,38.97,38.97,100
20121116,39.133,39.133,39.133,39.133,500
20121119,38.88,38.88,38.77,38.8216,3264
20121120,38.94,38.94,38.722,38.75,2250
20121121,38.8024,38.82,38.7939,38.8199,1825
20121126,38.39,38.4,38.36,38.36,1200
20121128,38.3214,38.49,38.3214,38.49,1025
20121129,38.2401,38.34,38.2401,38.3278,1000
20121130,38.26,38.27,38.26,38.26,900
20121203,38.0247,38.0735,38.01,38.0735,2700
20121204,38.85,38.85,37.97,38,506
20121207,38.47,38.4701,38.47,38.4701,1000
20121210,38.36,38.36,38.36,38.36,200
20121212,37.91,37.91,37.9,37.9,1000
20121213,37.96,37.989,37.96,37.989,300
20121219,37.4799,37.4799,37.4799,37.4799,118
20121220,37.48,37.5465,37.48,37.5399,607
20121221,37.7,37.7001,37.7,37.7,1957
20121224,37.66,37.66,37.66,37.66,100
20121227,36.73,37.5845,36.01,37.55,2175
20121228,37.5053,37.5053,37.5,37.5,325
20121231,37.64,37.64,37.64,37.64,265
20130104,38.0041,38.04,37.92,38.04,665
20130109,38.05,38.05,38.05,38.05,1454
20130111,36.75,37.14,36.75,37.14,465
20130114,37.0702,37.0702,37.0702,37.0702,250
20130115,37.23,37.36,37.23,37.36,412
20130116,37.31,37.3999,37.31,37.3999,247
20130117,37.129,37.14,37.129,37.14,400
20130123,37.212,37.212,37.212,37.212,200
20130125,36.96,36.96,36.85,36.85,600
20130128,36.82,36.82,36.82,36.82,200
20130129,36.8,36.8,36.75,36.75,233
20130130,36.55,36.58,36.55,36.55,677
20130205,36.79,36.79,36.51,36.51,900
20130206,36.8199,36.8199,36.705,36.705,965
20130219,37.06,37.0956,36.99,36.99,706
20130221,37.5499,37.6469,37.5499,37.6469,3083
20130222,37.72,37.72,37.6005,37.6353,1055
20130225,37.54,37.95,37.54,37.95,2501
20130226,37.98,37.98,37.97,37.97,1200
20130227,38.9,38.9,37.78,37.78,5986
20130228,37.8421,37.9999,37.8421,37.9999,1505
20130301,38.23,38.24,38.118,38.118,2457
20130304,38.132,38.132,38.05,38.108,540
20130305,38.0454,38.06,38.0068,38.0154,1397
20130306,38.45,38.45,38.106,38.189,6746
20130307,38.02,38.02,37.825,37.845,8368
20130308,38.16,38.192,38.1038,38.129,3837
20130311,38.14,38.1699,38.039,38.039,2437
20130312,38.08,38.08,38.03,38.03,3100
20130314,38.24,38.24,38.14,38.14,1637
20130315,37.969,37.979,37.969,37.9777,326
20130318,39.75,39.75,38.229,38.32,1975
20130319,38.329,38.54,38.329,38.54,2300
20130320,38.6,38.6,38.207,38.269,3970
20130321,38.42,38.42,38.35,38.3665,3300
20130322,38.29,38.29,38.1178,38.18,4592
20130325,38.65,38.65,38.35,38.48,2253
20130326,38.55,38.55,38.5039,38.509,1370
