Date,Open,High,Low,Close,Volume
20160407,49.51,49.51,49.51,49.51,10300
20160408,49.51,49.51,49.51,49.51,5500
20160411,49.51,49.51,49.51,49.51,4400
20160412,49.51,49.51,49.51,49.51,12500
20160413,49.51,49.51,49.51,49.51,10500
20160414,49.51,49.51,49.5,49.51,11100
20160415,49.51,49.51,49.51,49.51,3000
20160419,49.51,49.51,49.51,49.51,10500
20160420,49.51,49.51,49.51,49.51,12500
20160421,49.51,49.51,49.51,49.51,8300
20160422,49.51,49.51,49.51,49.51,5900
20160425,49.51,49.51,49.51,49.51,14500
20160426,49.51,49.51,49.51,49.51,9900
20160427,49.51,49.51,49.51,49.51,7900
20160428,49.51,49.51,49.51,49.51,12500
20160429,49.51,49.51,49.51,49.51,6100
20160502,49.52,49.52,49.52,49.52,11900
20160503,49.52,49.52,49.52,49.52,13900
20160504,49.52,49.52,49.52,49.52,9500
20160505,49.52,49.52,49.52,49.52,12300
20160509,49.52,49.52,49.52,49.52,9700
20160510,49.52,49.52,49.52,49.52,8500
20160511,49.52,49.52,49.52,49.52,12700
20160512,49.52,49.52,49.52,49.52,8700
20160513,49.54,49.54,49.54,49.54,11500
20160516,49.54,49.54,49.54,49.54,12900
20160517,49.54,49.54,49.54,49.54,11100
20160518,49.54,49.54,49.54,49.54,10300
20160519,49.54,49.54,49.54,49.54,12300
20160520,49.54,49.54,49.54,49.54,3400
20160523,49.53,49.53,49.52,49.53,32700
20160524,49.54,49.54,49.54,49.54,9700
20160526,49.54,49.54,49.54,49.54,8100
20160531,49.54,49.54,49.54,49.54,12500
20160601,49.54,49.54,49.54,49.54,15100
20160602,49.55,49.55,49.55,49.55,14300
20160603,49.55,49.55,49.55,49.55,7300
20160606,49.55,49.55,49.55,49.55,12500
20160607,49.55,49.55,49.55,49.55,12900
20160608,49.55,49.55,49.55,49.55,8900
20160609,49.55,49.55,49.55,49.55,9700
20160610,49.54,49.54,49.54,49.54,6100
20160613,49.55,49.55,49.55,49.55,13100
20160614,49.55,49.55,49.55,49.55,8900
20160615,49.55,49.55,49.54,49.55,33700
20160616,49.54,49.54,49.54,49.54,9900
