Date,Open,High,Low,Close,Volume
20181107,24.26,24.26,24.26,24.26,104
20181108,24.63,24.63,24.57,24.57,494
20181109,24.01,24.01,24.01,24.01,208
20181113,24.01,24.01,24.01,24.01,5137
20181114,23.74,23.74,23.74,23.74,322
20181115,23.64,23.91,23.64,23.91,754
20181120,22.96,22.96,22.96,22.96,90674
20181121,22.96,22.96,22.96,22.96,88577
20181123,22.85,22.85,22.85,22.85,1612
20181128,23.79,23.8,23.72,23.8,37484
20181129,23.69,23.69,23.69,23.69,416
20181130,23.75,23.81,23.64,23.68,4106
20181203,23.62,23.62,23.62,23.62,1555
20181204,23.21,23.24,23.13,23.16,2288
20181206,22.95,22.95,22.89,22.89,3135
20181207,23.02,23.02,22.88,22.89,3529
20181210,22.87,22.96,22.87,22.96,342
20181211,23.06,23.06,22.95,22.95,650
20181212,23.21,23.21,23.21,23.21,30
20181213,23.21,23.21,23.21,23.21,30
20181214,22.9,22.91,22.72,22.72,3368
20181217,22.51,22.79,22.4,22.4,908
20181218,22.25,22.25,22.25,22.25,30
20181219,22.41,22.41,22.38,22.38,1510
20181220,21.73,21.73,21.23,21.23,25951
20181221,21.02,21.02,20.76,20.86,1322
20181224,20.38,20.38,20.29,20.29,238
20181226,20.04,20.46,20.04,20.46,1362
20181227,20.61,20.96,20.32,20.96,551285
20181228,21.04,21.22,20.96,21.2,11626
20181231,21.03,21.04,20.87,20.98,20543
20190102,21,21.44,21,21.44,2960
20190103,21.12,21.12,21.12,21.12,238
20190104,21.66,21.95,21.66,21.95,895
20190107,22.15,22.39,22.15,22.35,5420
20190108,22.8,22.8,22.8,22.8,195
20190109,22.74,22.74,22.74,22.74,30
20190110,22.58,22.71,22.58,22.71,337
20190111,22.74,22.74,22.74,22.74,134
20190114,22.68,22.68,22.68,22.68,30
20190115,22.84,22.84,22.84,22.84,938
20190116,22.82,22.82,22.82,22.82,30
20190117,22.79,22.89,22.79,22.84,451
20190118,23.08,23.18,23.03,23.03,3277
20190122,22.78,22.78,22.66,22.66,12641
20190123,22.85,22.85,22.39,22.4,2014
20190124,22.47,22.47,22.46,22.46,923
20190125,22.88,22.88,22.88,22.88,2560
20190128,22.58,22.72,22.58,22.72,4450
20190129,22.61,22.61,22.51,22.53,545456
20190130,22.55,22.66,22.55,22.65,3344
20190131,23.26,23.35,23.22,23.31,12711
20190201,23.27,23.36,23.23,23.25,9510
20190204,23.32,23.32,23.32,23.32,30
20190205,23.6,23.6,23.6,23.6,287
20190206,23,23.04,22.97,23.04,5133
20190207,22.81,22.84,22.81,22.84,833
20190208,22.82,23.05,22.82,23.05,14818
20190211,23.11,23.11,22.91,22.92,31439
20190212,22.98,23.01,22.98,22.98,3033
20190213,23.03,23.03,22.91,23,577
20190214,22.72,23.18,22.72,23.14,498
20190215,23.26,23.26,23.26,23.26,136
20190219,23.4,23.41,23.4,23.4,1258
20190220,23.4,23.51,23.35,23.38,219205
20190221,23.09,23.14,23.02,23.09,24857
20190222,23.16,23.33,23.16,23.33,1864
20190225,23.42,23.45,23.28,23.3,2870
20190226,23.2,23.33,23.2,23.28,11416
20190227,23.02,23.02,22.97,23.02,798
20190228,23.14,23.19,23.12,23.14,3732
20190301,23.25,23.3,23.19,23.19,705
20190304,23.56,23.56,22.98,23.02,24194
20190305,23.1,23.14,23.06,23.14,1261
20190306,23.11,23.11,23.06,23.06,295
20190307,22.96,22.96,22.95,22.95,2191
20190308,22.84,22.85,22.8,22.85,428
20190311,23.03,23.24,23.03,23.24,1518
20190312,23.34,23.34,23.32,23.32,430
20190313,23.36,23.36,23.3,23.33,1207
20190314,23.28,23.28,23.23,23.23,269
20190315,23.37,23.37,23.34,23.34,1636
20190318,23.29,23.29,23.16,23.16,3211
20190319,23.24,23.26,23.24,23.26,238
20190320,23.03,23.15,23,23.15,1248
20190321,23.34,23.47,23.32,23.47,1051
