Date,Open,High,Low,Close,Volume
19960318,4.866,4.9317,4.866,4.8879,114300
19960319,4.9098,4.9098,4.9098,4.9098,28500
19960322,4.9098,4.9098,4.9098,4.9098,900
19960325,4.9536,4.9536,4.9317,4.9317,77800
19960326,4.9536,4.9536,4.9536,4.9536,2300
19960327,4.9536,4.9536,4.9536,4.9536,4000
19960329,4.844,4.866,4.844,4.866,1400
19960408,4.6687,4.6687,4.6687,4.6687,5700
19960410,4.7344,4.7344,4.7344,4.7344,1100
19960411,4.7783,4.7783,4.7344,4.7344,15100
19960415,4.7783,4.7783,4.7783,4.7783,600
19960416,4.7344,4.7344,4.7344,4.7344,3400
19960417,4.6906,4.6906,4.6906,4.6906,600
19960418,4.7344,4.7564,4.7344,4.7564,4600
19960419,4.866,4.866,4.866,4.866,4800
19960422,4.9098,4.9098,4.9098,4.9098,4600
19960423,4.9098,4.9098,4.9098,4.9098,176500
19960424,4.8879,4.8879,4.8879,4.8879,600
19960425,4.844,4.8879,4.844,4.866,63900
19960429,4.8879,4.8879,4.8879,4.8879,600
19960502,4.866,4.8879,4.866,4.866,12000
19960503,4.866,4.8879,4.866,4.8879,11100
19960506,4.9317,4.9317,4.9317,4.9317,4300
19960507,4.9098,4.9098,4.9098,4.9098,31100
19960508,4.9098,4.9098,4.9098,4.9098,6800
19960509,4.866,4.866,4.866,4.866,2300
19960513,4.866,4.866,4.844,4.844,57000
19960514,4.9098,4.9755,4.9098,4.9755,38500
19960515,4.9098,4.9098,4.9098,4.9098,14300
19960516,4.9536,4.9536,4.9536,4.9536,900
19960517,4.9975,4.9975,4.9975,4.9975,7100
19960521,5.0194,5.0194,5.0194,5.0194,1700
19960522,5.0194,5.0194,5.0194,5.0194,44800
19960523,5.0194,5.0194,4.9975,4.9975,11100
19960524,4.9975,4.9975,4.9975,4.9975,6000
19960528,5.0194,5.0194,5.0194,5.0194,7100
19960529,4.9755,4.9755,4.9755,4.9755,3700
19960530,5.0851,5.0851,5.0413,5.0632,4800
19960604,5.1728,5.1728,5.1728,5.1728,900
19960605,5.2167,5.2167,5.2167,5.2167,17100
19960607,5.1509,5.1509,5.1509,5.1509,5700
19960610,5.0851,5.0851,5.0851,5.0851,300
19960611,5.2605,5.2605,5.2605,5.2605,300
19960617,5.1728,5.2167,5.1728,5.1947,25100
19960619,5.2167,5.2167,5.2167,5.2167,300
19960620,5.2386,5.2386,5.2386,5.2386,300
19960621,5.2605,5.2605,5.2605,5.2605,600
19960624,5.3043,5.3043,5.2167,5.2167,4300
19960626,5.2167,5.2167,5.2167,5.2167,600
19960627,5.1509,5.1509,5.1509,5.1509,9700
19960705,5.1728,5.1728,5.1728,5.1728,300
19960709,5.0851,5.0851,5.0851,5.0851,47300
19960710,5.0632,5.129,5.0413,5.129,98700
19960718,4.9975,4.9975,4.9975,4.9975,8300
19960719,5.0413,5.0413,5.0413,5.0413,600
19960723,4.8879,4.8879,4.8879,4.8879,600
19960724,4.8879,4.8879,4.8002,4.8002,2900
19960725,4.8879,4.8879,4.8879,4.8879,300
19960726,4.866,4.866,4.866,4.866,600
19960730,4.9098,4.9317,4.9098,4.9317,8300
19960731,4.9536,4.9755,4.9536,4.9755,9400
19960801,5.0632,5.0632,5.0413,5.0413,11400
19960802,5.129,5.129,5.129,5.129,8600
19960805,5.129,5.129,5.0851,5.0851,23100
19960808,5.1509,5.1509,5.1509,5.1509,900
19960809,5.1728,5.1728,5.1728,5.1728,900
19960812,5.1728,5.1728,5.1071,5.1071,21100
19960813,5.1509,5.1509,5.1509,5.1509,600
19960814,5.1947,5.1947,5.1947,5.1947,1100
19960815,5.2167,5.2167,5.1728,5.1728,2600
19960820,5.2167,5.2167,5.2167,5.2167,300
19960821,5.2167,5.2167,5.2167,5.2167,300
19960822,5.2824,5.2824,5.2824,5.2824,1700
19960823,5.2824,5.2824,5.2605,5.2605,600
19960826,5.3887,5.3887,5.3436,5.3436,41600
19960827,5.3662,5.3662,5.3662,5.3662,35800
19960828,5.276,5.276,5.276,5.276,8000
19960829,5.276,5.276,5.276,5.276,55400
19960903,5.1633,5.1633,5.1633,5.1633,9400
19960904,5.1858,5.1858,5.1858,5.1858,20800
19960909,5.3662,5.3662,5.3662,5.3662,300
19960912,5.2986,5.2986,5.2986,5.2986,600
19960913,5.4338,5.4338,5.4338,5.4338,600
19960916,5.4789,5.4789,5.4113,5.4789,6900
19960917,5.4113,5.4113,5.4113,5.4113,3300
19960919,5.4113,5.4113,5.4113,5.4113,800
19960923,5.4113,5.4113,5.4113,5.4113,1700
