Date,Open,High,Low,Close,Volume
20101208,27.24,27.27,27.13,27.13,11644
20101209,27.35,27.38,27.35,27.38,411
20101210,27.37,27.56,27.36,27.56,5544
20101213,27.73,27.73,27.66,27.66,338
20101214,27.66,27.66,27.57,27.6,7224
20101215,27.63,27.67,27.63,27.67,685
20101216,27.6,27.75,27.6,27.75,2138
20101217,27.7,27.8,27.7,27.8,2135
20101220,27.88,28.13,27.88,28.04,3932
20101221,28.2,28.32,28.15,28.28,19213
20101222,28.37,28.38,28.34,28.36,8550
20101223,28.44,28.44,28.27,28.27,8282
20101228,28.34,28.34,28.33,28.33,336
20101229,28.57,28.57,28.37,28.42,2714
20101230,28.46,28.46,28.42,28.42,513
20101231,28.36,28.36,28.23,28.23,2715
20110103,28.43,28.76,28.43,28.68,5888
20110104,28.62,28.66,28.01,28.25,61956
20110105,28.12,28.51,28.12,28.51,12445
20110106,28.46,28.52,28.43,28.44,2304
20110107,28.58,28.58,27.98,28.03,10001
20110110,28.27,28.42,28.04,28.35,1540
20110111,28.65,28.65,28.4,28.52,19532
20110112,28.85,28.85,28.66,28.71,8359
20110113,28.74,28.82,28.7,28.7,5064
20110114,28.71,28.97,28.71,28.97,10042
20110118,28.76,28.88,28.76,28.88,2807
20110119,29.03,29.03,28.27,28.27,4099
20110120,28.15,28.15,27.77,27.88,4663
20110121,27.91,27.95,27.63,27.63,34123
20110124,27.74,27.96,27.74,27.9,3469
20110125,27.82,27.82,27.74,27.75,2314
20110126,28.28,28.49,28.28,28.37,4731
20110127,28.48,28.48,28.33,28.33,2179
20110128,28.5,28.5,27.81,27.81,1479
20110131,27.94,28.05,27.93,27.94,2316
20110201,28.44,28.54,28.44,28.54,3286
20110202,28.67,28.67,28.47,28.52,1811
20110203,28.37,28.44,28.37,28.44,919
20110204,28.42,28.49,28.42,28.49,696
20110207,28.48,28.88,28.48,28.79,6922
20110208,28.78,28.85,28.78,28.85,766
20110209,28.83,28.83,28.77,28.79,1792
20110210,28.78,28.85,28.78,28.84,4289
20110211,28.85,29.14,28.85,29.14,1369
20110214,29.31,29.33,29.3,29.3,1012
20110215,29.35,29.35,29.11,29.11,4494
20110216,29.35,29.36,29.35,29.36,1273
20110217,29.39,29.5,29.39,29.5,2248
20110218,29.67,29.67,29.59,29.6,2297
20110222,29.33,29.47,28.91,28.91,11216
20110223,29.06,29.06,28.45,28.61,2439
20110224,28.63,28.7,28.38,28.7,15516
20110225,28.87,29.19,28.87,29.19,1310
20110228,29.25,29.27,29.25,29.27,532
20110301,29.48,29.56,28.9,28.9,5045
20110302,28.79,29.01,28.79,29.01,2640
20110303,29.41,29.59,29.36,29.53,8888
20110304,29.52,29.52,29.25,29.39,99172
20110307,28.79,29.08,28.79,29,9103
20110308,29.04,29.45,28.85,29.41,62505
20110309,29.37,29.37,29.2,29.27,4477
20110310,28.52,28.52,28.46,28.47,1033
20110311,28.26,28.26,28.26,28.26,337
20110314,28.09,28.21,28.07,28.21,5918
20110315,27.72,28.2,27.67,28.2,63332
20110316,27.85,27.94,27.75,27.75,12158
