Date,Open,High,Low,Close,Volume
20000731,22.79,23.1,22.79,23.1,4418
20000801,22.94,22.94,22.92,22.92,680
20000802,22.61,22.62,22.61,22.62,7816
20000803,21.89,21.89,21.89,21.89,1359
20000804,22.44,22.44,22.24,22.27,136940
20000807,22.48,22.48,22.44,22.44,74416
20000808,22.37,22.42,22.37,22.42,1359
20000809,22.49,22.49,22.44,22.44,34320
20000810,22.83,22.83,22.79,22.79,4418
20000811,22.86,22.86,22.72,22.72,51310
20000815,23.18,23.18,23.14,23.16,129124
20000816,23.18,23.3,23.18,23.21,1700
20000817,23.14,23.23,23.1,23.12,81552
20000818,22.86,22.9,22.81,22.81,4079
20000821,22.73,22.73,22.59,22.59,35340
20000822,22.48,22.48,22.48,22.48,27863
20000823,22.29,22.29,22.29,22.29,3398
20000824,22.62,22.62,22.46,22.46,77474
20000825,22.7,22.81,22.7,22.81,68640
20000828,22.73,22.73,22.7,22.72,11214
20000829,22.48,22.7,22.48,22.59,91406
20000830,22.48,22.51,22.48,22.51,18009
20000831,22.33,22.44,22.33,22.44,1020
20000905,22.97,22.97,22.97,22.97,340
20000906,22.66,22.66,22.4,22.4,2039
20000907,22.61,22.61,22.59,22.59,15631
20000908,22.22,22.22,22.18,22.18,1020
20000911,21.92,21.92,21.81,21.81,1360
20000912,22.13,22.16,22.13,22.16,15631
20000913,21.58,21.76,21.58,21.74,2719
20000914,21.96,21.96,21.78,21.78,39757
20000918,21.41,21.41,21.13,21.13,9175
20000919,21.12,21.17,21.1,21.12,9176
20000920,21.12,21.12,20.75,20.78,7137
20000921,20.51,20.66,20.49,20.6,10534
20000922,20.93,21.23,20.91,21.15,30585
20000925,21.37,21.39,21.15,21.26,25486
20000926,21.26,21.34,21.23,21.24,23786
20000927,21.5,21.52,21.23,21.34,57427
20000928,21.32,21.41,21.26,21.37,94465
20000929,21.19,21.23,21.17,21.23,24127
20001002,21.37,21.45,21.32,21.43,27524
20001003,21.65,21.65,21.52,21.63,37039
20001004,21.3,21.3,21.12,21.3,6457
20001005,21.28,21.28,21.15,21.24,10873
20001006,20.97,20.97,20.78,20.78,2379
20001009,20.67,20.67,20.6,20.6,2719
20001010,20.6,20.6,20.55,20.55,2379
20001011,20.16,20.23,20.12,20.23,38397
20001012,20.18,20.18,19.865,19.938,66602
20001013,19.699,20.09,19.699,20.09,6798
20001016,19.846,19.957,19.846,19.957,67279
20001017,19.902,19.902,19.902,19.902,2379
20001018,19.203,19.387,19.074,19.258,30583
20001019,19.828,19.92,19.754,19.92,5437
20001020,19.828,20.01,19.828,20.01,5097
20001023,19.865,19.865,19.865,19.865,3398
20001024,20.27,20.27,20.27,20.27,680
20001025,20.05,20.16,19.993,19.993,7815
20001026,19.993,20.1,19.938,20.1,19708
20001027,20.4,20.55,20.38,20.53,49951
20001030,20.55,20.6,20.55,20.58,3398
20001031,21.01,21.15,21.01,21.15,3399
20001101,21.08,21.34,21.08,21.19,179415
20001102,21.45,21.46,21.28,21.46,51650
20001103,21.54,21.58,21.48,21.48,14273
20001106,21.67,21.67,21.34,21.61,68302
20001107,21.37,21.37,21.35,21.37,2040
20001108,21.34,21.34,21.01,21.12,19711
20001109,21.19,21.3,20.89,21.3,7475
20001110,20.86,20.89,20.64,20.8,60146
20001113,20.47,20.47,20.36,20.42,8496
20001114,20.82,21.06,20.73,21.06,34323
20001115,20.97,21.17,20.93,20.93,33642
20001117,20.8,20.8,20.58,20.6,12234
20001120,20.23,20.23,20.01,20.01,7475
20001121,20.2,20.23,20.14,20.14,23787
20001122,19.57,19.902,19.57,19.902,20387
20001124,20.18,20.27,20.18,20.23,18009
20001127,20.49,20.51,20.45,20.51,286791
20001128,20.42,20.64,20.4,20.6,611298
20001129,20.56,20.67,20.56,20.6,61165
20001130,20.51,20.58,20.32,20.51,27865
20001201,20.67,20.77,20.49,20.53,243977
20001204,20.64,20.64,20.53,20.58,40776
20001205,20.84,21.04,20.84,21.04,20390
20001206,20.91,21.13,20.91,21.01,95827
20001207,21.06,21.15,20.93,21.13,422710
20001208,21.37,21.39,21.01,21.04,331646
20001211,21.19,21.32,21.19,21.3,61504
20001212,21.24,21.28,21.19,21.26,24128
20001213,21.01,21.01,20.86,20.97,30924
20001214,20.77,20.86,20.73,20.75,130823
20001215,20.71,20.71,20.51,20.62,42476
20001218,20.75,20.78,20.49,20.49,12913
20001219,20.58,20.95,20.58,20.75,32622
20001220,20.49,20.55,20.44,20.46,9176
20001221,20.47,20.62,20.36,20.6,69313
20001222,20.9,20.95,20.73,20.92,103292
20001226,20.88,21.04,20.88,21.04,15249
20001227,20.97,21.32,20.95,21.32,71351
20001228,21.34,21.38,21.25,21.34,41453
20001229,21.65,21.65,21.34,21.56,303752
20010102,21.65,21.65,21.34,21.49,47232
20010103,21.01,22.22,20.97,22.22,74414
20010104,21.67,21.67,21.19,21.32,574881
20010105,21.87,21.87,21.74,21.74,9176
20010108,21.49,21.63,21.49,21.49,51305
20010109,21.19,21.25,21.03,21.08,24804
20010110,20.97,21.04,20.88,21.03,162408
20010111,21.25,21.69,21.25,21.69,53684
20010112,21.83,21.83,21.67,21.69,9175
20010116,21.6,21.6,21.39,21.47,9175
20010117,21.74,21.74,21.5,21.67,81545
20010118,21.71,21.96,21.71,21.96,15291
20010119,21.85,21.85,21.49,21.6,78148
20010122,21.3,21.63,21.3,21.63,53344
20010123,21.39,21.74,21.39,21.71,21746
20010124,21.56,21.56,21.28,21.43,21067
20010125,21.38,21.49,21.28,21.49,10194
20010126,21.49,21.54,21.3,21.54,156294
20010129,21.24,21.34,21.24,21.34,27522
20010130,21.24,21.47,21.24,21.35,16307
20010131,21.63,21.83,21.55,21.83,76441
20010201,21.77,21.84,21.65,21.84,190942
20010202,21.49,21.61,21.24,21.3,177682
20010205,21.37,21.45,21.34,21.45,17330
20010206,21.32,21.41,21.19,21.19,17333
20010207,21.18,21.18,20.9,21.03,47223
20010208,20.9,20.94,20.77,20.93,51639
20010209,20.63,20.79,20.63,20.79,14612
20010212,20.9,21.03,20.82,21.03,45531
20010213,20.88,20.92,20.66,20.66,20730
20010214,20.32,20.47,20.29,20.44,31940
20010215,20.38,20.43,20.24,20.43,37375
20010216,20.04,20.25,19.989,20.23,22766
20010220,20.43,20.43,19.98,19.98,32274
20010221,19.734,19.867,19.634,19.634,215750
20010222,19.411,19.411,19.27,19.279,175312
20010223,19.129,19.232,19.056,19.232,58107
20010226,19.278,19.448,19.233,19.448,73733
20010227,19.497,19.747,19.497,19.612,302761
20010228,19.867,19.867,19.661,19.731,51986
20010301,19.468,19.618,19.468,19.574,29902
20010302,19.705,19.72,19.572,19.72,13932
20010305,19.72,19.802,19.635,19.802,9515
20010306,20.09,20.16,19.984,20.01,34658
20010307,19.845,20.13,19.845,20.13,10192
20010308,20.13,20.13,19.898,20.07,11551
20010309,19.752,19.867,19.69,19.696,12233
20010312,19.19,19.278,18.998,18.998,134887
20010313,18.901,18.984,18.748,18.984,32280
20010314,17.955,18.381,17.955,18.19,45186
20010315,18.522,18.616,18.336,18.336,21746
20010316,18.188,18.188,17.894,17.894,12573
20010319,17.808,18.147,17.808,18.147,116185
20010320,18.29,18.413,18.084,18.084,54368
20010321,17.908,17.908,17.775,17.775,135242
20010322,17.1,17.218,16.729,17.218,89020
20010323,17.482,17.6,17.408,17.594,11555
20010326,17.955,18.381,17.955,18.381,64550
20010327,18.484,18.676,18.337,18.661,103624
20010328,18.395,18.395,17.865,18.004,178719
20010329,18.042,18.08,18.042,18.057,8156
20010330,18.308,18.308,18.072,18.158,121290
20010402,17.924,18.101,17.895,18.039,62517
20010403,17.792,17.806,17.527,17.527,43493
20010404,17.808,17.99,17.675,17.902,37711
20010405,18.322,18.469,18.219,18.469,27861
