Date,Open,High,Low,Close,Volume
20200605,21.43,21.43,21.16,21.16,107816
20200608,21.58,21.74,21.26,21.73,64228
20200609,21.6,21.6,21.19,21.33,31141
20200610,21.34,21.34,20.62,20.62,42336
20200611,20.15,20.15,19.126,19.275,37946
20200612,19.849,19.878,19.21,19.403,13461
20200615,19.255,19.76,18.938,19.76,12690
20200616,20.09,20.34,19.898,20.01,50620
20200617,20.19,20.19,19.869,20.01,24094
20200618,19.809,19.809,19.532,19.735,14262
20200619,20.04,20.07,19.615,19.769,32927
20200622,21.51,21.51,19.486,19.625,26145
20200623,19.635,19.982,19.635,19.902,6242
20200624,19.783,19.783,19.09,19.219,20656
20200625,18.988,19.317,18.988,19.317,18564
20200626,19.417,19.417,18.832,18.832,18378
20200629,19.001,19.268,19.001,19.16,7102
20200630,19.377,19.476,19.298,19.476,9317
20200701,19.655,19.694,19.417,19.486,10321
20200702,19.744,19.838,19.565,19.565,12132
20200706,19.892,19.892,19.704,19.783,6631
20200707,19.803,19.803,19.437,19.446,5555
20200708,19.461,19.461,19.288,19.367,1333
20200709,19.367,19.367,18.872,19.05,22408
20200710,19.1,19.437,19.1,19.407,10347
20200713,19.615,19.674,19.446,19.446,16592
20200714,19.504,19.702,19.385,19.702,15317
20200715,20.8,20.8,19.882,20.07,97741
20200716,20.01,20.19,20.01,20.11,15298
20200717,20.21,20.24,20.07,20.12,31224
20200720,20.48,20.48,19.932,20.05,16269
20200721,19.813,20.34,19.813,20.23,55459
20200722,20.59,20.59,20.17,20.37,20660
20200723,20.5,20.53,20.29,20.39,23690
20200724,20.41,20.41,20.07,20.14,16329
20200727,20.39,20.39,20.11,20.16,19337
20200728,20.21,20.21,20,20,63326
20200729,20.16,20.38,20.09,20.37,3267
20200730,20.29,20.29,19.912,20.17,18697
20200731,20.16,20.16,19.744,19.912,41860
20200803,20.2,20.2,19.952,20.12,19434
20200804,20.11,20.14,20.07,20.14,7759
20200805,20.15,20.61,20.15,20.37,32114
20200806,20.45,20.45,20.32,20.38,11718
20200807,20.56,20.66,20.36,20.66,30233
20200810,20.78,20.95,20.74,20.92,68725
20200811,21.3,21.3,20.94,21,137182
20200812,21.25,21.25,20.99,21.03,37055
20200813,21.14,21.14,20.78,20.82,66092
20200814,20.92,21.03,20.73,20.94,30994
20200817,21.08,21.33,20.83,20.87,41854
20200818,20.99,20.99,20.71,20.73,32628
20200819,20.91,20.91,20.7,20.7,20350
20200820,20.31,20.59,20.31,20.5,13589
20200821,20.31,20.5,20.31,20.48,44142
20200824,20.48,20.78,20.48,20.72,32789
20200825,20.99,20.99,20.7,20.77,14959
20200826,20.72,20.82,20.7,20.81,17928
20200827,20.8,21.05,20.8,20.99,20643
20200828,21.06,21.09,20.95,21.09,13878
20200831,21.15,21.15,20.97,21,11693
20200901,20.97,20.97,20.8,20.93,25402
20200902,21.1,21.36,20.98,21.31,36123
20200903,21.39,21.48,20.77,20.84,35561
20200904,21.08,21.08,20.63,20.9,29645
20200908,20.81,20.81,20.44,20.49,56285
20200909,20.84,20.85,20.58,20.77,12410
20200910,20.92,20.93,20.43,20.47,23244
20200911,20.48,20.63,20.36,20.57,10093
20200914,20.86,21.02,20.68,20.95,38040
20200915,21.14,21.14,20.99,21,21275
20200916,21.14,21.34,21.08,21.14,20379
20200917,21.06,21.09,20.8,20.97,19038
20200918,21.01,21.02,20.68,20.77,13906
20200921,20.37,20.42,19.988,20.13,25158
20200922,20.37,20.37,20.15,20.24,15641
20200923,20.44,20.45,19.869,19.869,23186
20200924,19.859,20.06,19.462,19.85,31782
20200925,19.948,20.15,19.8,20.1,23618
20200928,20.47,20.49,20.36,20.45,13660
20200929,20.36,20.4,20.16,20.34,11086
20200930,20.38,20.62,20.38,20.5,12468
20201001,20.69,20.69,20.44,20.48,13351
20201002,20.15,20.69,20.14,20.66,10351
20201005,20.72,21.09,20.25,21.05,84832
20201006,21.16,21.27,20.76,20.88,23564
20201007,21.12,21.35,21.12,21.31,19258
20201008,21.49,21.51,21.32,21.48,26717
20201009,21.69,21.69,21.46,21.52,12776
20201012,21.57,21.75,21.5,21.67,29110
20201013,21.69,21.69,21.47,21.59,16377
20201014,21.5,21.59,21.15,21.41,21970
20201015,21.01,21.44,21.01,21.44,28127
20201016,21.71,21.71,21.53,21.58,16626
20201019,21.74,21.74,21.22,21.3,22203
20201020,21.43,21.53,21.36,21.44,9656
20201021,21.23,21.45,21.23,21.32,6401
20201022,21.43,21.62,21.31,21.62,28703
20201023,21.71,21.72,21.32,21.6,28823
20201026,21.61,21.62,21.01,21.23,20568
20201027,21.31,21.31,20.92,20.94,19426
20201028,20.76,20.77,20.34,20.35,28143
20201029,20.51,20.63,20.28,20.56,26508
20201030,20.3,20.55,20.2,20.4,23902
20201102,20.55,20.92,20.55,20.88,26572
20201103,21.24,21.44,21.21,21.42,36085
20201104,21.74,21.82,21.37,21.58,31012
20201105,21.99,22.02,21.75,21.94,28472
20201106,21.77,21.94,21.77,21.88,8584
20201109,22.94,24.48,22.17,22.75,92914
20201110,22.99,22.99,22.69,22.89,74620
20201111,23.19,23.38,22.75,22.84,63166
20201112,22.85,22.85,22.47,22.66,33991
20201113,22.66,23.18,22.66,23.15,41181
20201116,23.53,25.5,23.31,23.51,170194
20201117,23.45,23.45,23.14,23.39,66554
20201118,23.47,23.47,23.02,23.02,40655
