Date,Open,High,Low,Close,Volume
20210921,50.02,50.02,49.98,49.98,100
20210922,50.0876,50.1141,50.0876,50.1141,501
20210923,49.7642,49.7642,49.7642,49.7642,5
20210924,49.6507,49.6507,49.6507,49.6507,21
20210927,49.6038,49.6038,49.6038,49.6038,1
20211004,49.3,49.35,49.3,49.35,1001
20211005,49.175,49.175,49.175,49.175,4
20211006,49.2213,49.2213,49.2213,49.2213,4
20211007,49.02,49.02,49.02,49.02,10
20211008,48.845,48.845,48.845,48.845,21
20211012,48.86,48.9389,48.86,48.9389,3002
20211013,49.1836,49.1836,49.1836,49.1836,6
20211014,49.345,49.345,49.345,49.345,1
20211015,49.2343,49.2343,49.2343,49.2343,2
20211018,49.24,49.24,49.24,49.24,5
20211020,48.9,48.9,48.9,48.9,6
20211021,48.82,48.82,48.82,48.82,48
20211022,48.952,48.952,48.952,48.952,2
20211025,48.99,48.99,48.99,48.99,7
20211026,49.1443,49.1443,49.1443,49.1443,1
20211028,49.3493,49.3493,49.3493,49.3493,6
20211029,49.23,49.3758,49.23,49.3758,200
20211101,49.1917,49.1917,49.1917,49.1917,6
20211102,49.2996,49.2996,49.2996,49.2996,11
20211103,49.2125,49.2125,49.2125,49.2125,10
20211105,49.7584,49.7584,49.7584,49.7584,2
20211108,49.6322,49.6322,49.6322,49.6322,4
20211111,49.185,49.185,49.185,49.185,2
20211112,49.13,49.13,49.13,49.13,1
20211115,48.8011,48.8011,48.8011,48.8011,57
20211116,48.7187,48.7187,48.7187,48.7187,2
20211117,48.89,48.89,48.89,48.89,600
20211118,48.99,49.01,48.99,48.99,1710
20211122,48.7701,48.7701,48.7701,48.7701,2
20211123,48.4987,48.4987,48.4987,48.4987,2
20211124,48.65,48.66,48.63,48.6565,2203
20211126,48.9913,48.9913,48.9913,48.9913,1
20211130,49.1669,49.1669,49.1669,49.1669,2
20211201,49.0579,49.0579,49.0579,49.0579,1
20211203,49.47,49.5074,49.47,49.5074,1401
20211207,49.3,49.42,49.2978,49.2978,700
20211208,49.0191,49.0191,49.0191,49.0191,4
20211209,49.0057,49.0057,49.0057,49.0057,1
20211214,49.04,49.04,49.04,49.04,2
20211215,49.01,49.0899,49.01,49.0899,8875
20211216,49.0602,49.0602,49.0602,49.0602,1
20211217,49.13,49.13,49.13,49.13,3
20211220,48.93,48.93,48.93,48.93,2
20211221,48.86,48.9924,48.86,48.9924,1017
20211222,49.06,49.06,49.0522,49.0522,3185
20211223,49.0238,49.0238,49.02,49.02,711
20211227,49.135,49.135,49.135,49.135,5
20211228,49.165,49.165,49.078,49.078,101
20211230,48.9959,48.9959,48.9959,48.9959,1
20211231,48.9817,48.9817,48.9817,48.9817,1
20220103,48.57,48.57,48.57,48.57,200
20220104,48.8,48.8,48.44,48.5291,942
20220112,48.1398,48.1398,48.1398,48.1398,1
20220113,48.18,48.2485,48.18,48.2485,400
20220120,47.5175,47.5175,47.5175,47.5175,4
20220124,47.674,47.674,47.674,47.674,4
20220125,47.63,47.63,47.5433,47.5433,2398
20220126,47.2839,47.2839,47.2839,47.2839,4
20220131,47.3874,47.3874,47.3874,47.3874,1
20220203,47.065,47.065,47.065,47.065,20
20220204,46.6454,46.6454,46.6454,46.6454,1
20220208,46.585,46.585,46.585,46.585,3
20220209,46.7249,46.7249,46.7249,46.7249,1
20220211,46.46,46.46,46.46,46.46,100
20220218,46.07,46.07,46.07,46.07,125
