Date,Open,High,Low,Close,Volume
20120217,21.73,21.73,21.73,21.73,100
20120224,22.07,22.07,22.07,22.07,300
20120227,21.91,21.91,21.91,21.91,100
20120228,22,22,22,22,1400
20120229,22.21,22.21,22.21,22.21,400
20120313,32.87,32.87,32.87,32.87,100
20120314,22.11,22.11,21.94,21.94,2000
20120316,22.07,22.12,22.07,22.12,3000
20120320,21.68,21.68,21.68,21.68,700
20120322,21.49,21.49,21.49,21.49,300
20120323,21.54,21.54,21.54,21.54,100
20120327,21.71,21.71,21.71,21.71,300
20120412,20.9,20.9,20.9,20.9,100
20120416,20.74,20.74,20.74,20.74,400
20120423,20.47,20.47,20.47,20.47,300
20120503,21,21,21,21,700
20120510,20.19,20.19,20.19,20.19,300
20120511,20.02,20.02,20.02,20.02,100
20120516,18.974,18.974,18.974,18.974,2800
20120517,18.875,18.875,18.875,18.875,400
20120530,18.607,18.607,18.607,18.607,300
20120604,17.923,17.923,17.923,17.923,300
20120605,18.148,18.184,18.148,18.184,300
20120618,19.157,19.157,19.157,19.157,1100
20120621,19.125,19.125,19.125,19.125,300
20120622,18.882,18.882,18.882,18.882,100
20120627,18.818,18.818,18.818,18.818,300
20120702,19.461,19.461,19.432,19.432,300
20120705,19.632,19.632,19.632,19.632,300
20120806,19.753,19.753,19.753,19.753,700
20120808,19.861,19.861,19.861,19.861,2802
20120817,20.05,20.05,20.05,20.05,560
20120905,19.803,19.803,19.803,19.803,420
20120906,19.861,20.4,19.861,20.4,861
20120912,20.4,20.4,20.4,20.4,374
20120925,21.03,21.03,21.03,21.03,1390
20120926,20.55,20.55,20.55,20.55,764
20120927,20.81,20.81,20.81,20.81,2236
20121001,21.26,21.29,21.17,21.17,5837
20121002,21.14,21.14,21.14,21.14,445
20121003,21.16,21.16,21.16,21.16,1112
20121009,21.46,21.75,20.16,20.26,1112
20121017,21.85,21.85,21.85,21.85,164
20121102,22.41,22.41,22.13,22.13,7228
20121105,22.24,22.24,22.24,22.24,3891
20121107,22.37,22.42,22.37,22.37,2363
20121108,22.18,22.18,22.18,22.18,243
20121109,22.36,22.36,22.36,22.36,716
20121112,22.16,22.16,22.16,22.16,417
20121115,21.96,21.96,21.96,21.96,278
20121121,22.19,22.19,22.19,22.19,556
20121123,22.65,22.65,22.65,22.65,556
20121127,22.52,22.52,22.52,22.52,499
20121130,22.73,22.73,22.73,22.73,139
20121211,23.54,23.54,23.52,23.52,278
20121213,23.39,23.46,23.39,23.42,556
20121219,24.13,24.13,24.13,24.13,139
20121224,24.08,24.08,24.08,24.08,311
20121226,24.37,24.37,24.37,24.37,138
20121228,24.5,24.5,24.4,24.44,2214
20121231,24.93,24.94,24.93,24.94,822
20130102,25.56,25.6,25.53,25.6,1085
20130103,25.59,25.72,25.41,25.41,3460
20130104,25.59,25.6,25.52,25.56,1027
20130107,25.89,25.89,25.88,25.89,691
20130108,25.81,25.81,25.81,25.81,208
20130109,26.29,26.3,26.23,26.27,6296
20130110,26.26,26.37,26.18,26.31,3874
20130111,26.06,26.18,25.88,26.18,8199
20130114,26.34,26.34,26.25,26.33,2075
20130115,26.16,26.34,26.11,26.15,1196
20130117,26.27,26.33,26.27,26.33,501
20130118,26.37,26.42,26.29,26.42,4552
20130122,26.54,26.54,26.53,26.53,276
20130123,26.44,26.46,26.27,26.39,7348
20130124,26.48,26.56,26.39,26.47,10935
20130125,26.39,26.39,26.07,26.27,6536
20130128,26.32,26.47,25.65,25.98,5031
20130129,26.21,26.27,25.81,26.27,3433
20130131,26.42,26.42,26.42,26.42,138
20130201,26.4,26.61,26.4,26.61,5231
20130204,26.03,26.34,25.95,25.96,1906
20130205,26.68,26.68,26.18,26.33,6334
20130206,26.32,26.32,26.32,26.32,228
20130207,26.08,26.15,26.08,26.12,2211
20130208,26.42,26.44,26.4,26.44,1591
20130211,26.44,26.48,26.18,26.43,1364
20130212,26.37,26.37,26.37,26.37,166
20130213,26.88,26.88,26.58,26.87,9479
20130214,27.04,27.14,26.73,26.98,4293
20130215,26.83,26.91,26.66,26.71,7312
20130219,26.82,26.82,26.82,26.82,830
