Date,Open,High,Low,Close,Volume
20210921,50.261,50.261,49.9871,49.9871,400
20210922,50.4807,50.4807,50.3495,50.3495,504
20210923,50.9756,50.9756,50.9756,50.9756,3
20210924,51.0404,51.0404,51.0404,51.0404,20
20210927,51.03,51.03,50.8922,50.8922,305
20210928,50.5,50.5,49.87,49.8729,824
20210929,49.9824,49.9824,49.8668,49.8668,3700
20210930,49.76,49.76,49.4109,49.4109,4525
20211001,49.19,49.9309,49.19,49.9309,400
20211004,49.05,49.2194,49.05,49.2194,201
20211005,49.99,49.99,49.7858,49.7858,102
20211006,49.88,50.0188,49.86,50.0188,507
20211013,50.15,50.2856,50.15,50.2856,101
20211014,51.0914,51.163,51.0914,51.163,202
20211015,51.5733,51.5733,51.5733,51.5733,13
20211018,51.723,51.723,51.723,51.723,27
20211019,52.0783,52.0783,52.0783,52.0783,45
20211020,52.29,52.29,52.2474,52.2474,1050
20211021,52.4642,52.4642,52.4642,52.4642,50
20211022,52.4213,52.4213,52.4213,52.4213,10
20211025,52.6547,52.6547,52.6547,52.6547,1
20211026,52.96,52.96,52.8724,52.8724,101
20211027,52.7432,52.7432,52.7432,52.7432,50
20211029,53.2228,53.3926,53.2228,53.3926,100
20211101,53.4297,53.4297,53.4297,53.4297,222
20211102,53.6486,53.7,53.6486,53.6565,1032
20211103,54.0096,54.0096,54.0096,54.0096,34
20211104,54.19,54.246,54.19,54.246,200
20211105,54.65,54.65,54.4208,54.4208,401
20211108,54.44,54.55,54.44,54.4844,555
20211109,54.288,54.288,54.288,54.288,100
20211110,53.8937,53.8937,53.8937,53.8937,1
20211111,53.8624,53.8624,53.8624,53.8624,7
20211112,54.19,54.2428,54.19,54.2428,1423
20211115,54.2153,54.2153,54.2153,54.2153,9
20211116,54.5554,54.5554,54.5554,54.5554,75
20211117,54.4077,54.4077,54.4077,54.4077,43
20211118,54.57,54.58,54.5598,54.5598,2493
20211119,54.51,54.51,54.51,54.51,131
20211122,54.33,54.33,54.33,54.33,102
20211123,54.29,54.29,54.29,54.29,124
20211124,54.41,54.47,54.33,54.47,6044
20211130,52.9408,52.9408,52.9408,52.9408,4
20211202,52.9446,52.9446,52.9446,52.9446,2
20211203,52.5108,52.5108,52.5108,52.5108,2
20211206,53.1053,53.1053,53.1053,53.1053,1
20211207,54.1851,54.1851,54.1851,54.1851,4
20211208,54.28,54.4165,54.28,54.4165,591
20211209,54.088,54.088,54.057,54.057,450
20211210,54.45,54.45,54.448,54.448,202
20211213,54.0279,54.0279,54.0279,54.0279,1
20211214,53.5318,53.5318,53.5318,53.5318,5
20211215,53.66,54.4148,53.66,54.4148,4169
20211216,54.01,54.01,54.0025,54.0025,100
20211217,53.43,53.43,53.17,53.2294,365
20211220,52.57,52.57,52.57,52.57,102
20211221,53.45,53.45,53.45,53.45,122
20211222,53.535,53.9877,53.52,53.9877,18640
20211223,54.34,54.34,54.34,54.34,100
20211227,54.93,55.03,54.93,55.03,1555
20220104,55.0833,55.0833,55.0833,55.0833,88
20220105,55.43,55.43,54.024,54.024,1020
20220106,53.8435,53.8435,53.8435,53.8435,1
20220107,53.7285,53.7285,53.7285,53.7285,10
20220110,53.5765,53.5765,53.5765,53.5765,4
20220111,54.1108,54.1108,54.1108,54.1108,20
20220114,53.5121,53.5121,53.5121,53.5121,4
20220120,51.5399,51.5399,51.5399,51.5399,3
20220121,51.3692,51.3692,50.7054,50.7054,1706
20220124,49.98,50.7098,48.71,50.7098,361
20220125,50.72,50.72,50.1105,50.1105,12458
20220126,50.84,50.84,49.9272,49.9272,279
20220127,49.76,49.76,49.56,49.6863,502
20220131,51.532,51.8151,51.532,51.8151,302
20220202,52.6152,52.6152,52.6152,52.6152,115
20220204,52.09,52.09,51.6939,51.6939,300
20220207,51.325,51.325,51.325,51.325,50
20220209,52.5681,52.5681,52.5681,52.5681,85
20220210,51.78,51.78,51.6955,51.6955,100
20220211,50.741,50.741,50.741,50.741,1
20220218,49.73,49.73,49.73,49.73,286
