Date,Open,High,Low,Close,Volume
20171101,25.2,25.2,25.01,25.02,135028
20171102,25.0099,25.03,24.9909,25.03,2501
20171103,25.0313,25.04,25.0196,25.0196,1500
20171106,25.1357,25.1599,25.1357,25.1475,798
20171107,25.04,25.04,25.0283,25.029,1307
20171108,25.14,25.14,25.13,25.1378,1086
20171109,25.03,25.03,24.97,25.0178,2107
20171110,24.99,25.02,24.99,25.0178,1709
20171113,25.05,25.062,24.9988,25.0042,836
20171114,24.955,24.98,24.955,24.98,3454
20171115,24.89,24.89,24.86,24.86,552
20171116,25.119,25.12,25.103,25.103,1084
20171117,25.07,25.12,25.07,25.11,1654
20171120,25.04,25.165,25.04,25.165,2591
20171121,25.389,25.39,25.37,25.37,4158
20171122,25.3957,25.41,25.3957,25.41,507
20171124,25.425,25.425,25.425,25.425,349
20171127,25.4299,25.4304,25.39,25.4304,4382
20171128,25.43,25.565,25.43,25.565,2562
20171129,25.56,25.565,25.56,25.565,629
20171130,25.605,25.64,25.605,25.64,1525
20171201,25.63,25.63,25.44,25.54,20518
20171204,25.6724,25.6724,25.58,25.58,980
20171205,25.52,25.52,25.4047,25.4047,2352
20171206,25.315,25.35,25.315,25.35,999
20171207,25.41,25.43,25.4,25.405,3392
20171208,25.5353,25.5353,25.5047,25.5047,1296
20171211,25.56,25.56,25.51,25.54,1429
20171212,25.6,25.6,25.58,25.58,1442
20171213,25.71,25.71,25.6267,25.68,2765
20171214,25.47,25.47,25.4532,25.4532,770
20171215,25.72,25.72,25.72,25.72,748
20171218,25.8627,25.91,25.86,25.91,853
20171219,25.74,25.77,25.735,25.77,3568
20171220,25.7599,25.76,25.725,25.725,4073
20171221,25.83,25.83,25.8052,25.83,447
20171222,25.65,25.65,25.6302,25.64,1126
20171226,25.658,25.67,25.635,25.66,1846
20171227,25.69,25.69,25.69,25.69,1309
20171228,25.74,25.76,25.74,25.76,1570
20171229,25.79,25.79,25.765,25.7899,1975
20180102,25.8348,25.87,25.8348,25.87,1532
20180103,25.99,26,25.99,26,2829
20180104,26.068,26.07,26.068,26.07,1150
20180105,26.1646,26.2,26.1646,26.2,510
20180108,26.2532,26.28,26.2532,26.2565,1179
20180109,26.28,26.28,26.28,26.28,370
20180110,26.13,26.13,26.13,26.13,684
20180111,26.354,26.354,26.354,26.354,225
20180112,26.47,26.51,26.47,26.4852,989
20180116,26.47,26.47,26.4248,26.4248,1516
20180117,26.62,26.64,26.62,26.63,2496
20180118,26.58,26.58,26.58,26.58,691
20180119,26.67,26.72,26.67,26.7,773
20180122,26.7844,26.86,26.78,26.83,1218
20180123,26.96,26.99,26.96,26.98,5012
20180124,26.96,26.99,26.96,26.965,1386
20180125,26.9699,26.97,26.928,26.928,2906
20180126,27.1,27.15,27.08,27.15,2726
20180129,27.02,27.03,26.9887,26.99,3568
20180130,26.695,26.72,26.695,26.72,3961
20180131,26.619,26.63,26.619,26.63,2564
20180201,26.59,26.65,26.59,26.6,2776
20180202,26.43,26.43,26.1598,26.1598,1365
20180205,25.48,25.48,25.37,25.37,453
20180206,25.33,25.48,25.06,25.46,3811
20180207,25.46,25.5138,25.46,25.5138,2131
20180208,24.915,24.915,24.8075,24.8075,509
20180209,24.53,24.69,24.505,24.69,2194
20180212,25.17,25.23,25.155,25.17,3250
20180213,25.0699,25.21,25.0699,25.21,16764
20180214,25.53,25.58,25.53,25.58,30308
20180215,25.7,25.83,25.62,25.83,3798
20180216,25.97,25.99,25.94,25.94,7325
20180220,25.87,25.87,25.6562,25.6562,4591
20180221,25.73,25.79,25.73,25.765,18012
20180222,25.82,25.82,25.68,25.68,13616
20180223,25.92,25.96,25.92,25.935,18853
20180226,26.21,26.21,26.185,26.185,10799
20180227,25.86,25.86,25.86,25.86,18364
20180228,25.69,25.69,25.6344,25.6344,3106
20180301,25.31,25.31,25.31,25.31,5198
20180302,25.3,25.38,25.3,25.38,10107
20180305,25.68,25.6803,25.68,25.6803,1566
20180306,25.83,25.83,25.83,25.83,3434
20180307,25.7664,25.92,25.69,25.92,17397
20180308,25.97,25.97,25.938,25.949,11198
20180309,26.21,26.29,26.1872,26.274,27852
20180312,26.37,26.38,26.3568,26.38,4268
20180313,26.2203,26.25,26.2,26.2,2130
20180314,26.2,26.2,26.145,26.145,5381
20180315,26.0679,26.08,26.066,26.08,6147
20180316,26.22,26.22,26.19,26.19,19311
20180319,25.99,25.99,25.7399,25.82,9539
20180320,25.98,25.9827,25.95,25.97,8192
20180321,25.9699,26.083,25.9699,26,4724
20180322,25.58,25.589,25.5486,25.5486,6195
20180323,25.0808,25.085,25.04,25.05,10786
20180326,25.4198,25.465,25.4198,25.4649,1873
20180327,25.46,25.54,25.11,25.11,11131
20180328,25.2,25.25,25.1437,25.21,8940
20180329,25.5771,25.5771,25.5042,25.54,6049
20180402,24.8583,24.91,24.85,24.85,4807
20180403,25.27,25.31,25.2252,25.27,10124
20180404,25.08,25.48,25.08,25.48,7841
20180405,25.68,25.68,25.59,25.64,3905
20180406,25.51,25.51,25.1172,25.1172,9847
20180409,25.4199,25.4199,25.36,25.36,2077
20180410,25.6796,25.6868,25.64,25.64,7378
20180411,25.57,25.6,25.5621,25.6,12379
20180412,25.68,25.75,25.6699,25.71,23620
20180413,25.66,25.69,25.535,25.547,5134
20180416,25.73,25.85,25.72,25.8,8281
20180417,25.95,26.05,25.95,26.01,7176
20180418,26.14,26.14,26.08,26.08,9394
