Date,Open,High,Low,Close,Volume
20170606,25.01,25.05,25.01,25.05,201
20170607,25,25,24.9774,24.9997,227023
20170608,24.9899,25,24.9739,25,960286
20170609,24.9958,25,24.99,25,1121631
20170612,25.03,25.04,24.986,25.01,523752
20170613,25.05,25.06,25.03,25.06,213975
20170614,25.11,25.12,25.051,25.12,414638
20170615,24.9709,25.07,24.9709,25.06,21582
20170616,25.17,25.17,25.0255,25.04,31728
20170619,25.07,25.07,25.05,25.07,43054
20170620,24.95,25.0699,24.95,25.06,37514
20170621,25.34,25.34,24.9772,24.98,39903
20170622,25.02,25.02,25.01,25.02,36512
20170623,25.04,25.06,24.98,25.06,51944
20170626,25.1,25.1,25.062,25.09,18913
20170627,25.04,25.05,24.98,25.01,49558
20170628,25.01,25.07,25.01,25.07,37775
20170629,24.99,25,24.971,24.9979,22110
20170630,24.99,25.02,24.95,25.01,27730
20170703,24.42,25.01,24.42,24.97,36096
20170705,24.97,24.99,24.93,24.94,55807
20170706,25.2,25.2,24.8873,24.9,41752
20170707,25.16,25.16,24.87,24.89,38177
20170710,24.91,24.92,24.905,24.92,264433
20170711,24.9116,24.94,24.91,24.93,17868
20170712,25.01,25.03,25.005,25.0125,18514
20170713,25.04,25.04,24.99,25.03,31343
20170714,25.0399,25.08,25.0399,25.07,25656
20170717,24.74,25.04,24.74,25.02,25537
20170718,25.18,25.18,25,25.07,48323
20170719,25.22,25.22,25.075,25.09,22990
20170720,25.1,25.11,25.0492,25.1,47828
20170721,24.98,25.12,24.98,25.11,36889
20170724,24.83,25.11,24.83,25.11,17700
20170725,25.0529,25.07,25.04,25.0434,375602
20170726,24.99,25.13,24.99,25.11,35796
20170727,25.1,25.1,25.0812,25.0885,24569
20170728,25.0701,25.09,25.07,25.09,46268
20170731,25.1,25.11,25.07,25.0901,19535
20170801,25.18,25.18,25.11,25.15,54878
20170802,25.1301,25.15,25.1301,25.15,22680
20170803,25.14,25.15,25.11,25.15,14192
20170804,25.1,25.12,25.09,25.12,16791
20170807,25.11,25.14,25.0901,25.12,27504
20170808,25.1,25.1,25.05,25.05,36137
20170809,25.08,25.08,25.01,25.04,28236
20170810,25.14,25.14,24.9341,24.95,9608
20170811,24.58,25,24.58,24.98,26275
20170814,24.98,25.03,24.95,25.03,25222
20170815,25.21,25.21,24.93,24.97,27297
20170816,24.96,24.99,24.95,24.98,24883
20170817,24.97,24.97,24.93,24.93,15845
20170818,24.95,24.96,24.88,24.95,37262
20170821,24.66,24.97,24.66,24.97,31361
20170822,24.98,25,24.94,25,29649
20170823,24.74,25.03,24.74,25.03,24408
20170824,25.03,25.03,25.005,25.03,26652
20170825,25.07,25.07,25.05,25.05,17884
20170828,25.05,25.08,25.0469,25.08,15420
20170829,25.0311,25.07,25.0112,25.07,29525
20170830,25.0482,25.08,25.02,25.04,21943
20170831,25.35,25.35,25.09,25.125,97493
20170901,25.14,25.14,25.06,25.13,27506
20170905,25.14,25.17,25.135,25.17,24618
20170906,25.1445,25.15,25.13,25.13,18764
20170907,25.1375,25.16,25.1335,25.16,28522
20170908,25.13,25.13,25.04,25.088,16304
20170911,25.12,25.13,25.11,25.12,31857
20170912,25.09,25.11,25.0802,25.11,28267
20170913,25.0673,25.09,25.0537,25.0639,36503
