Date,Open,High,Low,Close,Volume
20131024,22.3,22.37,22.26,22.35,7609
20131025,22.41,22.42,22.29,22.42,22630
20131028,22.42,22.46,22.38,22.41,30736
20131029,22.62,22.62,22.36,22.46,36103
20131030,22.67,22.67,22.31,22.36,32673
20131031,23.23,23.23,22.28,22.36,33096
20131101,22.6,22.6,22.31,22.5,46815
20131104,22.57,22.6,22.51,22.6,44973
20131105,22.6,22.6,22.38,22.53,25134
20131106,22.77,22.77,22.49,22.58,24856
20131107,22.75,22.75,22.3,22.3,31968
20131108,22.46,22.62,22.36,22.62,59222
20131111,22.69,22.69,22.58,22.61,29153
20131112,22.73,22.73,22.5,22.63,15318
20131113,22.69,22.75,22.54,22.75,25876
20131114,22.85,22.89,22.75,22.87,22533
20131115,23.09,23.09,22.87,22.94,40600
20131118,23.23,23.23,22.91,22.94,76241
20131119,23.01,23.01,22.78,22.8,28221
20131120,22.93,22.93,22.66,22.7,37550
20131121,22.87,22.89,22.76,22.89,45014
20131122,23.02,23.1,22.89,23.07,69446
20131125,23.11,23.12,23,23.01,38082
20131126,23.08,23.16,23.02,23.1,59168
20131127,23.15,23.26,23.15,23.22,41605
20131129,23.28,23.32,23.12,23.13,32878
20131202,23.23,23.23,23.02,23.02,19880
20131203,23.05,23.05,22.83,22.87,38295
20131204,22.86,22.92,22.54,22.81,29175
20131205,22.84,22.87,22.75,22.8,27678
20131206,23.01,23.16,23.01,23.12,53072
20131209,23.23,23.23,23.14,23.16,66406
20131210,23.18,23.28,23.14,23.16,40593
20131211,23.19,23.19,22.77,22.79,47420
20131212,22.8,22.86,22.76,22.78,24363
20131213,22.89,22.93,22.81,22.88,27693
20131216,23.09,23.19,23,23.12,136289
20131217,23.21,23.21,23.06,23.13,63092
20131218,23.21,23.5,23.06,23.43,88915
20131219,23.48,23.51,23.35,23.43,123158
20131220,23.52,23.72,23.47,23.69,79703
20131223,23.85,23.85,23.74,23.77,104929
20131224,23.84,23.91,23.81,23.9,63612
20131226,23.99,24.07,23.96,24.03,46738
20131227,24.12,24.12,24,24.01,47252
20131230,24.12,24.12,24,24.02,83221
20131231,24.1,24.15,24.06,24.11,52633
20140102,24.12,24.12,23.79,23.81,143873
20140103,23.87,23.97,23.84,23.9,117137
20140106,24.04,24.04,23.73,23.75,108147
20140107,23.86,23.91,23.78,23.87,105590
20140108,23.91,23.98,23.75,23.82,56133
20140109,23.95,23.96,23.79,23.93,34663
20140110,24.03,24.03,23.87,23.99,42657
20140113,24.05,24.06,23.69,23.71,100161
20140114,23.85,23.97,23.76,23.97,56724
20140115,24.06,24.2,24.03,24.17,48451
20140116,24.14,24.14,24.04,24.1,47173
20140117,24.07,24.07,23.95,23.98,50260
20140121,24.22,24.22,23.89,23.99,43404
20140122,24.1,24.1,23.98,24.07,37847
20140123,23.98,23.98,23.71,23.79,67504
20140124,23.7,23.7,23.05,23.07,100132
20140127,23.14,23.19,22.88,23.04,57547
20140128,23.15,23.27,23.13,23.23,21524
20140129,23.12,23.18,22.93,23.01,56989
20140130,23.13,23.25,23.09,23.19,23473
20140131,22.91,23.19,22.88,23.05,29405
20140203,23.04,23.12,22.37,22.38,127653
20140204,22.51,22.6,22.29,22.57,45789
20140205,22.53,22.59,22.28,22.53,67649
20140206,22.64,22.82,22.59,22.81,118140
20140207,23.01,23.15,22.94,23.12,29270
20140210,23.2,23.2,22.97,23.03,19656
20140211,23.05,23.35,23.05,23.29,34217
20140212,23.42,23.45,23.33,23.39,34656
20140213,23.29,23.52,23.17,23.48,29583
20140214,23.46,23.66,23.46,23.66,34849
20140218,23.79,23.79,23.57,23.65,38953
20140219,23.62,23.74,23.44,23.44,84576
20140220,23.42,23.71,23.42,23.69,24050
20140221,23.64,23.75,23.64,23.68,36818
20140224,23.75,24,23.73,23.85,40325
20140225,23.8,23.86,23.71,23.71,21850
20140226,23.83,23.89,23.7,23.78,54680
20140227,23.8,23.94,23.76,23.91,39555
20140228,23.96,24.1,23.85,24,31893
20140303,23.85,23.9,23.66,23.81,40782
20140304,24.07,24.24,24.07,24.21,26342
20140305,24.23,24.27,24.2,24.24,17753
20140306,24.24,24.39,24.24,24.37,35046
20140307,24.54,24.54,24.37,24.41,22143
20140310,24.47,24.47,24.15,24.3,29846
20140311,24.33,24.34,24.06,24.12,15708
20140312,23.98,24.05,23.88,24.04,19517
20140313,24.19,24.2,23.62,23.7,31540
20140314,23.72,23.79,23.63,23.63,17399
20140317,23.84,24.02,23.81,23.94,18791
20140318,24.06,24.13,24.01,24.1,21443
20140319,24.1,24.11,23.79,23.91,10346
20140320,23.9,23.95,23.83,23.92,30018
20140321,24.07,24.13,23.95,23.95,16715
20140324,24.46,24.46,23.71,23.85,31961
20140325,24.17,24.17,23.91,24,14491
20140326,24.25,24.25,23.75,23.75,25797
20140327,23.63,23.71,23.53,23.65,27659
20140328,23.8,23.94,23.8,23.85,21446
20140331,24.02,24.15,23.99,24.13,33488
20140401,24.24,24.32,24.17,24.32,19241
20140402,24.47,24.49,24.4,24.47,25248
20140403,24.56,24.56,24.41,24.48,36948
20140404,24.55,24.63,24.15,24.18,17046
20140407,24.15,24.18,23.76,23.79,37336
20140408,23.74,23.9,23.7,23.84,32007
20140409,23.9,24.16,23.87,24.15,21248
20140410,24.29,24.29,23.67,23.72,20430
20140411,23.48,23.72,23.43,23.43,28551
20140414,23.56,23.69,23.37,23.55,143503
20140415,23.71,23.73,23.33,23.71,81564
20140416,23.94,24.04,23.8,24.04,29641
20140417,24.12,24.33,24.1,24.26,31329
20140421,24.32,24.36,24.25,24.35,100035
20140422,24.44,24.53,24.42,24.42,26124
20140423,24.4,24.5,24.4,24.43,17032
20140424,24.62,24.62,24.26,24.4,24368
20140425,24.23,24.27,24.1,24.14,23691
20140428,24.28,24.28,23.87,24.1,25471
20140429,24.17,24.23,24.07,24.17,8823
20140430,24.22,24.39,24.17,24.36,1419413
20140501,24.4,24.47,24.25,24.29,35275
20140502,24.48,24.48,24.31,24.33,36092
20140505,24.51,24.51,24.12,24.34,21712
20140506,24.12,24.26,24.12,24.12,23322
20140507,24.25,24.32,24.05,24.32,42678
20140508,24.37,24.46,24.25,24.27,23516
20140509,24.33,24.33,24.15,24.31,12325
20140512,24.5,24.71,24.45,24.7,42168
20140513,24.68,24.78,24.68,24.7,104700
20140514,24.72,24.72,24.44,24.47,196515
