Date,Open,High,Low,Close,Volume
20160902,24.78,24.78,24.78,24.78,100
20160906,25.09,25.15,25.09,25.15,1317
20160907,26.35,26.35,25.19,25.2,1043
20160908,25.14,25.15,25.07,25.07,14588
20160909,24.83,24.84,24.77,24.77,2128
20160912,24.59,24.59,24.59,24.59,405
20160913,24.59,24.59,24.44,24.48,2686
20160915,24.62,24.74,24.62,24.74,544
20160916,24.58,24.58,24.58,24.58,101
20160919,24.42,24.62,24.42,24.58,304
20160920,24.63,24.68,24.63,24.68,912
20160922,25.09,25.09,25.01,25.01,810
20160923,25.06,25.06,24.82,24.82,1068
20160926,24.74,24.74,24.69,24.69,202
20160927,24.67,25.1,24.67,24.81,1772
20160930,24.68,24.91,24.67,24.9,2239
20161005,24.77,24.77,24.77,24.77,193
20161006,24.62,24.62,24.62,24.62,253
20161007,24.67,24.67,24.32,24.32,2428
20161010,24.4,24.4,24.4,24.4,10135
20161011,24.17,24.17,24.17,24.17,101
20161013,23.77,23.97,23.77,23.97,608
20161017,24.2,24.2,24.2,24.2,177
20161020,23.89,23.89,23.88,23.88,279
20161025,23.92,23.92,23.92,23.92,101
20161027,23.19,23.19,23.13,23.13,507
20161028,23.02,23.16,23.02,23.16,202
20161102,23.28,23.28,23.28,23.28,101
20161107,23.43,23.43,23.43,23.43,101
20161108,23.41,23.41,23.41,23.41,406
20161109,23.27,23.27,23.27,23.27,101
20161116,23.2,23.2,23.16,23.18,1126
20161121,23.61,23.62,23.57,23.57,456
20161122,23.46,23.64,23.46,23.58,862
20161205,23.1,23.1,23.1,23.1,460
20161206,23.1,23.1,23.1,23.1,164
20161207,23.65,23.65,23.65,23.65,405
20161212,23.43,23.48,23.43,23.48,911
20161213,23.38,23.38,23.38,23.38,433
20161220,23.39,23.39,23.39,23.39,101
20161228,23.4999,23.4999,23.44,23.44,758
20170104,23.41,23.6588,23.41,23.6588,294
20170110,24.0246,24.0246,24.0246,24.0246,100
20170111,24.06,24.06,24.06,24.06,279
20170112,23.9999,23.9999,23.9999,23.9999,150
20170117,24.02,24.02,24.02,24.02,150
20170124,24.104,24.25,24.104,24.25,620
20170131,24.21,24.29,24.21,24.29,400
20170201,24.2858,24.2858,24.2858,24.2858,101
20170202,24.53,24.53,24.53,24.53,300
20170203,24.6947,24.6947,24.6947,24.6947,942
20170213,25.09,25.09,25.09,25.09,115
20170214,25,25.2219,25,25.1057,2320
20170215,25.0699,25.1,25.0699,25.1,400
20170216,25,25,25,25,170
20170217,24.84,24.84,24.84,24.84,900
20170221,25.1493,25.24,25.1493,25.24,586
20170223,25.29,25.3647,25.2729,25.3647,300
20170224,25.3299,25.3299,25.3299,25.3299,170
20170227,25.67,25.67,25.67,25.67,300
20170228,25.5401,25.5401,25.51,25.51,700
20170301,25.75,25.75,25.75,25.75,300
20170302,25.44,25.44,25.44,25.44,290
20170306,25.09,25.1,25.09,25.1,400
20170307,25.28,25.28,25.28,25.28,1200
20170309,25.1099,25.1553,25.1099,25.1553,350
20170310,25.23,25.23,25.23,25.23,200
20170320,25.9,25.9,25.9,25.9,100
20170321,25.75,25.75,25.12,25.12,600
20170322,24.9,24.9,24.9,24.9,100
20170323,24.9,24.9,24.9,24.9,703
20170324,24.9146,24.9146,24.9146,24.9146,400
20170328,25,25.0439,25,25,999
20170412,25.49,25.49,25.49,25.49,192
20170413,25.4408,25.54,25.39,25.54,500
20170417,25.54,25.54,25.415,25.415,520
20170418,25.6035,25.6035,25.6035,25.6035,300
20170424,26.58,26.65,26.55,26.65,8300
20170426,26.52,26.52,26.52,26.52,100
20170427,26.685,26.685,26.685,26.685,200
20170428,26.75,26.75,26.67,26.69,8100
20170502,27,27,27,27,250
20170503,26.74,26.74,26.74,26.74,150
20170504,26.8978,26.8978,26.8978,26.8978,100
20170505,27,27,26.96,26.96,2030
20170508,27,27.15,27,27.09,1340
20170509,26.952,26.952,26.952,26.952,125
20170510,27.15,27.15,27.1199,27.1199,721
20170512,27.19,27.27,27.19,27.27,400
