Date,Open,High,Low,Close,Volume
20190403,27.87,27.87,27.85,27.85,465
20190404,27.88,27.88,27.88,27.88,464
20190405,27.92,27.92,27.92,27.92,33
20190408,27.92,27.92,27.92,27.92,33
20190409,27.95,27.95,27.95,27.95,211
20190410,28,28,28,28,33
20190411,28.02,28.02,28.02,28.02,141
20190412,27.99,27.99,27.96,27.96,2189
20190415,27.98,27.98,27.98,27.98,2028
20190416,27.94,27.94,27.94,27.94,389
20190417,27.89,27.89,27.89,27.89,33
20190418,27.93,27.93,27.93,27.93,141
20190422,27.89,27.89,27.89,27.89,33
20190423,27.93,27.93,27.93,27.93,33
20190424,28.02,28.03,28.02,28.03,1429
20190425,28.02,28.04,27.99,27.99,2097
20190426,28.08,28.08,28.08,28.08,33
20190429,28.04,28.04,28.01,28.01,530
20190430,28.06,28.06,28.06,28.06,312
20190501,28.12,28.18,28.06,28.06,6104
20190502,27.96,27.96,27.96,27.96,33
20190503,28.04,28.04,28.04,28.04,33
20190506,28.08,28.08,28.08,28.08,33
20190507,28.05,28.05,28.05,28.05,33
20190508,28.02,28.02,28.02,28.02,33
20190509,28.04,28.04,28.04,28.04,33
20190510,28.04,28.04,28.04,28.04,33
20190513,28.09,28.36,28.08,28.1,116294
20190514,28.1,28.38,28.09,28.1,181407
20190515,28.13,28.14,28.11,28.14,7111
20190516,28.14,28.2,28.11,28.2,3372
20190517,28.16,28.17,28.12,28.14,18445
20190520,28.16,28.17,28.13,28.15,10227
20190521,28.41,28.41,28.06,28.11,11657
20190522,28.14,28.15,28.12,28.15,1526
20190523,28.19,28.21,28.19,28.21,1426
20190524,28.21,28.22,28.21,28.22,2829
20190528,28.27,28.27,28.22,28.26,3610
20190529,28.26,28.26,28.26,28.26,817
20190530,28.35,28.35,28.32,28.35,1658
20190531,28.38,28.39,28.38,28.39,848
20190603,28.46,28.49,28.42,28.49,1959
20190604,28.44,28.45,28.41,28.44,4344
20190605,28.48,28.48,28.41,28.41,1110
20190606,28.45,28.45,28.42,28.42,1345
20190607,28.54,28.57,28.52,28.52,3275
20190610,28.53,28.53,28.51,28.51,4010
20190611,28.49,28.79,28.49,28.49,3984
20190612,28.53,28.53,28.52,28.52,1030
20190613,28.56,28.62,28.56,28.58,2172
20190614,28.57,28.61,28.57,28.6,2963
20190617,28.63,28.65,28.63,28.64,1780
20190618,28.76,28.76,28.73,28.74,3469
20190619,28.7,28.84,28.68,28.83,2599
20190620,28.96,28.96,28.92,28.95,3943
20190621,28.89,28.89,28.82,28.86,19671
20190624,28.92,29.07,28.91,28.95,5085
20190625,28.96,28.96,28.92,28.94,2501
20190626,28.89,28.92,28.85,28.85,5918
20190627,28.93,28.97,28.91,28.97,739
20190628,29,29.03,29,29.02,5477
20190701,29.06,29.07,28.99,28.99,3771
20190702,29.1,29.11,29.07,29.1,4239
20190703,29.17,29.18,29.16,29.18,3542
20190705,28.96,29.01,28.96,29.01,1569
20190708,29,29.03,28.98,29.01,18754
20190709,28.98,28.98,28.94,28.97,1469
20190710,28.98,28.98,28.93,28.94,3609
20190711,28.91,28.92,28.9,28.9,1567
20190712,28.87,28.91,28.87,28.91,9894
20190715,28.92,28.94,28.91,28.93,3834
20190716,28.85,28.85,28.85,28.85,147
20190717,28.93,28.96,28.93,28.93,2453
