Date,Open,High,Low,Close,Volume
20210119,30.23,30.3,30.182,30.28,554400
20210120,30.52,30.57,30.38,30.5245,347763
20210121,30.56,30.61,30.5,30.5641,341090
20210122,30.56,30.56,30.43,30.5,85007
20210125,30.64,30.64,30.3,30.53,160145
20210126,30.57,30.58,30.49,30.51,183188
20210127,30.35,30.35,29.78,29.92,167783
20210128,30.46,30.46,29.97,30.13,101805
20210129,30.41,30.41,29.6,29.7385,159134
20210201,30.25,30.25,29.81,30.06,130409
20210202,29.82,30.4,29.82,30.32,106074
20210203,30.29,30.425,30.2821,30.33,673832
20210204,30.1,30.59,30.1,30.59,30643
20210205,30.58,30.68,30.58,30.64,176554
20210208,30.59,30.76,30.59,30.7361,26625
20210209,30.7,30.77,30.69,30.74,48058
20210210,30.84,30.84,30.63,30.72,72263
20210211,30.93,30.93,30.6149,30.73,29997
20210212,30.38,30.87,30.38,30.87,77171
20210216,30.835,30.84,30.7601,30.8089,23102
20210217,30.695,30.787,30.63,30.787,31177
20210218,30.81,30.81,30.6,30.72,19858
20210219,30.69,30.79,30.67,30.69,25354
20210222,30.7,30.7,30.52,30.57,27375
20210223,30.3,30.68,30.28,30.55,67141
20210224,30.53,30.8299,30.5,30.77,32066
20210225,30.65,30.69,30.28,30.34,42968
20210226,30.43,30.52,30.19,30.25,46196
20210301,30.58,30.8094,30.57,30.73,17977
20210302,30.71,30.75,30.61,30.6325,8349
20210303,30.619,30.619,30.35,30.3784,33062
20210304,30.44,30.44,29.997,30.07,58458
20210305,30.29,30.52,29.965,30.5,32692
20210308,30.51,30.6759,30.38,30.38,22732
20210309,30.7243,30.799,30.65,30.65,15176
20210310,30.84,30.84,30.75,30.795,7878
20210311,30.92,31.0394,30.89,30.9787,21627
20210312,30.74,31,30.74,30.98,14088
20210315,31.03,31.1,30.94,31.1,12142
20210316,31.17,31.1942,31.0895,31.1146,8994
20210317,31.09,31.198,31,31.14,6466
20210318,31.07,31.1273,30.93,30.932,12697
20210319,30.905,30.97,30.905,30.9198,2499
