Date,Open,High,Low,Close,Volume
20130131,22.4,22.57,22.36,22.42,30494
20130201,22.53,22.64,22.53,22.64,28913
20130204,22.53,22.53,22.37,22.37,4106
20130205,22.57,22.61,22.48,22.55,8035
20130206,22.47,22.61,22.47,22.5,3793
20130207,22.66,22.66,22.46,22.59,3396
20130208,22.78,22.78,22.6,22.7,6836
20130211,22.75,22.75,22.68,22.74,13128
20130212,22.75,22.8,22.74,22.79,10145
20130213,22.87,22.87,22.75,22.77,13699
20130214,22.7,22.79,22.7,22.79,4842
20130215,22.84,22.84,22.7,22.76,2218
20130219,23.23,23.23,22.82,22.91,67088
20130220,23.11,23.11,22.51,22.51,51694
20130221,23.23,23.23,22.33,22.37,9928
20130222,22.58,22.58,22.48,22.55,6433
20130225,22.79,22.79,22.17,22.17,15669
20130226,22.35,22.35,22.11,22.28,22374
20130227,22.44,22.63,22.4,22.63,10580
20130228,22.71,22.71,22.6,22.71,10853
20130301,22.47,22.63,22.47,22.63,3070
20130304,22.48,22.66,22.48,22.66,1645
20130305,22.48,22.95,22.48,22.89,5389
20130306,22.99,23.1,22.99,22.99,5146
20130307,23.06,23.36,23.02,23.04,14346
20130308,23.05,23.21,23.05,23.2,11507
20130311,23.29,23.29,23.16,23.29,49031
20130312,23.29,23.29,23.21,23.24,10919
20130313,23.34,23.34,23.25,23.31,12876
20130314,23.71,23.71,23.42,23.5,58565
20130315,23.5,23.5,23.42,23.45,3916
20130318,23.43,23.43,23.24,23.33,3945
20130319,23.43,23.43,23.11,23.19,6359
20130320,23.37,23.46,23.37,23.46,1776
20130321,23.47,23.47,23.2,23.22,7054
20130322,23.29,23.29,23.27,23.27,5632
20130325,23.24,23.46,23.2,23.23,10386
20130326,23.38,23.38,23.32,23.32,3290
20130327,23.31,23.37,23.31,23.37,325
20130328,23.45,23.6,23.02,23.59,1943
20130401,23.75,23.75,22.88,23.39,7141
20130402,23.5,23.52,23.44,23.45,2533
20130403,23.69,23.69,23.16,23.17,3873
20130404,23.19,23.22,23.12,23.21,1025
20130405,22.88,23.19,22.88,23.19,1903
20130408,23.37,23.37,23.13,23.32,4592
20130409,23.42,23.56,23.4,23.56,3450
20130410,23.69,23.78,23.46,23.78,7328
20130411,23.85,23.92,23.84,23.92,560
20130412,23.9,23.9,23.71,23.71,2434
20130415,23.81,23.81,23.24,23.35,22973
20130416,23.25,23.4,23.25,23.4,2835
20130417,23.18,23.18,22.96,23.01,5235
20130418,22.89,22.98,22.87,22.9,2348
20130419,23.01,23.01,23.01,23.01,224
20130422,22.92,23.04,22.92,23.04,560
20130423,23.44,23.44,23.39,23.39,392
20130424,23.27,23.51,23.27,23.51,5735
20130425,23.65,23.81,23.65,23.75,8196
20130426,23.72,23.72,23.71,23.71,224
20130429,23.91,23.91,23.79,23.81,1120
20130430,23.88,23.91,23.88,23.91,523
20130501,23.86,23.86,23.75,23.75,616
20130502,23.75,23.96,23.75,23.96,504
20130503,24.3,24.35,24.08,24.3,2796
20130506,24.45,24.45,24.31,24.38,3512
20130507,24.45,24.51,24.43,24.51,1851
20130508,24.56,24.66,24.52,24.63,3052
20130509,24.7,24.7,24.62,24.62,12482
20130510,24.61,24.61,24.61,24.61,1085
20130513,24.72,24.72,24.69,24.7,3215
20130514,24.96,24.97,24.96,24.97,895
20130515,25.07,25.15,23.96,25.14,2021
20130516,25.09,25.16,25.09,25.12,3748
20130517,25.21,25.21,25.21,25.21,224
20130520,25.4,25.41,25.31,25.31,1344
20130521,25.31,25.4,25.31,25.32,448
20130522,25.39,25.53,25.08,25.08,4978
20130523,24.79,25.01,24.79,24.97,1678
20130524,24.83,24.96,24.82,24.94,2237
20130528,25.2,25.35,25.07,25.16,5819
20130529,25.05,25.05,25.04,25.04,224
20130530,25.11,25.11,25.11,25.11,168
20130531,25.13,25.14,25.03,25.12,1264
20130603,24.69,24.69,24.67,24.67,744
20130604,24.58,24.89,24.58,24.69,672
20130605,24.58,24.76,24.4,24.4,5403
20130606,24.5,24.55,24.5,24.55,224
20130607,24.85,24.89,24.79,24.89,47883
20130610,24.8,24.89,24.8,24.89,2796
20130611,24.64,24.8,24.64,24.8,3745
20130612,24.55,24.55,24.5,24.5,2014
20130613,24.49,24.8,24.49,24.8,16994
20130614,24.91,24.91,24.74,24.74,2975
20130617,24.87,24.97,24.87,24.88,4368
20130618,24.57,25.04,24.57,25.04,20555
20130619,25.01,25.03,24.74,24.74,4187
20130620,24.42,24.42,24.06,24.07,7943
20130621,24.25,24.26,23.93,23.93,4364
20130624,23.74,24,23.69,23.94,873
20130625,24.15,24.15,24.15,24.15,216
20130626,24.27,24.27,24.27,24.27,224
20130627,24.54,24.54,24.39,24.5,392
20130628,24.5,24.58,24.43,24.58,3412
20130701,24.89,24.91,24.69,24.72,812
20130702,24.84,24.84,24.51,24.51,4307
20130703,24.52,24.52,24.49,24.49,224
20130705,24.86,24.86,24.66,24.68,984
20130708,24.87,24.87,24.87,24.87,1175
20130709,25.13,25.13,25.13,25.13,398
20130710,24.89,25.21,24.89,25.1,1455
20130711,25.41,25.41,25.39,25.39,224
20130715,25.59,25.59,25.58,25.58,336
20130716,25.58,25.58,25.58,25.58,112
20130717,25.64,25.64,25.61,25.61,1119
20130718,25.65,25.73,25.65,25.73,671
20130719,25.55,25.7,25.55,25.7,448
20130723,25.92,25.92,25.87,25.89,418
20130724,25.66,25.76,25.61,25.61,4824
20130725,25.73,25.77,25.73,25.77,820
20130726,25.81,25.81,25.62,25.62,224
20130729,25.62,25.62,25.61,25.61,1025
20130730,25.62,25.74,25.62,25.73,1538
20130731,25.78,25.81,25.76,25.81,1391
20130801,25.93,26.15,25.93,26.15,2461
20130805,26.15,26.15,26.15,26.15,168
20130806,25.9,25.91,25.9,25.91,783
20130808,25.99,25.99,25.89,25.96,1553
20130809,26.06,26.06,26.06,26.06,224
20130812,26,26,26,26,559
20130813,25.93,26.04,25.93,26.04,784
20130814,26.02,26.02,25.93,25.93,1036
20130815,25.59,25.59,25.58,25.59,2506
20130816,25.58,25.58,25.39,25.41,4520
20130819,25.35,25.35,25.35,25.35,168
