Date,Open,High,Low,Close,Volume
20180601,22.17,22.22,22.17,22.22,238
20180604,22.22,22.22,22.22,22.22,11
20180605,22.22,22.22,22.22,22.22,11
20180606,22.22,22.22,22.22,22.22,11
20180607,22.22,22.22,22.22,22.22,11
20180608,22.22,22.22,22.22,22.22,11
20180611,22.21,22.21,22.21,22.21,281214
20180612,22.27,22.27,22.27,22.27,283368
20180613,22.27,22.27,22.27,22.27,11
20180614,22.27,22.27,22.27,22.27,11
20180615,22.27,22.27,22.27,22.27,11
20180618,22.27,22.27,22.27,22.27,11
20180619,22.27,22.27,22.27,22.27,11
20180620,22.27,22.27,22.27,22.27,11
20180621,22.27,22.27,22.27,22.27,11
20180622,22.27,22.27,22.27,22.27,11
20180625,22.27,22.27,22.27,22.27,11
20180626,22.27,22.27,22.27,22.27,11
20180627,22.27,22.27,22.27,22.27,11
20180628,22.27,22.27,22.27,22.27,11
20180629,22.27,22.27,22.27,22.27,11
20180702,22.27,22.27,22.27,22.27,11
20180703,22.27,22.27,22.27,22.27,11
20180705,22.27,22.27,22.27,22.27,11
20180706,22.27,22.27,22.27,22.27,11
20180709,22.27,22.27,22.27,22.27,11
20180710,22.27,22.27,22.27,22.27,11
20180711,22.27,22.27,22.27,22.27,11
20180712,22.27,22.27,22.27,22.27,11
20180713,22.27,22.27,22.27,22.27,11
20180716,22.27,22.27,22.27,22.27,11
20180717,22.27,22.27,22.27,22.27,11
20180718,22.27,22.27,22.27,22.27,11
20180719,22.27,22.27,22.27,22.27,11
20180720,22.27,22.27,22.27,22.27,11
20180723,22.27,22.27,22.27,22.27,11
20180724,22.27,22.27,22.27,22.27,11
20180725,22.27,22.27,22.27,22.27,11
20180726,22.27,22.27,22.27,22.27,11
20180727,22.27,22.27,22.27,22.27,11
20180730,22.27,22.27,22.27,22.27,11
20180731,22.34,22.34,22.34,22.34,11
20180801,22.34,22.34,22.34,22.34,11
20180802,22.34,22.34,22.34,22.34,11
20180803,22.34,22.34,22.34,22.34,11
20180806,22.34,22.34,22.34,22.34,11
20180807,22.34,22.34,22.34,22.34,11
20180808,22.27,22.27,22.27,22.27,11
20180809,22.27,22.27,22.27,22.27,11
20180810,22.27,22.27,22.27,22.27,11
20180813,22.27,22.27,22.27,22.27,11
20180814,22.27,22.27,22.27,22.27,11
20180815,22.27,22.27,22.27,22.27,11
20180816,22.27,22.27,22.27,22.27,11
20180817,22.27,22.27,22.27,22.27,11
20180820,22.27,22.27,22.27,22.27,11
20180821,22.27,22.27,22.27,22.27,11
20180822,22.27,22.27,22.27,22.27,11
20180823,22.27,22.27,22.27,22.27,11
20180824,22.27,22.27,22.27,22.27,11
20180827,22.27,22.27,22.27,22.27,11
20180828,22.27,22.27,22.27,22.27,11
20180829,22.27,22.27,22.27,22.27,11
20180830,22.27,22.27,22.27,22.27,11
20180906,22.44,22.44,22.44,22.44,11261
20180907,22.44,22.44,22.44,22.44,11
20180910,22.44,22.44,22.44,22.44,11
20180911,22.44,22.44,22.44,22.44,11
20180912,22.44,22.44,22.44,22.44,11
20180913,22.44,22.44,22.44,22.44,11
20180914,22.44,22.44,22.44,22.44,11
20180917,22.44,22.44,22.44,22.44,11
20180918,22.52,22.52,22.52,22.52,231283
20180919,22.52,22.52,22.52,22.52,57947
20180920,22.54,22.54,22.54,22.54,47621
20180921,22.53,22.53,22.53,22.53,56261
20180924,22.53,22.96,22.53,22.53,16756
20180925,22.54,22.54,22.54,22.54,123
20180926,22.54,22.54,22.54,22.54,11
20180927,22.54,22.54,22.54,22.54,11
20180928,22.51,22.52,22.51,22.51,4159
