Date,Open,High,Low,Close,Volume
20171106,25.04,25.08,25.04,25.08,200
20171107,25.09,25.09,24.93,24.99,103801
20171108,25.06,25.18,25.06,25.06,99000
20171109,25.17,25.17,25.16,25.16,800
20171110,25.0174,25.0174,25.0174,25.0174,450
20171113,24.96,24.96,24.96,24.96,500
20171114,24.88,24.91,24.8,24.82,4740
20171115,24.63,24.7597,24.63,24.73,600
20171116,24.64,24.84,24.64,24.83,854
20171117,24.89,24.89,24.89,24.89,200
20171120,24.88,24.88,24.81,24.84,1900
20171122,25.16,25.16,25.12,25.14,954
20171124,25.16,25.29,25.14,25.16,6540
20171127,25.13,25.13,24.93,24.93,740
20171128,24.86,24.86,24.86,24.86,100
20171129,24.68,24.7,24.68,24.7,1239
20171130,24.81,24.81,24.77,24.77,943
20171201,25.16,25.16,25.16,25.16,195
20171204,25.13,25.13,25.03,25.03,300
20171205,25.06,25.06,24.99,24.99,614
20171206,24.87,24.87,24.87,24.87,100
20171207,24.89,24.89,24.89,24.89,200
20171208,24.99,24.99,24.99,24.99,100
20171212,25.01,25.19,25.0025,25.01,2100
20171213,25.08,25.08,25.08,25.08,100
20171214,24.921,25.06,24.921,25.06,1300
20171215,24.97,24.98,24.83,24.83,1580
20171218,25.09,25.1,24.97,24.97,596
20171219,24.76,25.04,24.68,25.04,538800
20171220,24.96,25.06,24.96,25.06,300
20171221,25.32,25.32,25.29,25.29,1202
20171227,25.47,25.529,25.45,25.45,2100
20171228,25.66,25.66,25.66,25.66,200
20171229,25.629,25.68,25.629,25.68,758
20180102,25.88,25.88,25.88,25.88,238
20180103,25.99,26.12,25.97,26.03,2989
20180104,26.1599,26.209,26.1599,26.205,700
20180108,26.1999,26.23,26.1999,26.22,1089
20180109,26.22,26.22,26.14,26.14,5064
20180110,26.13,26.13,25.98,25.98,348
20180111,25.95,25.95,25.95,25.95,200
20180112,26,26.04,26,26.04,715
20180116,26.92,26.92,26.15,26.15,5388
20180117,26.19,26.19,26.19,26.19,322
20180118,26.15,26.15,26.15,26.15,130
20180119,26.19,26.2,26.1,26.1,935
20180122,26.09,26.12,26.09,26.12,1265
20180124,26.19,26.259,26.19,26.2448,490
20180125,26.295,26.39,26.01,26.01,30380
20180126,26.2096,26.2096,26.19,26.19,400
20180129,26,26,26,26,238
20180130,25.94,25.94,25.87,25.87,406
20180131,25.91,25.91,25.87,25.87,273
20180201,25.76,25.7794,25.76,25.7794,2798
20180205,24.8648,24.8648,24.44,24.44,1585
20180206,23.96,23.96,23.96,23.96,240
20180207,24.37,24.37,24.37,24.37,1000
20180208,24,24,23.74,23.74,700
20180212,23.98,23.985,23.96,23.96,520
20180213,23.95,24.053,23.9435,24.053,934
20180214,24.37,24.37,24.3501,24.3501,510
20180215,24.44,24.44,24.44,24.44,220
20180216,24.35,24.35,24.35,24.35,400
20180220,24.34,24.37,24.29,24.31,1009
20180221,24.3048,24.3048,24.17,24.226,1600
20180226,25,25,25,25,202
20180301,23.78,23.811,23.7783,23.811,2812
20180305,23.66,23.66,23.66,23.66,200
20180312,24.23,24.23,24.23,24.23,400
20180314,24.23,24.23,24.23,24.23,1042
20180319,23.67,23.67,23.67,23.67,224
20180326,23.5799,23.62,23.47,23.62,949
20180327,23.7,23.7,23.7,23.7,1072
20180329,23.72,23.82,23.72,23.82,363
