Date,Open,High,Low,Close,Volume
20161005,21.01,21.01,21.01,21.01,835
20161014,20.86,20.86,20.86,20.86,239
20161024,20.92,20.92,20.91,20.91,987
20161025,20.92,20.92,20.92,20.92,143217
20161031,20.73,20.73,20.71,20.71,491865
20161102,20.72,20.72,20.72,20.72,10741
20161107,20.71,20.71,20.71,20.71,119
20161110,20.44,20.44,20.4,20.4,491713
20161121,20.17,20.17,20.17,20.17,477391
20161125,20.15,20.15,20.15,20.15,2387
20161130,20.13,20.13,20.13,20.13,10741
20161201,20.07,20.08,20.07,20.08,1432
20161205,20.12,20.2,20.12,20.18,952
20161207,20.25,20.25,20.25,20.25,1074
20161212,20.15,20.16,20.15,20.16,716
20161213,20.16,20.16,20.16,20.16,1074
20161215,20.09,20.09,20.09,20.09,895109
20161229,20.22,20.22,20.22,20.22,494
20161230,20.28,20.3,20.28,20.3,238
20170103,20.23,20.23,20.23,20.23,119
20170106,20.35,20.35,20.35,20.35,256
20170111,20.41,20.41,20.41,20.41,119
20170113,20.36,20.37,20.36,20.37,238
20170119,20.29,20.29,20.29,20.29,119
20170127,20.31,20.31,20.31,20.31,3188
20170201,20.29,20.29,20.29,20.29,119
20170202,20.36,20.36,20.31,20.31,1076
20170206,20.36,20.39,20.36,20.39,4514
20170208,20.46,20.46,20.46,20.46,238
20170209,20.45,20.45,20.44,20.44,238
20170210,20.38,20.38,20.38,20.38,9217
20170213,20.41,20.41,20.41,20.41,950
20170215,20.34,20.34,20.34,20.34,21430
20170217,20.42,20.43,20.42,20.43,4395
20170223,20.46,20.46,20.46,20.46,297
20170224,20.53,20.53,20.53,20.53,23126
20170227,20.54,20.54,20.54,20.54,119
20170228,20.56,20.58,20.56,20.57,918
20170301,20.45,20.46,20.45,20.46,966
20170303,20.43,20.44,20.43,20.43,948
20170306,20.41,20.42,20.41,20.42,533
20170307,20.36,20.36,20.36,20.36,1066
20170308,20.28,20.28,20.28,20.28,5967
20170309,20.23,20.23,20.15,20.16,4471
20170313,20.25,20.25,20.25,20.25,474
20170316,20.33,20.33,20.33,20.33,118
20170317,20.37,20.38,20.36,20.36,5119
20170320,20.41,20.41,20.41,20.41,367
20170322,20.51,20.52,20.5,20.52,1125
20170323,20.49,20.49,20.47,20.47,3514
20170324,20.52,20.52,20.52,20.52,1066
20170327,20.52,20.53,20.52,20.53,236
20170329,20.53,20.54,20.53,20.53,622
20170330,20.52,20.52,20.52,20.52,1064
