Date,Open,High,Low,Close,Volume
20180614,20.61,20.61,20.61,20.61,12
20180615,20.61,20.61,20.61,20.61,12
20180618,20.61,20.61,20.61,20.61,12
20180619,20.61,20.61,20.61,20.61,12
20180620,20.61,20.61,20.61,20.61,12
20180621,20.61,20.61,20.61,20.61,12
20180622,20.61,20.61,20.61,20.61,12
20180625,20.61,20.61,20.61,20.61,12
20180626,20.61,20.61,20.61,20.61,12
20180627,20.61,20.61,20.61,20.61,12
20180628,20.62,20.62,20.62,20.62,195
20180629,20.62,20.62,20.62,20.62,12
20180702,20.62,20.62,20.62,20.62,12
20180703,20.62,20.62,20.62,20.62,12
20180705,20.62,20.62,20.62,20.62,12
20180706,20.62,20.62,20.62,20.62,12
20180709,20.62,20.62,20.62,20.62,12
20180710,20.62,20.62,20.62,20.62,12
20180711,20.62,20.62,20.62,20.62,12
20180712,20.62,20.62,20.62,20.62,12
20180713,20.62,20.62,20.62,20.62,12
20180716,20.62,20.62,20.62,20.62,12
20180717,20.62,20.62,20.62,20.62,12
20180718,20.62,20.62,20.62,20.62,12
20180719,20.62,20.62,20.62,20.62,12
20180720,20.85,20.85,20.85,20.85,121485
20180723,20.85,20.85,20.85,20.85,12
20180724,20.85,20.85,20.85,20.85,12
20180725,20.85,20.85,20.85,20.85,12
20180726,20.85,20.85,20.85,20.85,12
20180727,20.85,20.85,20.85,20.85,12
20180730,20.85,20.85,20.85,20.85,12
20180731,20.96,20.96,20.96,20.96,12
20180801,20.97,20.97,20.95,20.95,979
20180802,20.95,20.95,20.95,20.95,12
20180803,20.95,20.95,20.95,20.95,12
20180806,20.95,20.95,20.95,20.95,12
20180807,21.05,21.07,21.05,21.07,738
20180808,21.07,21.07,21.07,21.07,12
20180809,21.07,21.07,21.07,21.07,12
20180810,21.01,21.01,21.01,21.01,120885
20180813,21.01,21.01,21.01,21.01,12
20180814,21.01,21.01,21.01,21.01,12
20180815,21.01,21.01,21.01,21.01,12
20180816,21.01,21.01,21.01,21.01,12
20180817,21.01,21.01,21.01,21.01,12
20180820,21.01,21.01,21.01,21.01,12
20180821,21.01,21.01,21.01,21.01,12
20180822,21.01,21.01,21.01,21.01,12
20180823,21.01,21.01,21.01,21.01,12
20180824,21.01,21.01,21.01,21.01,12
20180827,21.01,21.01,21.01,21.01,12
20180828,21.01,21.01,21.01,21.01,12
20180829,21.01,21.01,21.01,21.01,12
20180830,21.01,21.01,21.01,21.01,12
20180906,21.12,21.12,21.12,21.12,12
20180907,21.12,21.12,21.12,21.12,12
20180910,21.01,21.01,21.01,21.01,12
20180911,21.01,21.01,21.01,21.01,12
20180912,21.01,21.01,21.01,21.01,12
20180913,21.01,21.01,21.01,21.01,12
20180914,21.01,21.01,21.01,21.01,12
20180917,21.01,21.01,21.01,21.01,12
20180918,21.01,21.01,21.01,21.01,12
20180919,21.01,21.01,21.01,21.01,12
20180920,21.01,21.01,21.01,21.01,12
20180921,21.01,21.01,21.01,21.01,12
20180924,21.01,21.01,21.01,21.01,12
20180925,21.01,21.01,21.01,21.01,12
20180926,21.01,21.01,21.01,21.01,12
20180927,21.01,21.01,21.01,21.01,12
20180928,21.13,21.16,21.13,21.16,101463
20181001,21.16,21.16,21.16,21.16,12
20181002,21.16,21.16,21.16,21.16,12
20181003,21.16,21.16,21.16,21.16,12
20181004,21.18,21.18,21.15,21.15,528
20181005,21.15,21.15,21.15,21.15,12
20181008,21.15,21.15,21.15,21.15,12
20181009,21.08,21.08,21.05,21.05,1177
20181010,21.05,21.05,21.05,21.05,12
20181011,20.99,20.99,20.99,20.99,1033
20181012,20.99,20.99,20.99,20.99,12
20181015,21.01,21.03,21.01,21.03,750
20181016,21.03,21.03,21.03,21.03,101763
20181017,21.05,21.05,21.05,21.05,132
20181018,21.05,21.05,21.05,21.05,12
20181019,21.03,21.03,21.02,21.03,2167
20181022,21.03,21.03,20.98,20.98,2765
20181023,20.98,20.98,20.98,20.98,12
20181024,20.98,20.98,20.98,20.98,12
20181025,20.98,20.98,20.98,20.98,12
20181026,20.81,20.81,20.8,20.8,577
20181029,20.8,20.8,20.8,20.8,12
20181030,20.8,20.8,20.8,20.8,12
20181031,20.92,20.92,20.92,20.92,12
20181101,20.92,20.92,20.92,20.92,293
20181102,20.92,20.92,20.92,20.92,12
20181105,20.9,20.9,20.9,20.9,291
