Date,Open,High,Low,Close,Volume
20160922,23.4,23.4,23.4,23.4,545
20160923,23.3,23.3,23.3,23.3,244
20160927,23.19,23.19,23.19,23.19,327
20160929,23.24,23.24,23.09,23.12,1743
20161003,23.09,23.09,23.09,23.09,327
20161004,22.99,22.99,22.99,22.99,218
20161005,23.07,23.07,23.04,23.06,327
20161006,23.06,23.06,23.06,23.06,218
20161012,22.89,22.96,22.89,22.96,327
20161020,22.96,22.96,22.96,22.96,271
20161024,22.85,22.85,22.85,22.85,463
20161025,22.74,22.75,22.74,22.75,132972
20161026,22.63,22.63,22.63,22.63,1089
20161027,22.52,22.52,22.52,22.52,741
20161103,22.35,22.35,22.35,22.35,436
20161109,22.87,22.87,22.86,22.86,3066
20161114,22.92,22.92,22.85,22.9,436
20161117,23.11,23.11,23.11,23.11,871
20161122,23.23,23.24,23.23,23.24,659
20161130,23.33,23.33,23.33,23.33,724
20161228,23.6,23.6,23.6,23.6,109
20170105,23.7,23.7,23.7,23.7,109
20170126,23.98,23.98,23.97,23.97,1415
20170130,23.93,23.93,23.9,23.9,218
20170202,23.72,23.8,23.72,23.8,2668
20170203,23.95,23.95,23.95,23.95,109
20170213,24.24,24.24,24.24,24.24,512
20170215,24.35,24.37,24.35,24.37,846
20170221,24.67,24.67,24.67,24.67,675
20170222,24.68,24.68,24.68,24.68,109
20170224,24.8,24.82,24.8,24.82,4358
20170306,24.84,24.84,24.84,24.84,195
20170308,24.79,24.79,24.75,24.75,601
20170309,24.84,24.84,24.84,24.84,327
20170314,24.82,24.82,24.82,24.82,604
20170320,24.86,24.86,24.86,24.86,11
20170321,24.87,24.87,24.82,24.82,2168
20170324,24.75,24.75,24.75,24.75,10762
20170327,24.77,24.77,24.77,24.77,109
20170331,24.85,24.89,24.83,24.83,1340
20170403,24.8,24.8,24.69,24.69,616
20170405,24.93,24.93,24.9,24.9,2546
20170406,24.85,24.85,24.76,24.79,1989
20170407,24.81,24.81,24.81,24.81,163
20170413,24.75,24.75,24.67,24.67,956
20170417,24.78,24.78,24.78,24.78,126
20170418,24.81,24.81,24.78,24.8,4124
20170419,24.84,24.84,24.84,24.84,326
20170420,24.78,24.91,24.78,24.91,763
20170421,24.85,24.85,24.83,24.83,544
20170424,25.02,25.16,25.02,25.16,822
20170425,25.1,25.1,25.1,25.1,212
20170426,25.2,25.2,25.13,25.13,2012
20170427,25.14,25.14,25.14,25.14,489
20170428,25.07,25.07,25.01,25.04,1304
20170501,25.03,25.03,25.03,25.03,598
20170502,25.03,25.03,25,25,995
20170503,24.98,24.98,24.98,24.98,163
20170510,25.1,25.13,25.1,25.13,218
20170515,25.16,25.16,25.14,25.14,435
20170517,24.98,24.98,24.97,24.97,217
20170601,25.7,25.7,25.7,25.7,544
20170607,25.88,25.88,25.88,25.88,154
20170614,25.9,25.9,25.9,25.9,109
20170629,25.65,25.65,25.62,25.62,759
20170630,25.72,25.72,25.72,25.72,217
20170705,25.68,25.68,25.68,25.68,607
20170706,25.51,25.51,25.51,25.51,108
20170707,25.63,25.64,25.63,25.64,271
20170710,25.66,25.66,25.63,25.63,434
20170711,25.53,25.54,25.53,25.54,380
20170719,25.96,25.97,25.96,25.97,542
20170721,25.98,25.98,25.98,25.98,217
20170725,26.08,26.08,26.08,26.08,542
20170726,26.03,26.03,26.02,26.02,1045
20170804,26.04,26.04,26.04,26.04,120
20170807,26.06,26.06,26.06,26.06,412
20170811,25.84,25.84,25.84,25.84,492
20170816,26.01,26.01,26.01,26.01,293
20170817,26.13,26.13,25.74,25.74,2074
20170818,26.08,26.08,25.61,25.61,1158
20170821,25.54,25.55,25.54,25.55,216
20170822,25.88,25.88,25.83,25.83,1844
20170823,25.76,25.76,25.76,25.76,692
20170829,25.7,25.78,25.7,25.78,325
20170830,25.87,25.87,25.87,25.87,108
20170831,25.96,25.96,25.94,25.94,1025
20170901,25.98,25.98,25.98,25.98,108
20170911,26.13,26.13,26.13,26.13,1014
20170926,26.27,26.27,26.27,26.27,1078
20171002,26.46,26.47,26.46,26.47,751
20171006,27.08,27.08,26.68,26.68,2749
20171013,26.87,26.88,26.85,26.88,852
20171019,26.83,26.83,26.83,26.83,527
20171025,26.88,26.88,26.88,26.88,533
