Date,Open,High,Low,Close,Volume
20210928,25.42,25.42,24.93,25.012,12508
20210929,25.16,25.16,24.92,24.92,40573
20210930,25.13,25.28,25.01,25.1185,24393
20211001,25.15,25.33,24.99,25.249,21760
20211004,24.94,25.02,24.5,24.524,9254
20211005,24.41,24.639,24.41,24.4783,9103
20211006,24.05,24.399,24,24.3676,6251
20211007,24.89,25,24.89,24.929,22296
20211008,24.99,25.0691,24.7371,24.7371,11080
20211011,24.65,24.65,24.2934,24.2934,1324
20211012,24.32,24.42,24.22,24.2984,7900
20211013,24.7,24.8896,24.6214,24.8566,39438
20211014,25.16,25.22,25.03,25.1385,8238
20211015,25.28,25.57,25.28,25.4999,17058
20211018,25.46,25.619,25.37,25.539,11890
20211019,25.839,25.97,25.78,25.8698,28187
20211020,25.9399,25.94,25.79,25.7901,17866
20211021,25.67,25.68,25.48,25.48,8789
20211022,25.4184,25.4184,25.06,25.195,13176
20211025,25.25,25.3048,25.185,25.28,10562
20211026,25.44,25.44,25.195,25.2211,5338
20211027,25.28,25.305,25.1604,25.1604,3166
20211028,25.05,25.3757,25.05,25.3757,2550
20211029,24.99,24.99,24.75,24.7956,6998
20211101,24.96,25.1512,24.96,25.1512,5716
20211102,25.12,25.19,25.1,25.1096,5214
20211103,25,25.24,24.88,25.21,19172
20211104,25.1,25.189,25.03,25.0674,3943
20211105,25.46,25.57,25.46,25.5337,4224
20211108,25.6099,25.63,25.535,25.5486,20431
20211109,25.88,25.88,25.535,25.5605,5285
20211110,25.5,25.62,25.0853,25.0853,6765
20211111,25.6,25.66,25.4215,25.4799,16334
20211112,25.54,25.54,25.375,25.4267,7742
20211115,25.48,25.68,25.48,25.5759,5764
20211116,25.385,25.385,25.225,25.2877,6103
20211117,25.03,25.03,24.6019,24.6708,8095
20211118,24.71,24.71,24.5,24.624,4832
20211119,24.52,24.61,24.34,24.3478,7779
20211122,24.05,24.05,23.2222,23.2222,13945
20211123,23.17,23.219,22.88,23.0147,7521
20211124,23.29,23.29,22.8,22.9318,28680
20211126,22.94,22.9999,22.8099,22.8735,3767
20211129,22.93,22.93,22.88,22.93,2495
20211130,22.85,22.85,22.45,22.64,11650
20211201,22.85,22.85,22.2043,22.2043,2758
20211202,22.24,22.28,22.1,22.1839,1553
20211203,22.22,22.25,21.805,21.9207,8350
20211206,21.55,21.69,21.445,21.6539,21503
20211207,22.07,22.2,22.07,22.0953,6095
20211208,22.079,22.48,22.04,22.3665,14996
20211209,22.52,22.52,22.04,22.08,31210
20211210,22.12,22.12,21.85,21.8903,13093
20211213,21.5,21.51,21.36,21.4534,7523
20211214,21.23,21.23,21.06,21.1361,10319
20211215,20.82,21.1634,20.7,21.1613,9953
20211216,21.28,21.36,20.8709,20.9901,21426
20211217,20.83,21.03,20.73,20.96,4083
20211220,20.74,20.74,20.27,20.3751,6214
20211221,20.55,20.92,20.55,20.8971,8448
20211222,21.019,21.06,20.89,20.9873,42321
20211223,20.77,21.169,20.75,21.1375,18615
20211227,21.25,21.4376,21.18,21.2702,7596
20211228,21.23,21.29,21.1515,21.18,30938
20211229,21.12,21.125,20.96,21.0507,9706
20211230,21.07,21.35,21.0517,21.2381,12584
20211231,21.23,21.3,21.2,21.2088,10871
20220103,21.34,21.34,21.3197,21.3197,1762
20220104,21,21,20.562,20.65,5516
20220105,20.3,20.3,19.56,19.5801,15289
20220106,19.3,19.46,19,19.4119,8777
20220107,19.46,19.6,19.37,19.3896,3280
20220110,19.25,19.25,18.66,19.0134,2630
20220111,19.36,19.639,19.36,19.6261,5702
20220112,19.87,19.9,19.719,19.8583,13546
20220113,19.7,19.7,19.06,19.06,28769
20220114,18.91,18.91,18.585,18.7013,7237
20220118,18.16,18.22,17.91,17.9116,11208
20220119,18.15,18.15,17.915,17.915,9717
20220120,18.4114,18.49,18.0337,18.0337,16087
20220121,17.99,18.01,17.52,17.5247,25793
20220124,16.6732,16.9229,16.2605,16.9229,21607
20220125,16.82,17.08,16.649,16.9,34014
20220126,17.21,17.28,16.7,16.7497,15636
20220127,16.675,16.765,16.5,16.5308,14876
20220128,16.59,16.674,16.3,16.674,3862
20220131,17.12,17.64,17.12,17.6345,7064
20220201,17.6701,17.9,17.67,17.8967,13362
20220202,18,18,17.485,17.5392,8469
20220203,17.16,17.1601,16.89,16.9398,44666
20220204,16.83,17.4,16.83,17.3034,14477
20220207,17.49,17.53,17.35,17.405,11316
20220208,17.26,17.705,17.26,17.67,9199
20220209,18.05,18.5,18.05,18.4679,8896
20220210,18.42,18.42,18.071,18.071,16149
20220211,17.91,17.99,17.31,17.3488,8175
20220214,17.22,17.44,17.19,17.19,21886
20220215,17.98,18.11,17.9358,18.11,10979
20220216,17.89,18,17.8639,17.91,19070
20220217,17.82,17.98,17.66,17.69,21883
20220218,17.6,17.6,17.1,17.1,12287
