Date,Open,High,Low,Close,Volume
20210930,25.73,25.86,25.3,25.4696,6140
20211001,25.92,25.92,25.15,25.7267,4274
20211004,24.36,24.36,23.84,24.2511,3757
20211005,24.98,25.28,24.86,25.08,2452
20211006,25.3612,25.3816,25.15,25.3816,1987
20211007,26.435,26.79,26.3536,26.3536,4879
20211008,26.65,26.65,25.894,25.894,10512
20211011,26.1311,26.25,25.5594,25.5594,3931
20211012,25.64,25.96,25.64,25.7994,3197
20211013,26.51,27.1368,26.51,27.1368,3456
20211014,27.44,27.79,27.44,27.6742,4239
20211015,27.73,28.17,27.73,27.9909,3645
20211018,28.44,29.2184,28.42,29.2184,10919
20211019,29.68,29.845,29.3465,29.6141,15605
20211020,29.84,29.84,28.98,29.2581,9073
20211021,29.2,30.0526,29.2,29.9422,11251
20211022,29.15,29.25,28.22,28.55,9404
20211025,28.95,29.35,28.57,29.3026,7939
20211026,29.805,30.38,28.9699,29.138,7019
20211027,29.66,29.66,28.8516,28.8516,7533
20211028,28.9,29.4738,28.54,29.4738,7589
20211029,29.3,29.69,29.3,29.6807,5705
20211101,29.56,30.4152,29.4222,30.4152,12871
20211102,30.41,30.5,29.979,30.1954,2951
20211103,30.11,30.84,30.11,30.83,8448
20211104,31.075,32,31.075,31.7308,11158
20211105,32,32,30.815,30.9651,8734
20211108,30.97,31.82,30.97,31.39,5766
20211109,32,32.05,31.38,31.8418,10734
20211110,31.5,31.82,29.515,30.1155,22250
20211111,31,31.25,30.7871,30.9532,8634
20211112,31.65,32.81,31.65,32.68,13670
20211115,33.02,33.04,32.0301,32.4652,13434
20211116,32.29,33.03,32.1,32.9846,5068
20211117,32.75,32.85,32.3,32.6349,3615
20211118,33.5115,33.5115,32.3201,32.7781,4551
20211119,33.29,33.7789,32.98,32.98,6269
20211122,33.31,33.455,30.57,30.88,22111
20211123,29.7,30.36,28.2,29.39,25162
20211124,28.78,30.35,28.78,30.3118,13959
20211126,29,30.6316,29,29.89,11432
20211129,30.36,30.68,29.5,30.5821,9943
20211130,30.86,31.2699,28.5,29.0482,7334
20211201,29.5,29.7606,26.31,26.39,15881
20211202,26.61,27.27,25.82,26.93,11484
20211203,25.91,25.91,24,25.0147,23129
20211206,23.784,25.24,23.32,25.24,9713
20211207,26.7699,27.3,26.5,26.9411,19535
20211208,27.51,28.6343,27.013,28.4571,7535
20211209,27.37,27.6,25.53,25.66,49651
20211210,26.02,26.36,24.9,25.34,7823
20211213,24.92,25.0001,23.72,23.99,14036
20211214,23.07,23.59,22.52,23.44,18419
20211215,23.23,23.88,21.8,23.88,36289
20211216,24.14,24.14,21.75,22.21,26842
20211217,21.9,22.91,21.25,22.85,5606
20211220,22,22.155,21.7,21.9068,8688
20211221,22.365,23.6193,21.96,23.5249,22864
20211222,23.3865,23.98,23.31,23.7859,22461
20211223,23.69,24.46,23.609,24.38,14092
20211227,24.59,25.0204,24.59,24.9,21534
20211228,25.1,25.1,24.0461,24.1512,16569
20211229,24.09,24.15,23.145,23.6994,17585
20211230,23.64,24.805,23.64,24.21,13549
20211231,24.5,24.5,23.6624,23.6624,6017
20220103,24.27,24.29,23.45,24.0925,12470
20220104,24.26,24.26,21.5991,22.44,23065
20220105,21.7,22.07,20.12,20.1825,24258
20220106,20.07,20.799,19.072,20.1429,24144
20220107,20.2,20.57,19.16,19.53,25585
20220110,18.84,19.58,17.68,19.58,42925
20220111,19.37,20.76,19.21,20.55,29267
20220112,21.03,21.25,20.16,20.5724,16363
20220113,20.82,20.82,18.44,18.5,29851
20220114,18.21,18.91,17.95,18.6814,18656
20220118,18,18.4,17.6,17.6078,12040
20220119,17.99,18.2568,17.13,17.13,15952
20220120,17.71,18.28,16.68,16.68,24655
20220121,16.02,16.2199,14.665,14.7559,68285
20220124,13.7,14.75,12.13,14.7248,69839
20220125,13.88,14.28,13.29,13.55,41598
20220126,14.6,14.6,12.87,13.14,31998
20220127,13.58,13.71,12.3923,12.44,28346
20220128,12.5,13.3,11.9,13.293,38637
20220131,13.77,15.25,13.6723,15.25,94868
20220201,16.01,16.01,14.7701,15.7,183601
20220202,16.48,16.48,14.7,15.15,76999
20220203,13.62,14.21,13.08,13.15,145480
20220204,14.21,15.33,13.56,15.02,93380
20220207,15.3,15.71,14.71,14.87,66523
20220208,14.9,15.33,14.34,15.25,57854
20220209,15.75,16.529,15.4599,16.49,56048
20220210,15.98,17.26,15.828,16.08,143497
20220211,16.15,16.43,14.47,14.8,61768
20220214,14.54,15.2904,14.28,14.47,39734
20220215,15.24,15.92,14.8592,15.84,33818
20220216,15.01,15.01,14.3,14.85,51775
20220217,14.48,14.63,13.4,13.49,50201
20220218,13.58,13.68,12.5017,12.74,67482
