Date,Open,High,Low,Close,Volume
20070511,17.705,17.713,17.67,17.713,13213
20070514,17.783,17.783,17.739,17.739,10913
20070515,17.644,17.94,17.644,17.705,15050
20070516,18.035,18.044,17.861,18.044,39638
20070517,18.035,18.053,17.905,18.001,42743
20070518,18.218,18.244,18.018,18.079,20222
20070521,18.218,18.331,18.114,18.27,17580
20070522,18.427,18.436,18.131,18.218,133510
20070523,18.296,18.305,17.844,17.905,110067
20070524,17.87,17.913,17.426,17.461,43317
20070525,17.67,17.853,17.67,17.844,127641
20070529,17.966,18.009,17.757,17.853,38031
20070530,17.635,17.861,17.47,17.861,60665
20070531,18.061,18.105,17.983,17.992,66979
20070601,18.201,18.201,18.07,18.14,40101
20070604,18.105,18.122,18.009,18.122,13560
20070605,18.122,18.227,18.105,18.157,15512
20070606,18.149,18.149,17.853,17.87,22060
20070607,17.957,18.018,17.583,17.618,29985
20070608,17.661,17.983,17.661,17.974,19879
20070611,18.044,18.183,17.966,18.114,18039
20070612,18.009,18.027,17.844,17.844,12756
20070613,18.105,18.131,17.966,18.079,15626
20070614,18.209,18.384,18.201,18.357,15397
20070615,18.488,18.592,18.488,18.566,24130
20070618,18.653,18.732,18.584,18.662,20797
20070619,18.714,18.871,18.653,18.81,37000
20070620,19.002,19.062,18.74,18.775,43316
20070621,18.949,19.071,18.827,19.071,40899
20070622,19.062,19.071,18.888,18.932,14477
20070625,19.019,19.019,18.688,18.749,27804
20070626,18.819,18.854,18.671,18.723,14017
20070627,18.671,18.854,18.61,18.854,19656
20070628,18.923,19.149,18.854,19.106,10687
20070629,19.193,19.245,18.984,18.984,28269
20070702,19.472,19.472,19.21,19.428,16434
20070703,19.567,19.741,19.567,19.715,13790
20070705,19.828,19.828,19.506,19.593,28727
20070706,19.707,20.01,19.707,20.01,48257
20070709,20.17,20.36,20.15,20.32,97889
20070710,20.22,20.27,19.994,20,33897
20070711,19.985,20.06,19.802,20,35045
20070712,20.08,20.47,20.08,20.47,61587
20070713,20.56,20.59,20.42,20.58,32515
20070716,20.58,20.58,20.3,20.36,66873
20070717,20.71,20.71,20.21,20.28,28612
20070718,20.03,20.07,19.811,19.942,49980
20070719,20.17,20.26,20.15,20.26,43543
20070720,20.32,20.32,20.03,20.09,56180
20070723,20.38,20.38,20.21,20.29,48368
20070724,20.22,20.23,19.68,19.741,46994
20070725,19.985,20.09,19.646,19.846,32516
20070726,19.785,19.785,18.888,19.263,78815
20070727,19.263,19.367,18.932,19.071,29532
20070730,19.193,19.55,19.15,19.524,33437
20070731,19.933,19.933,19.376,19.376,47910
20070801,19.167,19.167,18.679,18.888,90764
20070802,19.062,19.106,18.897,19.062,18498
20070803,18.932,18.932,18.453,18.453,25508
20070806,18.549,18.549,17.861,18.366,121443
20070807,18.27,18.558,18.079,18.444,26886
20070808,19.002,19.315,18.897,19.106,71345
20070809,18.932,18.932,18.462,18.558,23901
20070810,18.34,18.488,17.992,18.392,32402
20070813,18.566,18.697,18.462,18.462,14594
20070814,18.531,18.54,18.088,18.122,24704
20070815,17.783,17.922,17.365,17.365,58367
20070816,16.73,16.93,16.068,16.669,58373
20070817,17.652,17.652,17.026,17.531,51249
20070820,17.853,17.853,17.383,17.626,51242
20070821,17.609,17.618,17.409,17.618,21140
20070822,18.227,18.479,18.192,18.471,35390
20070823,18.714,18.714,18.236,18.375,29875
20070824,18.566,19.01,18.558,18.975,36193
20070827,19.472,19.872,19.472,19.82,37115
20070828,19.524,19.524,18.732,18.74,22750
20070829,19.045,19.576,19.045,19.576,39411
20070830,19.419,19.585,19.228,19.324,18845
20070831,19.898,20.09,19.846,20,46877
20070904,20.01,20.32,19.86,20.22,36079
20070905,20.05,20.05,19.707,19.785,26314
20070906,20.24,20.24,19.794,20.01,30448
20070907,19.611,19.646,19.402,19.472,47567
20070910,19.863,19.863,19.263,19.593,31594
20070911,19.55,19.898,19.55,19.872,59512
20070912,19.776,19.881,19.654,19.741,13561
20070913,19.942,20.02,19.872,19.942,21143
20070914,19.933,20.11,19.846,20.11,29069
20070917,20.04,20.08,19.846,20.04,24243
20070918,20.17,20.91,20.16,20.91,98151
20070919,21.26,21.36,20.99,21.11,131667
20070920,21.18,21.18,20.86,20.93,48830
20070921,21.25,21.47,21.25,21.47,52512
20070924,22.17,22.23,21.86,22.04,84565
20070925,22.1,22.25,21.9,22.25,59634
20070926,22.62,22.62,22.39,22.54,84795
