Date,Open,High,Low,Close,Volume
20070508,37.48,37.48,37.48,37.48,200
20070509,37.5,38.12,37.5,37.94,3200
20070510,37.9,37.9,37.84,37.84,600
20070511,37.85,37.86,37.85,37.86,2000
20070514,37.65,37.66,37.59,37.59,2100
20070516,36.97,36.97,36.5,36.5,1728
20070517,36.11,36.11,36,36.04,2393
20070518,35.66,35.68,35.44,35.55,8639
20070521,35.57,35.64,35.57,35.64,3987
20070522,35.92,36.33,35.92,36.33,4265
20070523,36.08,36.08,36.06,36.06,1861
20070524,35.55,35.55,35.17,35.17,7178
20070525,35.45,35.82,35.45,35.77,13427
20070529,36.41,36.41,36.41,36.41,266
20070530,37.22,37.22,37.22,37.22,798
20070531,37.22,37.23,37.22,37.23,11033
20070601,36.01,36.01,36.01,36.01,94
20070605,37.05,37.05,37.05,37.05,7045
20070606,36.8,36.84,36.8,36.84,798
20070608,35.73,35.9,35.73,35.9,2261
20070611,35.73,35.73,35.73,35.73,133
20070612,35.43,36.11,34.86,34.98,2925
20070613,35.43,35.54,35.35,35.35,1596
20070614,35.58,35.65,35.58,35.65,2792
20070615,35.71,35.89,35.71,35.89,2526
20070618,35.28,35.33,35.28,35.33,798
20070619,34.98,34.98,34.98,34.98,266
20070620,34.76,34.76,34.53,34.53,798
20070621,34.45,34.45,34.13,34.13,5982
20070622,34.03,34.03,34.03,34.03,133
20070625,33.25,33.25,33.25,33.25,133
20070626,32.65,32.65,32.65,32.65,133
20070627,33.85,34,33.85,34,798
20070628,34.43,34.43,34.43,34.43,1329
20070703,34.83,34.83,34.48,34.5,924
20070705,35.03,35.03,34.99,34.99,3699
20070706,34.68,35.23,34.68,35.23,792
20070709,34.93,34.93,34.93,34.93,264
20070710,34.55,34.55,34.07,34.07,4622
20070711,33.8,33.9,33.74,33.82,17565
20070712,34.06,34.68,34.04,34.68,4094
20070713,34.68,34.9,34.68,34.9,792
20070716,34.98,35.02,34.79,34.79,396
20070717,34.65,34.83,34.65,34.83,528
20070718,33.99,33.99,33.94,33.94,264
20070719,34.83,34.83,34.66,34.66,528
20070720,34.46,34.46,34.11,34.11,660
20070723,33.84,33.84,33.57,33.57,924
20070724,33.42,33.42,32.78,32.78,1188
20070725,33.01,33.01,32.78,32.8,1585
20070726,31.8,31.98,31.63,31.98,7660
20070727,31.74,32.37,31.74,31.82,4886
20070730,31.46,31.46,31.46,31.46,132
20070731,32.33,32.41,32.33,32.41,396
20070801,30.92,31.19,30.62,30.98,4755
20070802,31.93,31.93,31.93,31.93,1321
20070803,31.49,31.49,31.35,31.35,6735
20070806,30.84,31.9,30.84,31.9,145399
20070807,31.62,31.95,31.56,31.95,4490
20070808,32.71,33.24,32.63,33.24,69860
20070809,33.16,33.54,33.16,33.54,264
20070810,32.51,32.51,32.25,32.38,1585
20070814,31.15,31.15,30.88,30.88,3829
20070815,31.61,31.61,30.19,30.19,1980
20070816,30.07,30.9,29.82,30.9,182136
20070817,32.18,32.21,31.69,31.91,75803
20070820,31.81,32.28,31.81,32.28,1585
20070821,32.74,32.78,32.73,32.75,63521
20070822,33.27,33.33,32.78,32.94,50719
20070823,32.87,32.94,32.55,32.55,26151
20070824,32.34,32.34,32.16,32.18,59559
20070827,32.12,32.12,32.12,32.12,6603
20070829,31.5,31.87,31.39,31.87,35788
20070904,33.14,33.2,33.14,33.2,7132
20070905,32.67,32.67,32.39,32.4,85971
20070906,32.57,32.68,32.48,32.68,23111
20070907,31.78,32.06,31.78,31.98,1716
20070910,31.22,31.61,31.22,31.61,10434
20070912,31.7,31.79,31.69,31.74,68020
20070913,32.3,32.5,32.24,32.44,106044
20070914,31.99,32.55,31.99,32.53,191355
20070917,32.29,32.39,32.28,32.39,14661
20070918,32.63,33.08,32.63,33.08,3169
20070919,34.37,34.49,34.32,34.32,40284
20070920,34.03,34.03,33.7,33.7,528
20070921,33.86,33.87,33.86,33.87,264
20070924,34.09,34.17,34.09,34.17,13472
20070925,34.12,34.12,33.61,33.68,1320
20070926,33.66,33.66,33.66,33.66,6539
20070927,34.02,34.02,34.02,34.02,6539
20070928,34.03,34.03,34.03,34.03,654
20071001,34.71,34.76,34.71,34.76,7324
20071002,35.28,35.47,35.28,35.46,46813
20071003,35.29,35.32,35.29,35.32,916
20071004,35.46,35.7,35.44,35.7,26414
20071005,35.88,36.45,35.88,36.45,19748
20071008,36.42,36.52,36.42,36.49,11506
20071009,36.43,36.43,36.06,36.06,1439
20071010,36.6,36.64,36.6,36.63,8108
20071011,36.91,37.06,36.81,36.81,21184
20071012,36.66,36.66,36.38,36.38,6931
20071015,36.4,36.4,35.53,35.53,655
20071017,35.38,35.38,34.66,34.71,13338
20071018,35.19,35.63,35.09,35.63,20007
20071019,34.9,34.9,34.64,34.64,1569
20071022,34.21,34.41,34.07,34.24,17914
20071023,34.92,34.92,34.6,34.6,14517
20071024,34.1,34.54,34.1,34.54,13340
20071025,34.83,34.83,34.53,34.53,916
20071026,34.73,34.73,34.73,34.73,131
20071029,34.78,34.78,34.78,34.78,262
20071030,34.73,34.73,34.73,34.73,6539
20071031,34.95,35.16,34.67,35.16,18047
20071101,34.06,34.6,34.06,34.6,785
20071102,33.78,33.78,33.35,33.35,524
20071105,33.32,33.32,32.97,33.15,3925
20071106,33.26,33.26,33.2,33.2,916
20071107,33.51,33.51,32.86,32.94,1962
20071108,34.04,34.04,32.33,32.33,524
20071109,32.59,32.59,32.59,32.59,131
20071112,32.92,32.92,32.73,32.73,654
20071113,33.04,33.65,33.04,33.65,4839
20071114,34.18,34.18,33.45,33.45,3793
20071115,32.81,32.81,32.81,32.81,262
20071116,33.19,33.19,32.81,32.81,6538
20071119,32.16,32.35,32.16,32.33,11636
20071120,31.97,31.97,31.45,31.45,5492
20071121,30.99,30.99,30.82,30.82,393
20071123,31.06,31.06,31.06,31.06,654
20071126,31.17,31.17,30.42,30.42,262
20071127,30.28,30.28,30.28,30.28,131
20071128,31.16,31.27,31.16,31.27,262
20071129,31.15,31.39,31.15,31.39,1307
20071130,32.06,32.11,32.03,32.03,13991
20071203,31.74,31.74,31.73,31.73,523
20071204,31.06,31.08,30.97,30.97,2485
20071205,31.54,31.88,31.54,31.88,13340
20071206,31.85,32.18,31.85,32.18,9807
20071207,32.93,33.01,32.9,33.01,1961
20071210,33.5,33.66,33.5,33.66,262
20071211,33.56,33.56,32.12,32.12,786
20071212,32.31,32.31,32.23,32.23,784
20071213,31.9,31.9,31.69,31.69,916
20071214,30.24,31.69,30.24,31.43,1570
20071217,30.46,30.46,29.82,29.82,4448
20071218,30.19,30.19,29.41,29.41,785
20071219,29.98,30.33,29.98,30.33,4578
20071220,30.68,30.74,30.55,30.59,27460
20071224,31.08,31.56,31.08,31.56,46558
20071226,31.35,31.49,31.35,31.49,2354
20071228,31.1,31.1,30.27,30.62,19719
20071231,30.39,30.76,30.39,30.76,1152
20080103,30.78,30.78,29.5,29.5,1920
20080104,29.06,29.06,28.53,28.53,8068
20080107,28.6,28.6,28.57,28.57,2304
20080108,29.29,29.29,28.6,28.6,512
20080109,27.85,27.85,26.71,27.07,4866
20080110,27.62,28.77,27.51,28.43,7426
20080114,28.92,29.02,28.44,28.47,640
20080115,28.06,28.09,27.94,28.07,1280
20080116,27.68,28.67,27.68,28.3,2688
20080117,28.05,28.05,27.71,27.71,2560
20080118,28.02,28.02,27.33,27.43,2048
20080122,28.11,28.11,27.01,28.06,1664
20080123,29.08,29.85,29.08,29.85,4867
20080124,30.09,30.09,29.47,29.61,9861
20080125,29.5,29.5,29.5,29.5,256
20080128,29.16,30.6,29.16,30.6,7812
20080129,31.1,31.1,30.74,30.76,768
20080130,30.23,30.65,29.53,29.53,16261
20080131,29.41,29.44,29.4,29.44,17416
20080201,30.22,31.06,30.22,30.95,23816
20080204,31,31,30.64,30.64,4480
20080206,29.74,29.75,29.43,29.67,512
20080207,28.92,29.44,28.92,29.39,5760
20080208,29.47,29.47,29.15,29.17,9475
20080211,28.93,28.93,28.16,28.48,3328
20080212,29.61,29.61,28.3,28.38,16901
20080213,29.07,29.07,27.92,28.7,3457
20080214,28.66,28.66,28.49,28.49,7427
20080219,28.78,28.78,28.21,28.21,2688
20080220,29.69,29.69,27.99,28.33,896
20080221,28.67,28.67,28.4,28.4,512
20080222,27.96,27.96,27.79,27.95,6403
20080225,28.47,29.05,28.32,29.05,13574
20080226,29.47,29.79,29.22,29.59,23940
20080227,29.66,29.66,29.35,29.5,7425
20080228,28.69,29.35,28.69,29.07,14208
20080229,33.6,33.6,28.35,28.38,3456
20080303,28.42,28.46,28.42,28.46,512
20080304,27.84,28.23,27.78,28.23,3200
20080305,28.39,28.48,27.95,28.29,7425
20080306,27.75,27.75,27.33,27.33,3201
20080307,27.53,27.53,27.53,27.53,640
20080310,27.41,27.41,27.31,27.31,1536
20080311,27.95,28.73,27.95,28.73,15110
20080312,29.17,29.17,28.82,28.92,3969
20080313,27.68,28.75,27.63,28.66,4864
20080314,28.12,28.14,28.04,28.14,4225
20080317,27.07,28.11,27.07,27.94,3584
20080318,28.71,28.71,28.71,28.71,768
20080319,29.63,29.63,29.27,29.27,512
20080320,29.4,29.4,29.4,29.4,128
20080324,30.29,30.88,30.29,30.63,1664
20080325,30.48,30.62,30.38,30.39,5808
20080326,30.18,30.28,29.99,29.99,21088
20080327,30.28,30.3,30.14,30.17,2020
20080328,29.71,29.71,29.71,29.71,126
20080331,29.97,30.04,29.64,29.64,3663
20080401,30.85,30.96,30.85,30.96,1388
20080402,31.93,31.93,31.05,31.49,6313
20080403,31.45,31.96,31.43,31.96,2778
20080404,31.78,31.78,31.49,31.49,4293
20080408,31.34,31.34,31.01,31.01,2779
20080410,30.92,30.93,30.92,30.93,253
20080416,31.09,31.57,31.02,31.57,19430
20080417,30.51,31.99,30.51,31.98,2365
20080418,32.53,32.53,32.41,32.47,2343
20080421,31.94,32.06,31.79,31.85,36747
20080422,31.42,32.06,31.42,32.06,2778
20080423,32.22,32.66,32.17,32.54,5809
20080424,32.47,32.67,32.25,32.25,8587
20080425,33.19,33.19,32.71,32.95,4168
20080428,33,33.02,33,33.02,442
20080429,32.75,32.75,32.75,32.75,1263
20080430,33.41,33.41,32.22,32.22,9247
20080501,31.96,32.52,31.96,32.52,1262
20080502,32.99,32.99,32.82,32.82,918
20080505,32.53,32.54,32.53,32.54,1263
20080506,32.31,32.31,32.31,32.31,1263
20080507,32.55,32.55,32.55,32.55,410
20080508,32.27,32.27,31.96,31.97,2107
20080509,31.06,31.95,31.06,31.95,1389
20080512,32.3,32.3,32.3,32.3,1263
20080513,33.07,33.07,32.64,32.64,2731
20080514,33.69,33.69,32.97,33.01,1903
20080515,33.34,33.34,33.34,33.34,1254
20080516,33.12,33.24,33.12,33.24,988
20080520,32.62,32.62,32.54,32.54,1623
20080521,32.8,32.83,32.45,32.45,2826
20080522,32.02,32.05,31.75,31.75,4166
20080523,31.58,31.73,31.58,31.73,2147
20080527,32.24,32.24,31.89,32.14,7606
20080528,32.17,32.17,32.14,32.14,418
20080529,32.28,32.49,32.27,32.49,757
20080530,32.59,32.6,32.35,32.47,97852
20080602,32.25,32.25,31.7,31.79,10731
20080603,31.92,32.06,31.68,31.96,19570
20080604,31.82,32.36,31.82,32.01,10731
20080605,32.28,32.81,32.2,32.81,7398
20080606,32.64,32.64,31.56,31.56,10950
20080609,31.61,31.79,30.74,30.74,13003
20080610,30.42,30.71,30.29,30.7,10416
20080611,30.71,30.79,30.34,30.47,13132
20080612,30.66,30.66,30.3,30.36,4687
20080613,30.54,30.75,30.35,30.75,8976
20080616,31.28,31.31,31.26,31.28,5050
20080617,31.2,31.27,31.2,31.27,1033
20080618,30.44,30.44,30.36,30.36,830
20080619,30.42,30.85,30.4,30.85,6143
20080620,30.73,30.73,30.18,30.2,8343
20080623,30.38,30.38,29.86,29.86,757
20080624,29.67,29.67,29.44,29.46,5629
20080625,30.12,30.12,29.99,29.99,750
20080626,29.94,30.05,29.47,29.47,61137
20080627,29.3,29.37,28.78,28.96,10501
20080630,28.87,29.15,28.71,28.93,23537
20080701,28.55,28.94,28.51,28.93,8394
20080702,29.15,29.17,28.71,28.71,5843
20080703,28.54,28.67,28.38,28.67,3875
20080707,28.32,28.38,27.79,27.81,26966
20080708,27.68,29.79,27.67,29.78,11175
20080710,28.87,29.41,27.72,28.35,8628
20080711,28.02,28.33,27.79,28.33,2929
20080714,28.2,29.33,27.94,27.94,2700
20080715,26.9,26.9,26.56,26.56,1389
