Date,Open,High,Low,Close,Volume
20070510,13.655,13.655,13.607,13.607,4577
20070511,13.689,13.689,13.621,13.641,14762
20070514,13.702,13.716,13.607,13.607,19188
20070515,13.621,13.621,13.58,13.58,10334
20070516,13.424,13.424,13.241,13.269,18603
20070517,13.086,13.086,13.079,13.079,7382
20070518,12.882,12.916,12.835,12.916,11959
20070521,12.984,12.984,12.977,12.977,5906
20070522,13.025,13.214,13.025,13.214,13288
20070523,13.14,13.275,13.113,13.113,9154
20070524,12.998,12.998,12.855,12.869,41487
20070529,13.269,13.39,13.269,13.39,16240
20070530,13.438,13.716,13.438,13.716,5020
20070531,13.804,13.804,13.682,13.682,2067
20070601,13.634,13.634,13.634,13.634,738
20070605,13.655,13.655,13.655,13.655,738
20070606,13.39,13.445,13.39,13.445,591
20070612,12.781,12.828,12.781,12.828,1181
20070618,12.889,12.896,12.889,12.896,6644
20070619,12.781,12.781,12.781,12.781,7382
20070621,12.483,12.7,12.463,12.524,62010
20070622,12.503,12.551,12.503,12.524,66438
20070629,12.625,12.625,12.429,12.429,8267
20070702,12.618,12.727,12.618,12.727,886
20070710,12.659,12.659,12.557,12.557,886
20070711,12.469,12.469,12.469,12.469,148
20070716,12.862,12.91,12.774,12.774,2067
20070717,12.679,12.727,12.659,12.7,3984
20070718,12.564,12.564,12.564,12.564,148
20070723,12.429,12.429,12.266,12.266,887
20070726,11.514,11.514,11.514,11.514,148
20070727,11.555,11.555,11.555,11.555,1624
20070730,11.48,11.48,11.48,11.48,7382
20070731,11.514,11.514,11.514,11.514,148
20070801,11.399,11.48,11.399,11.48,886
20070802,11.616,11.616,11.616,11.616,7382
20070806,11.189,11.406,11.189,11.406,9891
20070807,11.596,11.751,11.596,11.751,590
20070808,11.948,11.955,11.948,11.955,590
20070809,11.758,11.758,11.758,11.758,1624
20070813,11.677,11.677,11.657,11.657,295
20070814,11.338,11.338,11.338,11.338,5020
20070815,11.176,11.521,11.176,11.176,10630
20070816,11.257,11.257,11.176,11.176,296
20070817,11.731,11.731,11.731,11.731,148
20070821,11.921,12.029,11.921,12.029,886
20070822,12.158,12.158,12.158,12.158,148
20070823,12.124,12.124,12.124,12.124,295
20070824,11.975,11.975,11.975,11.975,1772
20070829,11.528,11.657,11.501,11.657,2361
20070830,11.67,11.799,11.67,11.778,2215
20070904,12.286,12.286,12.286,12.286,295
20070906,12.016,12.056,12.016,12.056,2657
20070910,11.751,11.751,11.589,11.589,7677
20070912,11.846,11.853,11.839,11.839,7678
20070913,11.948,12.09,11.941,12.09,1476
20070914,12.124,12.124,12.117,12.117,1329
20070917,12.063,12.063,12.043,12.043,6939
20070919,12.903,12.903,12.7,12.754,14763
20070920,12.801,12.801,12.49,12.51,4873
20070921,12.605,12.605,12.564,12.564,3691
20070924,12.578,12.679,12.578,12.679,443
20070925,12.551,12.551,12.51,12.51,1181
20070927,12.652,12.652,12.652,12.652,3248
20070928,12.618,12.645,12.618,12.645,738
20071001,12.794,12.889,12.794,12.869,3544
20071002,12.937,13.052,12.937,13.052,1624
20071003,13.092,13.092,13.086,13.086,2214
20071004,13.113,13.113,13.113,13.113,148
20071005,13.424,13.451,13.424,13.451,2953
20071009,13.16,13.16,13.14,13.14,2657
20071011,13.424,13.424,13.174,13.174,2363
20071012,13.248,13.248,13.133,13.133,591
20071015,12.943,12.943,12.943,12.943,295
20071017,12.591,12.591,12.591,12.591,148
20071018,12.612,12.747,12.578,12.747,1771
20071019,12.612,12.612,12.537,12.537,3396
20071022,11.975,12.226,11.975,12.226,4577
20071025,12.442,12.442,12.273,12.273,1919
20071029,12.449,12.469,12.449,12.469,2362
20071031,12.605,12.659,12.605,12.659,3986
20071101,12.415,12.415,12.226,12.259,2807
20071102,12.226,12.226,12.009,12.009,12844
20071108,11.636,11.636,11.596,11.596,3248
20071113,11.934,12.056,11.9,12.056,1920
20071114,12.117,12.117,11.914,11.914,3248
20071116,11.596,11.596,11.596,11.596,148
20071119,11.548,11.548,11.447,11.447,2067
20071120,11.27,11.487,11.27,11.359,5611
20071121,11.182,11.182,11.182,11.182,3986
20071204,11.203,11.257,11.203,11.237,4577
20071206,11.596,11.914,11.596,11.914,2068
20071207,11.948,12.07,11.887,11.887,7381
20071210,12.077,12.137,12.056,12.056,8712
20071211,12.124,12.131,11.616,11.616,15946
20071212,11.833,11.833,11.467,11.48,4134
20071213,11.359,11.359,11.257,11.257,739
20071217,10.851,10.851,10.749,10.749,443
20071218,10.803,10.823,10.803,10.823,295
20071220,10.823,10.823,10.823,10.823,1181
20071224,11.34,11.34,11.34,11.34,21050
20071226,11.465,11.465,11.465,11.465,577
20071227,11.264,11.278,11.195,11.195,30277
20071231,10.855,10.993,10.855,10.993,2018
20080102,10.903,10.903,10.813,10.813,5190
20080103,10.612,10.612,10.612,10.612,865
20080107,10.348,10.348,10.147,10.147,8939
20080109,9.904,9.904,9.551,9.821,12828
20080110,9.853,10.404,9.853,10.174,10034
20080111,10.002,10.196,10.002,10.099,2306
20080114,10.161,10.161,9.932,9.932,20964
20080115,9.904,9.904,9.87,9.904,1297
20080116,9.918,10.113,9.898,10.113,6345
20080117,9.925,9.925,9.925,9.925,144
20080118,10.015,10.015,10.015,10.015,288
20080122,9.995,10.106,9.995,10.106,865
20080123,10.217,10.508,10.217,10.508,288
20080124,10.841,10.841,10.716,10.799,1730
20080125,10.917,10.917,10.501,10.501,3172
20080128,10.744,10.875,10.744,10.848,1008
20080129,10.938,10.952,10.917,10.917,2451
20080130,10.917,10.938,10.917,10.938,432
20080131,10.57,10.875,10.57,10.875,11822
20080204,11.264,11.264,11.07,11.188,12256
20080205,11.097,11.097,10.931,10.931,1730
20080206,10.862,10.869,10.681,10.737,2307
20080207,10.792,10.792,10.695,10.695,1442
20080208,10.785,10.785,10.55,10.55,14993
20080211,10.348,10.39,10.314,10.334,2162
20080212,10.522,10.522,10.452,10.452,721
20080213,10.591,10.654,10.591,10.64,576
20080214,10.633,10.64,10.459,10.459,1730
20080215,10.404,10.466,10.334,10.445,11102
20080219,10.543,10.543,10.39,10.404,1153
20080220,10.418,10.536,10.348,10.501,4324
20080221,10.654,10.654,10.654,10.654,144
20080222,10.244,10.48,10.244,10.48,1729
20080225,10.48,10.744,10.466,10.744,8650
20080226,10.855,10.952,10.82,10.903,8794
20080227,10.993,10.993,10.855,10.869,13697
20080228,10.681,10.688,10.681,10.681,432
20080229,10.57,10.57,10.543,10.543,288
20080303,10.494,10.515,10.48,10.515,3605
20080304,10.328,10.328,10.314,10.314,1442
20080305,10.48,10.48,10.445,10.445,288
20080307,10.022,10.161,9.988,10.161,3316
20080311,10.293,10.348,10.251,10.348,1441
20080313,10.432,10.515,10.432,10.515,721
20080314,10.751,10.751,10.418,10.494,2451
20080317,10.21,10.404,10.175,10.404,1731
20080318,10.771,10.834,10.73,10.834,577
20080319,10.98,11.021,10.841,10.841,1730
20080320,11.063,11.361,10.862,11.361,13409
20080324,11.937,11.937,11.347,11.514,19465
20080325,11.486,11.527,11.486,11.527,288
20080326,11.271,11.347,11.271,11.299,2740
20080327,11.451,11.451,11.181,11.181,7065
20080328,11.118,11.25,11.021,11.021,6199
20080331,11.084,11.541,11.084,11.139,3846
20080401,11.25,11.271,11.25,11.271,1297
20080402,11.715,11.763,11.638,11.708,6488
20080403,12.062,12.062,11.666,12.006,12111
20080404,11.937,11.937,11.784,11.784,2450
20080407,11.736,11.756,11.618,11.756,3314
20080408,11.611,11.694,11.541,11.625,1873
20080409,11.486,11.507,11.292,11.292,864
20080410,11.347,11.486,11.347,11.361,9659
20080411,11.375,11.375,11.299,11.306,7642
20080414,11.243,11.326,11.208,11.208,2133
20080415,11.264,11.264,11.181,11.201,4037
20080416,11.514,11.756,11.507,11.756,5262
20080417,11.715,11.805,11.694,11.798,1442
20080418,11.909,12.02,11.791,11.84,16580
20080422,11.576,11.673,11.576,11.673,720
20080423,11.777,11.819,11.715,11.777,5603
20080425,11.999,12.075,11.985,12.075,3423
20080428,12.179,12.561,12.048,12.089,6527
20080429,11.937,11.937,11.888,11.888,1442
20080430,12.027,12.027,11.784,11.784,1730
20080501,11.874,11.93,11.847,11.93,2969
20080502,12.124,12.179,11.978,11.978,5191
20080505,12.02,12.02,11.618,11.957,8492
20080507,11.777,11.777,11.77,11.77,1442
20080508,11.853,11.853,11.659,11.756,9056
20080509,11.673,11.673,11.569,11.569,2253
20080513,11.867,11.951,11.867,11.937,960
20080515,11.964,12.11,11.964,12.103,1801
20080516,11.971,12.117,11.971,12.117,3172
20080519,12.048,12.138,12.048,12.075,14913
20080520,11.978,11.978,11.923,11.923,1222
20080521,11.77,11.77,11.736,11.736,1352
20080522,11.708,11.708,11.576,11.576,5209
20080523,11.514,11.514,11.514,11.514,486
20080527,11.638,11.638,11.638,11.638,144
20080528,11.708,11.708,11.708,11.708,144
20080529,11.798,11.798,11.798,11.798,288
20080530,11.777,11.777,11.777,11.777,1442
20080602,11.618,11.652,11.541,11.597,4944
20080603,11.618,11.666,11.59,11.645,1168
20080604,11.631,11.736,11.631,11.708,721
20080605,11.798,11.944,11.798,11.944,504
20080606,11.708,13.178,11.59,11.659,14289
20080609,11.562,11.597,11.354,11.361,10871
20080610,11.16,11.347,11.16,11.347,1153
20080611,11.215,11.215,11.208,11.208,1154
20080612,11.208,11.243,11.208,11.243,576
20080613,11.215,11.306,11.215,11.306,1157
20080616,11.444,11.534,11.444,11.534,1010
20080617,11.451,11.451,11.451,11.451,144
20080618,11.132,11.132,11.07,11.118,6056
20080619,11.028,11.167,11.028,11.132,3316
20080620,11.139,11.16,11.049,11.049,5767
20080623,11.007,11.056,10.831,10.831,1722
20080624,10.726,10.915,10.634,10.894,17787
20080625,10.859,11.098,10.831,10.908,41568
20080626,10.775,10.845,10.578,10.578,26138
20080627,10.634,10.641,10.416,10.494,4268
20080630,11.056,11.056,10.444,10.529,6399
20080701,10.346,10.494,10.346,10.494,13090
20080703,10.304,10.304,10.304,10.304,378
20080707,10.248,10.248,10.121,10.121,2917
20080708,10.051,10.402,10.051,10.402,5122
20080709,10.002,10.002,9.959,9.959,2846
20080711,9.65,10.184,9.65,10.072,6801
20080714,9.819,9.819,9.819,9.819,285
20080715,9.861,9.931,9.812,9.833,2134
20080716,9.756,10.037,9.742,10.037,3700
20080717,10.276,10.283,10.276,10.283,569
20080718,10.543,10.599,10.43,10.599,3130
20080721,10.683,10.683,10.255,10.606,6830
20080722,10.522,10.599,10.48,10.599,995
20080723,11.112,11.267,11.077,11.267,2562
20080724,11.246,11.246,10.444,10.451,15675
20080725,10.592,10.676,10.536,10.606,6828
20080728,10.775,10.775,10.416,10.416,6760
20080729,10.662,10.936,10.662,10.894,1992
20080730,10.979,10.979,10.768,10.979,2134
20080731,10.852,10.887,10.719,10.796,3130
20080801,10.74,10.81,10.719,10.81,1138
20080804,10.74,10.74,10.627,10.627,284
20080805,10.873,11.196,10.873,11.196,2881
20080806,11.105,11.133,11.105,11.133,4553
20080808,10.873,11.225,10.859,11.218,13586
20080811,11.218,11.442,11.218,11.393,12559
20080812,11.225,11.225,11.225,11.225,285
20080813,10.972,11.028,10.943,10.993,3116
20080814,11.513,11.52,11.126,11.225,11597
20080815,11.302,11.302,11.098,11.098,2562
20080818,11.196,11.196,10.852,10.929,8900
20080819,10.726,10.726,10.62,10.69,12520
20080820,10.641,10.712,10.606,10.648,9756
20080821,10.55,10.578,10.515,10.55,3132
20080822,10.74,10.761,10.627,10.627,2721
20080825,10.775,10.775,10.578,10.613,3842
20080826,10.55,10.697,10.55,10.613,6829
20080827,10.697,10.74,10.697,10.704,2276
20080828,10.929,11.133,10.866,11.133,5015
20080829,11.035,11.161,11.035,11.049,3158
20080902,11.323,11.323,10.936,11.035,4066
20080903,11.084,11.154,11.084,11.154,284
20080904,11.112,11.126,10.936,10.936,3009
20080905,10.894,10.894,10.894,10.894,142
20080908,11.604,11.604,11.246,11.457,2705
20080909,11.435,11.471,11.021,11.021,988
20080911,10.922,11.007,10.922,11.007,2704
20080912,11.112,11.112,11.112,11.112,427
20080915,9.931,11.97,9.833,10.648,9394
20080916,10.543,10.768,10.522,10.768,2447
20080917,10.88,10.901,10.501,10.529,5762
20080918,9.861,10.95,9.861,10.95,5122
20080919,11.513,11.534,11.513,11.527,1506
20080922,11.281,11.316,10.754,10.754,2741
20080923,10.873,10.901,10.859,10.901,2026
20080924,11.759,11.759,10.564,10.943,85428
20080925,12.005,12.307,10.719,11.576,216275
20080926,10.838,11.703,10.838,11.421,100153
20080929,10.873,11.049,10.311,10.761,38956
20080930,10.543,10.936,10.458,10.908,18713
20081001,11.688,12.23,10.768,12.23,102467
20081002,11.056,11.056,9.924,9.959,73492
20081003,10.276,10.543,9.685,9.72,40216
20081006,9.243,9.453,8.132,9.306,42408
20081007,9.025,9.418,8.744,8.779,2212
20081008,8.083,8.842,7.816,8.392,46352
20081009,8.638,8.638,7.942,7.949,11521
20081010,7.155,9.496,6.7052,8.701,45959
20081013,9.868,9.868,8.476,9.137,47822
20081014,10.072,10.121,7.977,8.427,70453
20081015,8.252,8.708,7.45,7.45,28891
20081016,7.457,7.654,7.063,7.492,22521
20081017,7.872,8.427,7.549,7.788,10327
20081020,7.802,8.048,7.457,7.612,8640
20081021,7.689,7.781,7.577,7.577,15760
20081022,7.155,7.303,6.635,6.7685,78336
20081023,6.6842,6.8669,6.1781,6.6701,68462
20081024,6.5366,6.5366,6.2624,6.3749,6815
20081027,6.642,6.642,5.8337,6.1078,12245
20081028,6.1359,6.5014,5.9883,6.4944,45686
20081029,6.6701,7.029,6.5998,7.022,17883
20081030,6.8599,6.9161,6.4733,6.9161,32412
20081031,6.8036,7.464,6.8036,7.401,5630
20081103,7.64,7.64,7.275,7.303,6286
20081104,7.422,7.612,7.422,7.612,10011
20081105,7.422,7.422,7.029,7.057,7946
20081106,6.7755,6.8528,6.5366,6.5366,3325
20081107,6.656,6.7404,6.642,6.6701,1286
20081110,6.4311,6.9372,6.3257,6.3257,5827
20081111,6.157,6.157,6.0305,6.0305,499
20081112,5.9602,6.0164,5.8267,5.8267,51084
20081113,5.7002,5.8618,5.5947,5.5947,32368
20081114,5.7494,6.2343,5.7283,6.0164,4846
20081117,5.5034,5.7212,5.412,5.7212,12378
20081118,5.1519,5.173,5.1308,5.173,3130
20081119,5.1098,5.1168,4.92,4.92,11027
20081120,4.4702,4.8567,4.2101,4.2101,22269
20081121,4.1328,4.435,4.0274,4.3155,38219
20081124,4.196,5.3347,4.196,5.3347,8252
20081125,6.389,6.389,5.2082,5.2082,17263
20081126,5.405,5.7212,5.405,5.651,16400
20081128,5.7212,5.7494,5.7212,5.7494,284
20081201,5.4542,5.4542,5.0114,5.0114,5027
20081202,4.7443,4.8778,4.7443,4.8778,1422
20081203,5.166,5.166,5.0254,5.0606,14363
20081204,5.658,5.658,5.5244,5.5947,8226
20081205,5.3839,5.7986,5.3347,5.7986,6699
20081208,6.1359,6.4382,6.0867,6.4382,3638
20081209,6.3116,6.3398,6.3116,6.3398,2134
20081210,6.4311,6.881,6.0586,6.4522,177688
20081211,7.099,7.099,5.4542,5.4542,50930
20081212,5.4471,6.0375,5.419,6.0375,17569
20081215,6.0164,6.0164,5.7142,5.904,41063
20081216,6.0516,6.5014,5.9602,6.5014,32853
20081217,6.4592,7.05,6.396,6.8739,124939
20081218,7.408,7.408,6.1711,6.3679,64416
20081219,6.7474,7.3519,6.2484,6.5225,27142
20081222,6.6279,6.6279,6.1922,6.1922,1707
20081223,6.3991,6.4773,6.3351,6.3351,19368
20081224,6.3049,6.3706,6.2736,6.3706,20484
20081226,6.3951,6.4488,6.2884,6.4488,16263
20081229,6.2782,6.2782,6.0676,6.153,14091
20081230,6.2711,6.2711,6.2,6.221,4310
20081231,6.3848,6.7261,6.1502,6.6835,39692
20090102,6.6053,6.7403,6.5342,6.5768,95767
20090105,6.4062,6.527,6.3422,6.3991,23962
20090106,6.4986,6.7261,6.3658,6.7119,10099
20090107,6.5125,6.6408,6.4133,6.463,52091
20090108,6.4002,6.4062,6.3848,6.3991,8614
20090109,7.046,7.046,6.0791,6.0791,24050
20090112,6.0293,6.0293,5.6738,5.6738,3990
20090113,5.6448,5.9085,5.6448,5.8303,12578
20090114,5.7023,5.7023,5.5459,5.5518,23913
20090115,5.5743,5.8018,5.3183,5.6525,105574
20090116,5.8658,5.9369,5.6872,5.8587,27518
20090120,5.7023,5.7023,5.4747,5.489,9562
20090121,5.4321,5.6596,5.2828,5.6596,16894
20090122,5.6809,5.816,5.4605,5.7165,24385
20090123,5.3752,5.6881,5.3681,5.6881,18619
20090126,5.6525,5.8303,5.6525,5.754,16045
20090127,5.7805,5.7805,5.6793,5.7572,7374
20090128,5.925,6.1218,5.925,6.11,7238
20090129,6.0507,6.1147,6.0436,6.072,7492
20090130,5.8303,5.8658,5.5459,5.5459,11267
20090202,5.4676,5.5316,5.3965,5.4736,3103
20090203,5.5672,5.5814,5.5174,5.5601,10090
20090204,5.5459,5.6738,5.4748,5.4748,3868
20090205,5.2248,5.4961,5.2248,5.4961,4081
20090206,5.3539,5.7023,5.3539,5.7023,4773
20090209,5.7023,5.7023,5.6738,5.6738,525
20090210,5.7236,5.7236,5.2472,5.2472,8393
20090211,5.2899,5.2899,5.1192,5.2046,29678
20090212,5.105,5.1761,4.987,5.1619,24638
20090213,5.1192,5.1192,4.9825,5.018,3521
20090217,5.2046,5.2046,4.65,4.6571,8411
20090218,4.6571,4.6571,4.458,4.6062,262299
20090219,4.6998,4.7424,4.4722,4.4865,34945
20090220,4.26,4.6642,4.26,4.6642,16329
20090223,4.6926,4.6926,4.3371,4.3371,17160
20090224,4.4306,4.7211,4.3311,4.7211,5909
20090225,4.6642,4.6642,4.5149,4.6358,5753
20090226,4.7069,4.7424,4.4011,4.4011,33831
20090227,4.266,4.5078,4.2589,4.3451,2476
20090302,4.2518,4.2518,4.0357,4.0357,6988
20090303,4.1025,4.1025,3.875,4.0172,23708
20090304,4.1808,4.2234,4.0599,4.1452,2955
20090305,4.0541,4.0954,3.8763,3.8906,8923
20090306,3.8608,3.8608,3.6475,3.8465,15387
20090309,3.7612,3.8821,3.7612,3.8821,3755
20090310,4.0131,4.3514,4.0131,4.3497,30434
20090311,4.4082,4.4509,4.4082,4.4509,704
20090312,4.4082,4.7424,4.4082,4.7424,27839
20090313,4.6926,4.714,4.6571,4.6571,1744
20090316,4.6002,4.6642,4.5433,4.5433,703
20090317,4.4865,4.4865,4.2447,4.4153,13807
20090318,4.5718,4.6144,4.4793,4.5718,3149
20090319,4.9344,4.9344,4.6358,4.6358,7771
20090320,4.3941,4.4011,4.2732,4.2732,2672
20090323,4.4082,4.6215,4.4082,4.6215,5099
20090324,4.7832,4.7851,4.7832,4.7851,1617
20090325,4.5291,4.6358,4.2305,4.4296,12804
20090326,4.33,4.6784,4.33,4.6784,23435
