Date,Open,High,Low,Close,Volume
20110224,24.96,25.14,24.83,25.14,1700
20110225,24.1,24.23,24.1,24.16,1200
20110228,24,24.16,23.84,24,3540
20110301,23.99,25.39,23.99,25.39,1900
20110302,25.39,25.63,25.12,25.38,209100
20110303,24.51,24.51,23.79,23.79,7300
20110304,24.22,24.96,24.22,24.59,19200
20110307,24.67,25.42,24.56,25.14,20590
20110308,25.03,25.1,24.35,24.43,48720
20110309,24.84,24.92,24.51,24.69,27470
20110310,24.78,25.01,24.38,24.83,48700
20110311,24.8,25.1,24.72,24.72,57200
20110314,25.47,25.72,25.28,25.36,63100
20110315,25.32,25.55,24.71,24.88,57010
20110316,25.19,25.83,25.12,25.83,44700
20110317,25.2,25.63,25.2,25.42,36100
20110318,25.23,25.76,25.23,25.76,19090
20110321,25.61,25.61,25.25,25.35,5230
20110322,25.22,25.42,25.2,25.42,11900
20110323,25.73,26.22,25.64,25.71,6400
20110324,25.42,25.82,24.69,24.83,18320
20110325,24.94,25,24.32,24.67,20520
20110328,24.03,24.37,24.03,24.35,87760
20110329,24.43,24.47,24.18,24.23,45600
20110330,24.16,24.16,23.78,23.85,17800
20110331,24.38,24.48,24.31,24.38,10310
20110401,23.69,24.05,23.55,23.93,151230
20110404,24.11,24.21,24,24.15,45200
20110405,24.16,24.9,24.12,24.9,77800
20110406,24.74,24.87,24.7,24.86,50500
20110407,24.88,25.16,24.8,25.03,106210
20110408,25.08,25.77,25.07,25.65,37670
20110411,25.46,25.46,25.26,25.43,18950
20110412,25.77,25.77,25.26,25.43,24360
20110413,25.43,25.66,25.42,25.56,9800
20110414,26.17,26.23,26.04,26.1,13920
20110415,26.34,26.4,26.24,26.39,3200
20110418,27.15,27.64,27.1,27.36,72570
20110419,27.2,27.31,27,27.01,4960
20110420,26.53,26.56,26.32,26.46,29030
20110421,26.24,26.41,26.2,26.41,16040
20110425,26.61,26.61,26.3,26.38,10150
20110426,26,26,25.6,25.74,15350
20110427,25.98,26.37,25.86,26.37,16150
20110428,26.55,26.58,26.2,26.42,12140
20110429,26.68,27.39,26.56,27.12,18200
20110502,26.66,27.38,26.62,26.62,42930
20110503,26.61,26.85,26.43,26.6,30980
20110504,26.6,27.08,26.08,26.16,38000
20110505,26.18,26.18,24.71,25.05,26000
20110506,25.24,25.56,25.06,25.56,25700
20110509,26.06,26.12,25.89,26.09,3200
20110510,25.89,26.01,25.78,25.78,4980
20110511,25.66,26.02,25.64,25.94,5800
20110512,25.73,25.77,25.49,25.59,7300
20110513,25.67,25.89,25.49,25.73,10700
20110516,25.98,25.99,25.75,25.86,5300
20110517,25.7,25.75,25.63,25.73,4000
20110518,25.96,26.14,25.68,25.68,8100
20110519,25.18,25.5,25.18,25.5,4900
20110520,25.69,26.54,25.55,26.53,65600
20110523,27.02,27.28,27.01,27.2,47610
20110524,27.34,27.56,27.32,27.52,29000
20110525,27.83,27.83,27.29,27.37,21870
20110526,27.29,27.35,26.98,26.99,2700
20110527,27.2,27.37,27.16,27.36,1700
20110531,26.9,26.95,26.84,26.93,4350
20110601,26.88,28.14,26.86,28.04,4700
20110602,28.13,28.18,27.67,27.82,9490
20110603,28.6,28.86,28.32,28.82,9480
20110606,29.09,29.54,29.04,29.45,19080
20110607,29.32,29.51,28.97,29.5,7780
20110608,29.48,29.53,29.19,29.53,8780
20110609,29.27,29.5,29.09,29.12,7800
20110610,29.04,29.74,28.99,29.68,1710
20110613,29.31,29.43,28.86,28.99,8650
20110614,28.5,28.57,28.32,28.47,8180
20110615,28.86,29.89,28.86,29.88,27950
20110616,29.71,30.12,29.27,29.66,16960
20110617,29.35,30.04,29.35,29.51,24500
20110620,30.07,30.22,29.45,29.53,5790
20110621,29.45,29.45,28.91,29.01,7410
20110622,29.37,29.48,29.1,29.48,26460
20110623,29.27,29.46,28.59,28.73,28940
20110624,28.63,28.63,28.3,28.42,2290
20110627,28.25,28.3,27.57,27.64,7680
20110628,27.68,27.68,27.19,27.25,27700
20110629,27.15,27.26,27.01,27.09,12550
20110630,26.88,26.91,26.15,26.15,8070
20110701,25.72,25.7212,24.88,24.88,15400
20110705,25.67,25.99,25.67,25.93,12830
20110706,26.5,26.66,26.39,26.43,16550
20110707,25.91,25.91,25.74,25.89,3290
20110708,26.75,26.92,26.66,26.67,5300
20110711,27.63,28.03,27.5,28.03,17990
20110712,28,28.67,27.74,28.67,7750
20110713,28.85,29.1,28.64,29.1,10550
20110714,29.07,29.62,29.06,29.62,13180
20110715,29.23,29.69,29.23,29.5,7700
20110718,29.96,30.79,29.96,30.51,33480
20110719,30.1,30.1,28.56,28.78,30770
20110720,28.41,29.28,28.41,29.28,14840
20110721,28.93,28.99,27.88,28.09,10690
20110722,28.5,28.89,28.36,28.52,10330
20110725,29.63,29.66,28.84,29.26,19660
20110726,29.13,29.63,29.1,29.63,12520
20110727,30.26,30.78,30.03,30.57,43000
20110728,30.71,30.87,29.83,30.87,29410
20110729,31.84,32.25,30.97,31.55,90610
20110801,29.9233,31.9,29.79,31,33450
20110802,32.53,34.91,32.43,34.87,57780
