Date,Open,High,Low,Close,Volume
20060711,15.797,15.908,15.717,15.908,311200
20060712,15.868,15.868,15.725,15.725,14900
20060713,15.685,15.685,15.477,15.485,16900
20060714,15.589,15.589,15.406,15.509,24100
20060717,15.445,15.445,15.366,15.366,4500
20060718,15.398,15.398,15.326,15.326,4000
20060719,15.485,15.701,15.485,15.701,13000
20060720,15.749,15.749,15.637,15.637,3900
20060721,15.398,15.398,15.374,15.374,101000
20060724,15.589,15.733,15.589,15.733,12500
20060725,15.797,15.9,15.749,15.9,18200
20060726,15.844,16.012,15.844,16.012,2300
20060727,16.068,16.076,15.868,15.868,7300
20060728,15.948,16.036,15.948,16.036,600
20060731,16.1,16.148,16.1,16.124,5900
20060801,16.02,16.02,15.98,15.98,3500
20060802,16.116,16.203,16.076,16.1,9200
20060803,15.972,16.084,15.972,16.084,112100
20060804,16.148,16.148,15.956,15.956,58800
20060807,15.964,15.972,15.908,15.972,24300
20060808,15.94,15.94,15.789,15.805,4500
20060809,15.924,15.948,15.836,15.836,5800
20060810,15.805,15.9,15.797,15.876,4400
20060811,15.741,15.844,15.717,15.797,85900
20060814,15.884,15.892,15.773,15.781,5400
20060815,15.948,15.996,15.884,15.996,5500
20060816,16.028,16.108,16.028,16.108,3400
20060817,16.108,16.116,16.068,16.108,5500
20060818,16.036,16.132,16.036,16.108,3800
20060821,16.052,16.076,16.052,16.068,5000
20060822,16.108,16.108,16.084,16.084,11800
20060823,15.98,15.988,15.972,15.988,3300
20060824,16.004,16.012,16.004,16.012,1400
20060825,16.052,16.052,16.052,16.052,300
20060828,16.164,16.171,16.164,16.171,800
20060829,16.092,16.211,16.092,16.211,1100
20060830,16.275,16.275,16.179,16.203,3400
20060831,16.235,16.235,16.203,16.203,1600
20060901,16.291,16.347,16.275,16.339,4100
20060905,16.331,16.435,16.331,16.419,2500
20060906,16.267,16.267,16.108,16.108,6100
20060907,16.092,16.108,15.98,16.044,4100
20060908,16.076,16.092,16.06,16.06,3100
20060911,15.988,15.988,15.828,15.892,5500
20060912,15.996,16.108,15.996,16.092,162600
20060913,16.172,16.235,16.14,16.219,454900
