Date,Open,High,Low,Close,Volume
20140806,54.75,54.75,54.75,54.75,55
20140825,54.8,54.8,54.8,54.8,1316
20140826,54.8,54.8,54.8,54.8,548
20140828,54.78,54.78,54.78,54.78,192
20140902,54.8,54.8,54.8,54.8,1260
20140903,54.76,54.8,54.76,54.8,713
20140904,54.8,54.8,54.76,54.76,713
20140905,54.82,54.82,54.82,54.82,82
20140908,54.82,54.82,54.8,54.8,1004
20140911,54.8,54.8,54.8,54.8,18583
20140912,54.75,54.78,54.74,54.74,4783
20140915,54.78,54.78,54.78,54.78,110
20140918,54.78,54.78,54.78,54.78,55
20140919,54.78,54.78,54.78,54.78,685
20140922,54.8,54.8,54.8,54.8,1206
20140923,54.71,54.74,54.71,54.74,110
20140926,54.82,54.82,54.78,54.78,199
20140929,54.74,54.75,54.74,54.74,165
20140930,54.8,54.8,54.76,54.76,110
20141001,54.78,54.78,54.71,54.71,165
20141003,54.8,54.8,54.73,54.73,329
20141006,54.8,54.8,54.79,54.79,802
20141010,54.87,54.87,54.82,54.82,49620
20141013,54.74,54.82,54.74,54.82,1206
20141015,54.74,54.78,54.74,54.78,2110
20141016,54.74,54.84,54.74,54.84,438
20141022,54.84,54.84,54.84,54.84,55
20141023,54.82,54.84,54.82,54.82,5217
20141028,54.84,54.84,54.78,54.78,623
20141029,54.8,54.82,54.77,54.8,43700
20141030,54.77,54.82,54.72,54.8,71591
20141031,54.78,54.86,54.77,54.77,54503
20141103,54.84,55,54.8,54.86,19771036
20141104,54.81,54.86,54.77,54.8,137826
20141105,54.78,54.86,54.77,54.78,92120
20141106,54.77,54.85,54.77,54.82,52393
20141107,54.81,54.86,54.78,54.84,78122
20141110,54.79,54.84,54.78,54.78,148347
20141111,54.83,54.84,54.78,54.84,175149
20141112,54.8,54.84,54.78,54.82,85654
20141113,54.78,54.81,54.78,54.79,67709
20141114,54.81,54.82,54.79,54.81,86149
20141117,54.84,54.84,54.8,54.8,118331
20141118,54.78,54.84,54.78,54.82,161802
20141119,54.79,54.83,54.79,54.79,134310
20141120,54.78,54.83,54.78,54.8,142686
20141121,54.8,54.85,54.78,54.78,149130
20141124,54.81,54.83,54.77,54.77,824362
20141125,54.8,54.82,54.78,54.79,100917
20141126,54.78,54.84,54.78,54.84,112655
20141128,54.78,54.84,54.78,54.78,61020
20141201,54.81,54.83,54.76,54.81,51066
20141202,54.84,54.84,54.8,54.81,104264
20141203,54.81,54.84,54.8,54.82,88552
20141204,54.82,54.82,54.8,54.8,68425
20141205,54.79,54.82,54.79,54.8,63594
20141208,54.79,54.81,54.78,54.79,9240970
20141209,54.8,54.83,54.79,54.79,98737
20141210,54.81,54.81,54.79,54.79,50182
20141211,54.8,54.82,54.78,54.79,41319
20141212,54.8,54.8,54.77,54.78,51497
20141215,54.81,54.83,54.79,54.82,774759
20141216,54.8,54.82,54.8,54.8,39506
20141217,54.81,54.83,54.78,54.79,40692
20141218,54.8,54.81,54.76,54.78,60611
20141219,54.73,54.8,54.73,54.76,71660
20141222,54.75,54.82,54.75,54.79,678815
20141223,54.76,54.8,54.74,54.76,72837
20141224,54.78,54.81,54.74,54.76,83755
20141226,54.75,54.82,54.74,54.75,30879
20141229,54.75,54.8,54.72,54.73,12841829
20141230,54.71,54.81,54.71,54.73,59029
20141231,54.81,54.81,54.7,54.71,43498
20150102,54.73,54.76,54.72,54.72,20649
20150105,54.78,54.79,54.77,54.78,33087
20150106,54.75,54.8,54.75,54.77,17309
20150107,54.79,54.82,54.76,54.76,17430
20150108,54.8,54.8,54.76,54.76,16227
20150109,54.76,54.81,54.76,54.77,29298
20150112,54.83,54.83,54.76,54.78,696435
20150113,54.77,54.81,54.77,54.78,15566
20150114,54.81,54.83,54.77,54.77,32371
20150115,54.78,54.85,54.78,54.78,20191
20150116,54.78,54.81,54.76,54.79,21531
20150120,54.84,54.86,54.79,54.86,5271923
20150121,54.81,54.86,54.78,54.85,4244855
20150122,54.82,54.87,54.79,54.84,92282
20150123,54.81,54.86,54.81,54.83,157683
20150126,54.79,54.84,54.79,54.81,758537
20150127,54.8,54.84,54.8,54.8,87663
20150128,54.81,54.87,54.79,54.82,178369
20150129,54.87,54.87,54.8,54.81,122388
20150130,54.86,54.89,54.8,54.87,136187
20150202,54.8,54.89,54.79,54.88,6485900
20150203,54.83,54.89,54.83,54.88,9139597
20150204,54.8,54.87,54.8,54.83,214174
20150205,54.84,54.9,54.81,54.84,180244
20150206,54.83,54.89,54.82,54.88,205309
20150209,54.89,54.89,54.81,54.83,616071
20150210,54.83,54.84,54.82,54.83,258478
20150211,54.81,54.83,54.81,54.81,232090
20150212,54.82,54.85,54.82,54.84,209017
20150213,54.91,54.91,54.82,54.84,140448
20150217,54.82,54.91,54.81,54.87,1623485
20150218,54.82,54.88,54.82,54.86,250245
20150219,54.84,54.89,54.83,54.85,244773
20150220,54.84,54.89,54.82,54.83,215848
20150223,54.85,54.91,54.85,54.85,230964
20150224,54.83,54.88,54.81,54.82,221174
20150225,54.86,54.87,54.84,54.85,250350
20150226,54.93,54.93,54.81,54.84,228982
20150227,54.83,54.92,54.82,54.86,224185
20150302,54.84,54.91,54.84,54.91,6467861
20150303,54.76,54.93,54.76,54.86,233401
20150304,54.85,54.91,54.85,54.87,130515
20150305,54.87,54.93,54.86,54.88,183541
20150306,54.85,54.88,54.84,54.88,194149
20150309,54.87,54.96,54.82,54.89,287502
20150310,54.83,54.9,54.83,54.86,172014
20150311,54.84,54.93,54.84,54.87,163131
20150312,54.9,54.97,54.86,54.94,420982
20150313,54.83,54.97,54.83,54.88,132134
20150316,54.87,54.97,54.86,54.97,1343218
20150317,54.9,54.95,54.89,54.9,415065
20150318,54.86,54.94,54.86,54.94,74743
20150319,54.91,54.92,54.87,54.9,98442
20150320,54.87,54.95,54.84,54.89,167459
20150323,54.87,54.93,54.87,54.88,349259
20150324,54.97,54.97,54.87,54.89,161933
20150325,54.89,54.95,54.89,54.89,78989
20150326,54.88,54.95,54.87,54.89,126630
20150327,54.86,54.95,54.86,54.89,194355
20150330,54.9,54.95,54.89,54.91,1333688
20150331,54.89,54.96,54.89,54.9,79625
20150401,54.9,54.97,54.89,54.91,203620
20150402,54.9,54.93,54.9,54.91,80133
20150406,54.89,54.94,54.89,54.94,122998
20150407,54.91,54.96,54.91,54.96,86245
20150408,54.91,54.97,54.91,54.93,108422
20150409,54.91,54.96,54.91,54.96,88741
20150410,54.92,54.96,54.91,54.92,177193
20150413,54.92,54.96,54.91,54.92,198913
20150414,54.92,54.94,54.92,54.93,77660
20150415,54.93,54.96,54.93,54.94,138131
20150416,54.95,54.95,54.93,54.94,101660
20150417,54.93,54.95,54.93,54.94,94975
20150420,54.92,54.97,54.92,54.95,245524
20150421,54.94,54.95,54.9,54.91,142458
20150422,54.92,54.95,54.91,54.95,346712
20150423,54.92,54.96,54.92,54.92,81408
20150424,54.95,54.97,54.92,54.94,47383
20150427,54.92,54.96,54.91,54.92,159998
20150428,54.91,54.94,54.91,54.92,60437
20150429,54.92,54.94,54.91,54.93,57332
20150430,54.9,54.94,54.89,54.94,90744
20150501,54.92,54.94,54.91,54.92,185725
20150504,54.93,54.96,54.92,54.93,214215
20150505,54.93,54.94,54.92,54.93,75189
20150506,54.92,54.96,54.92,54.94,66852
20150507,54.93,54.95,54.92,54.93,72921
20150508,54.95,54.98,54.95,54.96,42472
20150511,54.94,54.95,54.93,54.94,165164
20150512,54.95,54.97,54.94,54.94,135251
20150513,54.97,54.97,54.94,54.95,117449
20150514,54.95,54.98,54.94,54.97,305777
20150515,54.95,54.98,54.94,54.95,138810
20150518,54.97,54.97,54.94,54.95,165950
20150519,54.95,54.97,54.93,54.94,102055
20150520,54.94,54.99,54.93,54.95,106740
20150521,54.97,54.98,54.95,54.96,107369
20150522,54.94,54.98,54.92,54.96,110298
20150526,54.93,54.98,54.93,54.96,4157745
20150527,54.94,54.98,54.93,54.95,66208
20150528,54.95,54.97,54.95,54.95,76273
20150529,54.96,54.98,54.95,54.98,70172
20150601,54.96,55,54.95,54.95,2287192
20150602,54.97,54.98,54.93,54.96,80313
20150603,54.98,54.99,54.93,54.94,49918
20150604,55,55,54.94,54.95,67004
20150605,54.95,54.98,54.93,54.96,205814
20150608,54.95,54.98,54.95,54.97,90215
