Date,Open,High,Low,Close,Volume
20161010,18.545,18.545,18.545,18.545,172
20161026,18.443,18.513,18.441,18.508,10961
20161027,18.327,18.332,18.327,18.332,1807
20161028,18.443,18.545,18.443,18.545,43208
20161031,18.6,18.628,18.564,18.564,22272
20161101,18.662,18.662,18.507,18.554,4350
20161102,18.637,18.637,18.61,18.61,11754
20161103,18.535,18.535,18.348,18.35,106089
20161104,18.267,18.285,18.22,18.22,7176
20161107,18.524,18.524,18.489,18.498,1956
20161108,18.721,18.911,18.721,18.841,22128
20161109,18.313,18.517,18.313,18.471,11853
20161110,18.971,18.971,17.868,17.868,2081
20161111,17.813,17.84,17.714,17.714,1753
20161114,17.738,17.896,17.738,17.871,1337
20161115,17.989,17.989,17.989,17.989,108
20161116,17.989,18.034,17.989,18.034,3004
20161117,17.952,18.054,17.942,18.035,4704
20161118,18.021,18.034,17.979,18.026,6613
20161121,17.859,17.998,17.859,17.968,527
20161122,18.081,18.109,18.063,18.1,11256
20161123,18.081,18.081,18.072,18.072,216
20161125,18.054,18.128,18.007,18.128,2700
20161128,18.081,18.109,18.081,18.109,216
20161130,18.072,18.072,17.859,17.905,17988
20161201,17.663,17.664,17.661,17.664,1161
20161202,17.664,17.794,17.664,17.664,1141
20161205,17.786,17.786,17.786,17.786,275
20161206,17.892,17.913,17.892,17.912,597
20161207,18.063,18.063,18.063,18.063,207
20161208,18.286,18.295,18.267,18.284,3108
20161209,18.415,18.415,18.408,18.408,540
20161212,18.555,18.637,18.555,18.61,3537
20161213,18.749,18.749,18.657,18.684,3801
20161214,18.674,18.674,18.48,18.48,1338
20161215,18.545,18.693,18.545,18.6,7953
20161216,19.268,19.268,18.601,18.69,1366
20161219,18.609,18.647,18.604,18.646,6540
20161220,18.527,18.527,18.527,18.527,219
20161222,18.583,18.583,18.583,18.583,203
20161223,18.583,18.589,18.582,18.589,361
20161227,18.759,18.759,18.759,18.759,182
20161228,18.601,18.666,18.554,18.554,5938
20161229,18.563,18.601,18.563,18.601,9555
20161230,18.48,18.577,18.48,18.577,1430
20170103,18.619,18.666,18.591,18.666,39054
20170104,18.74,18.74,18.74,18.74,113
20170105,18.684,18.698,18.684,18.698,709
20170106,18.824,18.824,18.638,18.638,410
20170110,18.34,18.34,18.295,18.295,305
20170111,18.322,18.322,18.322,18.322,16382
20170112,18.286,18.315,18.247,18.315,498
20170113,18.145,18.34,18.145,18.34,9253
20170117,18.34,18.34,18.34,18.34,108
20170118,18.535,18.601,18.53,18.601,4287
20170119,18.48,18.508,18.374,18.415,8226
20170120,18.517,18.517,18.378,18.378,1209
20170123,18.489,18.498,18.433,18.48,1828
20170125,18.703,18.759,18.666,18.721,4842
20170126,18.684,18.684,18.584,18.584,5820
20170127,18.591,18.591,18.554,18.554,1371
20170131,18.47,18.47,18.449,18.449,615
20170201,18.405,18.433,18.405,18.433,1408
20170202,18.647,18.647,18.632,18.632,538
20170203,18.675,18.833,18.675,18.824,1981
20170206,18.582,18.591,18.582,18.582,2727
20170207,18.675,18.675,18.675,18.675,108
20170208,18.712,18.712,18.692,18.692,282
20170213,18.878,18.982,18.878,18.963,3476
20170214,18.907,18.907,18.907,18.907,301
20170215,19.116,19.116,19.116,19.116,127
20170216,19.298,19.298,18.917,18.928,713
20170221,19.093,19.149,19.056,19.084,1671
20170222,19.084,19.114,19.057,19.085,1386
20170223,19.065,19.149,19.065,19.149,216
20170224,19.056,19.056,19.056,19.056,4303
20170227,19.011,19.018,18.991,19.018,578
20170228,19.225,19.225,19.225,19.225,316
20170301,19.266,19.266,19.266,19.266,146
20170302,19.261,19.261,19.233,19.233,422
20170303,19.186,19.186,19.186,19.186,128
20170306,19.135,19.135,19.135,19.135,312
20170307,19.335,19.335,19.012,19.012,465
20170308,18.974,18.974,18.936,18.937,1362
20170309,19.037,19.037,19.037,19.037,1056
20170310,19.138,19.138,19.138,19.138,198
20170313,19.14,19.14,19.103,19.103,584
20170315,19.195,19.391,19.195,19.391,2519
20170317,19.4,19.4,19.4,19.4,126
20170320,19.251,19.251,19.251,19.251,430
20170321,19.251,19.259,19.212,19.259,524
20170322,19.27,19.27,19.223,19.255,2926
20170323,19.316,19.353,19.306,19.306,2566
20170324,19.278,19.297,19.161,19.241,2728
20170327,19.175,19.197,19.175,19.197,726
20170329,19.316,19.343,19.316,19.343,535
20170330,19.288,19.288,19.278,19.278,2539
20170331,19.258,19.288,19.258,19.288,468
20170405,18.925,19.22,18.925,19.102,636
20170406,19.111,19.176,19.092,19.129,751
20170407,19.129,19.129,19.129,19.129,214
20170410,19.036,19.12,19.036,19.12,609
20170411,19.148,19.148,19.137,19.137,1073
20170412,19.217,19.217,19.185,19.185,1157
20170413,19.176,19.176,19.101,19.101,2150
20170417,19.148,19.194,19.148,19.194,214
