Date,Open,High,Low,Close,Volume
20080404,25.64,25.64,25.64,25.64,100
20080407,26.02,26.12,25.88,25.88,6000
20080408,25.98,25.98,25.98,25.98,300
20080409,26.52,26.52,26.5,26.5,1500
20080410,26.86,26.88,26.46,26.59,4400
20080411,26.71,26.71,26.35,26.35,9400
20080414,26.51,26.63,26.51,26.62,2070
20080415,27.04,27.06,26.95,26.96,3280
20080416,27.16,27.16,26.84,26.94,7040
20080417,27.18,27.22,26.89,26.89,2100
20080418,26.73,26.85,26.7,26.77,1410
20080421,26.46,26.46,25.88,25.96,9850
20080422,26.24,26.75,26.24,26.75,5350
20080423,26.54,26.66,26.49,26.53,13770
20080424,26.21,26.25,26.05,26.05,1490
20080425,25.87,26.23,25.83,25.87,13330
20080428,26.23,26.23,25.75,25.96,2400
20080429,25.87,25.87,25.87,25.87,100
20080430,25.86,25.86,25.85,25.85,400
20080501,25.25,25.25,25.2,25.2,250
20080502,25.63,25.63,25.63,25.63,1000
20080505,25.53,25.58,25.51,25.58,400
20080506,25.42,26.04,25.39,25.71,6490
20080507,25.76,25.76,25.76,25.76,740
20080508,26.05,26.22,26.05,26.16,1800
20080509,26.5,26.5,26.22,26.36,2140
20080512,26.42,26.42,26.29,26.29,400
20080513,26.14,26.15,25.89,26.02,720
20080514,26.03,26.03,25.78,25.78,1100
20080515,25.84,25.84,25.55,25.82,2800
20080516,25.9,26.05,25.74,25.74,600
20080519,25.52,25.52,25.52,25.52,100
20080520,25.6,25.6,25.6,25.6,100
20080521,25.78,25.86,25.78,25.84,900
20080522,25.96,25.96,25.53,25.53,1570
20080523,25.76,25.76,25.76,25.76,500
20080527,26.01,26.01,25.56,25.57,1990
20080529,25.29,25.29,24.97,25.09,1460
20080530,25.5,25.81,25.5,25.81,1170
20080602,26.1,26.11,26.1,26.1,1460
20080603,25.74,25.91,25.74,25.74,700
20080604,25.63,25.63,25.63,25.63,100
20080605,26.28,26.48,26.28,26.48,600
20080606,26.97,26.97,26.74,26.75,500
20080609,27,27,26.65,26.66,2180
20080610,26.73,26.73,26.56,26.7,1810
20080611,27.44,28.13,27.41,28.12,7600
20080612,27.59,27.9,27.59,27.83,6830
20080613,27.82,28.04,27.75,28.04,5250
20080616,29,29.67,28.57,28.57,20270
20080617,28.88,29.08,28.83,29.07,3680
20080618,29.21,29.34,28.96,29.29,10370
20080619,29.19,29.19,28.74,28.74,5170
20080620,28.97,29.15,28.77,28.96,7180
20080623,28.71,28.73,28.4,28.67,5490
20080624,28.83,28.84,28.51,28.61,2580
20080625,28.76,29.24,28.57,28.83,6410
20080626,29.31,30.62,29.25,29.59,85420
20080627,29.96,29.96,29.52,29.81,37110
20080630,29.83,29.83,28.81,29.28,18520
20080701,29.42,29.5,29.18,29.5,9610
20080702,29.58,30.29,29.56,30.29,9740
20080703,30.16,30.16,29.97,29.97,1400
20080707,29.4,29.4,28.39,28.64,12100
20080708,28.08,28.51,27.71,28.39,16190
20080709,28.29,28.73,28.29,28.73,2120
20080710,28.81,30,28.76,28.76,800
20080711,29.1,29.1,28.62,28.95,2410
20080714,30.6,30.6,28.45,28.45,1000
20080715,28.69,28.83,28.33,28.33,2500
20080716,28.31,28.4,27.79,28.4,2900
20080717,28.21,28.21,27.52,27.55,2350
20080718,27.68,27.68,26.84,26.87,3990
20080721,26.75,26.75,26.4,26.4,4250
20080722,26.35,26.35,26.16,26.28,1100
20080723,26,26.22,25.68,25.68,7710
20080724,26.16,26.16,25.81,25.81,2260
20080725,25.85,26.41,25.85,26.39,10300
20080728,26.27,26.27,26.25,26.25,630
20080729,26.29,26.33,25.71,26.33,7830
20080730,26.45,26.5,26.32,26.5,420
20080731,26.84,27.07,26.84,27.07,1260
20080801,26.49,27.27,26.49,26.82,1900
20080804,26.46,26.46,25.55,25.55,600
20080805,25.6,25.83,25.6,25.82,1180
20080806,25.29,25.29,25.28,25.28,500
20080807,26.13,26.13,25.67,25.88,1540
20080808,25.11,25.39,24.86,24.9,4390
20080811,24.94,25.04,24.93,24.93,1520
20080812,25.35,25.35,25.35,25.35,1600
20080813,25.43,25.75,25.43,25.75,1000
20080814,26.45,26.45,25.96,25.97,520
20080815,25.75,25.75,25.22,25.27,1100
20080818,26.2,26.2,26.2,26.2,600
20080819,26.17,26.28,26.16,26.16,1200
20080820,26.6,26.6,26.6,26.6,700
20080821,27.26,27.5,27.26,27.5,1000
20080825,27.07,27.07,27.07,27.07,100
20080827,27.1,27.1,26.54,26.54,350
20080828,26.42,26.42,26.08,26.12,500
20080829,26.25,26.25,26.25,26.25,4800
20080902,25.01,25.33,25.01,25.25,7410
20080903,25.28,25.28,25.08,25.08,400
20080904,25.25,25.28,25.13,25.22,8140
20080905,24.66,24.66,24.52,24.65,1270
20080908,24.69,24.69,24.42,24.42,1610
20080909,23.89,24.2,23.87,24.15,6010
20080910,24.26,24.26,24,24.04,2000
20080911,23.78,23.99,23.78,23.89,7640
20080912,24.23,24.41,24.21,24.4,3220
20080915,24.01,24.38,24.01,24.38,300
20080916,23.64,23.64,20.54,21.43,2100
20080917,22.36,22.36,22.36,22.36,200
20080918,22.29,22.32,21.33,22.32,400
20080919,21.86,22.49,21.86,22.49,640
20080922,24.11,25.42,22.95,22.95,1410
20080923,24.43,24.87,24.4,24.4,2480
20080924,25.4,25.4,24.85,24.85,1710
20080925,24.16,24.67,24.16,24.55,1130
20080926,24.11,24.79,24.09,24.37,2260
20080929,23.08,23.08,22.99,22.99,200
20081002,21.49,21.49,20.85,20.85,4710
20081003,21.15,21.16,21,21.16,500
20081006,20.38,20.45,19.16,19.16,2700
20081007,19.85,19.85,18.11,18.16,3350
20081008,17.5,17.65,17.39,17.39,1800
20081009,17.67,17.67,16.57,16.57,1160
20081010,15.9,16.19,15.25,16.19,580
20081013,15.53,16.44,13.76,15.3,3000
20081014,15.17,16,15.03,16,1780
20081016,15.57,15.57,14.29,14.29,530
20081017,14.39,16.24,14.31,16.24,1850
20081020,16.31,16.31,16.31,16.31,100
20081021,16,16,16,16,2460
20081027,14.8,15,14.8,15,430
20081028,15.59,15.65,15.11,15.65,1800
20081029,16.51,16.51,16.51,16.51,100
20081103,17.23,18.79,17.23,18.79,740
20081104,20.5,20.5,18.98,19.25,2100
20081105,18.64,19.06,18.55,19.06,900
20081106,20.3,20.3,18.74,19.33,1450
20081107,18.93,18.93,18.93,18.93,420
20081110,19.69,19.9,19.36,19.9,4300
20081111,18.7,19.14,18.7,18.7,410
20081112,18.53,18.53,18.46,18.47,900
20081113,18.48,18.48,18.48,18.48,350
20081117,18.58,19.08,18.58,18.6,1950
20081119,18.49,18.68,18.35,18.35,700
20081120,18.07,18.07,18.07,18.07,500
20081121,17.87,17.87,17.67,17.67,900
20081124,18.24,18.24,18.24,18.24,150
20081125,18.14,18.14,18.14,18.14,170
20081126,18.32,18.33,18.32,18.33,450
20081203,17.92,17.92,17.92,17.92,100
20081204,17.77,17.77,16.96,16.99,300
20081205,16.38,16.38,16.38,16.38,100
20081208,17.08,17.08,17.08,17.08,200
20081211,17.89,17.89,17.89,17.89,100
20081212,17.43,18.02,17.43,18.02,200
20081215,18.08,18.08,18.08,18.08,300
20081216,18.46,18.86,18.46,18.86,700
20081217,19.19,19.21,19.03,19.03,700
20081218,18.45,19.12,18.45,19.12,940
20081222,18.93,18.93,18.06,18.06,1750
20081223,18.14,18.14,18.14,18.14,120
20081224,18.37,18.37,17.27,17.27,2840
20081230,18.69,18.69,18.51,18.51,1250
20081231,18.45,18.64,18.45,18.64,980
20090102,19.02,19.0201,19.02,19.0201,200
20090106,19.74,19.87,19.74,19.87,2030
20090109,19.61,19.61,19.61,19.61,100
20090112,19.18,19.18,19.18,19.18,2030
20090121,18.89,19.02,18.64,18.94,2200
20090122,19,19,18.72,18.79,600
20090123,19.18,19.4,19.18,19.34,500
20090126,19.86,19.86,19.86,19.86,1210
20090127,19.65,19.65,19.33,19.33,1460
20090129,19.34,19.34,19.34,19.34,100
20090202,18.46,18.46,18.21,18.21,1220
20090203,18.35,18.35,18.35,18.35,100
20090209,19.81,19.81,19.18,19.18,1600
20090211,19.39,19.9,19.39,19.9,3050
20090212,18.63,18.63,18.63,18.63,400
20090213,18.51,18.51,18.51,18.51,140
20090218,18.11,18.11,18.11,18.11,300
20090220,17.6,17.6,17.6,17.6,180
20090224,17.6,17.6,17.6,17.6,100
20090225,17.75,17.96,17.75,17.96,400
20090302,18,18,17.11,17.13,1350
20090303,17.22,17.22,17.2,17.2,400
20090305,17.36,17.36,17.36,17.36,100
20090306,17.75,17.75,17.75,17.75,140
20090309,17.67,17.67,17.41,17.41,1900
20090310,17.85,17.85,17.6,17.64,500
20090311,17.45,17.45,17.45,17.45,200
20090313,17.85,17.85,15,15,1700
20090317,18.57,18.75,18.56,18.71,500
20090318,18.68,18.68,17.84,18.35,4300
20090319,19.01,19.08,19.01,19.08,300
20090320,19.09,19.73,19.09,19.29,2300
20090323,19.52,20.87,18.74,19.31,2830
20090324,19.78,19.78,19.78,19.78,300
20090325,19.07,19.07,18.37,18.98,3220
20090326,19.01,19.01,18.24,18.74,5000
20090327,18.68,18.68,18.53,18.54,570
20090330,18.49,18.51,18.21,18.21,600
20090401,18.8,18.88,18.26,18.26,3010
20090402,19.09,20.25,19.09,19.48,5630
20090403,19.37,19.92,19.34,19.92,2390
20090406,19.25,19.71,18.22,18.65,2500
20090407,19.08,19.08,19.08,19.08,100
20090408,19.59,19.59,19.25,19.29,820
20090409,19.45,19.45,19.29,19.33,680
20090413,19.21,20.03,19.08,19.1086,5560
20090414,19.17,19.17,19.17,19.17,700
20090416,19.39,19.39,19.39,19.39,100
20090417,19.38,19.38,19.38,19.38,360
20090420,19.14,19.14,18.67,18.67,780
20090421,18.55,19.13,18.55,18.98,700
20090422,18.06,19.335,18.06,18.99,640
20090427,18.93,18.93,18.73,18.73,1220
20090428,18.91,18.91,18.91,18.91,200
20090429,19.12,19.12,19.12,19.12,300
20090430,19.42,19.5,19.42,19.5,350
20090501,19.54,20.05,19.54,19.91,750
20090504,20.07,20.1,20.07,20.1,350
20090511,20.53,20.57,20.33,20.37,900
20090512,20.77,20.84,20.722,20.84,780
20090514,20.66,20.66,20.6599,20.6599,2000
20090518,20.75,20.75,20.39,20.39,700
20090519,20.9,22.53,20.9,22.53,700
20090520,20.98,21.11,20.93,20.93,2880
20090521,20.85,20.93,20.8,20.93,1450
20090522,21.02,21.28,21.02,21.25,3750
20090526,21.1,21.43,21.1,21.43,800
20090528,21.51,21.51,21.4,21.5,63970
20090529,21.76,21.81,21.76,21.81,9370
20090601,22.07,25.09,22,22.22,224690
20090602,22,22.59,21.85,22,42050
20090603,22.09,22.09,21.02,21.02,23480
20090604,21.76,22.28,21.08,22.17,14910
20090605,22.15,22.19,21.5,21.96,8420
20090608,21.69,21.69,21.2,21.53,2990
20090609,21.91,22.02,21.32,21.5,12390
20090610,21.97,22.05,21.21,21.21,5580
20090611,21.9,21.9,21.32,21.71,3030
20090612,21.52,21.52,21.1,21.1,3730
20090615,20.9,20.9,20.1,20.39,16860
20090616,20.76,20.76,20.34,20.59,5790
20090617,20.15,20.57,20.1,20.31,4000
20090618,20.31,20.64,20.264,20.49,630
20090619,20.55,20.57,20.08,20.1,3370
20090622,20,20,19.15,19.56,105000
20090623,20.05,20.1,19.85,20.05,10880
20090624,20.13,20.24,19.91,19.94,1190
20090625,20,20.28,19.96,20.234,550
20090626,20.07,20.07,19.84,19.84,510
20090629,19.89,20.27,19.87,20.27,1520
20090630,19.95,19.95,19.45,19.85,8300
20090701,20,20.0001,20,20,570
20090702,19.88,19.913,19.62,19.75,1500
20090706,19.46,19.46,18.73,19.4,2750
20090707,18.87,18.9,18.7,18.85,1730
20090708,18.6,18.72,18.52,18.52,2230
20090709,18.65,18.91,18.65,18.9,1300
20090710,18.9,18.9,18.9,18.9,400
20090713,18.75,19,18.75,19,250
20090714,19.4,19.4,19.29,19.29,270
20090715,19.23,19.47,18.42,18.99,9630
20090716,18.63,18.83,18.63,18.73,1700
20090717,18.69,18.74,18.69,18.74,200
20090720,18.95,19.5609,18.95,19.56,2770
20090721,19.56,19.56,18.89,18.94,2610
20090722,18.82,19,18.69,18.75,4640
20090723,19.18,19.46,19.18,19.43,3790
20090724,19.35,19.41,19.18,19.18,560
20090727,19.05,19.12,19.05,19.08,900
20090728,19.13,19.14,18.8,19.14,900
20090729,18.88,19.14,18.88,19.14,400
20090730,19.49,19.5,19.46,19.5,2300
20090731,19.78,19.78,19.78,19.78,100
20090803,20.37,20.52,20,20.46,3310
20090804,20.4726,22.08,20.3526,20.3574,8970
20090805,20.29,20.29,20.14,20.15,4430
20090806,19.9,19.9001,19.9,19.9001,200
20090807,20.05,20.1,19.95,20,2900
20090810,20.1,20.3,20.02,20.02,980
20090811,20.24,20.24,20.23,20.23,200
20090812,20.147,20.5226,20.147,20.52,3790
20090813,20.55,20.62,20.09,20.09,6280
20090814,20.1,20.1,19.77,19.91,3240
20090817,19.48,19.56,19.22,19.53,1830
20090818,19.35,19.35,19.25,19.25,420
20090819,19.64,19.74,19.6384,19.64,3440
20090820,19.7,19.75,19.67,19.67,320
20090821,19.75,19.86,19.06,19.06,3000
20090824,19.86,19.92,19.86,19.87,2010
20090825,19.96,19.96,19.24,19.82,1200
20090827,19.9,19.9,19.75,19.85,1210
20090828,20.11,20.26,19.93,20,1500
20090831,19.86,20.08,19.86,20.08,1120
20090901,19.78,19.78,19.59,19.59,4700
20090902,19.51,19.54,19.51,19.54,400
20090903,19.51,19.51,19.33,19.33,1790
