Date,Open,High,Low,Close,Volume
20151009,25.94,25.94,25.9399,25.9399,200
20151123,26.64,26.64,26.64,26.64,200
20151209,26.014,26.014,26.014,26.014,100
20160113,24.92,24.92,24.92,24.92,200
20160217,25.19,25.19,25.19,25.19,200
20160222,25.52,25.52,25.45,25.45,200
20160224,25.1499,25.1499,25.1499,25.1499,180
20160225,25.34,25.34,25.34,25.34,191
20160301,25.8415,25.8415,25.841,25.8415,360
20160304,25.9,26.06,25.8951,26.0476,4000
20160311,25.99,26.31,25.98,26.23,1962
20160317,26.11,26.13,26.11,26.13,400
20160406,25.92,25.94,25.9045,25.9388,5104
20160407,26.15,26.15,25.81,25.8988,4336
20160412,26.01,26.01,26.01,26.01,100
20160413,26.36,28.38,26.36,26.43,1468
20160414,26.91,26.91,26.4,26.41,800
20160415,26.37,26.37,26.34,26.34,200
20160421,26.44,26.46,26.44,26.46,600
20160426,26.475,26.475,26.475,26.475,100
20160503,26.15,26.15,26.13,26.15,1016
20160505,25.99,26.0201,25.99,26.0201,202
20160506,26.11,26.11,26.01,26.01,804
20160510,26.44,26.55,26.41,26.41,1193
20160511,26.2,26.2,26.2,26.2,100
20160512,26.35,26.35,26.32,26.34,1402
20160524,26.63,26.67,26.63,26.66,2802
20160525,26.73,26.75,26.73,26.7335,900
20160531,26.92,26.92,26.92,26.92,165
20160602,26.67,26.71,26.67,26.71,799
20160613,25.99,26.01,25.99,25.9921,950
20160614,25.99,25.99,25.57,25.57,400
20160620,25.88,25.91,25.85,25.85,710
20160621,26.11,26.11,26.11,26.11,500
20160623,26.04,26.04,26.04,26.04,200
20160624,25.04,25.04,25.01,25.01,900
20160630,26.12,26.47,26.12,26.42,1803
20160711,26.72,26.72,26.72,26.72,100
20160712,26.75,26.75,26.72,26.72,2701
20160713,26.66,26.66,26.66,26.66,100
20160722,26.99,26.99,26.99,26.99,200
20160728,27.14,27.14,27.14,27.14,100
20160802,27.15,27.15,27.15,27.15,136
20160805,27.04,27.0509,27.04,27.0509,1308
20160808,27,27,27,27,200
20160809,27.1897,27.1897,27.1897,27.1897,150
20160815,27.32,27.47,27.32,27.45,4100
20160816,27.21,27.23,27.18,27.19,900
20160817,27.08,27.14,27.08,27.14,200
20160818,27.14,27.14,27.11,27.11,200
20160822,27.06,27.1,27.06,27.1,600
20160902,27.1269,27.1269,27.1269,27.1269,178
20160906,27.31,27.31,27.28,27.28,900
20160907,27.4299,27.4299,27.3596,27.3596,227
20160909,26.86,26.86,26.86,26.86,100
20160912,27,27.02,27,27.02,300
20160915,26.42,26.44,26.42,26.44,1000
20160922,26.89,26.89,26.88,26.88,200
20161013,26.4174,26.4174,26.4174,26.4174,200
20161020,26.6,26.6,26.6,26.6,100
20161021,26.5699,26.5699,26.5314,26.5699,700
20161027,26.2,26.5299,26.19,26.5299,505
20161028,26.26,26.26,26.26,26.26,100
20161101,25.98,25.98,25.9478,25.9478,1050
20161104,25.53,25.53,25.5042,25.5042,999
20161107,25.82,25.82,25.82,25.82,300
20161108,25.96,26,25.96,25.96,700
20161111,25.3,25.3,25.0922,25.0922,279
20161121,25.3941,25.3941,25.3941,25.3941,200
20161129,25.59,25.59,25.59,25.59,200
20161207,25.58,25.73,25.58,25.73,200
20161213,26.05,26.05,26.05,26.05,100
20161230,24.99,24.99,24.99,24.99,100
20170103,25.7599,25.7599,25.7599,25.7599,100
20170110,25.9699,25.9699,25.9699,25.9699,100
20170202,25.87,25.87,25.87,25.87,400
20170209,26.32,26.32,26.3099,26.3099,400
