Date,Open,High,Low,Close,Volume
20060626,73.84,73.84,73.4,73.4,14420
20060627,73.42,73.42,73.42,73.42,1190
20060628,73.7,73.75,73.62,73.62,3690
20060629,73.71,73.96,73.71,73.96,25030
20060630,74.52,74.68,74.24,74.24,8450
20060703,75.49,75.65,75.45,75.61,11910
20060705,75.38,75.38,74.68,75.02,102330
20060706,75.68,76.17,75.59,76.17,64730
20060707,76.27,76.61,76.27,76.61,15600
20060710,76.93,76.93,76.51,76.51,6190
20060711,76.56,76.56,76.56,76.56,4760
20060712,76.57,76.57,76.24,76.24,3330
20060713,76.2,76.41,76.2,76.33,38320
20060714,76.43,76.66,76.43,76.66,240
20060717,76.72,76.72,76.72,76.72,120
20060718,76.8,77.29,76.8,77.24,2620
20060719,77.32,77.6,77.31,77.6,24400
20060720,77.62,77.67,77.47,77.47,960
20060724,77.1,77.47,77.08,77.47,950
20060726,77.22,77.25,77.1,77.1,2020
20060728,77.41,77.9,77.41,77.73,24760
20060731,77.19,77.19,77,77,950
20060802,77.05,77.05,77.05,77.05,120
20060804,77.68,77.68,77.34,77.34,480
20060807,77.77,77.77,77.58,77.69,14570
20060808,77.67,77.67,77.67,77.67,240
20060809,77.92,77.92,77.92,77.92,240
20060810,77.91,77.91,77.91,77.91,120
20060811,78.34,78.4,78.18,78.36,600
20060814,78.45,78.45,78.01,78.01,240
20060815,78.26,78.54,78.26,78.54,1310
20060816,78.86,78.86,78.86,78.86,120
20060817,78.77,78.77,78.76,78.76,240
20060818,78.11,78.31,78.11,78.3,1080
20060821,78.38,78.48,78.38,78.48,480
20060822,78.41,78.45,78.08,78.08,1910
20060823,78.14,78.3,77.67,77.68,8770
20060824,77.81,77.81,77.46,77.46,480
20060825,77.3,77.3,77.3,77.3,360
20060829,77.92,78,77.82,78,720
20060830,78.05,78.05,78.02,78.02,360
20060831,77.73,77.84,77.7,77.7,720
20060901,77.51,77.7,77.37,77.63,1310
20060905,77.92,77.92,77.89,77.9,710
20060906,77.43,77.43,77.27,77.27,480
20060907,76.79,76.82,76.79,76.82,480
20060908,76.6,76.75,76.6,76.75,480
20060911,76.21,76.37,76.2,76.35,3560
20060912,76.62,76.69,76.6,76.69,600
20060914,76.98,76.98,76.98,76.98,120
20060915,77.4,77.4,77.4,77.4,120
20060918,77.57,77.6,77.57,77.6,360
20060919,77.36,77.36,77.36,77.36,240
20060920,77.43,77.43,77.43,77.43,480
20060921,77.13,77.13,76.77,76.77,720
20060922,76.49,76.68,76.49,76.68,720
20060925,76.34,76.36,76.34,76.36,240
20060926,76.77,76.89,76.74,76.74,720
20060927,77,77.02,76.95,76.95,1780
20060928,76.87,76.95,76.87,76.95,480
20060929,77.14,77.25,77.13,77.25,2610
20061002,76.88,76.95,76.88,76.95,240
20061003,77.04,77.04,77.04,77.04,590
20061005,76.52,76.65,76.52,76.65,360
20061006,76.43,76.43,76.43,76.43,120
20061009,76.32,76.32,76.24,76.24,950
20061010,76.5,76.5,76.5,76.5,590
20061011,76.52,76.84,76.51,76.84,480
20061012,77.24,77.32,77.24,77.32,720
20061013,77.89,77.93,77.83,77.93,720
20061016,78.1,78.1,78.1,78.1,120
20061017,77.83,77.86,77.83,77.86,4860
20061018,78.12,78.12,78.12,78.12,120
20061019,78.14,78.34,78.14,78.34,1300
20061023,77.99,77.99,77.99,77.99,120
20061024,78.06,78.41,78.06,78.41,5210
20061025,78.53,78.93,78.53,78.93,18840
20061026,79,79.1,78.88,79.1,960
20061027,79.08,79.43,78.98,78.98,1560
20061030,78.86,78.86,78.65,78.69,4490
20061031,78.89,78.89,78.77,78.8,2960
20061101,79.07,79.15,78.17,78.28,8760
20061102,77.92,77.98,77.73,77.73,1550
20061103,78.39,78.41,78.22,78.25,2730
20061106,77.72,78.03,77.72,78.02,830
20061107,78.08,78.23,78.01,78.01,4990
20061108,77.76,77.95,77.76,77.95,7350
20061109,78.01,78.01,77.42,77.42,3570
20061110,77.51,77.51,77.51,77.51,120
20061113,77.41,77.41,77.38,77.38,240
20061114,77.88,78,77.88,78,600
20061115,77.9,77.9,77.9,77.9,120
20061116,78.19,78.19,77.68,77.68,840
20061117,77.15,77.37,77.15,77.37,240
20061120,77.24,77.29,77.19,77.29,1200
20061121,77.1,77.24,77,77.24,1780
20061122,77.27,77.27,77.27,77.27,240
20061124,76.87,76.87,76.83,76.87,1540
20061127,76.91,76.91,76.41,76.45,4740
20061128,76.72,76.81,76.72,76.81,720
20061130,76.91,77.34,76.91,77.18,4030
20061201,76.93,76.93,76.58,76.58,2620
20061204,77.17,77.21,77.09,77.21,9360
20061205,77.43,77.75,77.43,77.64,1080
20061206,77.81,77.84,77.81,77.84,240
20061207,78.1,78.1,77.61,77.61,950
20061211,77.92,78.06,77.92,78.06,1300
20061212,78.06,78.06,78.06,78.06,120
20061213,78.06,78.06,78.01,78.01,2020
20061214,78.3,78.62,78.3,78.54,2620
20061215,78.6,78.6,78.6,78.6,470
20061220,78.33,78.33,78.33,78.33,360
20061221,78.15,78.18,78.14,78.18,3910
20061222,78.23,78.23,78.09,78.09,240
20061226,78.01,78.01,78.01,78.01,240
20061227,77.76,77.76,77.76,77.76,120
20061228,77.98,78.14,77.98,78.14,240
20061229,78.63,78.63,78.57,78.57,240
20070103,78.84,78.84,78.4,78.43,1420
20070104,78.55,78.55,77.85,77.94,1190
20070105,77.91,77.91,77.69,77.69,940
20070108,77.48,77.5,77.48,77.49,5550
20070109,77.32,77.36,77.1,77.36,480
20070110,77.34,77.54,77.34,77.54,600
20070111,77.54,77.54,77.54,77.54,120
20070112,77.57,77.57,77.57,77.57,120
20070116,77.43,77.53,77.43,77.53,710
20070117,77.75,77.75,77.75,77.75,820
20070118,77.97,77.99,77.87,77.87,590
20070119,78.25,78.25,78.17,78.22,1190
20070122,77.83,77.83,77.83,77.83,120
20070125,77.68,77.68,77.23,77.23,2130
20070126,77.21,77.21,77.06,77.12,1530
20070129,76.85,76.85,76.8,76.8,240
20070131,77.22,77.47,77.22,77.47,940
20070202,77.98,77.99,77.63,77.64,6340
20070205,78.2,78.22,78.2,78.22,240
20070207,78.12,78.12,77.98,77.98,1880
