Date,Open,High,Low,Close,Volume
20071025,50.85,51.9,50.85,51.85,12900
20071026,51.7,51.7,51.38,51.57,4200
20071029,52.52,53.03,52.52,53.03,3300
20071030,53.74,54.1,53.23,53.23,3800
20071031,53.32,55.42,53.32,55.33,6600
20071101,55.83,57.47,55.27,57.14,16600
20071102,57.03,57.03,55.8,55.8,4200
20071105,54.44,54.62,54.05,54.05,1300
20071106,53.96,54.22,52.41,52.67,5600
20071107,52.3,53.5,50.73,51.04,9200
20071108,51.04,51.5,50.75,51.5,3900
20071109,52.46,53.11,52.4,53,1400
20071112,52.01,53.22,52.01,53.22,1500
20071113,53.84,53.84,53.16,53.16,2300
20071114,53.25,53.27,52.34,52.34,5100
20071115,52.47,52.47,51.52,51.58,2300
20071116,52,53.39,52,53.39,2200
20071119,53.27,53.27,51.9,51.96,5800
20071120,50.97,50.97,50.2,50.2,1900
20071121,49.74,49.74,49.74,49.74,200
20071123,50.94,51.12,50.94,51.12,2000
20071126,52.47,52.53,51.25,51.25,4400
20071127,51.5,51.5,50.81,50.81,800
20071128,49.38,49.38,47.79,47.86,3000
20071129,47.82,47.89,47.68,47.77,800
20071203,45.6,46.2,45.5,45.83,2300
20071204,45.85,45.85,45.68,45.68,400
20071205,45.59,46.34,45.59,45.84,1400
20071206,46.89,47.4,46.77,46.96,19500
20071207,47.74,47.74,45.45,45.7,6900
20071210,45.09,45.83,44.86,45.07,6200
20071211,45.1,45.32,45.07,45.32,500
20071212,57,57,46.21,47.33,5500
20071213,47.72,47.72,46.68,46.68,1000
20071214,45.52,45.52,45.05,45.09,500
20071217,45.01,45.53,45.01,45.41,2000
20071218,46.01,46.01,45.77,45.8,1400
20071219,45.86,46,45.86,46,300
20071220,45.8,45.8,45.64,45.64,700
20071221,46.11,46.15,46.11,46.15,3100
20071224,45.17,45.22,44.96,44.96,1000
20071226,45.03,45.42,44.98,45.33,5500
20071227,44.26,46.03,44.26,45.6,5500
20071228,45.88,46.59,45.88,46.5,1800
20071231,46.62,47.65,46.62,47.5,7300
20080102,48.71,49.71,48.69,49.69,5700
20080103,49.15,50,48.48,48.58,4000
20080104,48.46,49.35,47.83,49.16,6000
20080107,48.86,50.5,48.58,49.72,10700
20080108,50.27,50.53,50.13,50.16,4800
20080109,51.3,52.14,50.69,51,13800
20080110,50.76,51.87,50.35,51.85,8200
20080111,51.87,52.42,51.09,51.37,9200
20080114,52.89,52.94,51.7,52.18,5500
20080115,51.82,52.08,50.7,51.42,27000
20080116,51.23,51.36,50.74,50.92,2100
20080117,50.24,50.88,49.82,50.74,12400
20080118,51.15,51.19,49.81,49.81,3600
20080122,49.07,49.07,48.04,48.04,6110
20080123,48.44,48.44,47.65,48.25,6400
20080124,48.35,49.34,48.35,49.34,4600
20080125,49.29,50.31,49.29,50.18,3900
20080128,50.21,50.8,50.06,50.8,1400
20080129,50.44,50.46,49.74,50.09,2800
20080130,51.17,51.26,50.47,50.97,4200
20080131,50.78,50.99,50.29,50.89,6300
20080201,49.98,50.1,48.8,48.8,13800
20080204,48.33,49.8,48.04,49.59,3200
20080205,50.08,50.1,49.91,50.1,1700
20080206,50.87,51.64,50.38,50.55,8600
20080207,50.87,51.45,50.55,51.45,7200
20080208,51.91,52.64,51.62,52.33,15800
20080211,53.71,54.39,53.01,53.86,10000
20080212,54.07,54.21,52.95,52.95,16500
20080213,54.1,54.1,52.9,52.95,4700
20080214,53.69,55.25,53.69,55.13,10000
20080215,55.12,55.12,54.35,54.55,2400
20080219,56.06,56.5,56.06,56.24,5900
20080220,56.76,56.77,56.04,56.04,4100
20080221,56,56.47,55.56,55.69,23300
20080222,55.28,81.14,55.28,57.98,8000
20080225,59.95,61.06,57.65,57.93,25500
20080226,59.83,59.83,57.79,57.79,9500
