Date,Open,High,Low,Close,Volume
20080102,51.18,55.34,47.4,51.38,2700
20080103,51.27,51.27,51.27,51.27,500
20080104,51.32,51.32,51.23,51.23,200
20080109,50.84,50.84,50.84,50.84,1300
20080116,51.08,51.08,50.96,50.96,500
20080118,50.94,50.94,50.94,50.94,1200
20080122,50.95,51.1,50.94,50.94,1100
20080123,50.82,50.82,50.82,50.82,400
20080125,51.58,51.58,51.52,51.56,2300
20080128,51.62,51.62,51.62,51.62,1000
20080130,51.73,51.76,51.73,51.76,1000
20080131,51.82,51.82,51.82,51.82,100
20080201,51.55,51.55,51.55,51.55,100
20080206,51.13,51.13,51.13,51.13,100
20080207,50.56,50.56,50.56,50.56,400
20080211,50.7,50.89,50.7,50.89,400
20080212,51.14,51.16,51.14,51.15,700
20080213,51.29,51.38,51.15,51.38,300
20080215,51.14,51.19,51.14,51.19,400
20080220,50.72,50.72,50.68,50.68,400
20080221,51.18,51.2,51.18,51.2,5200
20080225,51.48,51.48,51.35,51.35,1100
20080226,51.47,51.9,51.46,51.9,3900
20080227,51.9,51.9,51.69,51.69,500
20080228,51.82,52.05,51.82,52.05,800
20080229,51.92,51.92,51.92,51.92,200
20080306,52.17,52.48,52.17,52.48,600
20080307,52.71,52.71,52.71,52.71,100
20080312,52.82,52.82,52.82,52.82,100
20080313,53.1,63.93,53.05,53.26,1400
20080314,53.09,53.09,52.65,52.65,600
20080317,52.5,52.66,52.34,52.34,3000
20080319,52.32,52.32,51.98,51.98,1300
20080324,51.88,51.88,51.88,51.88,300
20080325,52.45,52.45,52.45,52.45,600
20080326,52.67,61.51,52.57,52.71,1200
20080327,52.57,52.57,52.57,52.57,400
20080328,52.1,52.12,52.1,52.12,3000
20080331,52.16,52.16,52.16,52.16,100
20080404,52.36,52.36,52.25,52.26,3900
20080407,52.11,52.11,52.11,52.11,100
20080409,51.72,51.83,51.72,51.83,200
20080410,51.72,51.72,51.72,51.72,100
20080411,51.83,51.84,51.83,51.84,4000
20080414,52.14,52.31,52.11,52.11,300
20080415,51.62,51.62,51.62,51.62,500
20080418,52.34,52.34,52.34,52.34,100
20080421,52.07,52.07,52.07,52.07,200
20080422,52.4,52.58,52.4,52.41,1300
20080423,52.09,52.09,52.09,52.09,200
20080424,51.97,51.97,51.83,51.94,1530
20080428,52.28,52.28,52.28,52.28,100
20080429,51.9,51.99,51.88,51.97,1800
20080430,51.84,52.17,51.84,52.17,400
20080501,51.94,51.94,51.94,51.94,300
20080502,51.93,51.93,51.9,51.9,280
20080505,51.82,51.82,51.82,51.82,200
20080508,51.53,51.53,51.53,51.53,1000
20080512,51.7,51.7,51.7,51.7,100
20080513,51.18,51.18,51.18,51.18,100
20080514,51.28,51.28,51.28,51.28,200
20080516,51.58,51.62,51.58,51.59,900
20080519,51.47,51.48,51.39,51.4,2880
20080520,51.86,51.86,51.86,51.86,2220
20080521,51.84,51.84,51.83,51.83,1200
20080522,50.12,52.32,49.94,52.14,2600
20080523,52.23,52.23,52.23,52.23,100
20080527,52.1,52.11,52.1,52.11,300
20080528,52.28,52.36,52.25,52.36,600
20080529,52.14,52.22,52.14,52.22,2000
20080602,51.86,51.86,51.85,51.85,1070
20080603,51.86,51.86,51.86,51.86,500
20080604,51.66,51.66,51.66,51.66,100
20080605,51.68,51.68,51.68,51.68,200
20080606,51.78,52.09,51.78,52.09,200
20080609,52.32,52.32,52.11,52.15,2000
20080610,51.59,51.59,51.59,51.59,200
20080611,51.88,51.88,51.88,51.88,100
20080612,51.49,51.51,51.47,51.47,500
20080613,51.28,51.28,51.28,51.28,500
20080617,51.52,51.52,51.52,51.52,100
20080618,51.82,51.82,51.82,51.82,300
20080619,52.17,52.17,52.17,52.17,100
20080620,52.16,52.16,52.16,52.16,100
20080702,52.93,52.93,52.9,52.9,320
20080703,52.48,52.48,52.48,52.48,200
20080707,51.97,52.35,51.97,52.33,690
20080711,52.81,52.81,52.8,52.8,200
20080714,52.85,52.97,52.85,52.97,200
20080715,53.17,53.17,53.05,53.05,200
20080717,53.1,53.1,53.1,53.1,100
20080718,53.1,53.1,53.1,53.1,100
20080721,53.12,53.12,53.12,53.12,150
20080728,53.04,53.04,52.88,52.88,500
20080729,52.84,52.85,52.58,52.68,700
20080804,52.14,52.15,52.13,52.13,1080
20080805,52.11,52.11,52.11,52.11,500
20080806,51.92,51.94,51.92,51.94,400
20080808,51.22,51.22,51.05,51.05,620
20080829,48.73,48.73,48.73,48.73,100
20080903,47.29,47.29,47.29,47.29,100
20080904,47.32,47.32,47.32,47.32,100
20080905,47.03,47.09,47.03,47.09,200
20080908,49.03,49.03,46.82,46.83,800
20080910,46.83,46.83,46.83,46.83,200
20080917,47.53,47.53,47.53,47.53,100
20080918,48.7,48.7,48.47,48.47,900
20080919,48.99,49.17,48.99,49.17,700
20080922,49.55,49.96,49.48,49.96,800
20080924,49.67,49.67,49.67,49.67,300
20080925,49.44,49.72,49.15,49.15,23700
20080926,49.25,49.25,49.17,49.18,16990
20080929,48.19,51.45,45.9,48.45,27210
20080930,48.22,48.23,48.22,48.23,5200
20081001,47.44,47.45,47.44,47.45,690
20081002,46.09,47.07,46.06,47.05,11460
20081003,47.14,47.6,47.14,47.6,15100
20081006,46.35,46.73,46.35,46.69,1030
20081007,46.82,46.89,46.47,46.78,1720
20081008,46.42,46.62,46.42,46.62,400
20081009,46.26,46.26,45.83,45.83,600
20081014,46.65,46.65,46.65,46.65,100
20081017,46.3,46.3,46.3,46.3,100
20081020,45.79,45.79,44.89,44.89,3690
20081022,44,44.02,44,44.02,690
20081028,42.42,42.44,42.35,42.35,700
20081030,43.88,43.88,43.88,43.88,100
20081103,42.8,42.8,42.38,42.38,400
20081104,43.13,43.13,43.13,43.13,100
20081106,42.17,42.17,42.17,42.17,100
20081107,42.15,42.15,42.15,42.15,100
20081113,40,40,38.89,38.89,300
20081118,40.12,40.12,40.12,40.12,100
20081121,40.18,40.56,40.16,40.17,4320
20081124,40.66,40.66,40.66,40.66,1000
20081203,39.9,39.91,39.79,39.91,500
20081210,40.13,40.13,40.13,40.13,100
20081211,40.14,40.37,40.14,40.37,1000
20081212,40.32,40.45,40.32,40.45,1200
20081215,41.06,41.38,41.06,41.17,1730
20081216,41.42,43.94,41.42,43.94,300
20081217,41.74,41.74,41.62,41.62,840
20081219,40.27,40.27,40.27,40.27,1100
20081222,40.01,40.18,40.01,40.1,640
20081223,40.22,40.22,39.62,39.62,2200
20081226,39.59,39.59,39.42,39.4522,2200
20081229,39,39,39,39,100
20081231,39.29,39.37,39.19,39.3448,1400
20090105,39.7,39.7,39.58,39.58,800
20090106,39.31,39.66,39.17,39.66,900
20090107,40.57,41.1,40.56,41.1,800
20090108,41.4,41.4,40.94,40.98,900
20090109,40.77,40.77,40.73,40.73,330
20090112,39.94,39.94,39.94,39.94,100
20090113,39.22,39.22,39.22,39.22,170
20090114,39.17,39.21,39.17,39.21,1100
20090115,39.42,39.42,39.42,39.42,100
20090116,39.58,39.58,39.58,39.58,200
20090120,37.54,37.54,37.47,37.5,12600
20090121,37,37,37,37,700
20090122,37.39,37.42,37.39,37.42,200
20090123,36.92,36.92,36.92,36.92,100
20090126,37.39,37.39,37.39,37.39,100
20090128,38.53,38.53,38.53,38.53,780
20090130,38.88,38.88,38.88,38.88,100
20090202,38.9,38.9,38.3,38.43,1510
20090203,38.75,38.75,38.75,38.75,400
20090204,39.02,39.17,38.87,38.87,850
20090206,39.62,39.62,39.62,39.62,130
20090209,40.24,40.24,40.17,40.17,370
20090210,39.1,39.15,38.98,38.98,1100
20090211,38.66,38.66,38.66,38.66,300
20090212,38.27,38.27,38.27,38.27,200
20090213,38.7,38.7,38.7,38.7,100
20090217,38.31,38.31,38.31,38.31,250
20090219,38.54,38.54,38.54,38.54,100
20090220,38.49,38.91,38.49,38.91,650
20090223,39.03,39.03,39.03,39.03,150
20090224,38.38,38.96,38.38,38.96,330
20090226,38.7,38.7,38.56,38.58,400
20090302,37,37,37,37,400
20090303,37.65,37.65,37.65,37.65,100
20090309,37,37,37,37,100
20090316,38,38.04,38,38.04,300
20090324,39.62,39.62,39.39,39.58,340
20090325,39.37,39.41,39.09,39.14,710
20090330,38.2,38.2,38.17,38.17,400
20090406,39.81,39.81,39.81,39.81,500
20090409,39.44,39.44,39.44,39.44,160
20090415,40.45,40.45,40.45,40.45,160
20090417,39.95,39.95,39.91,39.95,800
20090420,39.31,39.31,39.25,39.25,200
20090427,39.29,39.2901,39.29,39.2901,200
20090518,41.21,41.32,41.21,41.32,500
20090526,42.68,42.99,42.68,42.99,440
20090601,44.11,44.11,44.11,44.11,120
20090602,44.67,44.67,44.66,44.66,460
20090603,44.34,44.34,44.21,44.21,1110
20090605,43.15,43.15,43.01,43.01,550
20090608,43.14,43.14,43.14,43.14,100
20090610,41.68,41.68,41.68,41.68,200
20090611,44.5301,44.79,44.53,44.65,2260
20090612,44.54,44.5401,44.37,44.37,850
20090615,44.37,44.37,44.11,44.11,490
20090616,44.56,44.56,44.5,44.5,240
20090617,44.17,46,44.12,44.39,3200
20090618,44.25,44.26,44.24,44.24,370
20090619,44.84,44.84,44.84,44.84,100
20090623,44.02,44.02,44.02,44.02,100
20090624,44.62,44.62,44.27,44.3,430
20090629,44.79,44.79,44.79,44.79,130
20090630,44.38,44.38,44.38,44.38,260
20090702,44.17,44.17,44.17,44.17,120
20090706,43.81,44.06,43.81,44.06,2360
20090707,43.73,43.73,43.625,43.64,610
20090713,43.8,43.8,43.8,43.8,100
20090715,44.49,44.49,44.466,44.466,500
20090716,44.53,44.55,44.52,44.55,900
20090720,44.76,44.89,44.76,44.8,2880
20090721,44.49,44.53,44.49,44.53,220
20090722,44.41,44.9,44.41,44.61,7710
20090723,44.54,44.89,44.54,44.76,970
20090724,44.53,44.58,44.48,44.51,1730
20090727,44.71,44.71,44.68,44.68,300
20090728,44.51,44.89,44.46,44.5,7540
20090729,44.44,44.48,44.32,44.32,6870
20090730,44.71,44.71,44.66,44.69,1880
20090731,44.9,45.15,44.9,44.95,10400
20090803,45.42,45.72,45.42,45.7,1410
20090804,45.61,45.61,45.61,45.61,200
20090805,45.75,45.97,45.75,45.97,1240
20090806,45.51,45.75,45.26,45.38,8600
20090807,45.23,45.29,45.03,45.09,8860
20090810,44.45,44.45,44.45,44.45,100
20090811,44.52,44.72,44.511,44.72,4490
20090812,44.67,44.67,44.55,44.55,1840
20090813,44.92,44.92,44.86,44.86,1340
20090814,44.95,44.95,44.65,44.66,950
20090818,44.55,44.86,44.55,44.86,450
20090820,44.7,44.7,44.7,44.7,200
20090821,44.59,44.63,44.59,44.63,1100
20090824,44.4,44.42,44.4,44.42,1330
20090825,44.49,44.49,44.2,44.2,430
20090826,43.81,43.81,43.41,43.75,770
20090827,43.69,43.85,43.44,43.85,6990
20090828,44.07,44.07,43.73,43.73,2240
20090831,43.82,43.82,43.82,43.82,310
20090901,43.56,43.56,43.56,43.56,230
20090908,44.56,44.57,44.39,44.39,530
20090909,44.72,44.7201,44.72,44.7201,400
20090910,44.69,44.96,44.68,44.96,3160
20090911,44.94,45.03,44.93,45.03,1040
20090914,45.03,45.03,44.7,44.7,530
20090915,44.27,44.27,44.24,44.24,1200
20090916,44.47,44.47,44.37,44.41,1690
20090918,44.17,44.17,43.85,43.85,3610
20090921,43.71,43.71,43.71,43.71,200
20090922,43.89,44,43.89,43.98,1840
20090923,44.05,44.05,44.05,44.05,200
20090924,43.35,43.44,43.35,43.44,1230
20090928,42.85,42.85,42.85,42.85,220
20090929,43.01,43.06,43.01,43.06,1080
20090930,43.14,43.14,43.14,43.14,120
20091001,42.94,42.96,42.93,42.93,1210
20091002,42.86,42.99,42.33,42.78,16650
20091005,42.87,42.87,42.6,42.6,6630
20091006,42.84,42.8401,42.8,42.8,1240
20091007,42.78,42.91,42.67,42.88,1570
20091008,43.3,43.3,42.73,43.22,360
20091012,42.56,42.56,42.4,42.51,7590
20091013,42.55,42.55,42.55,42.55,150
20091014,43.11,43.11,42.95,43.08,810
20091015,43.71,43.83,43.67,43.83,2490
20091016,43.95,43.99,43.95,43.99,220
20091019,43.96,44.04,43.96,44.03,380
20091020,44.31,44.31,44.047,44.073,840
20091021,44.64,44.64,44.64,44.64,100
20091022,44.68,44.6801,44.68,44.68,400
20091027,43.91,43.98,43.71,43.98,6200
20091028,44.2,44.21,44.19,44.2,5600
20091105,44.68,44.68,44.68,44.68,100
20091109,45.11,45.12,45.07,45.0701,500
20091111,45.05,45.05,45.05,45.05,100
20091112,44.43,44.43,44.43,44.43,100
20091113,44.89,44.9,44.89,44.9,600
20091116,45.07,45.29,45.07,45.28,550
20091117,45.28,45.28,45.28,45.28,100
20091118,45.13,45.13,45.13,45.13,100
20091119,44.88,44.88,44.76,44.76,200
20091123,44.66,44.66,44.65,44.65,340
20091124,44.56,44.56,44.55,44.55,330
20091130,44.24,44.24,44.23,44.23,500
20091201,44.67,44.67,44.67,44.67,100
20091202,44.97,44.97,44.79,44.7901,1560
20091204,44.52,44.52,44.33,44.33,300
20091207,44.22,44.22,44.22,44.22,100
20091210,43.73,43.76,43.73,43.76,280
20091214,43.68,43.87,43.68,43.85,1600
20091221,43.28,43.28,43.28,43.28,250
20091222,42.91,42.91,42.9,42.9,300
20091228,43.08,43.08,43.08,43.08,100
20091229,43.05,43.05,43.05,43.05,1000
20091230,43.02,43.02,43.02,43.02,300
20100104,43.55,43.58,43.54,43.58,3000
20100105,43.58,43.59,43.58,43.59,1390
20100108,43.14,43.36,43.14,43.36,1800
20100111,43.57,43.57,43.57,43.57,200
20100112,43.7,43.7,43.63,43.63,400
20100113,43.95,43.95,43.95,43.95,100
20100119,44.17,44.17,44.17,44.17,100
20100120,43.97,43.98,43.93,43.93,1600
20100121,43.63,43.63,43.63,43.63,100
20100126,43.59,43.59,43.59,43.59,100
20100128,43.51,43.51,43.49,43.49,4000
20100129,43.24,43.44,43.2,43.44,7700
20100201,43.02,43.02,43.02,43.02,180
