Date,Open,High,Low,Close,Volume
20170510,25.11,25.39,25.11,25.39,201
20170511,26,26,25.169,25.33,2572
20170512,26.11,26.11,25.31,25.35,9813
20170515,25.35,25.35,25.35,25.35,65
20170517,25.34,25.34,25.2,25.2,2656
20170518,25.2,25.2,24.97,25.09,1852
20170519,25.22,25.39,25.22,25.31,2601
20170523,25.31,25.44,25.31,25.44,404
20170524,25.49,25.49,25.49,25.49,200
20170525,25.52,25.53,25.52,25.53,400
20170526,25.46,25.4999,25.46,25.4779,1250
20170530,25.17,25.4685,25.15,25.4685,6375
20170531,25.5,25.5,25.4,25.4,1371
20170602,25.8014,25.8014,25.8014,25.8014,118
20170605,25.7193,25.79,25.7193,25.76,650
20170606,25.6294,25.6294,25.6,25.6,500
20170609,25.6,25.6,25.6,25.6,15
20170613,25.8,25.84,25.65,25.84,700
20170614,25.84,25.84,25.6897,25.7622,1380
20170615,25.62,25.62,25.4504,25.5512,540
20170616,25.5512,25.5512,25.5512,25.5512,13
20170619,25.7417,25.772,25.7417,25.772,649
20170620,25.77,25.77,25.7,25.7,321
20170621,25.64,25.69,25.55,25.55,2830
20170622,25.6,25.65,25.6,25.65,340
20170623,25.6,25.6,25.6,25.6,200
20170626,25.74,25.76,25.63,25.63,1889
20170627,25.73,25.73,25.73,25.73,400
20170628,25.5762,25.805,25.5762,25.805,3745
20170629,25.8,25.8,25.4397,25.4397,1131
20170630,25.5282,25.5282,25.5282,25.5282,200
20170706,25.46,25.49,25.23,25.4,3132
20170707,25.39,25.39,25.3627,25.3627,1100
20170710,25.37,25.4,25.35,25.35,2725
20170711,25.2909,25.2909,25.2909,25.2909,408
20170712,25.5,25.5,25.5,25.5,1000
20170713,25.45,25.46,25.45,25.46,588
20170714,25.81,25.82,25.81,25.82,1005
20170717,25.78,25.78,25.78,25.78,12
20170718,25.78,25.78,25.75,25.76,552
20170719,25.76,26.04,25.76,26.04,765
20170720,26.1213,26.1213,26.1213,26.1213,300
20170721,25.9221,25.9221,25.9112,25.9112,561
20170726,26.09,26.11,26.09,26.1,508
20170727,26.0543,26.0543,25.84,25.84,840
20170728,25.84,25.84,25.84,25.84,190
20170731,25.9624,25.9624,25.9624,25.9624,440
20170802,26.135,26.135,26.135,26.135,251
20170807,26.26,26.26,26.26,26.26,300
20170808,26.2,26.2,26.14,26.14,1150
20170810,25.7533,25.76,25.74,25.74,996
20170814,25.9572,25.9572,25.9572,25.9572,200
20170816,25.9,25.9,25.9,25.9,260
20170817,25.9,25.9,25.9,25.9,1
20170818,25.69,25.69,25.69,25.69,50
20170821,25.84,25.84,25.84,25.84,191
20170822,25.74,26.0199,25.74,26.0199,555
20170823,25.9138,25.9138,25.9138,25.9138,100
20170824,25.9138,25.9138,25.9138,25.9138,77
20170825,26.0401,26.0401,26.0401,26.0401,115
20170828,26.02,26.02,26.02,26.02,1000
20170829,26.1199,26.12,26.09,26.12,473
20170830,26.11,26.12,26.11,26.12,228
20170831,26.1416,26.1416,26.1416,26.1416,800
20170901,26.23,26.23,26.23,26.23,50
20170906,26.1,26.1,26.1,26.1,101
20170908,26.45,26.45,26.41,26.43,928
20170911,26.5881,26.5881,26.5881,26.5881,1650
20170912,26.668,26.668,26.668,26.668,188
20170913,26.668,26.668,26.668,26.668,10
20170914,26.8,26.83,26.8,26.83,704
20170915,26.7,26.7,26.7,26.7,1295
20170918,26.9399,26.9399,26.86,26.888,463
20170919,26.888,26.888,26.888,26.888,45
20170920,26.888,26.888,26.888,26.888,7
20170921,26.8499,26.85,26.84,26.85,696
20170926,26.85,26.85,26.85,26.85,86
20170927,26.81,26.91,26.81,26.91,200
20170929,27.07,27.07,27.0015,27.0365,1730
20171002,26.88,26.88,26.8283,26.8283,275
20171003,26.8283,26.8283,26.8283,26.8283,15
20171004,26.8283,26.8283,26.8283,26.8283,2
20171005,26.93,27.02,26.93,27.02,933
20171006,26.88,26.88,26.88,26.88,263
20171009,26.88,26.88,26.88,26.88,15
20171011,27.0557,27.0557,27.0557,27.0557,458
20171013,26.932,27.29,26.932,27.29,579
20171016,27.06,27.06,27.06,27.06,11
20171017,27.11,27.11,27.11,27.11,426
20171018,27.11,27.11,27.11,27.11,41
20171019,27.22,27.22,27.22,27.22,418
20171025,26.9132,26.9132,26.9132,26.9132,195
20171031,26.9132,26.9132,26.9132,26.9132,191
20171107,26.9132,26.9132,26.9132,26.9132,50
20171108,26.75,26.76,26.75,26.75,18760
20171109,26.75,26.75,26.75,26.75,1400050
20171113,26.69,26.69,26.69,26.69,100
20171114,26.69,26.69,26.69,26.69,50
20171115,26.561,26.561,26.561,26.561,102
20171116,26.561,26.561,26.561,26.561,1400000
20171117,26.561,26.561,26.561,26.561,1
20171120,26.86,26.86,26.85,26.85,1000
20171121,27.01,27.015,27.01,27.01,5300
20171128,27.26,27.26,27.26,27.26,1
20171129,27.3827,27.4006,27.3827,27.4006,612
20171201,27.3,27.3,27.3,27.3,310
20171204,27.3,27.3,27.3,27.3,60
20171205,27.5,27.52,27.4,27.4,411
20171206,27.35,27.35,27.35,27.35,1013
20171207,27.34,27.34,27.34,27.34,1400100
20171208,27.07,27.07,27.07,27.07,140
20171211,27.07,27.07,27.07,27.07,6
20171213,27.07,27.07,27.07,27.07,41
20171214,27.07,27.07,27.07,27.07,1400000
20171215,27.48,27.55,27.48,27.55,842
20171219,27.76,27.76,27.76,27.76,4
20171221,27.8345,27.8345,27.8201,27.8201,537
20171222,27.8781,27.8781,27.8781,27.8781,288
20171229,28,28,28,28,1012
20180102,28,28,28,28,25
20180103,28.12,28.12,28.12,28.12,36
20180104,28.3318,28.3318,28.3318,28.3318,300
20180105,28.4,28.4488,28.4,28.4488,1100
20180108,28.55,28.579,28.55,28.579,1115
20180109,28.48,28.5532,28.48,28.48,4600
20180111,28.48,28.48,28.48,28.48,700041
20180112,28.745,28.745,28.74,28.74,653
20180116,28.895,28.9175,28.75,28.75,2419
20180117,28.9779,28.9779,28.9779,28.9779,100
20180118,28.9779,28.9779,28.9779,28.9779,1
20180119,28.9779,28.9779,28.9779,28.9779,11
20180122,29.24,29.28,29.2124,29.274,4246
20180123,29.2987,29.36,29.2987,29.36,475
20180125,29.36,29.36,29.36,29.36,700000
20180126,29.52,29.52,29.52,29.52,205
20180130,29.09,29.14,29.09,29.14,494
20180131,29.1399,29.1399,29.1399,29.1399,436
20180201,29.12,29.12,29.12,29.12,8560
20180202,28.765,28.765,28.73,28.73,203
20180205,28.34,28.35,28.34,28.35,231
20180206,27.46,27.46,27.46,27.46,441
20180207,27.823,27.823,27.823,27.823,197
20180208,27.52,27.52,27.415,27.4849,700649
20180209,26.795,27.1935,26.795,27.1935,500
20180212,27.59,27.59,27.59,27.59,350
20180213,27.4647,27.4647,27.4647,27.4647,222
20180215,27.4647,27.4647,27.4647,27.4647,650020
20180216,28.23,28.2371,28.23,28.2371,278
20180220,28.22,28.22,28.22,28.22,289
20180221,28.19,28.19,28.19,28.19,508
20180222,28.095,28.159,28.095,28.159,638
20180223,28.2,28.2,28.2,28.2,202
20180226,28.46,28.46,28.46,28.46,578
20180227,28.46,28.46,28.46,28.46,34
20180228,28.2999,28.2999,28.2999,28.2999,118
20180301,28.2999,28.2999,28.2999,28.2999,1
20180302,27.515,27.515,27.515,27.515,398
20180306,28.15,28.15,28.15,28.15,208
20180307,28,28,28,28,100
20180308,28,28,28,28,5
20180314,28.28,28.28,28.2761,28.2761,303
20180315,28.29,28.5,28.1187,28.1187,355992
20180320,28.1187,28.1187,28.1187,28.1187,99
20180321,28.1564,28.1564,28.0953,28.0953,1613
20180322,27.69,27.69,27.63,27.63,601
20180323,27.21,27.21,27.21,27.21,106
20180326,27.51,27.5552,27.5,27.5552,1152
20180328,27.526,27.675,27.526,27.675,719
20180402,27.09,27.09,27.09,27.09,179
20180403,27.41,27.59,27.4,27.59,2125
20180404,27.62,27.7599,27.62,27.74,3953
20180405,27.79,27.79,27.79,27.79,2
20180406,27.79,27.79,27.79,27.79,115
20180409,27.7839,27.82,27.72,27.82,4500
20180410,27.9883,27.9883,27.9883,27.9883,1174
20180411,28.0872,28.0872,28.0872,28.0872,165
20180412,28.08,28.08,28.001,28.001,325
20180413,28.036,28.04,28.036,28.04,2041
20180417,28.3,28.3,28.3,28.3,155
20180418,28.5133,28.63,28.5133,28.63,231
20180419,28.42,28.42,28.1133,28.1133,4705
20180420,28.1133,28.1133,28.1133,28.1133,1
20180423,27.94,27.9414,27.87,27.9414,1895
20180424,27.6819,27.6819,27.6819,27.6819,285
20180425,27.6928,27.84,27.6928,27.84,659
20180426,27.7307,27.7307,27.7307,27.7307,280
20180430,27.7307,27.7307,27.7307,27.7307,235
20180501,27.779,27.779,27.779,27.779,286
20180502,27.7799,27.7799,27.71,27.71,682
20180503,27.61,27.6152,27.61,27.6152,448
20180504,27.61,27.61,27.61,27.61,2
20180507,27.84,28.04,27.84,28.04,757
20180508,27.98,27.99,27.98,27.99,435
20180509,27.99,27.99,27.99,27.99,2
20180511,28.4,28.4,28.4,28.4,758
20180514,28.4,28.4,28.4,28.4,117
