Date,Open,High,Low,Close,Volume
20150213,61.99,61.99,61.63,61.63,7006
20150217,57.4,57.4,56.95,56.95,334
20150218,59.11,59.11,59.11,59.11,167
20150219,59.17,59.2,58.06,58.06,1669
20150220,58.06,58.06,55.81,55.93,2298
20150223,55.3,56.74,55,56.32,1831
20150224,55.09,56.47,55.09,55.84,925
20150225,57.1,58.36,57.1,57.67,496
20150226,59.23,59.47,58.36,58.57,1005
20150227,60.1,61.3,59.95,60.37,2385
20150302,59.53,59.53,56.86,57.52,1297
20150303,58.87,58.87,55.21,55.45,1498
20150304,55,55,53.35,53.86,2388
20150305,53.74,55.18,53.44,53.8,1523
20150306,50.6,50.6,45.5,46.03,4216
20150309,44.87,44.87,42.53,42.62,2408
20150310,42.65,43.55,40.55,40.64,2089
20150311,40.79,43.7,39.62,43.7,3842
20150312,44.33,44.33,42.35,42.98,61480
20150313,42.59,43.25,40.79,43.22,4376
20150316,43.34,44,41.84,43.82,2256
20150317,43.25,43.88,42.2,42.44,1555
20150318,42.11,46.61,41.54,46.61,3263
20150319,45.86,46.79,45.35,46.07,1858
20150320,47.93,49.82,47.93,49.1,3763
20150323,49.85,51.01,49.43,51.01,3009
20150324,51.64,51.64,50.18,50.72,2140
20150325,51.85,51.85,49.4,49.46,1870
20150326,49.91,50.54,47.18,47.69,1375
20150327,46.46,48.02,45.7,47.33,3792
20150330,45.11,45.68,44.39,45.05,1591
20150331,44.87,45.41,43.34,43.67,1626
20150401,45.48,48.35,45.48,48.17,1867
20150402,47.78,47.84,46.28,46.82,1192
20150406,50.48,51.04,49.91,50.66,1728
20150407,49.64,49.67,48.08,48.08,2759
20150408,49.31,49.31,46.82,47.39,3632
20150409,46.58,47.27,46.31,46.58,2174
20150410,48.86,49.34,48.5,49.34,2644
20150413,49.43,49.43,48.05,48.08,1694
20150414,49.4,49.82,48.41,48.74,2060
20150415,49.52,52,49.52,51.94,1125
20150416,51.43,52.18,50.42,50.98,1189
20150417,52.12,52.21,50.54,50.66,1093
20150420,50.42,51.16,49.46,51.16,1786
20150421,50.57,52.15,50.54,51.7,1591
20150422,51.34,51.34,48.65,48.8,1656
20150423,48.8,51.22,48.8,50.6,1692
20150424,49.97,50.84,48.83,48.86,1424
20150427,50.03,52.48,50.03,50.63,2275
20150428,52.75,54.73,52.75,54.55,2211
20150429,55.66,56.35,54.07,55.63,1224
20150430,52,52.93,51.01,52.15,3192
20150501,51.67,53.05,51.64,53.02,1795
20150504,54.43,54.73,53.35,53.89,1173
20150505,54.46,54.55,52.3,52.93,1972
20150506,53.32,53.32,50.06,50.12,1639
20150507,49.25,50.06,48.23,50.06,1325
20150508,50.84,51.82,50.15,51.49,1918
20150511,51.61,52.39,51.04,51.73,1091
20150512,52.39,53.23,52.18,53.08,1389
20150513,55.27,56.23,55.24,55.69,1742
20150514,56.8,58.15,55.51,55.75,2502
20150515,55.21,56.44,54.61,55.57,3676
20150518,55.66,56.35,55.15,55.57,1572
20150519,53.83,53.83,51.61,51.61,1758
20150520,51.88,52.96,51.79,51.91,1719
20150521,51.16,51.52,51.04,51.52,562
20150522,51.07,51.64,50.69,50.75,1359
20150526,48.74,48.74,47.6,47.66,3301
20150527,48.05,48.47,47.96,48.47,1329
20150528,47.96,49.55,44.96,49.55,3122
20150529,49.58,50.12,48.95,49.22,729
20150601,50.54,50.87,48.71,49.1,725
20150602,49.64,50.6,49.64,50.18,2112
20150603,49.61,49.94,48.14,48.38,1590
20150604,47.03,47.06,46.76,46.82,662
20150605,45.59,46.16,44.84,45.59,1361
20150608,45.89,46.37,45.08,46.37,495
20150609,46.61,46.61,45.29,45.32,463
20150610,46.4,46.73,45.83,46.07,629
20150611,44.63,45.05,44.63,45.02,497
20150612,44.54,45.08,43.97,44.21,564
20150615,43.88,45.14,43.88,44.39,495
20150616,43.64,43.64,43.04,43.04,463
20150617,42.83,45.59,42.74,45.47,1030
20150618,46.49,46.82,46.31,46.58,2063
20150619,46.37,46.43,43.94,44.51,839
20150622,43.31,43.52,42.92,42.92,1164
20150623,43.61,43.61,43.1,43.1,299
20150624,43.13,43.58,42.77,43.19,629
20150625,43.01,43.25,42.32,42.38,1232
20150626,41.81,42.56,41.81,41.93,596
20150629,41.99,42.32,41.09,41.15,739
20150630,40.58,41.36,40.13,40.22,1362
20150701,39.59,39.92,38.22,38.22,836
20150702,39.12,39.65,38.7,39.62,630
20150706,39,41.36,39,40.61,929
20150707,37.86,37.86,36.72,37.29,462
20150708,37.05,37.05,36.42,36.51,731
20150709,37.38,37.38,35.97,36.33,463
20150710,35.64,36.03,35.28,35.37,522
20150713,34.47,35.76,34.47,35.76,830
20150714,35.94,36.39,35.49,35.49,829
20150715,34.47,34.56,33.81,33.84,712
20150716,33.18,33.6,33.18,33.33,396
20150717,32.01,32.01,30.03,30.21,770
20150720,27.43,27.43,23.8,24.04,2375
20150721,24.73,26.2,24.73,24.95,1615
20150722,23.83,25.3,23.83,24.76,2231
20150723,24.66,24.66,22.81,22.81,1924
20150724,22.48,24.61,21.92,24.61,5807
20150727,24.01,25.57,22.45,22.93,9841
20150728,23.47,23.71,22.96,23.47,1055
20150729,23.38,24.31,22.96,24.31,414
20150730,22.49,23.65,22.33,22.51,1229
20150731,23.83,23.83,23.44,23.55,1140
20150803,22.9,22.9,21.67,21.78,3390
20150804,22.6,22.6,21.67,21.67,4770
20150805,22,22,21.49,21.49,66
20150806,21.67,23.02,21.67,22.6,1407
20150807,22.87,23.14,22.18,22.26,1466
20150810,22.87,24.87,22.33,24.86,6725
20150811,25.57,25.96,24.04,25.96,3706
20150812,27.07,29.37,27.07,29.37,5307
20150813,27.88,28.18,25.96,26.14,11928
20150814,26.95,27.22,25.36,25.45,1450
20150817,26.68,27.58,26.68,27.58,2463
20150818,26.59,26.87,25.96,26.59,5492
20150819,27.7,28.38,27.64,28.09,1227
20150820,30.15,31.14,29.91,30.39,2914
20150821,31.59,31.59,28.28,28.74,8397
20150824,28.03,28.74,24.1,24.28,7960
20150825,25.33,25.48,22.3,22.3,7018
20150826,22,22,20.26,20.4,2848
20150827,21.13,22.87,20.83,22.87,2223
20150828,23.71,24.58,23.32,24.51,5175
20150831,23.08,23.74,22.15,23.71,999
20150901,23.41,23.41,22.39,22.39,894
20150902,22.42,22.42,21.31,21.6,1916
20150903,22.21,23.38,21.31,21.31,2006
20150904,20.68,21.34,20.41,21.31,2044
20150908,21.82,22.36,21.82,21.82,768
20150909,20.74,20.8,20.68,20.74,455
20150910,21.13,21.13,20.53,20.53,300
20150911,20.23,20.81,19.213,20.71,2774
20150914,20.44,21.1,20.11,20.5,3869
20150915,21.04,21.13,20.47,20.47,1001
20150916,21.73,23,21.73,22.81,5880
20150917,22.84,24.64,22.27,24.1,3858
20150918,25.57,25.6,23.95,24.85,10038
20150921,24.07,24.37,23.32,23.32,3243
20150922,22.09,22.24,21.28,21.28,4070
20150923,21.76,21.82,20.77,20.8,6001
20150924,21.94,23.74,21.94,23.74,5497
20150925,23.05,23.35,22.75,23.35,1686
20150928,21.91,22,20.98,20.98,1767
20150929,21.52,21.64,21.49,21.49,467
20150930,20.62,21.82,20.62,21.82,1335
20151001,22.48,22.48,20.95,21.28,2267
20151002,23.12,24.4,22.96,24.4,5358
20151005,25.12,26.65,25.12,26.62,5525
20151006,28.06,28.71,27.43,28.47,3509
20151007,28.68,28.89,27.43,28.26,4361
20151008,27.52,30,27.52,27.97,3779
20151009,29.64,30.42,29.64,30.42,11977
20151012,31.59,31.59,28.3,28.65,11659
20151013,28.86,29.91,28.74,29.04,3586
20151014,31.1,33.09,30.6,33,14640
20151015,31.86,33.36,31.74,32.95,6500
20151016,32.64,33.03,31.11,31.17,6335
20151019,30.63,30.9,28.06,28.35,6136
20151020,29.87,31.2,29.76,31.11,2802
20151021,28.47,29.1,28.44,28.68,2067
20151022,29.4,30.15,29.22,29.64,4814
20151023,30.57,31.55,29.52,31.14,3544
20151026,30.66,30.66,29.28,29.37,2336
20151027,28.92,29.94,28.56,29.4,14471
20151028,30.84,32.07,27.88,28.77,2448
20151029,27.82,28.21,26.08,26.17,3537
20151030,25.99,26.68,25.71,25.71,1146
20151102,25.15,26.11,25,25.72,1079
20151103,24.82,25.78,24.76,25.78,1655
20151104,25.87,26.29,24.52,24.67,2865
20151105,23.03,23.29,22.48,22.78,3594
20151106,21.13,21.31,20.53,20.62,4148
20151109,20.26,21.61,20.23,21.61,1484
20151110,20.53,20.83,20.53,20.53,1017
20151111,20.68,21.01,20.68,20.98,1014
20151112,20.17,21.37,20.08,21.07,2275
20151113,20.74,20.97,20.74,20.96,6257
20151116,21.62,21.69,21.21,21.34,2926
20151117,21.05,21.09,19.343,19.343,11021
20151118,19.193,20.66,18.873,20.47,3548
20151119,21.42,22.02,21.42,21.9,3482
20151120,21.62,21.62,20.1,20.22,3501
20151123,20.04,20.21,19.98,20.022,1367
20151124,20.93,21.5,20.92,21.46,1548
20151125,20.91,21.73,20.74,21.12,5447
20151127,20.54,20.54,20.07,20.37,2496
20151130,20.93,21.19,20.93,21.14,8840
20151201,21.27,22.41,21.27,22.41,2369
20151202,21.63,21.83,20.89,21.27,2902
20151203,21.93,22.47,21.49,22.16,3602
20151204,22.89,24.48,22.89,24.42,4935
20151207,23.75,23.83,22.19,22.4,4826
20151208,22.57,22.57,21.64,22.08,27205
20151209,23.08,23.37,22.24,22.6,3502
20151210,22.34,22.95,22.34,22.48,4320
20151211,22.09,23.24,22.09,22.94,1300
20151214,22.64,22.64,20.47,20.47,37234
20151215,20.77,20.79,20.37,20.62,6104
20151216,21.41,22.34,20.78,22.14,33217
20151217,20.3,20.3,19.559,19.583,17618
20151218,20.34,20.65,20.34,20.65,2409
20151221,21.34,21.51,21,21.17,17345
20151222,21.2,21.49,20.83,20.96,2176
20151223,21.13,21.79,21.13,21.79,5252
20151224,22.16,22.77,22.12,22.63,11659
20151228,21.96,21.96,20.98,21.22,3496
20151229,21.56,21.7,21.36,21.7,1330
20151230,20.78,20.89,20.6,20.8,27976
20151231,20.85,20.9,20.73,20.73,34250
20160104,22.14,22.49,21.56,22.05,24911
20160105,22.27,22.27,21.71,21.85,2852
20160106,22.82,22.82,22.36,22.71,5904
20160107,23.35,24.54,23.19,24.36,8256
20160108,23.34,23.65,22.61,23.34,6417
20160111,22.63,22.63,21.47,21.47,13228
20160112,21.06,21.06,19.862,20.54,6904
20160113,20.65,20.65,19.812,20.35,4355
20160114,20.37,20.37,18.773,19.083,7671
20160115,20.35,20.35,18.883,18.913,7006
20160119,19.323,19.323,17.175,17.275,12255
20160120,17.884,18.184,17.285,18.184,5333
20160121,17.265,18.304,17.185,18.264,4185
20160122,18.134,18.913,18.134,18.614,4335
20160125,19.323,19.703,19.203,19.633,3996
20160126,20.14,21.43,20.14,21.26,9806
20160127,21.13,22.1,20.86,22.09,7643
20160128,21.11,21.93,20.75,21.08,3686
20160129,21.16,22.1,20.96,22.06,1500
20160201,22.5,23.4,22.5,23.4,5114
20160202,22.93,22.93,21.83,22.46,2600
20160203,22.95,25.5,22.95,25.5,7802
20160204,27.12,28.9,27.1,28.28,15790
20160205,26.96,31.52,26.39,31.52,14963
20160208,33.25,34.59,32.88,32.94,22201
20160209,34.02,34.26,30.33,30.33,22001
20160210,29.97,31.67,28.31,31.62,26790
20160211,36.18,37.02,34.1,36.17,47178
20160212,34.23,38.08,33.99,38.08,11255
20160216,34.41,35.77,31.53,31.61,18783
20160217,32.04,33.89,32.04,33.74,8556
20160218,32.91,37.72,32.72,37.72,19282
20160219,36.75,37.47,35.53,35.59,18091
20160222,34.29,36.71,34.22,35.99,9134
20160223,37.82,38.19,37.14,37.73,10073
20160224,39.61,41.44,37.54,38.49,22409
20160225,38.13,39.81,38.04,39.58,10145
20160226,37.98,39.24,36.71,36.95,10703
20160229,38.36,39.59,38.09,39.48,12037
20160301,39.88,39.96,36.27,36.31,25719
20160302,36.9,38.48,36.39,38.11,8751
20160303,38.45,41.89,38.45,41.14,15164
20160304,41.34,45.53,40.24,40.85,19664
20160307,41.84,44.76,41.84,43.56,18550
20160308,44.43,44.96,39.36,39.39,15730
