Date,Open,High,Low,Close,Volume
20210216,25.12,25.12,25.12,25.12,1179
20210217,25.14,25.2796,25.14,25.2796,2341
20210218,24.6499,24.7161,24.6399,24.7161,845
20210219,24.86,24.9,24.67,24.67,2203
20210222,24.6,24.6,23.9166,23.9166,1645
20210223,23.25,23.71,22.9099,23.71,3351
20210224,23.71,23.835,23.71,23.8343,823
20210225,23.68,23.68,22.7992,22.7992,4263
20210226,23.2,23.2,23.0992,23.0992,4954
20210301,23.22,23.6475,23.22,23.6475,1103
20210302,23.7,23.7,23.31,23.31,1085
20210303,23.16,23.16,22.3994,22.3994,777
20210304,21.68,21.68,21.6169,21.6169,1491
20210305,21.85,21.85,20.97,21.804,210
20210308,21.33,21.33,21.02,21.02,671
20210309,21.21,21.9995,21.21,21.9936,4000
20210310,22.2,22.2,21.8375,21.8375,3405
20210311,22.38,22.69,22.38,22.6791,1654
20210312,22.4367,22.4367,22.4367,22.4367,21
20210315,22.5,22.6166,22.49,22.6166,1223
20210316,22.61,22.64,22.609,22.64,701
20210317,22.27,22.6896,22.27,22.6896,444
20210318,22.5,22.5,21.8865,21.8865,8214
20210319,22.13,22.13,22.0524,22.0524,125
20210322,22.38,22.47,22.298,22.298,1118
20210323,22.27,22.27,22.0806,22.0806,214
20210324,21.99,21.99,21.6003,21.6003,109
20210325,21.5454,21.5454,21.5454,21.5454,86
20210326,21.67,21.9412,21.66,21.9412,2402
20210329,21.72,21.8,21.72,21.7744,509
20210330,21.97,21.97,21.62,21.7365,1300
20210331,22.34,22.34,22.2761,22.2761,102
20210401,22.806,22.806,22.806,22.806,3
20210405,23,23.1494,23,23.1494,524
20210406,23.21,23.215,23.21,23.215,134
20210407,23.1611,23.1611,23.1611,23.1611,6
20210408,23.4355,23.4355,23.4355,23.4355,104
20210409,23.46,23.5293,23.4197,23.5293,1599
20210412,23.44,23.5701,23.44,23.5701,1644
20210413,23.9258,23.9258,23.9258,23.9258,191
20210414,23.93,23.93,23.5721,23.5721,1805
20210415,23.95,24.0146,23.95,24.0146,2357
20210416,23.9819,23.9819,23.9819,23.9819,493
20210419,23.72,23.72,23.63,23.6496,456
20210420,23.3549,23.3549,23.3549,23.3549,104
20210421,23.7012,23.7012,23.7012,23.7012,24
20210422,23.68,23.6801,23.58,23.5818,405
20210423,24.0627,24.0627,24.0627,24.0627,2
20210426,24.331,24.331,24.331,24.331,26
20210427,24.32,24.32,24.2966,24.2966,217
20210428,24.37,24.37,24.2845,24.2845,209
20210429,24.1094,24.1094,24.1094,24.1094,13
20210430,23.975,24.01,23.8669,23.8669,1839
20210503,23.59,23.59,23.5895,23.5895,101
20210504,23.01,23.0693,22.976,23.0693,304
20210505,23.15,23.15,22.9005,22.9005,455
20210506,22.58,22.7318,22.58,22.7318,313
20210507,23.02,23.02,22.9866,22.9866,503
20210510,22.2428,22.2428,22.2428,22.2428,15
20210511,22.04,22.3351,21.97,22.3351,1305
