Date,Open,High,Low,Close,Volume
20201109,51.2954,51.2954,50.4755,50.4755,1318
20201110,50.01,50.01,48.97,49.3654,10239
20201111,49.11,49.99,49.11,49.99,18661
20201112,49.93,50.14,49.451,49.562,14181
20201113,50.06,50.29,50,50.29,47480
20201116,50.5,50.72,50.345,50.5488,50366
20201117,50.41,50.81,50.345,50.65,37413
20201118,50.82,50.83,50.19,50.19,15272
20201119,50.18,50.85,50.14,50.83,19227
20201120,50.75,51.15,50.7,51,21760
20201123,51.33,51.6,50.93,51.31,63796
20201124,51.72,51.91,51.31,51.89,16761
20201125,51.58,51.95,51.58,51.8998,11692
20201127,52.29,52.59,52.18,52.55,15923
20201130,52.48,52.48,51.93,52.26,16263
20201201,52.81,52.93,52.65,52.75,29666
20201202,52.36,52.78,52.0895,52.6747,16229
20201203,52.75,53.23,52.75,52.97,33653
20201204,52.99,53.46,52.99,53.4097,11175
20201207,53.4,53.62,53.4,53.5161,9843
20201208,53.52,53.969,53.35,53.8588,22749
20201209,53.99,54.02,53.005,53.3231,32469
20201210,53,53.77,52.7501,53.685,23789
20201211,53.3,53.58,52.9976,53.48,13629
20201214,53.78,53.955,53.4599,53.4599,24736
20201215,53.68,54.15,53.63,54.15,9531
20201216,54.07,54.47,54.07,54.3479,9738
20201217,54.71,54.88,54.6001,54.88,11537
20201218,55.05,56.7,54.77,54.97,25068
20201221,54.1,54.93,54.08,54.8335,17449
20201222,54.83,55.23,54.8,55.22,23549
20201223,55.41,55.47,55.18,55.25,19211
20201224,55.13,55.13,54.81,54.937,7550
20201228,55.09,55.16,55,55.05,26568
20201229,55.18,55.2313,54.7,54.85,59372
20201230,55.18,55.5,55.18,55.38,13742
20201231,55.4,55.4,55.01,55.4,17116
20210104,55.69,55.69,54.14,54.83,51253
20210105,54.73,55.52,54.73,55.5101,20118
20210106,55.17,56.22,55.12,55.5189,11388
20210107,55.87,56.93,55.87,56.88,127937
20210108,57,57.46,56.82,57.46,29804
20210111,56.87,57.33,56.71,57.04,19715
20210112,57.1,57.45,56.9214,57.37,19039
20210113,57.29,57.61,57.2,57.44,24282
20210114,57.56,58.099,57.56,57.76,24534
20210115,57.43,57.6644,56.83,57.0832,9941
20210119,57.68,58.31,57.68,58.25,15470
20210120,58.91,59.27,58.5,59.15,55330
20210121,59.21,59.35,58.93,59.34,12269
20210122,58.87,59.41,58.79,59.39,23814
20210125,59.79,59.88,58.38,59.48,42180
20210126,59.68,59.71,59.18,59.3,29678
20210127,58.37,58.829,57.73,58,473525
20210128,57.89,58.6588,57.89,58.21,19814
20210129,57.86,58,56.7042,57.16,29775
20210201,57.72,58.579,57.5801,58.52,21844
20210202,59.16,59.49,59.035,59.36,21236
20210203,59.48,59.75,59.2876,59.55,30151
20210204,59.67,61.4427,59.67,60.09,56306
20210205,60.35,60.65,60.3145,60.6428,15446
20210208,60.91,61.38,60.91,61.26,61679
20210209,61.23,61.865,61.23,61.7,73135
20210210,62.05,62.31,61.32,61.63,32641
20210211,61.98,62.26,61.61,62,33920
20210212,61.84,62.5761,61.84,62.55,41195
20210216,62.97,62.97,62.18,62.44,49863
20210217,62.02,62.02,61.21,61.83,55697
20210218,61.29,61.4287,60.59,61.16,40390
20210219,61.5,62,61.33,61.54,26024
20210222,60.75,60.9,60.13,60.13,23525
20210223,59.13,59.83,57.75,59.67,104194
20210224,59.14,60.02,58.88,60,25664
20210225,59.87,60.08,57.9,58.09,51494
20210226,58.14,58.65,57.38,58.05,35016
20210301,58.84,59.6717,58.84,59.51,61898
20210302,59.56,59.56,58.72,58.72,27261
20210303,58.69,58.69,57.35,57.52,236085
20210304,56.96,57.4872,55.105,55.86,75283
20210305,56.28,56.47,54.14,56.36,74286
20210308,56.2,56.5,55,55,32813
20210309,56.05,57.32,56.05,57.08,29542
20210310,57.59,57.85,56.8918,57.14,27372
20210311,57.73,58.68,57.73,58.59,17600
20210312,57.86,58.36,57.59,58.33,15717
20210315,58.32,58.84,58.2,58.84,13718
20210316,58.93,59.14,58.36,58.59,12037
20210317,58.09,59.09,57.9,58.88,28459
20210318,58.3,58.56,57.46,57.54,17610
20210319,57.48,57.99,57.2,57.86,15298
20210322,57.83,58.529,57.83,58.25,34115
20210323,58,58,57.105,57.29,20484
20210324,57.35,57.35,56,56,15669
20210325,55.37,56.13,55.07,55.99,29179
20210326,55.98,56.79,55.6372,56.76,50723
20210329,56.5107,56.595,56.11,56.36,30172
20210330,55.96,56.67,55.96,56.45,21648
20210331,56.63,57.39,56.63,57.2,8529
20210401,57.74,58.21,57.72,58.09,16288
20210405,58.41,58.9,58.41,58.73,25807
20210406,58.67,59.1,58.67,58.89,280909
20210407,58.59,58.79,58.19,58.28,35469
20210408,58.78,59.19,58.78,58.97,22045
20210409,59.03,59.24,58.93,59.18,20845
20210412,59.11,59.16,58.87,59.07,23920
20210413,59.01,59.71,59.01,59.58,14558
20210414,59.68,60.03,59.27,59.27,13661
20210415,59.54,59.99,59.185,59.9,19839
20210416,60.14,60.14,59.8,60.0126,11642
20210419,59.68,59.93,59.13,59.39,11295
20210420,59.21,59.3,58.48,58.81,20172
20210421,58.5,59.55,58.5,59.44,21734
20210422,59.53,60.09,59.09,59.17,37916
20210423,59.41,60.25,59.41,60,12653
20210426,60.12,60.6299,60.12,60.43,8817
20210427,60.62,60.62,60.17,60.42,32418
20210428,60.41,60.4599,59.82,60.24,9507
20210429,60.64,60.64,59.57,60.14,15101
20210430,59.73,59.97,59.43,59.5,13297
20210503,59.71,59.78,59.28,59.36,43266
20210504,58.91,58.91,57.61,58.1654,21331
20210505,58.44,58.55,58.0208,58.065,6345
20210506,57.9,58.08,57.32,58.08,76830
20210507,58.31,58.94,58.31,58.5317,7332
20210510,58.6,58.6,57.37,57.37,16299
20210511,56.17,57.21,56.17,57.02,43994
20210512,56.57,56.89,55.67,55.82,18579
20210513,55.89,56.395,55.39,55.905,31397
20210514,56.2662,57.132,56.23,57.101,44814
20210517,56.79,57.06,56.556,57.06,16381
20210518,57.09,57.7,57.08,57.13,17529
20210519,56.11,57.02,56.02,57.02,12538
20210520,57.16,58.099,57.16,57.9276,8480
20210521,58.15,58.15,57.68,57.68,6714
20210524,58.2733,58.61,58.18,58.44,12280
20210525,58.69,58.725,58.48,58.59,46878
20210526,58.8706,59.07,58.8598,59.01,70208
20210527,59.03,59.23,58.8572,59.2247,50912
20210528,59.31,59.675,59.21,59.27,11546
20210601,59.715,59.7485,59.272,59.48,14858
20210602,59.41,59.7,59.4,59.7,5923
20210603,59.15,59.33,58.91,59.0818,12281
20210604,59.55,59.84,59.55,59.84,12179
20210607,59.73,60.22,59.662,60.17,12441
20210608,60.2474,60.27,59.9269,60.25,12909
20210609,60.38,60.56,60.135,60.2,12976
20210610,60.26,60.58,60.11,60.58,14537
20210611,60.5,60.7373,60.431,60.7373,9734
20210614,60.85,61.11,60.82,61.0467,12721
20210615,61.11,61.11,60.43,60.56,9521
20210616,60.64,60.64,59.84,60.2655,5379
20210617,60.43,60.899,60.34,60.82,8375
20210618,60.23,60.6,60.15,60.2686,12184
20210621,59.7,60.56,59.7,60.45,3786
20210622,60.33,60.99,60.33,60.8705,4101
20210623,60.94,61.3,60.94,61.0826,6554
20210624,61.37,61.7,61.37,61.58,12769
20210625,61.75,61.91,61.675,61.85,18267
20210628,62.19,62.41,62.04,62.41,13030
20210629,62.28,62.5,62.2,62.5,6549
20210630,62.16,62.32,62.13,62.21,18536
20210701,62.1383,62.14,61.865,62.0492,7370
20210702,62.33,62.33,62.035,62.17,5271
20210706,62.11,62.11,61.5601,62.05,12941
20210707,61.44,61.76,61.44,61.6516,6625
20210708,60.46,61.089,59.88,60.9422,8295
20210709,61.13,61.745,61.13,61.68,5399
20210712,61.92,61.92,61.71,61.7773,2130
20210713,61.6,62.06,61.6,61.61,8453
20210714,61.88,61.88,61.17,61.17,7492
20210715,60.9,60.9,60.36,60.68,11368
20210716,60.87,60.87,60.12,60.29,8868
20210719,59.4,59.68,59.145,59.67,13043
20210720,59.84,60.775,59.84,60.6677,88480
20210721,60.65,61.3581,60.65,61.3581,5147
20210722,61.2751,61.41,61.2751,61.395,5264
20210723,61.315,61.6552,61.26,61.6,4506
20210726,61.26,61.5,61.01,61.1938,19768
20210727,60.89,60.89,59.86,60.5,22647
20210728,60.7138,61.49,60.7138,61.49,4191
20210729,61.58,61.87,61.51,61.51,11583
20210730,61.07,61.458,61.07,61.2738,2724
20210802,61.64,61.78,61.4966,61.4966,3305
20210803,61.52,61.6013,60.911,61.6013,7137
20210804,61.6,61.949,61.6,61.8666,3997
20210805,61.97,62.4,61.97,62.3818,5000
20210806,62.23,62.23,61.99,62.02,4123
20210809,62.18,62.47,62.18,62.3691,28792
20210810,62.5,62.53,62.04,62.04,5509
20210811,62.37,62.37,61.645,61.8845,7915
20210812,61.75,62.06,61.75,62.01,24325
20210813,61.96,61.98,61.82,61.8288,4028
20210816,61.47,61.47,60.89,61.4,8456
20210817,60.92,60.92,60.36,60.7599,8397
20210818,60.77,61.0601,60.45,60.45,6295
20210819,59.75,60.329,59.75,59.9613,7062
20210820,60.04,60.61,60.04,60.61,29544
20210823,60.85,61.76,60.85,61.7186,15720
20210824,62.05,62.6,62.05,62.5,31054
20210825,62.57,62.72,62.33,62.71,23464
20210826,62.49,62.53,62.1801,62.25,28788
20210827,62.23,62.8487,62.23,62.76,39197
20210830,62.91,63.23,62.72,63.11,18488
20210831,63.21,63.359,63.105,63.34,8106
20210901,63.53,63.93,63.4659,63.74,11796
20210902,64.01,64.04,63.49,63.8137,13922
20210903,63.72,64.02,63.72,64.01,8703
20210907,64.13,64.1587,63.94,64.0697,5361
20210908,63.81,63.81,63.05,63.25,20802
20210909,63.5101,63.5101,63.25,63.25,2632
20210910,63.64,63.64,62.69,62.81,6691
20210913,63.03,63.03,62.2801,62.5778,7376
20210914,62.7,62.7,62.04,62.25,12444
20210915,62.23,62.5149,61.991,62.5149,5532
20210916,62.27,62.6,62.081,62.56,30588
20210917,62.55,62.55,62.11,62.3035,6343
20210920,61,61.245,60.14,60.8095,132836
20210921,61.3301,61.37,60.79,60.99,24126
20210922,61.06,61.89,61.06,61.57,24646
20210923,61.92,62.48,61.84,62.44,10628
20210924,61.72,61.94,61.608,61.8354,12597
20210927,61.56,61.68,61.24,61.5376,5619
20210928,61.02,61.02,59.92,60.03,15376
20210929,60.33,60.33,59.64,59.65,7576
20210930,59.86,60.129,59.6,59.6,11648
20211001,59.78,59.94,59,59.9318,20167
20211004,59.53,59.53,58.29,58.61,20317
20211005,59.19,59.397,59.16,59.1689,4646
20211006,58.42,59.289,58.3901,59.2068,11092
20211007,60.33,60.6481,60.2403,60.2403,5227
20211008,60.36,60.36,59.9839,59.9839,4447
20211011,59.98,60.37,59.6464,59.6464,3464
20211012,59.69,59.94,59.62,59.76,27349
20211013,59.95,60.33,59.9,60.2858,9109
20211014,60.945,61.0351,60.945,61.0351,4122
20211015,61.45,61.5082,61.4,61.42,12028
20211018,61.23,61.72,61.23,61.7115,35115
20211019,62.05,62.54,62.05,62.45,24380
