Date,Open,High,Low,Close,Volume
20080212,39.59,39.59,39.59,39.59,800
20080213,39.61,39.61,39.61,39.61,100
20080219,39.38,39.38,39.38,39.38,100
20080222,39.4,39.57,39.06,39.57,1400
20080225,39.2,39.2,39.2,39.2,400
20080312,39.57,39.57,39.57,39.57,200
20080314,39.52,39.52,39.52,39.52,1300
20080317,43.05,43.05,39.67,39.67,300
20080318,39.61,39.61,39.61,39.61,100
20080325,39.56,39.56,39.56,39.56,100
20080331,39.65,39.65,39.65,39.65,2100
20080407,39.55,39.55,39.43,39.43,400
20080410,39.73,39.73,39.73,39.73,100
20080418,39.02,39.02,39.02,39.02,1300
20080421,39.56,46.47,39.07,39.34,12400
20080422,39.39,39.39,39.19,39.19,2600
20080423,39.38,39.39,39.26,39.26,4400
20080425,39.15,39.15,39.15,39.15,100
20080505,39.3,39.41,39.3,39.41,1100
20080509,39.58,39.58,39.36,39.38,3400
20080512,39.56,39.56,39.56,39.56,100
20080522,39.14,39.14,39.14,39.14,100
20080523,39.41,39.41,39.41,39.41,2000
20080528,39.02,39.02,39.02,39.02,100
20080605,39.08,39.08,39.08,39.08,200
20080623,38.77,38.77,38.77,38.77,400
20080624,38.84,38.84,38.84,38.84,100
20080711,39.34,39.34,39.34,39.34,100
20080715,39.29,39.29,39.29,39.29,100
20080717,38.88,38.88,38.88,38.88,200
20080814,40.75,40.75,39,39,600
20080826,39.34,39.35,39.34,39.35,1400
20080827,39.26,39.26,39.26,39.26,100
20080912,39.72,39.72,39.72,39.72,200
20080915,40.53,40.77,39.49,39.49,5000
20080916,39.99,39.99,39.99,39.99,500
20080917,39.55,39.55,39.43,39.43,1600
20080923,38.88,38.88,38.76,38.81,600
20080925,38.75,38.75,38.51,38.61,2600
20080930,38.61,38.61,38.55,38.55,200
20081002,38.76,38.81,38.76,38.81,1100
20081006,38.99,38.99,38.99,38.99,300
20081007,38.87,38.94,38.87,38.89,500
20081008,38.83,38.83,38.46,38.46,1400
20081013,37.56,37.56,37.56,37.56,100
20081014,37,37.56,36.88,37.56,900
20081016,37.8,37.8,37.8,37.8,100
20081017,37.74,37.74,37.52,37.52,4400
20081021,37.93,37.93,37.93,37.93,100
20081028,37.92,37.92,37.62,37.62,500
20081029,37.75,37.79,37.55,37.79,3000
20081103,37.8,37.8,37.8,37.8,200
20081111,38.15,38.15,38.15,38.15,100
20081120,39.02,39.02,39.02,39.02,200
20081121,38.79,38.79,38.79,38.79,200
20081124,38.72,38.72,38.72,38.72,400
20081205,39.78,40.58,39.78,40.58,2600
20081208,39.77,39.77,39.77,39.77,200
20081212,39.98,39.98,39.98,39.98,600
20081216,40.15,40.15,32.86,32.86,200
20081217,32.44,37.14,32.44,37.14,1200
20081223,35.92,35.92,34.1,35.84,1300
20081224,37.63,39.57,37.63,39.57,400
20081229,37.96,37.96,37.15,37.15,1500
20090105,37.15,38.03,37.15,37.15,1300
20090120,38.83,38.83,38.52,38.72,600
20090128,38.79,38.79,38.79,38.79,600
20090129,38.76,38.76,37.22,37.22,500
20090204,39.57,39.57,39.57,39.57,500
20090211,37.18,37.18,37.18,37.18,100
20090220,38.72,38.72,36.88,36.88,200
20090224,38.5,38.5,37.69,37.73,1300
20090226,39.7,39.7,37.52,38.09,1100
20090227,38.66,39.87,38.5,38.5,500
20090317,39.31,39.31,38.5,38.5,800
20090323,38.09,38.09,38.09,38.09,400
20090324,38.09,38.09,38.09,38.09,100
20090327,39.39,39.39,34.52,34.52,200
20090403,39.11,39.11,37.49,37.94,400
20090406,38.99,38.99,38.99,38.99,200
20090424,40.69,40.69,35.01,36.06,900
20090428,36.69,36.69,36.69,36.69,400
20090501,36.62,36.62,36.62,36.62,100
20090505,36.68,36.68,36.66,36.66,200
20090506,40.65,40.69,40.65,40.69,1500
20090508,36.66,36.66,36.66,36.66,100
20090511,40.56,40.56,36.91,39.34,600
20090528,35.1,35.1,35.1,35.1,200
20090610,39.09,39.09,39.09,39.09,200
20090611,34.24,34.24,34.24,34.24,100
20090616,35.87,37.91,35.87,37.09,8700
20090617,35.87,38.72,35.87,38.72,14300
20090618,38.72,38.73,38.08,38.32,2900
20090702,36.53,37.58,36.53,37.58,400
20090715,38.4,38.4,38.4,38.4,400
20090721,38.6,38.6,38.6,38.6,200
20090723,39.17,39.17,39.17,39.17,200
20090731,38.88,38.88,38.88,38.88,200
20090803,39.28,41.74,39.28,41.74,1200
20090810,39.29,39.29,39.29,39.29,2400
20090811,40.1,40.9,39.28,40.84,2900
20090812,40.83,40.84,37.65,37.65,1000
20090813,35.95,40.84,35.95,40.84,1600
20090814,40.92,40.92,40.84,40.84,1100
20090817,40.84,40.84,40.84,40.84,1100
20090821,40.84,41.34,35.65,40.84,1800
20090826,41,41.41,41,41.41,2800
20090831,40.14,40.17,40.14,40.17,300
20090904,36.41,36.41,36.41,36.41,300
20090908,38.13,40.1,37.72,40.1,2300
20090909,37.68,40.18,37.68,40.06,700
20090910,37.97,39.61,37.97,39.61,1200
20090911,38.05,38.05,38.05,38.05,200
20090914,38.54,39.77,38.54,39.64,700
20090917,39.77,39.93,38.63,39.86,1400
20090918,38.79,41,38.79,41,1800
20090921,41.16,41.16,40.18,40.18,300
20090924,39.14,39.43,39.14,39.43,900
20090925,39.43,39.48,38.65,39.41,2900
20090928,38.77,39.51,38.77,39.51,3600
20090929,38.64,39.64,38.64,39.64,600
20091002,39.64,41.01,39.64,41.01,300
20091014,38.69,38.69,38.69,38.69,100
20091016,40.46,40.46,40.46,40.46,100
20091019,38.69,38.92,38.69,38.92,200
20091022,38.85,40.99,38.85,40.46,500
20091023,38.67,38.68,38.67,38.68,500
20091029,39.12,40.31,38.82,38.82,7400
