Date,Open,High,Low,Close,Volume
20210518,25.03,25.05,25.0249,25.03,25945
20210519,24.64,24.7,24.64,24.7,20991
20210520,24.64,24.64,24.64,24.64,1447
20210521,24.87,24.87,24.84,24.84,969
20210524,24.81,24.88,24.81,24.88,2975
20210525,24.96,25,24.96,25,1147
20210526,24.95,25.19,24.95,25.19,1927
20210527,25.18,25.19,25.07,25.09,7771
20210528,25.14,25.19,25.14,25.14,2883
20210601,25.1,25.15,25.08,25.15,5157
20210602,25.18,25.2,25.16,25.2,3403
20210603,25.24,25.25,24.86,24.86,13330
20210604,24.74,25.15,24.7,25.09,12631
20210607,25.32,25.39,25.06,25.12,9719
20210608,25.25,25.26,25.12,25.24,7405
20210609,25.29,25.33,25.2,25.28,6969
20210610,25.45,25.45,25.22,25.33,7270
20210611,25.46,25.48,25.34,25.36,14439
20210614,24.94,25.13,24.94,25.09,3655
20210615,24.95,25.03,24.88,24.95,7173
20210616,24.95,25,24.63,24.65,11104
20210617,24.57,24.57,23.81,23.87,15882
20210618,23.34,23.95,23.17,23.84,3987
20210621,23.94,23.96,23.8,23.94,3262
20210622,23.76,23.93,23.04,23.93,4593
20210623,23.8,23.85,23.8,23.83,12319
20210624,23.71,23.79,23.68,23.7,2899
20210625,23.68,23.78,23.63,23.69,3469
20210628,23.79,23.9,23.79,23.8,2291
20210629,23.86,23.89,23.65,23.7,17384
20210630,23.5,23.79,23.5,23.79,2266
20210701,23.91,23.92,23.84,23.84,1048
20210702,23.9,24.03,23.9,24.02,1424
20210706,24.13,24.92,24.13,24.16,4095
20210707,24.66,24.67,24.5,24.5,4115
20210708,24.76,24.76,24.45,24.54,5592
20210709,24.64,24.64,23.9,24.39,4300
20210712,24.6,24.6,24.43,24.43,2656
20210713,24.45,24.47,24.45,24.46,1330
20210714,24.63,24.63,24.49,24.6,2367
20210715,24.6,24.93,24.6,24.93,1270
20210716,24.78,24.78,24.69,24.69,1733
20210719,24.59,24.67,24.59,24.61,1092
20210720,24.79,24.79,24.69,24.72,1268
20210721,24.64,24.65,24.09,24.49,5809
20210722,24.4,24.43,24.4,24.43,232
20210723,24.5,24.5,24.39,24.39,1246
20210726,24.58,24.58,24.37,24.37,400
20210727,23.91,24.41,23.91,24.41,756
20210728,24.5,24.5,24.44,24.44,261
