Date,Open,High,Low,Close,Volume
20200518,40.12,40.6902,40.12,40.6902,500
20200519,40.77,40.77,40.54,40.54,700
20200520,41.01,41.01,40.82,40.9152,508
20200521,40.61,40.61,40.5747,40.5747,400
20200522,40.04,40.04,39.7406,39.7406,101
20200526,40.8,40.8,40.6202,40.6202,500
20200527,40.52,40.648,40.435,40.648,700
20200528,40.66,40.66,40.5423,40.5423,400
20200529,40.62,40.895,40.62,40.895,400
20200601,41.44,41.725,41.44,41.725,109
20200602,42.32,42.8056,42.32,42.8056,574
20200603,43.29,43.73,43.29,43.73,473
20200604,43.29,43.3291,43.25,43.3291,440
20200605,44.23,44.3566,44.23,44.3566,108
20200608,44.23,44.425,44.23,44.425,512
20200609,44.175,44.313,44.175,44.313,300
20200610,44.44,44.6043,44.43,44.6043,585863
20200611,43.375,43.375,42.55,42.6087,201500
20200612,43.27,43.27,42.83,43.1,2250
20200615,42.38,42.9474,42.38,42.9474,400
20200616,43.76,43.76,43.3,43.3109,1418
20200617,43.6164,43.6164,43.6164,43.6164,1
20200619,43.83,43.83,43.7089,43.7089,400
20200622,43.985,43.985,43.985,43.985,100
20200623,44.62,44.7,44.5346,44.5346,200
20200624,44.1,44.1,43.9668,43.9668,400
20200625,43.965,44.02,43.965,44.02,200
20200626,43.6577,43.6577,43.6577,43.6577,11
20200629,43.67,43.76,43.67,43.76,300
20200701,44.095,44.1,44.095,44.1,400
20200707,46.44,46.44,46.26,46.26,100
20200708,46.74,47.1345,46.74,47.1345,775
20200709,47.43,47.43,47.225,47.2938,902
20200710,47.37,47.37,46.9666,46.9666,151
20200713,47.26,47.26,46.7363,46.7363,1101
20200714,46.36,46.745,46.35,46.74,600
20200715,46.84,46.84,46.84,46.84,400
20200716,46.17,46.19,46.17,46.19,500
20200717,46.4798,46.4798,46.4798,46.4798,1
20200720,46.88,47.06,46.88,47.06,300
20200721,47.59,47.59,47.5532,47.5532,102
20200722,47.76,47.76,47.3381,47.3381,107
20200723,47.1302,47.1302,46.8983,46.8983,100
20200724,46.8507,46.8507,46.8507,46.8507,8
20200728,47.2311,47.2311,47.2311,47.2311,2
20200810,47.65,47.69,47.5802,47.5802,264
20200811,47.6557,47.6557,47.6557,47.6557,5
20200812,48.12,48.2166,48.12,48.2166,203
20200813,47.9782,47.9782,47.9782,47.9782,2
20200814,47.855,47.855,47.855,47.855,102
20200817,48.385,48.385,48.385,48.385,102
20200818,48.433,48.433,48.433,48.433,19
20200819,48.0349,48.0349,48.0349,48.0349,30
20200820,47.68,47.68,47.68,47.68,137
20200821,47.99,47.99,47.99,47.99,1
20200824,48.5327,48.5327,48.5327,48.5327,10
20200825,49.0097,49.0097,49.0097,49.0097,22
20200826,49.1668,49.1668,49.1668,49.1668,1
20200827,48.98,48.98,48.8446,48.8446,150
20200828,49.3486,49.3486,49.3486,49.3486,2
20200831,48.3627,48.3627,48.3627,48.3627,43
20200901,49.15,49.15,49.15,49.15,111
20200902,49.13,49.1519,49.13,49.1519,101
20200903,49.15,49.15,48.2459,48.2459,101
20200904,48.1757,48.1757,48.1757,48.1757,2
20200908,47.3926,47.3926,47.3926,47.3926,1
20200911,47.759,47.759,47.759,47.759,2
20200915,48.821,49.16,48.821,49.0695,201
20200916,49.0501,49.0501,48.9997,48.9997,101
20200917,48.7952,48.7952,48.7952,48.7952,1
20200918,48.4837,48.4837,48.4837,48.4837,1
20200921,47.95,47.95,47.95,47.95,102
20200922,47.7528,47.7528,47.7528,47.7528,2
20200923,47.0315,47.0315,47.0315,47.0315,3
20200924,45.43,45.78,45.43,45.78,400
20200928,46.2897,46.2897,46.2897,46.2897,12
20200929,46.2049,46.2049,46.2049,46.2049,1
20201001,47.2089,47.2089,47.2089,47.2089,2
