Date,Open,High,Low,Close,Volume
20201229,20.01,20.05,19.9443,19.9443,3550
20201230,20.03,20.03,19.9787,19.9787,99607
20201231,19.94,20.0594,19.9158,20.0594,11141
20210104,19.8004,19.8004,19.8004,19.8004,99
20210105,19.9281,19.9281,19.9281,19.9281,10
20210106,20.05,20.21,20.0392,20.0392,2922
20210107,20.29,20.3158,20.29,20.3158,222
20210108,20.3683,20.3683,20.3683,20.3683,32
20210111,20.34,20.34,20.23,20.2323,361
20210112,20.26,20.2749,20.26,20.2749,180
20210113,20.28,20.2857,20.28,20.2857,313
20210114,20.26,20.26,20.1785,20.1785,253
20210115,20.1,20.1,20.0756,20.0756,342
20210119,20.2229,20.2229,20.2229,20.2229,40
20210120,20.54,20.54,20.5318,20.5318,200
20210121,20.6,20.6,20.5913,20.5913,378
20210122,20.5313,20.5313,20.5313,20.5313,61
20210125,20.54,20.5782,20.54,20.5782,111
20210126,20.5817,20.5817,20.5817,20.5817,58
20210127,20.28,20.28,20.09,20.1104,354
20210128,20.2879,20.2879,20.2879,20.2879,19
20210129,19.9269,19.9269,19.9269,19.9269,93
20210201,20.02,20.21,20.02,20.1898,416
20210202,20.47,20.47,20.4234,20.4234,168
20210203,20.55,20.55,20.4666,20.4666,639
20210204,20.5492,20.6431,20.5492,20.6431,138
20210205,20.79,20.79,20.7576,20.7576,406
20210208,20.8,20.868,20.8,20.868,2564
20210209,20.88,20.92,20.87,20.89,2554
20210210,20.83,20.905,20.83,20.86,2406
20210211,20.94,20.94,20.83,20.8708,518
20210212,20.92,20.975,20.9,20.975,1987
20210216,20.96,20.96,20.9463,20.9463,422
20210217,20.94,20.9699,20.94,20.9699,227
20210218,20.84,20.8756,20.78,20.8756,442
20210219,20.96,20.96,20.8111,20.8111,838
20210222,20.68,20.71,20.6795,20.6874,1132
20210223,20.42,20.6917,20.42,20.6917,776
20210224,20.591,20.8747,20.591,20.8747,394
20210225,20.5,20.5,20.4152,20.4152,250
20210226,20.43,20.43,20.3656,20.3656,212
20210301,20.78,20.83,20.7529,20.7529,767
20210302,20.72,20.72,20.6296,20.6296,153
20210303,20.49,20.49,20.3823,20.3823,340
20210304,20.12,20.12,19.93,20.0785,1585
20210305,20.52,20.555,20.52,20.555,869
20210308,20.55,20.55,20.5304,20.5304,2603
20210309,20.86,20.86,20.7502,20.7502,124
20210310,20.9,20.93,20.8713,20.8713,779
20210311,21.07,21.07,21.0309,21.0309,108
20210312,21.01,21.0447,21.01,21.0447,280
20210315,21.0198,21.1552,21.0198,21.1552,337
20210316,21.24,21.24,21.13,21.1555,511
20210317,21.27,21.27,21.2067,21.2067,117
20210318,21.12,21.12,20.962,20.962,484
20210319,20.9753,20.9753,20.9753,20.9753,26
20210322,21.1275,21.1275,21.1275,21.1275,83
20210323,21.19,21.19,20.9784,20.9784,471
20210324,21.02,21.02,20.9159,20.9159,289
20210325,20.76,21.0165,20.76,21.0165,349
20210326,21.17,21.3446,21.1699,21.3446,1864
20210329,21.29,21.39,21.2899,21.3874,485
20210330,21.3,21.3,21.2728,21.2728,511
20210331,21.46,21.46,21.398,21.398,604
20210401,21.53,21.6035,21.53,21.6035,619
20210405,21.8,21.97,21.8,21.9689,1697
20210406,21.9199,21.9199,21.9199,21.9199,140
20210407,21.97,21.97,21.9664,21.9664,689
20210408,22.11,22.11,22.06,22.0658,978
20210409,22.2489,22.2489,22.2489,22.2489,108
20210412,22.26,22.26,22.241,22.2492,662
20210413,22.3,22.3,22.2862,22.2862,526
20210414,22.3,22.3,22.1908,22.1908,373
20210415,22.43,22.4418,22.43,22.4418,900
20210416,22.5424,22.5424,22.5424,22.5424,38
20210419,22.44,22.44,22.4216,22.4216,470
20210420,22.2829,22.2829,22.2829,22.2829,101
20210421,22.41,22.4675,22.41,22.4675,117
20210422,22.3,22.3,22.2636,22.2636,866
20210423,22.4862,22.4862,22.4862,22.4862,14
20210426,22.526,22.526,22.4957,22.4957,248
20210427,22.4801,22.5245,22.48,22.5245,809
20210428,22.52,22.6,22.51,22.5203,18573
20210429,22.63,22.71,22.575,22.6785,827
20210430,22.62,22.62,22.5186,22.5186,4691
20210503,22.69,22.69,22.6136,22.6136,9204
20210504,22.57,22.57,22.34,22.4895,1882
20210505,22.62,22.62,22.5433,22.5433,374
20210506,22.68,22.7558,22.63,22.7558,630
20210507,22.92,22.931,22.92,22.931,376
20210510,22.92,22.92,22.7215,22.7215,605
20210511,22.425,22.4794,22.425,22.4794,584
20210512,22.27,22.2705,22,22.0056,928
20210513,22.29,22.32,22.29,22.3195,1058
20210514,22.65,22.65,22.6352,22.6352,430
20210517,22.61,22.61,22.5282,22.5668,1816
20210518,22.545,22.545,22.3812,22.3812,552
20210519,22.21,22.2752,22.13,22.2752,1780
20210520,22.38,22.5143,22.38,22.5143,142
20210521,22.64,22.64,22.4853,22.4853,805
20210524,22.67,22.72,22.67,22.7026,7128
20210525,22.72,22.72,22.6395,22.641,547
20210526,22.6,22.71,22.6,22.6704,381
20210527,22.77,22.77,22.7192,22.7192,1617
20210528,22.73,22.73,22.7045,22.7045,419
20210601,22.9,22.9,22.67,22.6866,7990
20210602,22.7,22.7097,22.6866,22.7097,1797
20210603,22.65,22.69,22.65,22.6518,842
20210604,22.85,22.8552,22.85,22.8552,322
20210607,22.91,22.91,22.79,22.8379,3142
20210608,22.89,22.89,22.81,22.8376,1091
