Date,Open,High,Low,Close,Volume
20190417,50.02,50.02,50,50.015,201
20190422,50.15,50.15,50.15,50.15,21
20190424,50.19,50.2,50.175,50.175,7000
20190425,50.185,50.185,50.185,50.185,5
20190426,50.26,50.26,50.235,50.235,820
20190429,50.25,50.26,50.22,50.235,500
20190430,50.49,50.49,50.245,50.245,338
20190501,50.235,50.235,50.235,50.235,49
20190502,50.27,50.27,50.245,50.245,190
20190506,50.27,50.27,50.27,50.27,129
20190507,50.2995,50.2995,50.275,50.275,100
20190508,50.26,50.26,50.26,50.26,11
20190509,50.31,50.31,50.285,50.285,145
20190510,50.285,50.285,50.285,50.285,95
20190513,50.305,50.305,50.305,50.305,8
20190514,50.295,50.295,50.295,50.295,100
20190516,50.2951,50.2951,50.2951,50.2951,12
20190522,50.335,50.335,50.335,50.335,10
20190523,50.37,50.37,50.3576,50.3576,5000
20190529,50.375,50.375,50.375,50.375,20
20190603,50.455,50.455,50.455,50.455,1
20190607,50.34,50.34,50.31,50.31,10138
20190610,50.3,50.3,50.29,50.3,10000
20190611,50.3,50.3,50.3,50.3,7000
20190612,50.31,50.32,50.28,50.28,13750
20190613,50.29,50.3296,50.27,50.3,10100
20190617,50.3,50.3,50.29,50.29,10000
20190618,50.34,50.35,50.3399,50.34,11092
20190619,50.2994,50.365,50.2994,50.365,1600
20190620,50.39,50.455,50.39,50.39,151515
20190621,50.31,50.31,50.31,50.31,8000
20190624,50.33,50.37,50.3,50.35,9780
20190625,50.38,50.39,50.38,50.38,10000
20190626,50.35,50.3738,50.34,50.35,9500
20190627,50.36,50.392,50.35,50.36,7630
20190628,50.42,50.42,50.42,50.42,10002
20190701,50.34,50.34,50.32,50.32,2000
20190702,50.34,50.35,50.33,50.33,5011
20190703,50.35,50.36,50.35,50.36,8490
20190705,50.37,50.37,50.335,50.335,6285
20190708,50.3401,50.3401,50.32,50.32,9901
20190709,50.32,50.335,50.31,50.335,1262
20190711,50.38,50.38,50.355,50.355,1860
20190715,50.385,50.385,50.385,50.385,1
20190717,50.4,50.4,50.4,50.4,5
20190718,50.4,50.4,50.3984,50.3984,703
20190723,50.42,50.42,50.415,50.415,600
20190724,50.4299,50.4299,50.425,50.425,4592
20190729,50.445,50.445,50.43,50.43,300
20190730,50.45,50.45,50.44,50.445,13707
20190801,50.32,50.335,50.32,50.335,1422
20190802,50.34,50.35,50.34,50.345,1063
20190805,50.375,50.375,50.375,50.375,226
20190806,50.37,50.38,50.37,50.38,200
20190807,50.3899,50.3899,50.3899,50.3899,2
20190808,50.3839,50.3839,50.3839,50.3839,19
20190809,50.385,50.385,50.385,50.385,1
20190814,50.42,50.43,50.415,50.415,7273
20190815,50.42,50.43,50.42,50.43,600
20190816,50.44,50.44,50.43,50.435,2856
20190820,50.48,50.48,50.465,50.465,4030
20190821,50.471,50.48,50.465,50.465,2970
20190822,50.4581,50.4581,50.451,50.455,1710
20190823,50.4703,50.4703,50.4601,50.4701,1270
20190826,50.48,50.49,50.48,50.48,5697
20190827,50.495,50.495,50.495,50.495,150
20190828,50.489,50.5,50.489,50.5,400
20190829,50.5022,50.51,50.5,50.5,530
20190830,50.505,50.505,50.505,50.505,32
20190903,50.39,50.4,50.39,50.395,4600
20190904,50.39,50.43,50.39,50.43,30150
20190905,50.41,50.425,50.41,50.425,220
20190906,50.4198,50.4198,50.4198,50.4198,30
20190910,50.415,50.415,50.415,50.415,14
20190911,50.42,50.42,50.4082,50.4082,581
20190912,50.4063,50.4063,50.4001,50.405,3034
20190913,50.39,50.39,50.39,50.39,5
20190916,50.42,50.42,50.42,50.42,4655
20190917,50.4101,50.42,50.405,50.405,4014
20190918,50.43,50.44,50.425,50.425,938
20190919,50.415,50.415,50.415,50.415,1
20190920,50.435,50.435,50.435,50.435,1
20190923,50.46,50.46,50.445,50.445,1500
20190924,50.4649,50.4649,50.4643,50.4643,3140
20190926,50.47,50.47,50.4698,50.47,2080
20190930,50.47,50.5,50.47,50.495,5109
20191001,50.43,50.43,50.4183,50.425,681
20191002,50.4231,50.45,50.4231,50.45,885
