Date,Open,High,Low,Close,Volume
20140312,22.35,22.42,22.33,22.38,27433
20140313,22.45,22.45,21.98,21.98,15556
20140314,22.07,22.07,21.83,21.96,4788
20140317,22.19,22.32,22.19,22.3,8136
20140318,22.48,22.58,22.47,22.55,33402
20140319,22.71,22.73,22.59,22.59,27313
20140320,22.69,22.69,22.51,22.54,11112
20140321,22.69,22.69,22.41,22.44,8636
20140324,22.67,22.67,22.45,22.65,37472
20140325,22.97,22.97,22.76,22.86,14350
20140326,22.97,23.03,22.7,22.72,29158
20140327,23.04,23.08,22.54,22.83,22640
20140328,23.11,23.32,23,23.08,26032
20140331,23.28,23.46,23.25,23.26,30948
20140401,23.45,23.52,23.44,23.45,72438
20140402,23.49,23.62,23.49,23.59,33838
20140403,23.69,23.69,23.49,23.59,40247
20140404,23.8,24.02,23.43,23.44,26498
20140407,23.64,23.91,23.49,23.57,49496
20140408,23.79,23.79,23.51,23.53,31006
20140409,23.54,23.85,23.54,23.84,65015
20140410,23.86,23.86,23.32,23.32,70204
20140411,23.3,23.36,23.16,23.31,17313
20140414,23.32,23.32,22.84,23.16,52509
20140415,23.26,23.26,22.55,22.68,71777
20140416,23.17,23.17,22.91,23.07,30544
20140417,23.17,23.45,23.08,23.35,45055
20140421,23.62,23.73,23.4,23.47,47617
20140422,23.62,23.62,23.31,23.34,32573
20140423,23.63,23.63,23.22,23.3,49945
20140424,23.17,23.26,23.04,23.24,66473
20140425,23.35,23.35,22.87,22.91,151142
20140428,23.08,23.24,22.91,23.06,71397
20140429,23.33,23.33,23.08,23.2,50218
20140430,23.53,23.65,23.09,23.32,24200
20140501,23.46,23.46,23.35,23.43,50696
20140502,23.43,23.52,23.35,23.48,85910
20140505,23.42,23.44,23.32,23.43,36423
20140506,23.44,23.44,23.36,23.42,28323
20140507,23.5,23.64,23.45,23.59,46653
20140508,23.6,23.62,23.48,23.51,75870
20140509,23.41,23.41,23.17,23.23,103037
20140512,23.37,23.44,23.26,23.39,40668
20140513,23.41,23.41,23.31,23.33,37450
20140514,23.4,23.4,23.22,23.26,32026
20140515,23.16,23.16,22.85,22.86,95324
20140516,22.85,22.93,22.73,22.83,18423
20140519,22.73,22.96,22.73,22.92,49226
20140520,22.97,23.06,22.86,22.88,52213
20140521,23.05,23.08,22.93,23.02,138150
20140522,23.01,23.02,22.91,22.91,43066
20140523,22.91,23.14,22.91,23.13,32543
20140527,23.34,23.34,23.02,23.13,14449
20140528,23.26,23.31,23.14,23.28,20325
20140529,23.33,23.34,23.25,23.29,32375
20140530,23.26,23.4,23.26,23.34,74995
20140602,23.71,23.71,23.24,23.35,32619
20140603,23.31,23.39,23.26,23.36,60643
20140604,23.23,23.39,23.23,23.39,11423
20140605,23.53,23.68,23.43,23.6,152705
20140606,23.72,23.95,23.71,23.93,137495
20140609,23.94,24.04,23.86,24,78619
20140610,23.91,24.05,23.88,24.04,82215
20140611,23.99,23.99,23.77,23.78,84123
20140612,23.97,23.97,23.75,23.87,87500
20140613,23.84,23.84,23.64,23.78,122451
20140616,23.78,23.78,23.67,23.69,19535
20140617,23.69,23.7,23.6,23.65,32302
20140618,23.65,23.97,23.58,23.97,48592
20140619,23.98,24.04,23.87,23.97,34385
20140620,23.91,23.91,23.69,23.82,77805
20140623,23.82,23.83,23.7,23.81,57309
20140624,23.8,23.8,23.59,23.63,72004
20140625,23.62,23.67,23.52,23.56,60340
20140626,23.45,23.46,23.25,23.39,48143
20140627,23.4,23.4,23.24,23.3,26512
20140630,23.35,23.39,23.17,23.26,75833
20140701,23.4,23.41,23.31,23.35,40845
20140702,23.34,23.41,23.34,23.36,27890
20140703,23.48,23.49,23.35,23.45,22659
20140707,23.26,23.35,23.09,23.25,66557
20140708,23.17,23.17,22.83,22.96,45907
20140709,23,23.06,22.93,22.95,28667
20140710,22.76,22.76,22.47,22.7,95953
20140711,22.8,22.84,22.68,22.82,40967
20140714,22.94,23.01,22.9,22.95,72320
20140715,23.02,23.02,22.71,22.75,59118
20140716,22.95,23.06,22.9,22.99,33021
20140717,22.83,22.89,22.48,22.5,74997
20140718,22.6,22.83,22.6,22.77,42858
20140721,22.64,22.76,22.51,22.68,51524
20140722,22.79,22.94,22.78,22.82,182138
20140723,22.92,22.92,22.7,22.73,21936
20140724,22.9,22.98,22.82,22.92,22338
20140725,22.92,22.98,22.74,22.78,225290
20140728,22.89,22.89,22.72,22.73,68834
20140729,22.83,22.83,22.59,22.59,54451
20140730,22.59,22.68,22.5,22.68,24220
20140731,22.47,22.47,22.12,22.15,73247
20140801,22.21,22.3,22.02,22.13,39615
20140804,22.32,22.36,22.05,22.29,54501
20140805,22.11,22.11,21.63,21.77,66908
20140806,21.52,21.68,21.45,21.59,33544
20140807,21.59,21.59,21.15,21.31,113975
20140808,21.32,21.54,21.28,21.54,18640
