Date,Open,High,Low,Close,Volume
20161111,39.99,40.02,39.64,39.92,11864
20161114,40.27,40.27,39.87,40.02,11252
20161115,40.22,40.49,40.14,40.45,14254
20161116,40.68,40.68,40.37,40.47,3917
20161117,40.59,40.96,40.59,40.95,8674
20161118,41.47,41.47,40.78,40.84,16205
20161121,41.06,41.14,40.98,41.12,29356
20161122,41.38,41.38,41.11,41.29,6152
20161123,41.15,41.25,41.07,41.25,18973
20161125,41.37,41.37,41.25,41.34,3689
20161128,41.73,41.73,40.99,41,10295
20161129,40.97,41.28,40.97,41.15,8007
20161130,41.45,41.45,41.16,41.24,5804
20161201,41.14,41.22,40.8,40.8,4795
20161202,40.94,40.96,40.89,40.92,1387
20161205,41.07,41.27,41.07,41.21,1816
20161206,41.27,41.45,41.24,41.42,19526
20161207,41.43,41.96,41.41,41.94,4080
20161208,42.15,42.18,41.95,42.04,4464
20161209,41.95,42.37,41.95,42.2,35971
20161212,42.3,42.3,41.86,41.95,6130
20161213,42.25,42.29,42.18,42.23,1341
20161214,42.16,42.26,41.96,42.14,6966
20161215,42.07,42.35,42.07,42.24,4759
20161216,42.22,42.26,41.91,41.91,11859
20161219,41.93,42.1,41.93,41.99,2366
20161220,42.21,42.23,42.09,42.14,6681
20161221,42.17,42.19,42.08,42.19,9977
20161222,41.99,41.99,41.83,41.84,2004
20161223,41.91,41.93,41.91,41.93,204
20161227,41.86,42.24,41.86,42.15,4844
20161228,41.99,41.99,41.79,41.8,10915
20161229,41.79,41.79,41.63,41.69,5406
20161230,41.56,41.6,41.4,41.47,6096
20170103,41.68,42.02,41.62,41.71,3271
20170104,41.94,42.26,41.94,42.23,33493
20170105,42.41,42.41,42.1,42.29,3570
20170106,42.46,42.66,42.41,42.56,3309
20170109,42.39,42.67,42.39,42.59,4845
20170110,42.55,42.79,42.49,42.71,11545
20170111,42.85,42.85,42.46,42.77,4080
20170112,42.6,42.6,42.34,42.6,22271
20170113,42.83,42.9,42.74,42.76,39339
20170117,42.78,42.78,42.47,42.53,6056
20170118,42.46,42.53,42.46,42.53,17222
20170119,42.7,42.7,42.59,42.59,5617
20170120,42.82,42.85,42.72,42.79,4706
20170123,42.69,42.69,42.58,42.58,647
20170124,42.82,43.08,42.78,43.04,1326
20170125,43.15,43.43,43.15,43.43,61141
20170126,43.62,43.8,43.62,43.72,53054
20170127,43.79,43.79,43.4,43.4,31920
20170130,43.22,43.22,42.72,43.06,17724
20170131,42.98,43.08,42.8,43.08,10638
20170201,43.34,43.39,43.08,43.19,7132
20170202,43.2,43.32,43.17,43.18,10053
20170203,43.52,43.64,43.44,43.62,1016
20170206,43.55,43.63,43.52,43.58,7351
20170207,43.75,43.75,43.57,43.61,2642
20170208,43.46,43.68,43.46,43.66,14145
20170209,43.86,44.16,43.86,44.09,22886
20170210,44.11,44.18,44.02,44.15,8786
20170213,44.29,44.44,44.29,44.39,1447
20170214,44.37,44.48,44.28,44.48,22969
20170215,44.66,45.26,42.15,44.75,7753
20170216,44.92,44.92,44.48,44.56,4947
20170217,44.32,44.66,44.32,44.63,3353
20170221,44.9,44.92,44.78,44.84,18246
20170222,44.94,44.94,44.74,44.78,79891
20170223,45.07,45.07,44.47,44.5,7684
20170224,44.33,44.5,44.26,44.5,6386
20170227,44.42,44.6,44.4,44.6,1397
20170228,44.51,44.54,44.44,44.49,11966
20170301,45.03,45.14,44.98,45.11,9872
20170302,45.11,45.11,44.73,44.78,8580
20170303,44.82,44.88,44.71,44.88,13682
20170306,44.85,44.85,44.61,44.77,3405
20170307,44.58,44.77,44.57,44.61,2154
20170308,44.72,44.78,44.6,44.6,1000
20170309,44.81,44.81,44.48,44.58,4900
20170310,44.97,44.97,44.56,44.71,4879
20170313,44.88,44.88,44.73,44.8,5671
20170314,44.63,44.69,44.54,44.69,9050
20170315,44.96,45.07,44.96,45.07,3385
20170316,45.24,45.24,44.97,45.02,3084
20170317,44.99,44.99,44.99,44.99,102
20170320,45.13,45.13,44.91,44.91,18626
20170321,45.05,45.07,44.12,44.18,10817
20170322,44.11,44.33,44.11,44.3,5539
20170323,44.29,44.51,44.27,44.27,1581
20170324,44.49,44.56,44.21,44.43,13723
20170327,44.19,44.42,44.12,44.42,2494
20170328,44.35,44.75,44.35,44.68,27321
20170329,44.62,44.75,44.62,44.74,2725
20170330,44.77,44.91,44.77,44.89,3414
20170331,44.88,44.9,44.81,44.81,9474
20170403,44.88,44.89,44.46,44.69,16186
20170404,44.6,44.61,44.6,44.61,260
20170405,44.92,44.98,44.56,44.56,4685
20170406,44.67,44.73,44.57,44.72,4385
20170407,44.62,44.69,44.6,44.67,13346
20170410,44.78,44.78,44.67,44.72,1561
20170411,44.52,44.52,44.26,44.49,5822
20170412,44.56,44.57,44.36,44.36,2363
20170413,44.52,44.52,44.09,44.09,4922
20170417,44.21,44.38,44.21,44.37,4726
20170418,44.42,44.42,44.2,44.36,1509
20170419,44.6,44.69,44.44,44.44,4415
20170420,44.69,44.98,44.69,44.93,4044
20170421,44.87,44.87,44.79,44.79,1120
20170424,45.26,45.26,45.23,45.26,815
20170425,45.47,45.76,45.47,45.76,3731
20170426,45.89,45.95,45.84,45.89,6675
20170427,45.95,45.95,45.82,45.89,3632
20170428,46.17,46.17,45.75,45.81,2297
20170501,45.93,46.15,45.93,46.11,2542
20170502,46.12,46.14,46.09,46.09,899
20170503,46.19,46.19,45.88,45.93,13864
20170504,46.1,46.1,45.85,45.92,1906
20170505,45.97,46.14,45.97,46.11,5314
20170508,46.14,46.14,45.84,46.07,16790
20170509,46.31,46.31,46.16,46.21,84710
20170510,46.23,46.26,46.1,46.26,12206
20170511,46.21,46.21,45.95,46.15,4099
20170512,46.17,46.17,46.03,46.11,5888
20170515,46.5,46.5,46.26,46.35,4601
20170516,46.49,46.51,46.35,46.51,3063
20170517,46.54,46.54,45.34,45.44,10902
20170518,45.39,45.78,45.37,45.66,4600
20170519,45.89,46.17,45.85,46.01,21965
20170522,46.24,46.3,46.14,46.3,8656
20170523,46.31,46.42,46.28,46.38,11559
20170524,46.46,46.55,46.3,46.55,9368
20170525,46.74,46.87,46.73,46.79,16603
20170526,46.88,46.88,46.7,46.85,4193
20170530,46.83,46.83,46.69,46.69,4615
20170531,46.68,46.72,46.41,46.66,12373
20170601,46.79,47.05,46.78,47.05,15488
20170602,47.01,47.33,47.01,47.26,12392
20170605,44.21,47.34,44.21,47.13,13495
20170606,47.19,47.2,47.04,47.04,3693
20170607,47.22,47.29,47.11,47.26,9030
20170608,47.42,47.46,47.22,47.42,6859
20170609,47.54,47.67,46.64,46.92,17281
20170612,46.62,46.8,46.58,46.68,5489
20170613,47.05,47.05,46.89,46.99,5756
20170614,46.95,47,46.72,46.81,8885
20170615,46.46,46.64,46.34,46.64,5887
20170616,46.49,46.59,46.49,46.59,1858
20170619,46.43,47.19,46.43,47.19,6683
20170620,46.97,46.97,46.86,46.87,4700
20170621,47,47.17,47,47.13,1121
20170622,47.19,47.31,47.19,47.27,3363
20170623,47.29,47.41,47.21,47.37,6132
20170626,47.64,47.64,47.39,47.39,5764
20170627,47.34,47.36,46.99,46.99,2150
20170628,47.16,47.59,47.06,47.59,901
20170629,47.81,47.81,47.04,47.25,10206
20170630,47.19,47.19,47.19,47.19,2107
20170703,47.3,47.3,46.93,47,5233
20170705,46.98,47.39,46.96,47.39,5507
20170706,47.13,47.22,47.03,47.05,6464
20170707,47.19,47.39,47.12,47.37,4122
20170710,47.39,47.64,47.39,47.64,5615
20170711,47.9,47.9,47.55,47.64,3682
20170712,48.01,48.09,47.92,48.04,5691
20170713,48.06,48.06,48.02,48.02,844
20170714,48.05,48.32,48.05,48.21,2631
20170717,48.27,48.39,48.27,48.32,2037
20170718,48.28,48.52,48.28,48.51,3082
20170719,48.51,48.83,48.51,48.8,9095
20170720,48.81,48.91,48.75,48.9,4325
20170721,49.15,49.15,48.73,48.86,2138
20170724,48.87,49.01,48.82,48.95,6932
20170725,49.07,49.14,49.02,49.04,11414
20170726,49.15,49.2,49.12,49.15,2749
20170727,49.45,49.51,48.79,49.02,11448
20170728,49.03,49.21,49.03,49.17,3051
20170731,49.21,49.25,49.08,49.17,6061
20170801,49.31,49.35,49.29,49.3,54148
20170802,49.2,49.25,48.85,49.24,14302
20170803,49.07,49.12,49.01,49.04,2351
20170804,48.98,49.21,48.98,49.11,2699
20170807,49.15,49.34,49.15,49.34,8713
20170808,49.2,49.55,49.13,49.17,4601
20170809,49.25,49.25,48.99,48.99,4661
20170810,48.97,48.97,48.25,48.25,3927
20170811,48.33,48.57,48.07,48.54,13746
20170814,48.99,49.18,48.99,49.18,12941
20170815,49.32,49.32,49.01,49.02,23622
20170816,49.13,49.28,49.04,49.17,2417
20170817,49.12,49.12,48.54,48.59,7064
20170818,48.2,48.56,48.01,48.32,8053
