Date,Open,High,Low,Close,Volume
20090504,17.463,22.5,17.463,17.903,11265
20090505,18.006,18.006,17.889,17.889,3270
20090506,18.109,18.801,17.944,18.144,11944
20090507,18.398,19.303,17.889,17.965,8938
20090508,18.226,18.591,18.226,18.591,3488
20090511,18.213,18.213,17.161,18.103,2879
20090512,17.889,17.889,17.889,17.889,291
20090513,17.566,17.566,17.566,17.566,363
20090514,17.682,17.787,17.586,17.787,3077
20090515,17.814,17.814,17.201,17.332,6104
20090518,17.807,17.807,17.807,17.807,436
20090519,18.206,18.206,18.206,18.206,145
20090520,18.144,18.144,17.201,17.201,2180
20090521,17.394,17.504,17.201,17.201,5086
20090522,17.704,17.8,17.704,17.8,1017
20090526,17.765,17.999,17.765,17.999,1598
20090601,18.488,18.577,17.373,18.467,3341
20090605,18.57,18.57,18.467,18.536,582
20090612,18.392,18.392,18.392,18.392,727
20090615,19.472,19.472,18.577,18.577,582
20090616,18.288,18.288,18.288,18.288,581
20090618,18.013,18.013,18.013,18.013,1163
20090619,18.165,18.233,18.165,18.233,1453
20090622,17.827,17.827,17.58,17.58,436
20090701,18.192,18.192,18.192,18.192,182
20090706,17.373,17.614,17.236,17.545,77973
20090707,17.573,17.58,17.339,17.339,18022
20090708,17.366,17.366,17.366,17.366,145
20090710,17.208,17.256,17.208,17.256,727
20090713,17.463,17.6,17.463,17.58,580
20090715,18.144,18.178,18.144,18.178,7558
20090716,18.522,18.522,18.522,18.522,552
20090717,18.378,18.405,18.378,18.405,726
20090720,18.552,18.552,18.548,18.548,291
20090721,18.681,18.681,18.681,18.681,145
20090722,18.653,18.791,18.653,18.777,58571
20090723,18.866,19.21,18.866,19.21,8429
20090724,19.08,19.246,19.08,19.244,726
20090727,19.197,19.197,19.197,19.197,580
20090728,19.541,19.541,19.389,19.403,581
20090729,19.197,19.362,19.197,19.362,871
20090730,19.556,20.36,19.556,19.704,4504
20090731,19.692,19.692,19.692,19.692,509
20090805,21.32,21.32,21.32,21.32,727
20090807,20.57,20.57,20.57,20.57,291
20090810,20.38,20.38,20.36,20.36,1017
20090812,20.13,20.34,20.13,20.34,26451
20090813,20.33,20.33,20.08,20.08,1308
20090814,20.39,20.39,20.15,20.19,29068
20090818,19.947,19.995,19.933,19.995,7557
20090821,20.51,20.51,20.51,20.51,145
20090824,20.94,20.94,20.76,20.76,435
20090827,20.76,20.92,20.62,20.91,8138
20090831,20.65,20.69,20.64,20.69,2325
20090903,20.19,20.19,20.19,20.19,291
20090904,20.41,20.41,20.41,20.41,145
20090909,20.9,20.94,20.89,20.89,19765
20090910,20.81,21.1,20.78,21.1,94033
20090914,20.98,21.1,20.96,21.09,5960
20090915,21.17,21.24,21.17,21.21,8576
20090916,21.37,21.65,21.37,21.65,1017
20090917,21.74,21.74,21.74,21.74,8721
20090918,21.69,21.69,21.69,21.69,436
20090921,21.49,21.49,21.49,21.49,581
20090922,21.76,21.76,21.76,21.76,436
20090923,21.82,21.82,21.63,21.63,1526
20090925,21.04,21.04,21.04,21.04,2907
