Date,Open,High,Low,Close,Volume
20070426,24.9,24.94,24.9,24.92,4456
20070427,24.9,24.93,24.86,24.93,11931
20070430,24.86,24.94,24.86,24.87,5900
20070501,24.8,24.8,24.8,24.8,131
20070502,24.79,24.94,24.57,24.94,21239
20070503,24.9,24.98,24.9,24.95,7474
20070504,25.09,25.17,25.09,25.17,2096
20070507,25.32,25.36,25.32,25.36,3801
20070508,24.98,25.09,24.93,25.09,786
20070509,25.23,25.23,25.14,25.14,2229
20070510,25.02,25.02,24.66,24.78,6030
20070511,25.02,25.16,25.02,25.13,1704
20070514,25.09,25.09,25.05,25.05,786
20070515,25.02,25.13,24.75,24.75,2097
20070516,25.13,25.13,25.13,25.13,3803
20070517,25.09,25.09,25.09,25.09,262
20070518,25.07,25.17,25.07,25.17,524
20070521,25.21,25.21,24.71,25.17,11146
20070522,25.24,25.24,25.24,25.24,262
20070523,25.44,25.44,25.36,25.36,3408
20070524,25.36,25.36,25.25,25.25,2360
20070529,25.32,25.32,24.94,25.04,4457
20070530,24.88,25.09,24.88,25.09,1704
20070531,25.47,25.51,25.47,25.51,3147
20070601,25.55,25.55,25.34,25.34,2229
20070604,25.63,25.66,25.63,25.66,1442
20070605,25.55,25.55,25.32,25.55,1966
20070606,25.43,25.43,25.02,25.02,1704
20070607,25,25.02,24.71,24.71,655
20070611,25.05,25.13,24.98,25.05,1966
20070612,24.86,24.86,24.8,24.8,262
20070614,25.09,25.21,25.09,25.21,262
20070618,25.63,25.63,25.63,25.63,262
20070620,25.63,25.63,25.4,25.51,1442
20070621,25.32,25.47,24.7,25.47,1966
20070622,25.31,25.31,25.31,25.31,262
20070625,25.24,25.24,25.24,25.24,1442
20070626,25.3,25.3,25.28,25.28,524
20070628,25.28,25.28,25.28,25.28,131
20070629,25.47,25.47,25.02,25.02,1704
20070702,25.52,25.74,25.52,25.74,1835
20070703,25.85,25.85,25.85,25.85,655
20070705,25.89,25.89,25.82,25.85,1180
20070706,25.89,26.04,25.89,26.04,2622
20070709,26.08,26.12,26.06,26.12,3409
20070710,26.01,26.03,25.92,25.92,655
20070711,25.95,25.95,25.82,25.82,1311
20070712,26.11,26.11,26.11,26.11,262
20070713,26.5,26.52,26.44,26.44,3277
20070716,26.5,26.54,26.5,26.54,393
20070717,26.31,26.37,26.31,26.37,655
20070718,26.1,26.1,25.91,25.97,1049
20070719,26.37,26.37,26.37,26.37,131
20070720,26.39,26.39,26.29,26.31,917
20070723,26.35,26.35,26.35,26.35,262
20070724,25.92,25.93,25.85,25.85,6815
20070725,25.72,25.72,25.48,25.51,1704
20070726,25.16,25.16,25.02,25.02,3408
20070727,24.83,24.83,24.73,24.73,4458
20070730,24.73,24.75,24.73,24.75,1573
20070731,25.09,25.09,24.86,24.86,3277
20070801,24.71,24.79,24.58,24.79,8128
20070803,24.7,24.91,24.7,24.75,114201
20070806,24.75,24.75,24.61,24.61,2753
20070807,24.73,24.73,24.73,24.73,262
20070809,24.6,24.79,24.6,24.6,2491
20070810,23.99,24.05,23.99,24.05,786
20070813,24.41,24.52,24.41,24.41,524
20070814,24.18,24.18,24.1,24.1,655
20070815,23.64,23.8,23.64,23.76,917
20070816,23.19,23.57,22.73,23.19,4064
20070820,23.27,23.27,23.07,23.15,102665
20070821,23.44,23.57,23.44,23.48,9307
20070822,24.02,24.02,24.02,24.02,393
20070823,24.25,24.25,24.19,24.19,1179
20070824,24.25,24.67,24.25,24.37,14029
20070827,24.47,24.48,24.41,24.44,786
20070828,24.25,24.25,23.8,23.8,1572
20070829,24.14,24.41,24.12,24.41,1442
20070831,24.61,24.61,24.61,24.61,262
20070904,24.9,24.94,24.85,24.94,3147
20070905,24.54,24.54,24.54,24.54,262
20070906,24.7,24.82,24.7,24.8,1834
20070907,24.41,24.41,24.38,24.39,917
20070911,24.64,24.71,24.57,24.71,1967
20070913,24.88,24.93,24.86,24.93,1573
20070917,24.34,24.34,24.32,24.32,655
20070918,24.6,24.88,24.6,24.88,7604
20070919,25.44,25.44,25.37,25.37,4327
20070921,25.44,25.51,25.44,25.51,6162
20070924,24.82,25.46,22.97,25.46,2752
20070926,25.7,25.7,25.63,25.63,2491
20070927,25.89,25.95,25.84,25.95,2359
20070928,25.97,26.01,25.97,26.01,524
20071001,25.98,26.05,25.98,26.03,7343
20071002,26.49,26.49,26.21,26.24,3015
20071003,26.27,26.69,20.81,25.97,4719
20071004,26.23,26.31,26.21,26.31,4458
20071005,26.53,26.55,26.46,26.5,7996
20071008,26.36,26.36,26.28,26.3,917
20071009,26.49,26.5,26.41,26.41,1704
20071010,26.46,26.59,26.46,26.59,917
20071011,27.07,27.07,26.5,26.5,3409
20071012,26.62,26.75,26.62,26.72,1311
20071015,26.4,26.4,26.4,26.4,262
20071016,26.09,26.23,25.83,25.95,2228
20071017,26.46,26.46,26.22,26.22,262
20071018,26.21,26.54,26.21,26.54,917
20071019,26.18,26.26,24.77,25.55,16650
20071022,25.51,25.69,25.51,25.69,262
20071023,26.17,26.56,26.14,26.22,14685
20071024,25.95,26.01,25.95,25.97,2491
20071025,26.32,26.32,26.26,26.26,3015
20071026,26.66,26.79,26.66,26.79,1048
20071029,26.88,26.9,26.72,26.86,786
20071030,26.88,26.88,26.84,26.85,3146
20071031,26.98,27.23,26.9,27.23,5768
20071101,26.85,26.86,26.69,26.69,14683
20071102,26.91,26.91,26.66,26.85,10752
20071105,26.43,26.43,26.35,26.41,5899
20071106,26.69,26.83,26.69,26.83,1573
20071107,26.77,26.79,26.31,26.31,4063
20071108,26.46,26.46,26.12,26.3,6556
20071109,26.08,26.2,25.93,25.93,3671
20071112,26.71,26.71,25.41,25.41,3322
20071113,25.95,25.95,25.77,25.85,6555
20071114,26.09,26.17,26.09,26.11,1179
20071115,25.85,25.85,25.44,25.44,4849
20071116,25.13,25.63,25.13,25.63,1474
20071119,25.28,25.28,25.09,25.09,655
20071120,25.49,25.49,25.41,25.41,1835
20071121,24.97,25.05,24.79,25.05,2752
20071123,25.36,25.44,25.35,25.44,1704
20071126,25.59,25.59,25.13,25.13,1441
20071127,25.35,25.46,25.21,25.46,3147
20071128,25.73,26.07,25.63,26.05,6424
20071129,25.82,25.94,25.82,25.94,655
20071130,26.42,26.43,25.93,25.93,3146
20071203,26.01,26.05,26.01,26.01,5113
20071204,25.74,25.74,25.74,25.74,131
20071205,26.08,26.13,26.04,26.13,3934
20071206,25.93,26.39,25.93,26.39,3408
20071207,26.42,26.42,26.31,26.35,2359
20071210,26.09,26.46,26.09,26.46,4719
20071211,26.5,26.5,25.93,25.93,1048
20071212,26.62,26.62,26.17,26.17,5506
20071213,25.61,25.75,25.59,25.63,3670
20071214,25.54,25.54,24.98,25.24,12980
20071217,24.79,24.9,24.75,24.75,1703
20071218,24.79,24.9,24.6,24.83,3670
20071219,24.91,24.91,24.6,24.63,1704
20071220,24.86,25.09,24.74,25.01,4456
20071221,25.06,25.4,25.06,25.4,7194
20071224,25.59,25.59,25.37,25.45,4368
20071226,25.37,25.37,25.37,25.37,257
20071227,25.49,25.51,25.49,25.51,2312
20071228,25.68,25.68,25.68,25.68,3854
20071231,25.61,25.68,25.06,25.56,5138
20080102,25.7,25.7,24.94,25.29,4622
20080103,25.53,25.53,24.97,25.37,1798
20080104,25.35,25.35,24.98,25.08,7629
20080107,24.91,25.02,24.75,24.91,6807
20080108,25.18,25.26,24.83,24.83,2310
20080109,24.8,24.88,24.64,24.87,3724
20080110,24.6,25.14,24.13,25.06,4881
20080111,24.67,24.67,24.44,24.44,1027
20080114,24.83,24.83,24.72,24.72,2055
20080115,25.1,25.1,23.04,23.7,7833
20080116,23.45,23.78,23.45,23.58,7964
20080117,24.26,24.26,22.77,23.05,8087
20080118,23.69,23.69,22.98,23.5,6934
20080122,21.75,23.66,21.68,23.54,5649
20080123,24.66,24.67,21.47,22.41,11172
20080124,23.26,23.35,21.86,22.49,173195
20080125,23.12,23.68,23.08,23.1,10403
20080128,22.8,23.62,22.51,22.84,8478
20080129,23.43,24.44,23.23,23.23,18820
20080130,23.91,23.91,23.23,23.58,11643
20080131,23.15,23.43,22.17,23.43,13746
20080201,24.11,24.11,23.62,23.66,6293
20080204,24.34,24.34,23.78,23.9,5393
20080205,23.47,23.58,22.96,22.96,5137
20080206,22.96,22.96,22.86,22.86,513
20080207,22.38,22.61,22.38,22.57,5524
20080208,22.46,22.46,22.46,22.46,257
20080211,22.57,22.69,22.49,22.69,2955
20080212,22.69,22.69,22.69,22.69,1027
20080213,22.58,23,22.58,23,1027
20080214,23.35,23.35,23.08,23.08,1027
20080215,23.87,23.87,23.04,23.19,3468
20080219,23.47,23.47,22.97,23.28,5267
20080220,22.94,23.04,22.94,22.96,1027
20080221,23.43,23.43,23.19,23.21,2054
20080222,23.43,23.82,22.06,23.35,65782
20080225,23.28,23.5,23.28,23.5,3596
20080226,23.85,24.2,23.78,24.2,16572
20080227,24.03,25.58,23.97,24.4,59742
20080228,25.09,25.09,23.71,24.27,13103
20080229,23.97,24.52,23.65,23.82,77216
20080303,24.49,24.49,23.74,23.83,11433
20080304,23.31,23.35,22.45,23.1,27494
20080305,23.43,23.85,23.37,23.47,24024
20080306,23.47,23.47,23.27,23.28,4237
20080307,23.04,23.35,22.88,23.19,26468
20080310,22.58,22.85,22.57,22.57,1155
20080311,23.08,23.28,21.98,23.23,25951
20080312,23.39,23.39,22.88,23.04,2825
20080313,23.04,23.47,22.68,23.44,30579
20080314,24.09,24.09,22.88,23.19,20426
20080317,22.04,22.73,22.04,22.66,4239
20080318,22.9,23.05,22.13,22.98,36102
20080319,22.77,22.94,22.22,22.34,13998
20080320,22.1,24.13,22.1,23.03,58072
20080324,23.12,23.36,22.88,23.12,15543
20080325,23.79,23.79,23.45,23.68,6809
20080326,23.45,23.57,23.4,23.47,7322
20080327,23.71,23.71,23.61,23.61,3211
20080328,23.85,23.87,23.23,23.29,23382
20080331,23.47,23.64,23.4,23.4,1283
20080401,23.82,24.16,23.45,24.02,12847
20080402,24.18,24.21,24.01,24.09,2698
20080403,24.05,24.35,24.05,24.21,5524
20080404,24.34,24.34,24.01,24.24,2697
20080407,24.67,24.67,24.17,24.57,5650
20080408,24.24,24.24,23.91,23.92,4625
20080409,24.27,24.27,23.99,24.1,5781
20080410,23.96,24.05,23.89,24.02,20171
20080411,24.32,24.32,23.67,23.67,5520
20080414,23.66,23.76,23.66,23.66,2311
20080415,23.89,23.89,23.73,23.79,1411
20080416,23.41,24.56,23.41,24.56,3724
20080417,24.34,24.39,24.2,24.31,2311
20080418,24.4,24.46,24.38,24.46,3082
20080421,24.57,24.82,24.43,24.59,1155
20080422,25.57,25.57,24.37,24.56,6680
20080423,24.37,24.85,24.3,24.85,6279
20080424,24.29,24.7,24.22,24.7,5652
20080425,24.8,25.52,24.63,24.83,8615
20080428,24.97,25.05,24.93,24.94,3154
20080429,24.87,24.9,24.36,24.46,6423
20080430,24.93,24.93,24.86,24.9,16317
20080501,24.78,24.79,24.73,24.77,7308
20080502,25.26,25.26,24.95,24.95,2312
20080505,25.1,25.12,25.1,25.12,2042
20080506,25.29,25.33,24.49,24.78,13044
20080507,24.94,25.19,24.94,24.98,8528
20080508,24.96,25.13,24.96,25.13,1875
