Date,Open,High,Low,Close,Volume
20120620,19.713,19.724,19.596,19.651,93074
20120621,19.654,19.685,19.31,19.31,18200
20120622,19.912,19.912,19.248,19.256,27277
20120625,18.951,19.022,18.951,19.022,640
20120626,19.076,19.076,18.999,19.061,2048
20120627,19.225,19.225,19.225,19.225,2241
20120628,19.716,19.716,19.006,19.006,1415
20120629,19.521,19.568,19.521,19.568,2732
20120702,19.49,19.56,19.49,19.56,8694
20120703,19.709,19.709,19.709,19.709,640
20120705,19.74,19.771,19.74,19.771,768
20120706,19.435,19.435,19.382,19.382,256
20120709,19.396,19.396,19.295,19.317,2977
20120710,19.248,19.248,19.193,19.193,4770
20120711,19.131,19.131,19.131,19.131,2049
20120712,18.953,19.162,18.953,19.162,489
20120713,19.451,19.451,19.451,19.451,152
20120716,19.217,19.303,19.217,19.303,8337
20120717,19.279,19.365,19.201,19.365,14535
20120718,19.513,19.513,19.513,19.513,5123
20120719,19.69,19.716,19.69,19.716,3074
20120720,20.19,20.19,19.537,19.537,256
20120724,18.865,18.873,18.862,18.87,7087
20120725,18.943,19.037,18.943,19.037,1288
20120726,19.295,19.404,19.295,19.404,1761
20120727,19.771,19.771,19.771,19.771,589
20120730,20.16,20.16,19.834,19.834,1409
20120802,19.42,19.42,18.998,19.107,20640
20120803,19.787,19.787,19.787,19.787,264
20120806,20.14,20.14,19.795,19.919,1536
20120807,20.04,20.21,19.994,20.21,5442
20120808,19.951,19.951,19.912,19.912,1024
20120809,19.99,20.01,19.98,19.98,7526
20120810,20.11,20.11,19.959,19.959,256
20120813,19.904,19.919,19.904,19.919,5230
20120814,20.09,20.09,20.09,20.09,1537
20120816,20.22,20.24,20.22,20.24,1751
20120817,20.36,20.47,20.34,20.47,1664
20120820,20.29,20.38,20.26,20.31,768
20120822,20.29,20.3,20.25,20.3,3908
20120827,20.53,20.53,20.53,20.53,192
20120828,20.97,20.97,20.49,20.49,890
20120829,20.54,20.54,20.54,20.54,512
20120830,20.34,20.34,20.34,20.34,896
20120831,20.4,20.4,20.38,20.38,384
20120905,20.43,20.43,20.43,20.43,1281
20120911,20.88,20.88,20.84,20.84,362
20120912,20.9,20.9,20.9,20.9,1024
20120913,21.01,21.01,20.97,20.97,1153
20120917,21.23,21.23,21.23,21.23,224
20120918,21.08,21.08,21.07,21.07,1001
20120919,21.11,21.23,21.07,21.23,768
20120920,21.04,21.04,21.04,21.04,256
20120921,21.19,21.19,21.13,21.13,928
20120924,21.29,21.29,20.97,20.99,384
20120925,21.08,21.08,20.9,20.9,896
20121003,20.81,20.9,20.81,20.9,1409
20121008,20.91,20.91,20.91,20.91,768
20121009,20.58,20.58,20.23,20.56,1825
20121012,20.45,20.45,20.45,20.45,256
20121015,20.8,20.8,20.43,20.43,640
20121017,20.77,20.77,20.69,20.69,3842
20121018,20.88,20.88,20.88,20.88,384
