Date,Open,High,Low,Close,Volume
20100115,32.02,32.02,31.66,31.73,3679
20100119,31.85,32.25,31.85,32.22,15050
20100120,31.8,31.8,31.41,31.64,6296
20100121,31.64,31.64,30.93,31.02,2500
20100122,30.84,30.84,30.28,30.28,1550
20100126,30.65,30.85,30.6,30.6,1797
20100127,30.49,30.7,30.34,30.7,2245
20100128,30.24,30.24,30.06,30.06,523
20100129,29.99,29.99,29.99,29.99,748
20100201,30.34,30.35,30.34,30.35,898
20100202,31.2,31.26,31.2,31.26,1646
20100203,31,31,30.66,30.66,370
20100204,29.91,29.91,29.54,29.54,4003
20100205,29.43,29.43,27.93,28.95,2731
20100208,29.37,29.37,29.17,29.17,13428
20100209,29.69,29.92,29.65,29.92,1008
20100210,29.73,29.73,29.73,29.73,636
20100211,29.67,30.06,29.67,29.98,25201
20100212,29.65,29.65,29.65,29.65,150
20100216,29.78,30.24,29.78,30.22,12579
20100218,30.47,30.7,30.44,30.62,139113
20100219,30.48,30.64,30.48,30.64,8836
20100222,30.58,30.61,30.58,30.6,6165
20100223,30.57,30.57,30.15,30.15,15840
20100224,30.42,30.42,30.42,30.42,299
20100225,30.12,30.12,30.02,30.02,4772
20100301,30.68,30.68,30.68,30.68,150
20100302,30.83,30.84,30.83,30.84,4789
20100303,31.1,31.1,31.1,31.1,374
20100304,30.98,31.06,30.96,31.06,26582
20100305,31.53,31.63,31.53,31.63,8085
20100308,31.61,31.63,31.57,31.61,13738
20100309,31.47,31.7,31.47,31.58,3107
20100310,31.67,31.8,31.67,31.73,5208
20100311,31.71,31.71,31.63,31.68,7810
20100312,31.71,31.72,31.69,31.72,2431
20100315,31.68,31.68,31.52,31.57,1199
20100316,31.81,31.83,31.75,31.83,2435
20100317,31.99,32.02,31.91,31.96,14055
20100318,31.97,32,31.97,32,340
20100319,32.05,32.05,31.81,31.83,674
20100322,31.44,31.84,31.44,31.84,1945
20100323,31.79,32.11,31.77,32.11,2171
20100324,31.86,31.9,31.75,31.9,5006
20100325,32.09,32.27,31.95,31.99,3299
20100326,32.11,32.11,32.03,32.09,1802
20100329,32.09,32.27,32.09,32.27,2343
20100330,32.21,32.3,32.21,32.3,9511
20100331,32.13,32.18,32.13,32.15,2385
20100401,32.48,32.51,32.43,32.51,19353
20100405,32.76,32.78,32.72,32.74,4840
20100406,32.66,32.75,32.66,32.75,5090
20100407,32.64,32.64,32.56,32.56,298
20100408,32.59,32.63,32.58,32.62,5500
20100409,32.86,32.86,32.65,32.78,8390
20100412,32.84,32.84,32.83,32.83,1605
20100413,32.85,32.86,32.85,32.85,3031
20100414,32.98,33.1,32.98,33.1,3687
20100415,32.99,33.13,32.94,33.1,7894
20100416,32.9,32.9,32.48,32.55,5222
20100420,32.76,32.8,32.72,32.78,23508
20100421,32.64,32.64,32.46,32.56,11896
