Date,Open,High,Low,Close,Volume
20150610,39.89,40.13,39.89,40.13,1200
20150616,40.05,40.3499,40,40.23,6472
20150617,39.83,39.92,39.41,39.51,3786
20150619,39.48,39.64,39.47,39.5,6200
20150622,40.94,40.94,40.94,40.94,2000
20150623,42.31,42.31,42.31,42.31,150
20150624,41.8,41.8,41.38,41.48,1000
20150625,41.65,41.66,41.37,41.37,4000
20150630,39.4724,39.4724,39.4724,39.4724,150
20150706,39.3,39.3,39.11,39.29,1020
20150709,36.65,36.65,36.07,36.07,4200
20150710,38.2,38.44,38.2,38.44,400
20150713,39.76,39.76,39.76,39.76,100
20150715,40.52,40.52,40.11,40.21,5400
20150716,40.86,40.98,40.77,40.92,11175
20150717,40.99,40.99,40.99,40.99,100
20150720,41.26,41.39,41.26,41.39,300
20150722,40.41,40.51,40.4,40.48,1825
20150723,40.69,40.69,40.05,40.25,5375
20150724,40.2,40.2,39.55,39.61,3025
20150727,38.56,38.78,38.33,38.63,2975
20150728,38.99,39.32,38.66,39.32,3832
20150729,39.3101,39.9,39.3101,39.9,1425
20150730,39.8,40.1,39.8,40.01,3148
20150731,40.3,40.56,40.3,40.56,2650
20150803,40.33,40.38,39.91,40.28,17810
20150804,40.12,40.15,39.97,40.02,2630
20150805,41.52,41.52,41.23,41.29,12600
20150806,41.1,41.1,40.6,40.79,2600
20150807,40.9,40.9,40.64,40.76,1000
20150811,41.13,41.13,40.74,40.93,1000
20150818,40.1401,40.1401,40.1401,40.1401,100
20150824,27.88,29.22,27.88,29,5135
20150825,31.08,31.08,29.97,29.97,200
20150827,33.5,33.6,33.5,33.6,235
20150902,30.89,30.89,30.89,30.89,100
20150904,28.83,28.83,28.55,28.55,500
20150908,29.97,30.43,29.97,30.22,2000
20150909,32.05,32.05,32.05,32.05,223
20150914,30.16,30.16,30.16,30.16,100
20150915,30.8,30.81,30.8,30.81,700
20150921,29.75,29.75,29.75,29.75,1000
20150925,30.46,30.46,30.46,30.46,100
20150929,27.48,27.49,27.21,27.42,1780
20151002,29.82,29.82,29.82,29.82,100
20151013,31.79,31.79,31.68,31.68,201
20151015,31.33,31.33,31.33,31.33,4000
20151105,34.62,34.62,34.62,34.62,3200
20151106,35.2,35.2,35.12,35.12,24300
20151222,31.6,31.6,31.6,31.6,1800
20160111,26.976,28.06,25.994,26,85070
20160119,25.5599,25.5599,25.5599,25.5599,674
20160129,28.42,28.42,28.42,28.42,100
20160201,28.17,28.17,28.17,28.17,100
20160203,25.69,25.69,25.69,25.69,100
20160209,21.79,21.86,21.79,21.86,527
20160211,19.37,19.37,19.37,19.37,100
20160225,22.77,22.77,22.77,22.77,100
20160304,25.29,25.29,25.29,25.29,100
20160307,23.7101,23.7101,23.7101,23.7101,100
20160330,24.64,24.64,24.64,24.64,100
20160407,24.64,24.64,24.64,24.64,1000
20160420,25.65,25.65,25.65,25.65,100
20160421,24.993,24.993,24.993,24.993,900
20160516,22.4307,22.4307,22.4307,22.4307,250
20160520,22.68,23.03,22.43,23.03,7643
