Date,Open,High,Low,Close,Volume
20150710,14.73,14.73,14.73,14.73,6778
20150715,15.087,15.093,15.087,15.093,12397
20150716,15.355,15.355,15.355,15.355,463
20150717,15.354,15.408,15.354,15.366,75456
20150723,15.317,15.323,15.257,15.257,9462
20150724,15.323,15.323,15.118,15.118,15175
20150727,14.882,14.882,14.785,14.797,7665
20150728,14.972,14.972,14.942,14.942,661
20150729,14.96,14.96,14.936,14.936,2480
20150803,15.323,15.329,15.323,15.329,992
20150804,15.227,15.227,15.202,15.202,26283
20150805,15.426,15.426,15.426,15.426,192
20150807,15.438,15.438,15.384,15.408,18958
20150810,15.559,15.559,15.559,15.559,370512
20150811,15.408,15.451,15.408,15.451,2975
20150813,15.208,15.208,15.208,15.208,331
20150817,15.063,15.22,15.063,15.22,1487
20150818,15.233,15.233,15.166,15.19,3467
20150819,15.16,15.163,15.16,15.163,331
20150820,14.519,14.519,14.452,14.452,1625
20150821,14.324,14.324,13.914,13.914,5124
20150824,13.034,13.585,13.034,13.127,9968
20150825,13.89,13.896,13.46,13.496,9518
20150826,14.005,14.017,13.847,13.847,12194
20150827,14.277,14.482,14.253,14.307,495709
20150828,14.265,14.416,14.204,14.374,1954333
20150831,14.233,14.331,14.192,14.283,31570
20150901,14.017,14.017,13.751,13.751,21309
20150902,14.125,14.126,13.937,14.029,10883
20150903,14.301,14.422,14.228,14.277,110501
20150904,13.968,13.968,13.797,13.877,25029
20150908,14.258,14.274,14.144,14.249,10328
20150909,14.495,14.507,14.15,14.15,20292
20150910,14.168,14.271,14.138,14.265,47446
20150911,14.132,14.162,14.101,14.156,8478
20150914,13.974,13.974,13.908,13.974,2827
20150915,14.192,14.265,14.18,14.24,17523
20150916,14.277,14.337,14.223,14.319,469997
20150917,14.289,14.438,14.24,14.283,7924
20150918,13.956,13.956,13.853,13.95,8611
20150921,14.065,14.131,14.017,14.029,7163
20150922,13.805,13.805,13.665,13.793,12671
20150923,13.763,13.763,13.563,13.629,17555
20150924,13.379,13.563,13.379,13.563,4536
20150925,13.829,13.829,13.672,13.672,12862
20150928,13.502,13.502,13.339,13.339,21539
20150929,13.406,13.448,13.363,13.432,88099
20150930,13.809,13.823,13.74,13.823,52234
20151001,13.606,13.757,13.606,13.757,3602
20151002,13.72,14.119,13.666,14.107,8699
20151005,14.222,14.325,14.222,14.325,3133
20151006,14.313,14.385,14.283,14.313,11281
20151007,14.312,14.44,14.312,14.44,8317
20151008,14.314,14.525,14.294,14.525,9560
20151009,14.43,14.482,14.392,14.482,72872
20151012,14.337,14.355,14.299,14.313,8796
20151013,14.31,14.361,14.265,14.265,12813
20151014,14.27,14.325,14.21,14.21,16114
20151015,14.464,14.603,14.398,14.603,32826
20151016,14.47,14.567,14.452,14.551,8328
20151019,14.543,14.603,14.522,14.579,22317
20151020,14.501,14.519,14.458,14.476,16847
20151021,14.434,14.445,14.349,14.349,8732
20151022,14.573,14.803,14.564,14.758,13037
20151023,14.821,14.858,14.732,14.857,10652
20151026,14.682,14.694,14.652,14.676,16619
20151027,14.561,14.652,14.498,14.514,11134
20151028,14.628,14.802,14.581,14.785,9866
20151029,14.59,14.597,14.392,14.579,11110
20151030,14.525,14.622,14.513,14.557,8605
20151102,14.634,14.682,14.582,14.646,8970
20151103,14.543,14.658,14.542,14.603,6068
20151104,14.567,14.567,14.48,14.501,23178
20151105,14.567,14.567,14.41,14.422,14889
20151106,14.622,14.682,14.507,14.664,17146
20151109,14.488,14.488,14.331,14.392,5705
20151110,14.482,14.597,14.452,14.567,11942
20151111,14.513,14.531,14.422,14.422,7802
20151112,14.247,14.247,14.059,14.065,44856
20151113,14.095,14.18,14.071,14.071,9764
20151116,14.107,14.307,14.097,14.3,929221
20151117,14.338,14.429,14.289,14.331,27736
20151118,14.313,14.398,14.259,14.395,11844
20151119,14.331,14.337,14.289,14.307,20689
20151120,14.367,14.367,14.27,14.343,10602
20151123,14.47,14.507,14.325,14.349,34287
20151124,14.228,14.29,14.184,14.29,50577
20151125,14.476,14.514,14.47,14.47,13844
20151127,14.664,14.694,14.617,14.645,28636
20151130,14.761,14.761,14.67,14.682,31642
20151201,14.654,14.706,14.61,14.628,9306
20151202,14.406,14.718,14.381,14.431,1946552
20151203,14.425,14.425,14.041,14.051,26247
20151204,14.113,14.369,14.113,14.369,2730
20151207,14.238,14.238,14.185,14.238,11562
20151208,13.913,13.982,13.807,13.882,238765
20151209,13.876,13.951,13.689,13.726,33229
20151210,13.838,13.838,13.782,13.782,2358
20151211,13.551,13.551,13.433,13.439,34384
20151214,13.395,13.408,13.246,13.402,143509
20151215,13.62,13.709,13.614,13.664,5871
20151216,13.782,13.913,13.657,13.901,449725
20151217,13.944,13.944,13.82,13.82,39555
20151218,13.78,13.78,13.62,13.62,14527
20151221,13.845,13.845,13.601,13.645,2144
20151222,13.545,13.701,13.545,13.664,116519
20151223,13.764,13.929,13.745,13.915,282142
20151228,13.858,13.858,13.851,13.851,18534
