Date,Open,High,Low,Close,Volume
20150610,37.22,37.48,37.22,37.48,2424
20150611,38.17,38.17,37.76,37.88,633
20150612,37.16,37.31,37.16,37.31,935
20150615,37.38,40.37,36.66,36.72,2019
20150617,37,37,36.32,36.32,1143
20150618,37.21,37.26,36.95,36.99,81603
20150619,36.79,36.89,36.79,36.89,3478
20150622,38.01,38.39,38.01,38.39,1370
20150623,38.91,38.98,38.75,38.86,990
20150624,38.71,38.71,38.35,38.35,16494
20150625,40.27,40.27,38.24,38.44,7594
20150626,38.85,38.85,38.82,38.82,210
20150629,38.31,38.31,36.53,36.53,22711
20150630,36.52,36.52,35.79,35.9,2740
20150701,36.73,36.88,36.72,36.72,7273
20150702,36.34,36.35,36.26,36.34,31433
20150706,35.23,35.52,34.96,35.06,23347
20150707,34.82,35.21,34.82,35.21,1235
20150708,34.8,37.07,34.13,34.77,12856
20150709,35.82,35.87,35.6,35.63,2929
20150710,36.82,36.82,36.82,36.82,211
20150713,37.55,37.63,37.55,37.63,3349
20150714,37.49,37.79,37.49,37.79,4638
20150715,37.82,37.97,37.79,37.82,4225
20150716,38.16,38.5,38.16,38.5,527
20150717,38.39,38.39,38.38,38.38,822
20150720,39.34,39.34,38.53,38.56,13122
20150721,38.36,38.36,38.07,38.07,2699
20150722,38.67,38.67,38.06,38.16,20285
20150723,37.94,38.16,37.85,37.85,9095
20150724,37.76,37.76,37.76,37.76,10434
20150727,36.78,36.78,36.71,36.71,1633
20150728,37.32,37.37,37.32,37.37,9907
20150729,37.29,37.44,37.16,37.4,12286
20150730,37.78,37.78,37.32,37.48,2091
20150731,37.57,37.57,37.57,37.57,422
20150805,38.48,38.49,38.34,38.35,2635
20150806,38.9,38.9,38.2,38.29,1466
20150807,38.11,38.11,38.11,38.11,105
20150811,37.82,37.82,37.78,37.78,1744
20150812,37.56,37.56,36.47,36.96,1638
20150813,36.77,36.77,36.77,36.77,105
20150814,36.9,36.9,36.61,36.61,10643
20150817,36.19,36.68,36.19,36.68,210
20150818,36.62,36.63,36.51,36.51,3078
20150819,36.54,36.54,35.9,36.05,6168
20150820,35.86,35.86,34.84,34.84,1409
20150821,34.85,34.85,34,34,2518
20150824,32.53,32.88,32.53,32.88,3573
20150825,33.16,33.82,33.13,33.13,1773
20150826,33.23,33.23,33.02,33.02,758
20150827,34.59,34.59,34.2,34.21,3653
20150828,34.45,34.45,34.44,34.45,2477
20150831,34.34,34.34,34.34,34.34,959
20150901,33.66,33.66,33.1,33.1,3133
20150902,33.67,33.67,33.67,33.67,105
20150904,33.52,33.52,33.13,33.16,1677
20150908,33.91,33.92,33.91,33.92,817
20150909,34.64,34.64,34.64,34.64,137
20150910,33.7,33.7,33.7,33.7,179
20150911,33.4,33.44,33.4,33.44,844
20150914,33.4,33.4,33.29,33.31,1370
20150915,33.68,33.68,33.68,33.68,527
20150916,34.04,34.06,34,34.06,6533
20150918,33.01,33.16,32.92,33.1,578
20150922,32.36,32.36,32.09,32.33,15924
20150923,32.48,32.48,32.23,32.23,632
20150925,32.33,32.33,32.33,32.33,105
20150928,31.77,31.77,31.77,31.77,310
20150930,32.48,32.48,32.48,32.48,262
20151002,32.72,32.72,32.72,32.72,209
