Date,Open,High,Low,Close,Volume
20160616,24.85,24.85,24.66,24.66,6108
20160617,24.49,24.49,24.47,24.47,9161
20160620,24.09,24.16,24.06,24.16,4682
20160623,23.86,23.86,23.86,23.86,204
20160624,24.28,24.28,24.26,24.26,1527
20160627,24.49,24.8,24.49,24.79,2138
20160628,24.61,24.63,24.61,24.63,1272
20160630,23.58,23.58,23.58,23.58,102
20160701,23.46,23.46,23.46,23.46,158
20160705,23.65,23.7,23.65,23.7,1170
20160706,23.73,23.76,23.65,23.69,7026
20160713,22.54,22.66,22.54,22.66,306
20160714,22.55,22.55,22.55,22.55,509
20160726,22.66,22.66,22.66,22.66,102
20160729,22.84,22.84,22.73,22.73,1426
20160801,22.81,22.81,22.81,22.81,204
20160802,22.91,22.91,22.91,22.91,204
20160803,22.87,22.87,22.87,22.87,1018
20160805,22.37,22.37,22.37,22.37,102
20160808,22.33,22.34,22.32,22.33,712
20160810,22.06,22.12,22.06,22.12,9717
20160812,21.98,21.98,21.98,21.98,305
20160816,21.88,21.89,21.88,21.89,204
20160817,21.92,21.92,21.89,21.89,1476
20160819,21.79,21.79,21.79,21.79,102
20160822,21.93,21.93,21.87,21.92,3308
20160824,21.74,21.83,21.74,21.83,306
20160826,21.67,21.87,21.67,21.87,1018
20160829,21.81,21.81,21.7,21.74,4274
20160830,21.62,21.62,21.62,21.62,471
20160831,21.79,21.8,21.79,21.8,1730
20160901,21.82,21.84,21.82,21.84,3053
20160906,21.46,21.47,21.44,21.47,2953
20160907,21.52,21.52,21.49,21.49,1120
20160909,21.8,21.94,21.8,21.94,510
20160912,23.17,23.17,21.83,21.9,8503
20160913,22.09,22.31,22.08,22.22,9742
20160914,22.25,22.25,22.25,22.25,509
20160915,22,22.11,21.99,22.01,8904
20160919,22,22,22,22,102
20160921,21.98,21.98,21.96,21.97,1588
20160922,21.51,21.59,21.43,21.53,3219
20160923,21.62,21.62,21.48,21.48,306
20160926,21.69,21.72,21.67,21.7,870
20160927,21.84,21.84,21.69,21.7,4300
20160928,21.62,21.62,21.33,21.33,992
20160929,21.38,21.45,21.38,21.41,815
20160930,21.44,21.46,21.38,21.38,6616
20161003,21.38,21.38,21.38,21.38,223
20161004,21.34,21.38,21.32,21.38,1272
20161005,21.37,21.37,21.37,21.37,102
20161006,21.28,21.36,21.28,21.29,4580
20161007,21.32,21.33,21.21,21.21,2649
20161010,21.13,21.13,21,21.01,764
20161011,21.12,21.32,21.12,21.27,6720
20161012,21.32,21.43,21.21,21.21,816
20161013,21.46,21.46,21.36,21.36,2342
20161014,21.3,21.3,21.26,21.26,1856
20161017,21.26,21.29,21.21,21.29,3404
20161018,21.21,21.25,21.15,21.15,5823
20161019,21.06,21.06,21.06,21.06,814
20161020,21.06,21.06,21.01,21.02,509
20161024,21,21,21,21,303
20161026,21.03,21.17,21.03,21.17,7142
20161027,21.17,21.18,21.17,21.17,713
20161028,21.42,21.56,21.4,21.5,3666
20161101,21.85,21.85,21.84,21.85,5273
20161102,22.05,22.07,22.05,22.07,224
20161103,22.01,22.01,21.92,21.92,8392
20161107,21.51,21.55,21.51,21.55,658
20161108,21.54,21.54,21.54,21.54,204
20161109,21.69,21.74,21.68,21.74,510
20161110,21.85,22.22,21.85,22.22,561
20161111,22.63,22.63,22.56,22.58,2239
20161114,22.46,22.75,22.44,22.44,7375
20161115,22.17,22.17,22.08,22.08,789
20161116,22.05,22.08,22.05,22.08,1162
20161117,22.03,22.07,22.02,22.06,612
20161118,22.12,22.15,22.1,22.1,9373
20161122,21.64,21.64,21.48,21.48,408
20161123,21.65,21.68,21.62,21.62,2952
20161125,21.6,21.6,21.6,21.6,102
20161128,21.55,21.55,21.48,21.55,5119
20161129,21.67,21.67,21.65,21.67,510
20161130,21.67,21.68,21.66,21.68,510
20161201,21.68,21.68,21.68,21.68,509
20161202,21.49,21.51,21.49,21.51,1018
20161207,21.13,21.13,20.94,20.94,1326
20161208,21,21.01,20.95,20.95,510
20161209,20.93,20.94,20.92,20.93,510
20161213,20.81,20.83,20.8,20.83,510
20161214,20.83,21.09,20.78,21.09,2697
20161215,21.14,21.14,21.14,21.14,102
20161216,21.09,21.13,21.09,21.13,611
20161220,20.95,20.95,20.95,20.95,112
20161221,21.11,21.11,20.85,20.86,1221
20161222,20.86,20.86,20.86,20.86,1018
20161223,20.74,20.74,20.74,20.74,102
20161227,20.75,20.78,20.66,20.78,4279
20161228,20.71,20.72,20.68,20.72,3664
20161230,20.77,20.77,20.76,20.76,3053
20170103,20.61,20.61,20.5,20.51,2443
20170104,20.34,20.35,20.34,20.35,814
20170105,20.3,20.4,20.27,20.4,8442
