Date,Open,High,Low,Close,Volume
20130523,50.29,50.39,50.29,50.39,5003
20130524,50.66,50.66,50.49,50.65,5429
20130528,50.84,51.26,50.53,50.97,9408
20130529,50.68,50.68,50.48,50.56,5796
20130530,50.57,50.57,50.49,50.57,17171
20130531,50.59,50.66,50.59,50.66,1874
20130603,50.9,50.9,50.36,50.46,3646
20130604,49.48,51.46,49.43,50.32,4342
20130605,50.29,50.29,50.11,50.11,17284
20130606,50.23,50.23,50.23,50.23,159
20130607,49.44,50.33,49.44,50.14,518
20130610,50.43,50.76,50.43,50.43,912
20130611,50.38,50.55,50.38,50.55,1110
20130612,50.17,50.3,50.17,50.3,2855
20130613,50.23,50.45,50.23,50.45,10194
20130614,50.26,50.32,50.1,50.32,952
20130617,50.12,50.93,50.12,50.93,1683
20130618,50.97,51.08,50.38,50.41,38122
20130619,50.29,50.29,49.95,49.95,4282
20130620,50.31,50.31,49.98,49.98,9348
20130621,49.82,49.98,49.69,49.98,3215
20130624,49.99,49.99,49.75,49.82,10332
20130625,49.82,49.82,49.76,49.76,1587
20130626,49.54,49.6,48.35,49.6,1745
20130627,49.33,49.86,49.33,49.86,611
20130628,49.54,49.54,49.54,49.54,159
20130701,49.72,49.85,49.4,49.53,11045
20130702,49.53,49.53,49.51,49.51,316
20130703,49.53,49.53,49.53,49.53,2455
20130705,50.37,50.37,50.13,50.13,1894
20130708,50.03,50.03,49.52,49.52,1424
20130709,50.12,50.87,50.02,50.13,3345
20130710,50.13,50.13,50.13,50.13,316
20130711,50.38,51.09,50.38,51.09,497
20130712,51.22,51.22,50.51,50.52,4494
20130715,51.13,51.21,50.94,50.94,2842
20130716,52.18,52.18,50.51,50.59,13136
20130717,50.7,50.7,50.69,50.69,3118
20130718,50.89,50.92,50.89,50.92,3617
20130719,51.93,51.93,50.94,51.17,3931
20130722,51.17,51.18,50.63,51.18,5555
20130723,51.8,51.8,50.89,51.25,4656
20130724,51.7,51.7,51.19,51.19,10017
20130725,50.87,52.31,50.03,51.04,6008
20130726,51.04,51.04,51.04,51.04,1060
20130729,50.49,51.29,50.49,50.99,5662
20130730,51.93,51.93,50.86,50.87,3789
20130731,50.82,51.61,50.73,50.94,21346
20130801,50.77,50.77,50.67,50.67,9510
20130802,50.39,50.74,50.39,50.68,2432
20130805,50.39,50.39,50.33,50.33,4910
