Date,Open,High,Low,Close,Volume
20210611,25.45,25.58,25.443,25.58,3505
20210614,25.73,25.74,25.45,25.558,20424
20210615,25.59,25.59,25.12,25.19,17114
20210616,25.18,25.34,24.7,24.97,18810
20210617,24.9,25.2112,24.87,25.16,18874
20210618,24.9732,25.1,24.79,25.07,157913
20210621,25.22,25.36,25,25.24,65659
20210622,25.34,25.34,25.1,25.3285,27523
20210623,25.33,25.4481,25.08,25.2,19025
20210624,25.395,25.65,25.395,25.54,21623
20210625,25.61,25.77,25.6,25.7463,14939
20210628,25.93,26.05,25.75,25.785,20939
20210629,25.8,25.9499,25.7356,25.83,37965
20210630,25.91,26.09,25.7,25.905,40182
20210701,26.03,26.2,25.781,26.18,21689
20210702,26.18,26.18,25.9,26.1,12981
20210706,26.05,26.05,25.62,25.68,36877
20210707,25.73,25.73,25.17,25.36,22055
20210708,25.01,25.5,24.92,25.44,353560
20210709,25.63,25.739,25.2804,25.649,15080
20210712,25.73,25.75,25.53,25.62,27090
20210713,25.66,25.66,25.29,25.29,26656
20210714,25.221,25.2432,24.94,24.97,16092
20210715,24.95,25.01,24.75,24.96,18530
20210716,25.08,25.39,25.08,25.21,22016
20210719,25.01,25.535,25,25.47,14182
20210720,25.56,25.955,25.43,25.541,39133
20210721,25.73,25.92,25.425,25.9,176929
20210722,25.92,26.01,25.81,25.9799,3801
20210723,26.09,26.129,25.78,26.1075,36863
20210726,26.05,26.05,25.565,25.57,20458
20210727,25.53,25.53,24.99,25.29,240024
20210728,25.4213,26.145,25.4213,26.1,14080
20210729,26.19,26.19,25.86,25.9,8992
20210730,25.84,26.02,25.77,25.8198,8960
20210802,26.1,26.1,25.85,25.85,10067
20210803,25.85,26.31,25.778,26.31,4263
20210804,26.33,26.9,26.25,26.77,20644
20210805,26.81,27.27,26.81,27.27,12733
20210806,27.13,27.13,26.58,26.91,33503
20210809,26.87,27.5771,26.81,27.51,32215
20210810,27.67,27.77,26.99,27.12,50441
20210811,27.1,27.1,26.09,26.32,41750
20210812,26.5,26.66,26.24,26.53,42553
20210813,26.66,26.77,26.48,26.53,24975
20210816,26.48,26.48,25.75,26.15,17522
20210817,25.87,26.66,25.751,26.66,9145
20210818,26.75,26.77,26.3,26.32,9545
20210819,25.99,26.0272,25.6,25.65,33611
20210820,25.76,26.17,25.6,26.06,30861
20210823,26.42,26.89,26.3427,26.89,27397
20210824,26.87,26.87,26.55,26.74,28210
20210825,26.74,26.93,26.74,26.93,20865
20210826,26.91,26.93,26.7333,26.76,3949
20210827,26.91,27.079,26.5989,26.84,11771
20210830,26.81,26.98,26.661,26.79,9796
20210831,26.78,27.01,26.7122,26.96,30249
20210901,27,27.25,26.96,27.17,10554
20210902,27.35,27.5,27.23,27.5,17996
20210903,27.44,27.45,27.2831,27.44,11462
20210907,27.35,27.37,27.16,27.37,9221
20210908,27.4,27.4,26.9235,27.07,18454
20210909,27.24,27.38,27.14,27.15,12799
20210910,27.4,27.4,27.02,27.04,3748
20210913,27.17,27.17,26.6,26.71,12088
20210914,26.68,26.9874,26.57,26.65,24242
20210915,26.765,26.937,26.765,26.89,2548
20210916,26.85,27.02,26.7,27.01,7784
20210917,27.02,27.18,26.75,27.18,11043
20210920,26.71,26.8962,26.41,26.55,16975
20210921,26.8,26.94,26.747,26.81,9639
20210922,26.94,26.94,26.6265,26.73,10723
20210923,26.88,27.17,26.72,27.15,24457
20210924,26.88,26.88,26.59,26.59,7477
20210927,26.68,26.68,26.34,26.44,9499
20210928,26.23,26.23,25.61,25.68,37806
20210929,25.8,25.8782,25.4904,25.54,13418
20210930,25.8037,25.85,25.59,25.6,34006
20211001,25.34,25.36,24.5996,25.15,37970
20211004,24.89,24.9599,24.5881,24.62,14249
20211005,24.68,24.9469,24.68,24.68,30396
20211006,24.6,24.6,24.29,24.36,13265
20211007,24.48,24.8747,24.48,24.66,7956
20211008,24.78,24.78,24.51,24.55,3710
20211011,24.59,24.8175,24.52,24.52,7696
20211012,24.681,24.705,24.55,24.55,8335
20211013,24.72,24.74,24.6201,24.65,3169
20211014,24.9,25.15,24.9,24.98,8441
20211015,25.0675,25.0675,24.8599,24.86,8009
20211018,24.79,24.79,24.4118,24.55,17971
20211019,24.6849,24.861,24.6849,24.77,70859
20211020,24.9151,24.9738,24.79,24.79,2714
20211021,24.9,24.98,24.85,24.98,24108
20211022,25.02,25.02,24.61,24.85,22862
20211025,24.92,25.13,24.84,25.13,13307
20211026,25.1707,25.255,25.04,25.1,5580
20211027,25,25,24.72,24.72,17391
20211028,24.71,25.19,24.71,25.19,24473
20211029,25.15,25.15,24.96,25.11,9663
20211101,25.07,25.48,25.07,25.46,6282
20211102,25.55,25.72,25.265,25.72,8011
20211103,25.69,26.15,25.56,26.15,8297
20211104,25.84,25.84,25.46,25.65,15549
20211105,25.2,25.2,24.679,25.02,20735
20211108,25.05,25.11,24.91,25.04,26727
20211109,25.12,25.12,24.73,24.73,7484
20211110,24.71,24.9,24.41,24.41,15557
20211111,24.48,24.4951,24.275,24.38,10292
20211112,24.4,24.46,24.2,24.41,15667
20211115,24.4301,24.49,24.29,24.32,10925
20211116,24.25,24.35,24.2,24.33,12089
20211117,24.3,24.33,24.23,24.26,15830
20211118,24.39,24.49,24.13,24.17,18772
20211119,24.31,24.41,24.2402,24.34,9250
20211122,24.48,24.48,24.0278,24.19,21536
20211123,24.14,24.14,23.679,24.1,22850
20211124,23.89,24.115,23.89,24.1,11177
20211126,24.3,24.6363,24.19,24.25,13360
20211129,24.62,24.7896,24.33,24.36,19170
20211130,24.23,24.36,23.83,24.15,15302
20211201,24.2,24.2554,23.56,23.56,17711
20211202,23.57,23.78,23.45,23.71,13418
20211203,23.86,23.9262,23.0154,23.16,16997
20211206,23.01,23.01,22.49,22.75,22221
20211207,23.26,23.72,23.2387,23.72,17931
20211208,23.79,23.96,23.555,23.96,15833
20211209,23.96,23.96,23.4,23.4,9413
20211210,23.25,23.36,23.07,23.15,6094
20211213,23.28,23.45,23.14,23.4,18729
20211214,23.27,23.52,23.1,23.52,10284
20211215,23.3219,23.9179,23.194,23.86,8136
20211216,23.94,24.19,23.57,23.67,17885
20211217,23.48,24.28,23.48,24.28,12696
20211220,24.28,24.28,23.8837,23.97,10855
20211221,23.8,24.02,23.8,24,2105
20211222,23.99,24.03,23.7333,24.03,14255
20211223,24.1,24.275,23.935,24.19,23571
20211227,24.15,24.15,23.8523,23.91,15458
20211228,23.91,24.165,23.68,23.68,17488
20211229,23.65,23.88,23.51,23.77,7350
20211230,23.99,24.13,23.93,23.95,11081
20211231,23.97,24.055,23.7,23.72,8611
20220103,23.7,23.85,23.4,23.85,14619
20220104,23.85,23.93,23.12,23.32,20512
20220105,23.17,23.32,22.41,22.43,12522
20220106,22.405,22.503,22.02,22.4,9700
20220107,22.4,22.6,22.2,22.21,4791
20220110,22.08,22.43,21.91,22.43,12424
20220111,22.4,22.6897,22.4,22.68,16850
20220112,22.74,22.74,22.339,22.35,6497
20220113,22.2,22.2,21.8,21.87,9663
20220114,21.815,22.025,21.63,22.025,14053
20220118,21.79,21.79,21.19,21.21,21085
20220119,21.3762,21.3762,20.96,20.98,16984
20220120,21.1,21.35,20.7,20.7,18953
20220121,20.68,20.77,20.36,20.36,11541
20220124,20.2,20.54,19.5,20.54,36273
20220125,20.3,20.57,20.0396,20.29,14433
20220126,20.4,20.7931,20,20.05,5113
20220127,20.31,20.41,19.66,19.69,17134
20220128,19.5,20.34,19.5,20.34,7126
20220131,20.34,20.9,20.34,20.86,12118
20220201,20.93,21.23,20.86,21.23,3537
20220202,21.17,21.19,20.79,20.98,10443
20220203,20.72,20.76,20.49,20.49,9785
20220204,20.45,20.71,20.45,20.56,9890
20220207,20.8,20.95,20.77,20.84,14110
20220208,20.83,20.84,20.54,20.81,11839
20220209,21.08,21.35,21.08,21.35,7597
20220210,21.117,21.396,20.76,20.76,5556
20220211,20.82,21.086,20.6,20.7397,3778
20220214,20.71,20.71,20.26,20.28,30929
20220215,20.48,20.79,20.48,20.79,7722
20220216,20.5,20.76,20.5,20.745,5841
20220217,20.66,20.66,20.18,20.1979,8027
20220218,20,20.0383,19.9168,19.95,3118
