Date,Open,High,Low,Close,Volume
20130710,23.73,23.73,23.56,23.57,1711
20130711,23.85,23.85,23.61,23.61,2994
20130712,23.79,24.38,23.79,24.38,1283
20130715,23.56,23.56,23.56,23.56,1711
20130716,23.59,23.59,23.54,23.57,23096
20130717,23.6,23.6,23.6,23.6,17108
20130722,23.66,23.66,23.66,23.66,12403
20130723,23.68,23.68,23.68,23.68,4251
20130724,23.64,23.64,23.64,23.64,642
20130725,23.54,23.54,23.54,23.54,8340
20130726,23.66,23.66,23.66,23.66,83401
20130730,23.63,23.67,23.6,23.6,93880
20130731,23.56,23.56,23.53,23.55,15825
20130802,23.5,23.62,23.5,23.61,3396
20130805,23.6,23.62,23.6,23.62,5188
20130806,23.63,23.63,23.63,23.63,428
20130807,23.76,23.76,23.64,23.65,3421
20130808,23.65,23.65,23.65,23.65,1069
20130809,23.67,23.67,23.66,23.67,1797
20130813,23.66,23.66,23.59,23.59,1176
20130814,23.56,23.56,23.56,23.56,599
20130815,23.53,23.56,23.53,23.55,2426
20130816,23.55,23.55,23.49,23.49,8528
20130819,23.49,23.5,23.49,23.5,2994
20130820,23.52,23.52,23.52,23.52,3122
20130822,23.44,23.44,23.41,23.41,5131
20130823,23.42,23.48,23.42,23.46,4029
20130827,23.54,23.55,23.53,23.55,2780
20130828,23.53,23.53,23.52,23.52,25684
20130829,23.52,23.52,23.44,23.47,4063
20130903,23.45,23.46,23.44,23.44,12796
20130904,23.56,23.56,23.39,23.39,27170
20130905,23.36,23.36,23.35,23.35,3761
20130906,23.37,23.42,23.36,23.37,10049
20130909,23.42,23.43,23.42,23.43,5361
20130910,23.41,23.41,23.33,23.4,9962
20130911,23.45,23.45,23.34,23.45,16830
20130912,23.44,23.53,23.41,23.5,89471
20130913,23.44,23.45,23.4,23.41,155849
20130916,23.56,23.58,23.54,23.56,6304
20130917,23.68,23.68,23.48,23.5,95387
20130918,23.53,23.66,23.52,23.62,82306
20130919,23.65,23.72,23.65,23.7,17108
20130920,23.72,23.73,23.72,23.73,7545
20130924,23.63,23.76,23.63,23.76,1707
20130925,23.78,23.78,23.78,23.78,853
20130926,23.74,23.8,23.74,23.8,11090
20130927,23.79,23.79,23.7,23.77,20473
