Date,Open,High,Low,Close,Volume
20190509,25.02,25.02,25,25,9510
20190510,22.21,22.22,22.21,22.22,461
20190513,22.08,22.08,22.08,22.08,11
20190514,22.19,22.19,22.19,22.19,13496
20190515,22.18,22.18,22.18,22.18,11
20190516,22.23,22.23,22.23,22.23,11
20190517,22.15,22.15,22.15,22.15,11
20190520,22.15,22.15,22.15,22.15,11
20190521,22.15,22.15,22.15,22.15,11
20190522,22.1,22.1,22.1,22.1,124
20190523,22.11,22.11,22.11,22.11,350
20190524,22.19,22.19,22.19,22.19,11
20190528,22.19,22.19,22.19,22.19,11
20190529,22.11,22.11,22.11,22.11,11
20190530,22.11,22.11,22.11,22.11,11
20190531,22.13,22.13,22.04,22.04,2304
20190603,22.04,22.04,22.04,22.04,11
20190604,22.04,22.04,22.04,22.04,11
20190605,22.22,22.22,22.22,22.22,1134
20190606,22.21,22.24,22.21,22.24,12033
20190607,22.27,22.27,22.26,22.27,1584
20190610,22.3,22.31,22.3,22.31,416
20190611,22.29,22.29,22.29,22.29,11
20190612,22.22,22.25,22.22,22.25,112384
20190613,22.28,22.28,22.28,22.28,11
20190614,22.28,22.28,22.28,22.28,181
20190617,22.25,22.25,22.25,22.25,11
20190618,22.35,22.35,22.35,22.35,1247
20190619,22.42,22.42,22.42,22.42,11
20190620,22.51,22.51,22.48,22.48,5292
20190621,22.45,22.45,22.45,22.45,11
20190624,22.44,22.44,22.44,22.44,1697
20190625,22.42,22.42,22.38,22.38,1472
20190626,22.39,22.39,22.38,22.38,2692
20190627,22.4,22.4,22.4,22.4,11
20190628,22.41,22.43,22.41,22.43,338
20190701,22.27,22.27,22.26,22.26,1132
20190702,22.44,22.44,22.44,22.44,11
20190703,22.47,22.47,22.47,22.47,566
20190705,22.44,22.44,22.44,22.44,11
20190708,22.43,22.43,22.43,22.43,122
20190709,22.42,22.43,22.42,22.43,4470
20190710,22.48,22.48,22.46,22.46,22863
20190711,22.45,22.45,22.45,22.45,1126
20190712,22.44,22.44,22.44,22.44,11
20190715,22.44,22.44,22.44,22.44,6143
20190716,22.41,22.41,22.41,22.41,11
